,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,1,하늘공원,한,암,3세,54,,마누엘,강성오,♠김기종,,459(-7),2.4,1.3,"계란형큰, 망사눈"
1,2,8,유롱플라잉,한,거,3세,56,,박태종,정호익,♠장위에셩,목,435(-1),4.5,1.5,망사눈
2,3,10,달리는에이스,한,거,4세,56,,다나카,박희철,경규환,1¼,465(3),27.1,5.5,"계란형큰, 망사눈"
3,4,7,골든앵글,한,수,3세,56,,안토니오,강환민,♠이종욱,목,499(9),5.6,2.0,"계란형큰, 망사눈"
4,5,4,에이스윈,한,암,2세,52.5,,송재철,최봉주,♠우상우,2½,411(-5),12.3,3.0,"계란형큰, 망사"
5,6,9,백스핀,한,암,3세,54,,이해동,이관호,♠이경희,½,455(3),35.9,10.4,"계란형큰+, 망사눈"
6,7,6,재능충만,한,암,3세,54,,이현종,유재길,♠허건호,코,453(-6),6.1,1.6,망사눈
7,8,5,정동사랑,한,암,3세,54,,최범현,곽영효,구본순,코,469(11),39.3,6.6,
8,9,3,로열축제,한,암,3세,54,,박상우,김대근,신상섭,2,499(-1),58.4,15.1,
9,10,11,플라잉주노,한,암,3세,54,,임기원,심승태,♠김형순,7,471(19),15.5,3.3,망사눈+
10,11,2,섬싱웰메이드,한,암,3세,54,,김옥성,홍대유,정춘복,1,468(1),97.7,15.7,"계란형큰, 망사눈"
0,1,2,우승마차,한,암,3세,53,,(-1)조한별,지용철,♠최성룡,,450(0),7.4,2.2,계란형큰
1,2,6,삼애질주,한,암,3세,54,,김정준,김학수,박세용,¾,501(0),5.6,1.8,망사눈
2,3,7,골드히어로,한,암,3세,54,,이기회,곽영효,퓨리나코리아,10,477(3),3.5,1.4,망사눈+
3,4,9,성파장,한,암,3세,54,,안토니오,김순근,서운석,목,496(3),4.6,1.7,"망사눈,혀끈+"
4,5,10,배다리서미트,한,수,3세,56,,김태훈,홍대유,♠송한우,½,514(8),8.9,2.7,망사눈+
5,6,1,골든스파크,한,암,4세,54,,다나카,우창구,♠우동희,4,488(4),7.6,2.8,"망사눈, Triabit"
6,7,3,샌드루이스,한,거,3세,56,,김옥성,박희철,♠강석대,코,489(-6),25.2,8.4,"망사눈, 혀끈"
7,8,8,지오바나,한,암,3세,54,,먼로,서홍수,♠오종택,목,463(-4),15.4,4.0,망사눈
8,9,4,머니캣,한,수,3세,55,,(-1)조상범,손영표,♠최임규,½,457(-2),38.2,15.2,망사눈
9,10,11,지금이최강,한,수,3세,56,,하정훈,임봉춘,윤지중,목,523(4),40.0,11.0,눈가면
10,11,5,골드캡틴,한,거,3세,56,,안효리,심승태,♠김세민,4,411(2),33.2,6.9,망사
0,1,6,케이엔로드,한,수,2세,54,,김용근,박대흥,♠조경수,,489(15),1.2,1.1,"계란형큰+, 망사눈"
1,2,9,레인케이,한,암,2세,52,,송재철,송문길,♠강경운,5,475(0),24.7,2.6,망사눈
2,3,4,정성스타,한,암,2세,52,,임기원,박재우,임정균,5,467(15),6.5,1.5,
3,4,7,러피언파크,한,수,2세,54,,조재로,최봉주,♠박종율,½,461(5),21.8,2.9,"계란형큰, 망사눈"
4,5,1,일보등천,한,수,2세,53,,(-1)조상범,안병기,♠김기종,머리,484(3),58.1,7.2,망사눈
5,6,5,자이언트걸,한,암,2세,52,,지하주,김동균,♠신윤경,코,482(5),13.7,1.9,망사눈+
6,7,3,머니라인,한,수,2세,54,,다비드,배대선,박상헌,4,525(3),26.1,3.1,"계란형큰,망사눈+,눈가면-"
7,8,10,애니선,한,암,2세,52,,빅투아르,김순근,♠이용식,3,451(1),37.3,6.0,"반가지큰,망사눈+"
8,9,8,차세대강자,한,수,2세,54,,다나카,김순근,이장한,11,516(6),38.4,5.1,망사눈+
9,10,2,단비와호수,한,암,2세,51,,(-1)조한별,지용철,♠김선식,59,477(-9),96.0,11.4,
0,1,5,과천의별,한,암,3세,54.5,,김정준,김동철,♠김선식,,473(-4),1.9,1.3,망사
1,2,10,위너템플러,한,암,3세,53,,빅투아르,리카디,♠요시다 가츠미,머리,445(5),3.2,1.6,
2,3,3,황금스타,한,암,3세,53,,이현종,박천서,♠송진석,1¼,449(-1),10.5,2.2,망사눈
3,4,4,페더럴퀸,한,암,3세,53,,박태종,정호익,♠금악목장,1¼,449(-2),35.4,4.8,
4,5,1,리슨트드림,한,암,3세,53.5,,박병윤,김동철,류재욱,1¼,417(1),12.3,2.0,"망사, 반가지큰"
5,6,2,트루루비,한,암,3세,53,,안토니오,박병일,♠이용대,½,517(4),26.6,4.7,
6,7,7,기로,한,암,3세,52,,(-1)조한별,유재길,전기섭,2½,431(10),59.3,8.9,"계란형큰, 망사눈"
7,8,8,호남대로,한,거,3세,55,,마누엘,최영주,말사모,½,417(-2),32.3,5.3,
8,9,6,추석달,한,암,3세,53,,신형철,안해양,박충범,2,456(-7),34.0,5.3,
9,10,11,골드파크,한,암,3세,53,,송재철,김동균,김은갑,¾,513(-1),32.8,8.0,"계란형큰, 망사눈"
10,11,9,스페셜버드,한,암,4세,53,,방춘식,박희철,류순곤,¾,471(-5),14.9,3.1,"계란형큰, 망사눈"
0,1,12,명진플라이,미,거,2세,55,41,이현종,박대흥,♠(주)자성실업,,483(15),2.3,1.2,"망사눈,계란형큰-"
1,2,3,무비쿠스,미,수,2세,55,38,함완식,안병기,♠강현철,2,457(-3),3.2,1.4,눈가면+
2,3,11,브리가디어제너럴,호,수,3세,56,39,다비드,서범석,♠청팅콩,1¾,490(12),3.8,1.4,
3,4,7,더검푸,미,수,2세,55,38,마누엘,사이먼,♠한명로,5,455(-3),92.1,9.4,"혀끈+, Triabit, 눈가면"
4,5,6,문학보스,미,수,2세,55,38,박태종,박종곤,♠권경자,½,464(9),7.8,1.7,망사눈
5,6,4,홍시,호,암,3세,54,38,다나카,임봉춘,♠(주)나스카,2½,486(12),148.9,30.5,망사눈+
6,7,10,마이티수,미,수,2세,55,38,빅투아르,서홍수,♠조병태,목,468(-20),42.0,5.1,"계란형큰+,망사눈+,자극판-"
7,8,9,가야영봉,호,수,3세,56,38,김용근,김점오,♠이선호,3,469(-9),30.3,4.6,망사눈
8,9,1,엘리트레오,호,거,3세,56,38,방춘식,이희영,♠태희종합건설,1¾,452(-15),99.1,26.3,망사
9,10,8,패트리어츠테일,미,수,2세,55,38,안토니오,최용구,♠표종순,4,565(-5),87.4,9.0,"계란형큰, 망사눈,혀끈-"
10,11,5,디케이마루,미,수,2세,55,38,신형철,이희영,♠표종순,목,465(1),142.6,19.0,망사
11,12,2,야호원더풀캣,호,수,3세,56,38,임기원,박재우,이태식,1½,482(-2),61.6,8.3,눈가면+
0,1,2,챔프케이,한,수,3세,56,31,이현종,배대선,♠강경운,,454(5),3.0,1.4,망사눈
1,2,3,블레싱로드,한,암,4세,53,27,다비드,서범석,♠무라카미 켄세이,4,427(4),17.2,3.3,"계란형큰, 망사"
2,3,8,피케이군황,한,거,3세,56,30,김용근,김동균,♠김태성,머리,466(7),5.2,1.7,"망사눈, Triabit"
3,4,1,인디레이디,한,암,3세,52,35,(-3)문성혁,서인석,♠이종욱,코,437(-13),2.4,1.3,계란형큰
4,5,11,로드우먼,한,암,4세,53,28,안토니오,박윤규,♠(주)자성실업,1½,467(10),12.7,3.0,망사눈
