,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,11,라온더제트,한,수,2세,55,,박태종,박종곤,♠라온산업개발(주),,474(-8),8.1,2.2,
1,2,6,이글포인트,한,수,2세,55,,송재철,전승규,♠이관형,4,526(4),4.6,1.4,"Triabit ,눈가면"
2,3,3,터치나인,한,수,2세,55,,장추열,강성오,강현철,1¾,478(-7),60.9,10.5,"양털코+,혀끈+"
3,4,2,건곤일척,한,수,2세,55,,문성혁,서인석,서상주,목,481(4),8.2,2.5,"계란형큰,망사눈"
4,5,4,큐피드보우,한,수,2세,55,,김효정,유재길,♠서순배,1,467(6),2.3,1.2,
5,6,5,굿니센,한,수,2세,55,,다비드,박윤규,김지훈,2½,484(-5),7.8,2.1,망사
6,7,9,골든선더,한,거,2세,54,,(-1)임다빈,정호익,윤지중,7,446(-4),71.7,19.2,망사눈
7,8,7,유로강자,한,수,2세,55,,김용근,신삼영,♠조창규,3,498(6),26.8,4.1,망사눈+
8,9,1,선더누리,한,암,2세,53,,빅투아르,박병일,김봉섭,¾,445(-10),59.7,17.0,망사눈
9,10,12,테이크머니,한,거,2세,55,,문세영,안병기,♠김용래,목,505(-5),8.6,2.7,망사눈
10,11,8,뉴청파,한,수,2세,55,,문정균,최영주,김창국,목,468(2),63.2,19.8,망사+
11,12,10,무야호,한,암,2세,53,,하정훈,심승태,강홍수,1½,446(-3),335.4,83.6,
0,1,10,그린백,한,암,2세,53,,박태종,박천서,이진경,,480(16),9.3,2.2,"눈가면+,반가지큰+,망사눈-"
1,2,3,너를응원해,한,암,2세,53,,최범현,이준철,♠임동현,2,427(-2),10.3,1.8,
2,3,11,화수분,한,암,2세,53,,장추열,정호익,♠양순희,1¾,446(8),1.7,1.2,
3,3,12,불의꽃,한,암,2세,52,,(-1)임다빈,임채덕,♠황경호,동순위,478(8),8.9,1.6,눈가면+
4,5,8,럭키인디,한,암,2세,53,,김효정,안해양,♠김성래,1¼,420(-3),3.8,1.6,망사
5,6,2,큐피드점보,한,암,2세,53,,빅투아르,이희영,♠서순배,1¾,508(6),19.9,3.7,망사+
6,7,9,라온더피버,한,암,2세,53,,송재철,박종곤,♠라온건설,6,431(-9),233.1,35.2,망사눈
7,8,4,골든클래스,한,암,2세,53,,조상범,배휴준,♠김용래,¾,471(12),119.5,10.1,망사
8,9,7,캠프세이버,한,암,2세,53,,유승완,최용건,김창호,½,460(-6),240.0,38.7,망사눈
9,10,5,선더여왕,한,암,2세,53,,다비드,박대흥,양동희,4,418(-17),81.2,8.0,"양털코-,혀끈-"
10,11,1,질주의칸,한,암,2세,53,,이용호,이신영,희망홀스,½,464(-15),264.4,33.9,
11,12,6,메탈,한,암,2세,53,,김귀배,박병일,신기철,5,417(-2),415.5,36.6,"계란형큰,눈가면"
0,1,14,마이티선샤인,한,수,2세,55,,문세영,임채덕,손칠규,,457(6),2.0,1.2,"계란형큰,망사눈"
1,2,4,퍼스트로드,한,암,3세,54,,다비드,박대흥,죽마조합,1,470(6),32.1,4.8,망사
2,3,12,메인오브킹,한,거,3세,52,,(-4)김아현,이관호,♠손병현,1,440(-4),11.5,3.5,"망사눈,반가지큰"
3,4,9,비바챔피언,한,수,3세,56,,황순도,임봉춘,박세용,3,502(-12),18.8,3.6,망사
4,5,2,예술이야,한,거,2세,55,,안토니오,최용구,♠강무웅,2½,479(-2),6.5,2.3,"망사눈,반가지큰,혀끈+"
5,6,6,애플민트,한,거,3세,56,,페로비치,리카디,노만영,½,472(-3),6.2,2.0,"계란형큰,망사눈"
6,7,8,나의나라,한,거,3세,56,,조상범,강성오,♠이관형,1¼,482(-8),184.8,32.4,"계란형큰,망사눈"
7,8,1,장군별,한,수,2세,55,,박태종,최봉주,♠오종환,½,529(-10),5.6,1.6,
8,9,11,바다의꿈,한,거,3세,56,,김귀배,이희영,임현성,머리,453(-3),71.5,12.6,"계란형큰,눈가면"
9,10,5,프린세스데이,한,암,3세,54,,박을운,조현수,♠김선식,5,493(-10),20.4,3.4,
10,11,13,비트퀸,한,암,3세,54,,박현우,김동균,류재욱,목,461(-2),194.2,25.1,
11,12,7,시선평정,한,거,3세,56,,김옥성,안해양,천사들의 안장,3,466(-2),226.7,37.1,
12,13,3,머니스톤,한,암,3세,54,,유승완,곽영효,♠정기환,5,430(-9),150.0,29.2,망사눈+
13,14,10,백승,한,수,3세,55,,(-1)임다빈,정호익,♠배은정,14,548(1),204.4,33.1,
0,1,2,매직조이,한,거,3세,56,,안토니오,서인석,♠최상기,,515(-19),3.8,1.9,"계란형큰,눈가면+"
1,2,5,머니가락,한,거,3세,56,,김효정,배대선,박상헌,2½,443(-1),10.4,2.6,망사
2,3,10,러닝넘버원,한,수,3세,56,,박현우,배대선,♠(주)디알엠씨티,¾,480(-2),5.4,1.7,망사
3,4,8,정성대로,한,암,3세,54,,장추열,최용건,임정균,6,492(3),6.0,2.0,"망사,계란형큰-"
4,5,4,사우스반,한,암,5세,54,,박상우,서범석,♠임종근,¾,436(-1),27.7,7.9,
5,6,6,송암레이서,한,거,3세,56,,하정훈,최용건,♠송암축산,¾,485(3),49.8,18.4,"계란형큰,망사눈"
6,7,9,화려한미소,한,암,3세,54,,이용호,이신영,♠정영식,1¾,485(-3),4.4,1.7,혀보정큰
7,8,3,에피파니,한,수,3세,56,,조한별,안병기,♠우태율,½,504(15),36.9,10.9,"계란형큰,망사+,망사눈-"
8,9,12,야스,한,암,3세,54,,김옥성,김윤섭,조금제,머리,495(7),48.3,11.4,망사
9,10,1,선봉골드,한,암,3세,54,,이기회,박천서,한영석,1¼,456(10),10.7,3.0,
10,11,7,다모아트리플,한,수,3세,56,,김귀배,손영표,박흥길,6,484(-1),95.0,28.2,
11,,11,베스트포스,한,거,4세,56,,부민호,심승태,♠박정재,주행중지,449(4),9.4,2.2,"계란형큰,망사"
0,1,9,옐로우캣,한,암,3세,53,31,다실바,서인석,♠박성구,,521(1),5.4,2.0,"계란형큰,망사눈"
1,2,7,조이풀케이,한,암,4세,54.5,34,안토니오,강환민,♠강경운,1¼,465(3),3.0,1.7,"계란형큰,망사"
2,3,3,대완구,한,거,3세,57,35,장추열,김동균,♠김진영a,1¼,438(-4),5.2,1.7,망사
3,4,5,예스아이캔,한,거,3세,55,31,박현우,안해양,김길중,2,480(0),20.9,5.6,망사눈
4,5,10,베스트탑,한,수,4세,56.5,34,송재철,이희영,베스트샤인조합,¾,505(11),8.0,2.6,망사
5,6,6,그레이캣,한,수,3세,54,29,다비드,서홍수,♠김명식,½,454(3),14.9,4.9,"계란형큰,망사눈"
6,7,12,별빛보석,한,수,3세,53.5,28,김용근,신삼영,이장운,4,473(7),9.7,3.5,"망사눈,반가지큰"
7,8,2,스피어건,한,수,3세,53.5,28,함완식,유재길,♠김영완,코,478(-2),22.5,4.1,"계란형큰,망사눈"
8,9,8,럭셔리킹,한,수,3세,54.5,30,김효정,김동철,♠김명식,¾,461(-2),100.7,17.4,
9,10,1,흑룡가무,한,거,3세,54.5,30,문성혁,서인석,정승희,1¾,479(-6),11.7,2.3,"망사눈,자극판"
10,11,4,실버드래곤,한,거,5세,54.5,30,정정희,임봉춘,♠윤우환,1½,481(4),61.2,10.7,"망사눈,반가지큰"
11,12,11,아델나래,한,거,3세,55.5,32,이용호,송문길,♠이종훈,½,502(3),23.8,6.0,망사눈
0,1,12,루미너스퀸,한,암,3세,54,31,김용근,신삼영,♠손학봉,,459(-20),3.8,1.5,망사
1,2,5,성실머니,한,암,4세,52,27,문세영,박윤규,♠이동훈,5,541(1),3.8,1.6,"망사눈,승인편자"
2,3,8,그린폭주,한,암,3세,56,35,박을운,홍대유,♠김재영b,½,471(-7),7.7,2.1,
3,4,10,섀도우퀸,한,암,4세,54.5,32,유승완,신삼영,링크폴로,1,476(2),20.1,4.3,"계란형큰,눈가면"
4,5,6,별빛마루,한,암,2세,53.5,32,임기원,박재우,♠서순배,2,467(12),3.9,1.7,망사눈
5,6,2,빅리버,한,암,4세,55,33,문성혁,서인석,♠이종욱,½,507(-3),34.4,7.6,"계란형큰,망사눈"
6,7,9,리마커블,한,암,2세,51,28,(-4)김아현,지용철,♠조용학,1,490(-2),16.9,4.2,망사
7,8,3,보리보리,한,암,3세,52.5,28,정정희,임봉춘,피닉스,1¼,411(0),87.4,13.3,눈가면
8,9,1,불의여왕,한,암,3세,55.5,34,조상범,손영표,박흥길,목,483(-9),6.9,1.9,"계란형큰+,망사"
9,10,7,은혜파도,한,암,4세,54.5,32,송재철,김동철,강태구,2,415(-12),38.5,9.7,망사
10,11,11,히어로스피드,한,암,3세,54,31,다비드,최용건,♠고재완,1¼,434(-1),70.5,15.7,"계란형큰,망사눈"
11,,4,남산초콜릿,한,암,3세,53.5,30,안토니오,토니,♠이기선,출전취소,(0),----,----,"계란형큰,망사,혀끈"
0,1,11,모닝힐,한,거,3세,54,40,문성혁,서인석,♠최상기,,488(-1),4.6,1.9,눈가면
1,2,10,마이멤버,한,암,4세,51.5,41,(-1)임다빈,정호익,♠백국인,8,478(-4),90.8,13.7,"눈가면,반가지큰"
2,3,1,사려니퀸,한,암,4세,51.5,39,임기원,구자흥,♠오영익,½,462(-5),2.2,1.2,망사눈
3,4,6,에이스프린스,한,수,3세,52.5,37,박태종,최봉주,♠우상우,코,505(11),15.1,3.0,망사눈
4,5,3,눈부신한센,한,암,4세,56,48,장추열,우창구,이주경,1,482(-6),6.5,2.2,"망사눈,반가지큰"
5,6,7,초토마,한,거,4세,52.5,37,유승완,전승규,♠박남성,¾,487(3),8.3,2.6,"Triabit ,망사눈"
6,7,8,머니챔프,한,거,4세,56.5,45,송재철,김동균,♠최임규,목,470(-5),81.9,19.1,"계란형큰,망사눈"
7,8,5,천둥여울,한,암,4세,55,46,김동수,최용건,♠김광명,½,477(-2),14.9,4.0,망사눈
8,9,9,러닝킹,한,수,3세,53.5,39,김용근,지용철,♠오종환,1¼,515(3),17.3,3.5,"계란형큰,망사"
9,10,4,가나파크,한,암,4세,*52,38,먼로,안해양,♠김한수,6,481(-3),17.3,2.4,
10,11,12,솔개바람,한,암,5세,*52,36,조한별,이희영,♠이종욱,5,486(4),124.2,14.5,계란형큰
11,12,2,굿바우,한,암,4세,52.5,41,다비드,이희영,이재상,3,490(-17),50.3,13.5,망사눈
0,1,8,문학보스,미,거,4세,57,63,문세영,박종곤,♠권경자,,467(3),8.9,2.2,
1,2,11,멋진왕자,미,수,4세,58,65,안토니오,박윤규,정기찬,1¼,510(2),12.1,2.7,
