,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,6,피케이군황,한,거,3세,56,,윤태혁,김동균,♠김태성,,459(0),7.7,1.7,"망사눈, Triabit"
1,2,9,최강매직,한,수,3세,56,,빅투아르,리카디,♠함춘,2½,450(0),16.4,2.6,망사눈
2,3,5,천하여제,한,암,3세,54,,이동하,지용철,♠금악목장,2,496(3),2.4,1.4,
3,4,2,백색광채,한,수,3세,55,,(-1)김효정,배대선,미리내,¾,491(-6),3.5,1.3,망사
4,5,8,새내플래시,한,수,3세,53,,(-3)김덕현,홍대유,♠문금철,1,479(-5),34.0,6.0,
5,6,1,원더풀팡팡,한,암,3세,54,,김용근,김학수,♠이혜란,1¾,509(0),3.9,1.5,망사눈
6,7,10,풍문으로,한,암,4세,54,,이준철,김대근,박치문,3,470(-9),34.9,5.3,
7,8,3,한얼스타,한,암,3세,53,,(-1)조상범,사이먼,나종용,9,424(0),93.7,16.5,"혀끈, Triabit"
8,9,4,컬러즈킹,한,거,3세,56,,신형철,김윤섭,이재진,4,499(-2),72.7,9.2,
9,10,7,원더풀브라보,한,수,3세,56,,라이언,최영주,임흥호,1¾,465(9),53.1,10.5,"반가지큰, 눈가면"
0,1,5,로열스마티,한,수,3세,56,,이준철,김대근,신상섭,,458(0),2.2,1.2,망사눈
1,2,2,블루대자연,한,거,3세,56,,김정준,배휴준,황철연,5,467(-5),5.6,1.7,"계란형큰, 눈가면"
2,3,8,비르투스,한,암,3세,54,,유승완,홍대유,양경필,¾,515(17),4.2,1.3,
3,4,4,스터닝어게인,한,거,3세,56,,라이언,서범석,♠청팅콩,2½,470(5),19.6,3.7,"계란형큰, 망사눈"
4,5,3,아리산,한,수,3세,56,,하정훈,박천서,♠청수,¾,470(-5),92.9,13.0,
5,6,6,레드선,한,거,3세,55,,(-1)조상범,사이먼,♠이시돌협회,1¼,478(6),4.6,1.5,Triabit+
6,7,7,천년의고도,한,수,3세,55,,(-1)김효정,배대선,♠류주영,목,458(0),15.2,2.4,망사
7,8,1,추석달,한,암,3세,54,,안토니오,안해양,말사모,5,469(-3),51.2,8.8,
0,1,3,스피드벨,한,거,3세,54.5,31,이동하,임봉춘,♠최몽주,,464(4),4.0,2.1,
1,2,4,사사,한,암,3세,52,35,(-3)김덕현,박재우,이종천,2,470(-9),3.0,1.4,망사눈
2,3,6,대천보우,한,암,3세,55,35,이현종,서인석,♠김경민,½,486(-11),6.7,2.3,
3,4,2,대천히어로,한,거,4세,55.5,33,라이언,박희철,고양진,½,458(-3),12.4,2.5,눈가면
4,5,12,페더럴캣,한,수,3세,52,26,김용근,지용철,♠금악목장,½,495(-8),23.5,5.3,"계란형큰, 망사눈"
5,6,11,해왕,한,수,3세,54,30,박을운,김동철,♠김선식,1½,496(-1),9.5,2.2,망사눈
6,7,10,피케이전사,한,거,3세,52.5,27,하정훈,김동균,♠김태성,¾,476(4),18.9,4.7,망사눈
7,8,5,드래곤보트,한,거,3세,53.5,29,다비드,최영주,♠박성구,1,478(-4),6.3,2.1,"계란형큰, 망사눈"
8,9,1,금아클리프,호,수,5세,53,30,(-1)김효정,배대선,♠금아산업(주),½,455(2),41.3,9.6,망사
9,10,8,럭키마이더스,한,수,3세,53.5,29,김정준,김윤섭,♠조창규,½,458(6),86.5,18.8,
10,11,9,골드파티,한,암,3세,52,29,송재철,송문길,♠박정재,4,480(5),31.6,6.1,
11,12,7,천록,한,암,3세,*52,27,안효리,최봉주,조금제,1¼,461(-7),63.4,13.4,눈가면
0,1,5,컬러풀조이,한,수,3세,55.5,31,김용근,박대흥,이원태,,499(2),1.1,1.1,망사눈
1,2,4,승리플러스,한,수,4세,55.5,31,안토니오,이관호,강수덕,7,509(8),13.8,2.3,"계란형큰, 망사"
2,3,7,내가끝판왕,한,거,4세,52,26,(-1)김효정,배대선,♠김진영a,1¾,452(-2),43.4,5.2,
3,4,3,희망스타,한,암,4세,*52,26,김정준,김학수,♠(주)녹원목장,½,442(4),19.6,2.2,망사눈
4,5,11,불의퀸,한,암,3세,52,27,유승완,손영표,신상섭,목,451(-3),25.4,3.2,"계란형큰, 망사눈"
5,6,2,글로리번,한,암,4세,*52,26,박병윤,정호익,정범성,¾,439(1),91.8,14.0,망사
6,7,10,라스트콘서트,한,암,4세,51.5,26,정정희,김점오,♠강균호,2½,534(-13),102.4,8.5,
7,8,12,한일매직,한,수,5세,54,28,박상우,김대근,한일사료,¾,452(-5),130.2,10.0,
8,9,1,스피드흑룡,한,거,3세,54.5,29,빅투아르,이신영,과천시청,2,498(-7),11.6,2.3,"망사, 혀끈,계란형큰-"
9,10,9,더파이널,한,암,4세,55,33,송재철,임봉춘,♠지대섭,4,470(1),60.1,4.2,망사눈
10,11,6,초원마루,한,암,3세,53,29,이동하,우창구,조홍구,2½,505(-12),24.9,2.8,망사눈
11,12,8,큐피드초이스,한,암,3세,52,27,방춘식,박흥진,♠서순배,1¾,442(4),44.9,8.9,망사
0,1,1,플로리다파워,미,암,3세,52,40,유승완,이신영,♠태립,,479(-12),15.1,3.6,"계란형큰+, 망사"
1,2,10,강화총각,한,수,4세,55,42,이철경,서인석,서운석,4,432(-1),4.2,1.5,"계란형큰, 망사눈"
2,3,7,피엔에스제프,아일,거,3세,53,38,빅투아르,박재우,♠피엔에스홈즈,머리,430(-7),26.2,5.7,
3,4,5,승리기억,호,수,5세,55,47,(-1)조상범,사이먼,♠함춘,½,498(0),5.2,1.7,"혀끈, Triabit, 눈가면"
4,5,6,드림영천,한,수,6세,56,50,(-1)이동진,박대흥,영천시청,2,494(-2),16.1,2.8,계란형큰
5,6,12,더스파이커,미,수,3세,57,50,김용근,이신영,일진코스메틱,1¾,457(-10),1.9,1.0,"계란형큰,망사+,망사눈-"
6,7,2,리암스무니,미,거,3세,54,40,정정희,서인석,이유환,3,503(-4),16.4,3.0,"계란형큰, 눈가면"
7,8,11,불굴의러너,호,거,3세,52,38,이현종,김점오,이미양,코,490(-6),71.1,13.4,"반가지큰, 망사눈"
8,9,4,클린업히어로,미,수,5세,54,49,(-3)김덕현,강성오,♠민형근,½,528(-9),46.9,9.0,
9,10,8,다다비,미,거,3세,53,36,최원준,손영표,김재용,머리,443(-9),147.7,43.5,"계란형큰, 망사눈"
10,11,9,천운동행,미,암,3세,51,34,이동하,최봉주,조금제,½,434(-3),96.7,20.5,"계란형큰, 눈가면"
