,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,10,삼상,한,암,3세,54,,김용근,임봉춘,이종천,,474(5),98.7,11.4,"계란형큰+, 망사,반가지큰-"
1,2,6,리멤버웬,한,암,4세,54,,이현종,리카디,♠함춘,¾,478(4),2.4,1.0,"계란형큰+, 망사"
2,3,8,쿨프린세스,한,암,3세,54,,권석원,임채덕,이용대,¾,477(-7),26.9,2.7,"계란형큰, 망사,혀끈+"
3,4,5,원더풀리버,한,암,3세,54,,조상범,배휴준,지경미,3,479(3),228.7,3.7,망사눈
4,5,4,골드스파이크,한,암,3세,54,,우에다,송문길,박복용,1¼,478(0),2.8,1.6,"망사, 반가지큰"
5,6,13,그린최강,한,암,3세,54,,김정준,홍대유,♠김재영b,목,460(-2),13.9,3.5,눈가면
6,7,7,신데렐라,한,암,4세,54,,이철경,서홍수,이본희,1¼,424(-6),3.9,2.5,"반가지큰, 망사눈"
7,8,2,파이널에이스,한,암,4세,50,,(-4)김아현,조현수,♠김선식,½,488(-2),23.6,2.5,"계란형큰, 망사눈"
8,9,14,농본락,한,암,4세,54,,방춘식,배대선,♠김용래,½,419(-4),51.3,15.0,망사
9,10,3,고어헤드,한,암,4세,54,,박을운,서정하,♠오종택,3,471(0),89.8,9.1,"망사, 반가지큰"
10,11,11,패밀리스타,한,암,4세,54,,김귀배,손영표,류재욱,6,447(-1),85.3,60.5,
11,12,12,원더풀원더,한,암,3세,54,,문정균,최봉주,윤지중,목,465(7),173.5,69.5,"계란형큰, 망사눈"
12,13,1,호크퀸,한,암,3세,54,,정평수,지용철,♠코리아호스랜드,1½,458(5),186.3,7.2,망사
13,,9,리드보컬,한,암,3세,54,,임기원,안병기,♠강현철,출전제외,496(2),----,----,망사눈
0,1,8,보고또보고,한,거,4세,56,,김덕현,임봉춘,김진태a,,505(-4),46.7,5.7,
1,2,10,스마트오피서,한,암,3세,54,,문성혁,전승규,♠(주)자성실업,머리,481(9),2.5,1.7,"망사눈, Triabit"
2,3,5,장산가드,한,수,3세,56,,문세영,강환민,♠김병진,1¼,507(4),2.0,1.1,"계란형큰, 망사눈"
3,4,7,베스트포스,한,거,4세,56,,박을운,심승태,♠김태성,3,444(0),10.3,2.0,"계란형큰, 망사"
