,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,3,코인블레이드,한,수,4세,56,,유승완,이신영,♠김병진,,479(13),29.1,17.5,망사+
1,2,7,글로벌왕자,한,거,4세,56,,신형철,최상식,♠장재형,¾,507(0),14.6,17.5,망사눈
2,3,2,와일드우즈,한,거,3세,56,,박현우,최용구,♠최동근,코,485(11),7.3,1.0,"망사눈+,망사-"
3,4,4,회복,한,수,3세,56,,김덕현,박재우,이종천,목,495(3),29.1,1.0,
4,5,6,파란왕자,한,수,3세,56,,김동수,박병일,박기태,¾,484(9),1.4,4.0,"계란형큰, 눈가면"
5,6,12,샤인뮤직,한,암,3세,54,,김정준,심승태,♠김용래,3,447(4),11.2,1.0,눈가면
6,7,8,스피드마운틴,한,수,4세,56,,조상범,조현수,♠최몽주,목,508(4),29.1,17.5,"계란형큰, 망사눈"
7,8,1,재능충만,한,암,4세,54,,조한별,유재길,♠허건호,2½,472(19),48.5,13.1,망사눈
8,9,9,논스톱위닝,한,거,4세,56,,이혁,유재길,♠태희종합건설,2½,454(8),18.2,17.5,망사눈
9,10,10,쿠레레쿠스,한,수,3세,56,,이현종,이관호,♠이재원,4,490(-11),48.5,17.5,"계란형큰+,망사눈+,망사-"
10,11,11,천사의별,한,거,3세,54,,(-2)문성혁,김동철,♠김선식,½,468(1),48.5,17.5,"계란형큰+, 망사"
11,12,5,다이아별빛,한,거,3세,56,,김효정,배대선,강종우,코,467(-18),48.5,17.5,망사눈-
0,1,12,화씨벽,한,암,3세,54,,안토니오,우창구,♠장수영,,438(8),7.1,4.1,망사눈+
1,2,9,백두와한라,한,암,3세,54,,김동수,박병일,♠이관형,1,432(-13),5.0,4.1,"계란형큰, 눈가면"
2,3,8,라온블러드,한,암,3세,54,,조상범,안병기,♠라온건설,1½,472(-9),2.1,1.5,망사눈
3,4,4,그린볼트,한,암,3세,54,,신형철,홍대유,♠김재영b,1½,503(-14),80.4,4.1,망사+
4,5,1,엘리트어게인,한,암,3세,54,,방춘식,유재길,오왕근,1¼,480(12),80.4,4.1,
5,6,3,터치마이아델,한,암,4세,54,,유승완,송문길,♠이종훈,1¼,487(-5),3.8,4.1,망사
6,7,2,강철다리,한,암,3세,54,,안효리,서정하,♠공이공팔,머리,472(6),23.0,4.1,"계란형큰, 망사"
7,8,5,원더풀캣,한,암,3세,54,,박현우,최용구,♠(주)녹원목장,2½,428(15),35.7,1.5,망사
8,9,6,임페리얼실크,한,암,3세,54,,이현종,정호익,♠마칭,3,518(5),32.2,4.1,
9,10,10,일기비호,한,암,3세,54,,박상우,배휴준,명인환,3,455(6),80.4,4.1,망사
10,11,11,엑설런트하이,한,암,3세,54,,이동국,심승태,류재욱,4,470(5),80.4,4.1,눈가면+
11,12,7,삼포여걸,한,암,3세,54,,문정균,최상식,♠강석대,7,482(17),64.3,4.1,망사
0,1,9,와일드킹덤,한,수,3세,56,,조재로,배휴준,양현모,,533(4),2.5,1.2,"망사, Triabit"
1,2,2,록뉴스,한,거,3세,55,,이혁,정호익,최종환,8,506(7),9.4,1.2,망사눈
2,3,1,영주스톤,한,수,3세,55.5,,김덕현,서정하,유영준,1¼,471(2),9.4,1.2,"망사, 반가지큰"
3,4,6,블루참,한,수,3세,56,,이강서,송문길,♠김세민,¾,516(-7),4.2,1.2,
4,5,11,케이엔원더풀,한,거,3세,55,,안토니오,박대흥,♠조경수,1¾,502(0),7.2,6.6,"계란형큰, 양털코"
5,6,3,녹리총,한,암,3세,53,,송재철,송문길,♠이긍열,목,473(-18),50.1,46.3,
6,7,10,천총,한,수,3세,55,,김귀배,최봉주,조금제,½,452(-3),50.1,46.3,망사눈
7,8,7,천마여제,한,암,3세,51,,(-2)문성혁,서인석,천병득,7,468(4),50.1,46.3,망사눈
8,9,12,원퍼트,한,수,3세,55,,김옥성,지용철,박시용,¾,499(0),50.1,46.3,"계란형큰,망사눈-"
9,10,4,구름바다,한,거,3세,55,,이현종,서인석,♠이관형,2½,507(-6),7.2,7.3,"계란형큰, 눈가면"
10,11,8,금당나래,한,암,3세,53,,최범현,안해양,♠공이공팔,½,430(5),50.1,46.3,
11,12,5,소모에이스,한,거,3세,55,,유승완,이신영,신준수,26,478(-4),50.1,46.3,"눈가면+,계란형큰-,망사눈-"
0,1,2,올백,한,암,3세,54.5,32,송재철,강성오,♠이긍열,,470(-5),8.6,1.3,"반가지큰, 눈가면"
1,2,10,레인케이,한,암,3세,53,29,유승완,송문길,♠강경운,6,467(-6),5.8,2.4,망사눈
2,3,1,최강마,한,암,3세,56,35,이현종,최영주,말사모,1¼,448(2),8.6,2.4,
3,4,4,프리티조이,한,암,4세,53,33,(-2)문성혁,전승규,박태준,8,456(8),1.6,1.7,"망사눈, Triabit"
4,5,3,디에코,한,암,3세,52,27,조한별,김대근,♠안희철,½,439(-2),66.4,10.3,
5,6,11,백산선더,한,암,3세,52,27,권석원,리카디,♠이용식,¾,459(9),88.5,10.3,
6,7,8,피스오브룰즈,한,암,4세,53,29,김동수,김동균,♠이혜란,3,466(-6),19.0,2.4,
7,8,5,엄지여왕,한,암,5세,52,27,김효정,배휴준,서상주,½,479(-4),88.5,10.3,"계란형큰, 눈가면"
8,9,6,시베리아,한,암,3세,53,29,김정준,김윤섭,조금제,1¼,439(-2),44.3,10.3,계란형큰-
9,10,12,코일로,한,암,4세,56,35,다비드,토니,♠이혜란,2,504(-2),66.4,10.3,"계란형큰, 혀끈,눈가면+,망사-"
10,11,9,원앤온리,한,암,3세,52.5,28,이혁,지용철,♠조용학,3,488(6),16.6,2.4,눈가면
11,12,7,빅플랜,한,암,3세,53.5,30,방춘식,이희영,김재성b,4,481(6),33.2,3.9,눈가면
0,1,7,천년의바람,한,거,4세,55,30,다비드,임봉춘,♠류주영,,487(-7),7.5,2.9,"혀끈+,반가지큰-,눈가면-"
1,2,1,탱크삭스,한,암,3세,52.5,28,조상범,강환민,♠김창식,4,460(6),17.9,5.0,망사+
2,3,4,하이비트,한,거,5세,57,34,김정준,심승태,류재욱,½,499(-6),22.6,6.1,Triabit
3,4,2,천은짱,한,암,4세,53,29,조재로,최봉주,조금제,¾,423(-2),24.2,7.2,"계란형큰, 망사눈"
4,5,6,송암바비,한,암,5세,*52,23,이강서,유재길,지원철,1¾,467(10),24.2,7.2,
5,6,3,이스트챔프,한,수,3세,54.5,29,안토니오,정호익,♠김영구,목,461(11),2.6,1.0,눈가면
6,7,10,와니케이,한,암,5세,52.5,28,지하주,유재길,♠김영완,½,457(12),5.3,7.2,"반가지큰, 눈가면"
7,8,12,삼성비바,한,수,3세,56,32,송재철,박천서,♠한명로,코,488(4),11.3,4.7,"반가지큰, 망사눈"
8,9,9,당대질주,한,암,4세,*52,24,최범현,안해양,조성옥,1¼,463(8),26.1,7.2,"계란형큰, 망사눈"
9,10,11,드림머니,한,거,4세,54.5,29,이동진,박윤규,♠박덕희,3,481(11),8.7,3.0,망사눈
10,11,5,맹산히어로,미,수,4세,53,26,조한별,지용철,♠조용학,3,500(8),18.8,5.0,Triabit
11,12,8,백제의꿈,한,암,3세,52.5,28,김효정,김학수,♠이혜란,¾,461(-16),14.7,3.8,
0,1,4,머니지프,한,거,5세,53,40,이동하,배대선,강종우,,468(-3),13.6,1.0,망사눈
1,2,6,정상만세,한,수,6세,53,40,송재철,박희철,♠정동진,1¼,503(-10),13.6,6.2,"계란형큰, 망사눈"
2,3,7,컴플리트캡틴,한,수,3세,56,46,김덕현,박재우,♠장석영,2,513(1),4.5,3.1,눈가면
3,4,8,인듀어런스,한,수,4세,51,36,방춘식,지용철,♠조용학,2,544(4),13.6,4.7,
4,5,10,맘마로마,한,암,4세,53,43,빅투아르,리카디,♠김용래,½,483(7),13.6,6.2,"망사, 혀끈"
5,6,12,델타케이,한,거,6세,55.5,45,신형철,곽영효,♠강균호,2,513(24),13.6,6.2,"계란형큰+, 망사눈,반가지큰-"
6,7,2,글로벌천하,한,수,4세,56,46,이혁,최상식,♠장재형,1,484(2),4.5,3.1,망사눈
7,8,5,우대륭,한,암,4세,51.5,40,조상범,안병기,임흥호,1,497(19),13.6,4.7,"망사+,망사눈-"
8,9,11,원더풀루비,한,암,4세,*52,37,조재로,배휴준,♠지대섭,½,470(24),13.6,6.2,"망사, Triabit"
9,10,3,불의퀸,한,암,4세,54,45,다비드,손영표,신상섭,1½,466(11),4.5,3.1,"계란형큰, 망사눈"
10,11,9,마하승리,한,수,5세,57,48,이동국,심승태,장철환,1¼,485(2),13.6,6.2,"계란형큰, 망사눈"
11,,1,금아슈프림,한,거,4세,52.5,39,김동수,박천서,♠금아산업(주),출전제외,480(7),----,----,"반가지큰, 망사눈"
0,1,4,더더비,미,거,4세,54,37,다비드,손영표,김재용,,495(3),16.0,4.2,"계란형큰, 망사눈"
1,2,3,돌아온뽀빠이,미,거,3세,55,41,박현우,최용구,이영해,목,492(6),16.0,4.2,"계란형큰, 망사눈"
2,3,1,선포레,미,거,3세,54,36,안토니오,배휴준,서상주,1¼,464(8),16.0,9.8,"눈가면+,망사눈-"
3,4,2,큐피드데이트,한,거,5세,56,46,조한별,유재길,♠태립,목,458(-2),16.0,9.8,망사눈
4,5,10,챔프케이,한,수,4세,55,41,신형철,김윤섭,♠강경운,5,472(-9),16.0,9.8,"계란형큰, 망사눈"
5,6,7,아르폰스,미,수,4세,54,37,김옥성,서정하,유정희,½,458(-3),16.0,4.2,
6,7,11,캡틴삭스,미,수,4세,55,40,조상범,강환민,♠김창식,6,462(-3),16.0,9.8,"계란형큰, 승인편자"
