,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,4,팀임팩트,한,수,3세,56,,김용근,이준철,♠박재홍,,492(11),15.9,3.1,망사눈
1,2,13,클레어베스트,한,수,3세,56,,김정준,송문길,♠박민지,6,501(18),7.8,2.3,
2,3,8,글로벌보배,한,수,3세,56,,김동수,최상식,♠장재형,½,434(3),7.0,1.8,망사눈
3,4,6,콩코드퀸,한,암,3세,54,,송재철,안병기,김순건,3,504(1),6.2,2.1,"망사눈,계란형큰-"
4,5,2,남산호랑이,한,수,3세,56,,빅투아르,리카디,♠이기선,2½,491(-3),2.3,1.2,"계란형큰,망사눈+,혀끈+,양털코-"
5,6,3,에이스플랜,한,수,3세,56,,함완식,홍대유,♠황봉기,1¾,493(0),3.9,1.5,망사눈
6,7,7,송암아치걸,한,암,3세,54,,정정희,강환민,♠송암축산,½,453(5),111.6,14.5,"망사+,계란형큰-,망사눈-"
7,8,9,나올세상,한,암,3세,54,,문성혁,서인석,♠이경호a,2½,443(-5),58.4,8.1,
8,9,5,뉴청파,한,수,3세,55,,(-1)임다빈,최영주,김창국,2,463(0),172.7,41.2,망사눈
9,10,11,체인저,한,거,3세,56,,김태훈,박천서,천병득,¾,482(-5),40.5,6.4,"눈가면+,자극판,망사눈-"
10,11,1,로즈골드,한,거,3세,56,,김옥성,임채덕,황혜정,8,454(-12),173.6,26.6,"망사눈,계란형큰-"
11,12,10,피엔에스싱,한,암,3세,54,,박상우,배휴준,♠피엔에스홈즈,7,451(-1),367.3,24.2,망사
12,13,12,엔비전사,한,수,3세,56,,조한별,이관호,♠김용래,목,496(0),367.3,58.3,"망사눈,반가지큰"
0,1,6,라이징호크,한,암,3세,54,,다비드,리카디,♠홍종철,,463(-1),6.7,1.7,"계란형큰,혀끈"
1,2,3,햇무리,한,거,3세,56,,최범현,곽영효,김조은,1¼,509(-7),3.0,1.5,"계란형큰,망사눈+"
2,3,2,베스트전사,한,수,3세,56,,빅투아르,박재우,♠박정재,목,499(-4),20.1,4.2,망사
3,4,10,케이엔스케치,한,수,3세,56,,김정준,박대흥,♠조경수,5,496(-2),7.0,1.9,"망사눈+,망사-"
4,5,11,모닝파이브,한,암,3세,54,,이현종,서인석,♠최상일,1¾,428(-1),28.3,4.1,
5,6,8,불의질주,한,수,3세,55,,(-1)임다빈,임채덕,♠황경호,1½,490(-9),55.2,11.0,"가지+,망사눈"
6,7,4,머스탱파워,한,수,3세,56,,송재철,강환민,이영성,3,471(-2),2.8,1.3,"계란형큰,망사"
7,8,13,나올킹,한,수,3세,56,,박을운,심승태,♠이경호a,2,515(-5),21.4,4.9,"계란형큰,망사눈+"
8,9,5,매직신화,한,수,3세,56,,함완식,최영주,김근영,1,474(2),107.8,39.2,
9,10,9,피엔에스더킹,한,거,3세,56,,김옥성,손영표,♠피엔에스커튼월,2½,502(-1),117.0,24.5,망사
10,11,12,동방사기,한,암,3세,54,,유승완,김윤섭,♠함평제일,3,487(-3),72.3,22.5,눈가면
11,12,7,거센강자,한,암,3세,54,,이용호,이신영,♠강석대,5,461(-5),97.8,14.4,
12,13,1,영블러드,한,수,3세,56,,문성혁,김동철,♠김선식,47,475(-1),13.1,3.7,"망사+,반가지큰"
0,1,7,메이블레이드,한,암,3세,54,,김용근,이준철,♠김형란,,433(2),3.6,1.7,눈가면
1,2,11,원더풀우먼,한,암,4세,54.5,,빅투아르,조현수,♠김선식,2½,495(-3),4.0,1.5,"계란형큰,망사눈+,망사-"
2,3,5,허니펀치,한,암,3세,54,,문성혁,김동균,김봉섭,4,485(-1),15.0,3.6,망사눈
3,4,1,원더풀하와이,한,암,4세,54.5,,부민호,서범석,♠지대섭,1,401(1),4.5,1.9,망사눈
4,5,6,헬로금성,한,암,5세,54.5,,박병윤,김윤섭,♠조창규,3,476(2),68.6,9.4,망사
5,6,9,이스트매직,한,암,4세,54.5,,정정희,박재우,♠김영구,코,493(5),13.4,3.5,망사눈
6,7,12,케이엔포스트,한,암,4세,54.5,,유승완,박대흥,♠조경수,2½,463(14),5.3,1.9,
7,8,4,화려한미소,한,암,4세,54.5,,김정준,이신영,♠정영식,1,469(-4),11.1,2.7,혀보정큰
8,9,8,천둥오름,한,암,3세,54,,김효정,토니,♠김광명,¾,410(6),75.8,19.5,"계란형큰,망사눈+,눈가면-"
9,10,3,작두콩,한,암,3세,53,,(-1)임다빈,정호익,♠임한용,1,487(4),32.9,6.5,
10,11,2,무지개공주,한,암,3세,54,,김태훈,박천서,♠김종진,1½,440(-11),97.1,14.5,"눈가면+,반가지큰+,망사눈-"
11,12,10,매직글로리,한,암,3세,54,,이현종,서인석,♠최상일,2½,460(-5),63.8,7.8,망사눈
0,1,2,스피드팔콘,한,암,3세,53,35,함완식,김동균,♠정기환,,482(0),1.4,1.2,망사눈
1,2,14,중추부사,한,암,4세,55,30,다비드,강성오,♠김기종,8,457(-6),23.8,3.0,"계란형큰,망사눈"
2,3,10,불의꽃,한,암,3세,52,28,(-1)임다빈,임채덕,♠황경호,1,484(-1),14.1,4.3,"망사눈,승인편자+"
3,4,13,스마트하이,한,암,4세,55,32,유승완,최용건,김창호,목,488(-3),9.7,2.0,
4,5,9,골드스파이크,한,암,4세,55,32,송재철,송문길,박복용,1¾,480(-11),16.5,2.2,망사눈
5,6,6,온리위너,한,암,5세,55,25,김정준,송문길,♠손병철,코,436(-10),59.9,11.2,
6,7,12,정상제트,한,암,3세,53,30,먼로,박희철,♠정동진,1½,465(-2),63.2,10.5,"계란형큰+,망사눈+,눈가면-"
7,8,8,함평여왕,한,암,3세,53,29,김옥성,최영주,♠함평제일,¾,472(3),47.9,6.7,
8,9,5,원더풀샘,한,암,4세,55,30,김용근,박희철,윤훈열,1,477(-22),87.5,11.7,"계란형큰,눈가면"
9,10,1,폴카,한,암,5세,55,27,문성혁,조현수,정광화,목,442(0),71.8,20.7,"계란형큰,망사눈"
10,11,3,라스트펀치,한,암,3세,53,29,최범현,곽영효,♠강승연,2,453(8),16.0,2.8,망사눈
11,12,11,해피삭스,한,암,4세,55,32,김동수,강환민,♠김창식,½,457(-3),11.7,2.6,망사눈
12,13,7,모닝뉴스,한,암,4세,55,28,김효정,최용건,♠(주)나스카,4,459(2),120.4,16.1,"계란형큰,망사눈+,망사-"
13,14,4,골든찬스,한,암,4세,55,24,조한별,배휴준,양현모,10,512(-10),43.0,9.1,계란형큰
0,1,4,태양타고,한,암,4세,51,27,(-3)김아현,지용철,♠최성룡,,412(-1),20.7,5.7,망사눈
1,2,7,매직조이,한,거,4세,56.5,34,이현종,서인석,♠최상기,1½,528(0),3.9,1.6,"계란형큰,눈가면"
2,3,11,타이탄삭스,한,수,3세,54,30,먼로,이신영,♠김창식,1½,489(0),4.9,1.5,망사눈+
3,4,12,머니가락,한,거,4세,54.5,30,김효정,배대선,박상헌,1,445(0),7.8,2.6,망사
4,5,3,좋은관계,한,수,4세,54,29,유승완,신삼영,유영준,1¼,502(5),7.1,2.6,"눈가면+,망사-"
5,6,2,아델나래,한,거,4세,56,33,송재철,송문길,♠이종훈,½,497(-1),27.7,7.3,"망사+,망사눈-"
6,7,8,정문폭주,한,수,4세,55,31,이용호,홍대유,♠김재영b,¾,510(6),63.0,11.6,망사
7,8,6,금성맨,한,수,3세,54,30,박병윤,김윤섭,♠조창규,3,486(-4),23.5,5.7,망사
8,9,9,세명나래,한,암,4세,52,29,김옥성,배휴준,이기철,½,478(-8),22.4,6.0,"계란형큰,눈가면"
