,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,9,조이풀케이,한,암,3세,54,,최범현,강환민,♠강경운,,456(-4),2.1,1.0,"계란형큰, 망사"
1,2,3,컴플리트스타,한,암,2세,53,,임기원,박재우,♠장세준,4,477(-9),4.0,1.7,망사+
2,3,4,대천얼짱,한,수,2세,55,,김용근,최봉주,♠김경민,½,500(16),6.2,1.9,망사눈
3,4,7,록파이터,한,수,2세,55,,김동수,최상식,♠강승연,½,486(-4),10.2,2.0,눈가면+
4,5,5,새내윈,한,수,2세,55,,김옥성,홍대유,♠문금철,2,469(-9),8.3,9.8,망사눈
5,6,10,영앤리치,한,수,2세,55,,함완식,강성오,♠씨유네트워크,1¼,476(7),59.6,8.6,
6,7,14,리쉬부르,한,거,4세,56,,박병윤,박천서,♠박병룡,3,478(-9),354.0,13.0,"망사눈, 혀끈"
7,8,8,빅포스원,한,암,3세,54,,조상범,구자흥,♠서정범,½,506(-5),27.7,4.6,"계란형큰, 망사"
8,9,13,멜로디퀸,한,암,2세,53,,박상우,유재길,♠김명식,3,391(-19),17.9,11.7,
9,10,12,아이언로즈,한,암,2세,53,,김정준,신삼영,♠김선식,¾,473(-11),189.1,21.7,망사눈
10,11,6,적광,한,수,4세,56,,김효정,우창구,안영환,2½,552(1),168.2,12.6,
11,12,11,삼부다이아,한,암,3세,54,,안효리,서홍수,김봉섭,11,415(-3),104.6,30.8,"계란형큰,망사눈-"
12,13,2,차밍붐,한,암,2세,53,,장추열,정호익,♠양순희,머리,442(-14),69.7,6.8,망사눈
13,14,1,이스트트로스,한,암,2세,52,,(-1)문성혁,서인석,♠김영구,½,520(-2),131.8,30.1,
0,1,7,캐치참,한,암,2세,53,,문세영,강성오,♠김세민,,459(-3),1.3,1.1,
1,2,4,스테디챔피언,한,수,2세,55,,신형철,김점오,♠신우철,3,511(-8),11.7,2.1,망사+
2,3,6,남산드림,한,암,2세,53,,다비드,토니,♠이기선,2½,497(7),18.2,1.2,"계란형큰,망사눈+,망사-"
3,4,14,비엔토,한,암,2세,53,,부민호,심승태,♠선우파워텍(주),코,445(-19),23.3,2.5,"계란형큰+, 망사눈"
4,5,8,어서와,한,수,2세,55,,함완식,강환민,♠강용식,6,476(-7),14.3,18.9,"계란형큰, 망사눈"
5,6,13,논스톱기상,한,수,2세,55,,먼로,신삼영,♠태립,1¾,475(-18),109.2,22.3,망사눈
6,7,12,판타지퀸,한,암,2세,53,,박현우,전승규,♠이경희,목,464(-5),18.5,4.2,망사
7,8,9,스피어건,한,수,2세,55,,이혁,유재길,♠김영완,½,488(3),15.5,3.7,
8,9,1,장산엔진,한,암,3세,54,,김정준,이신영,♠김병진,1¾,470(8),43.8,3.9,망사+
9,10,3,로스트워,한,암,2세,53,,우에다,손영표,♠조창석,4,445(-8),85.3,66.0,
10,11,11,상승행진,한,수,2세,55,,김옥성,지용철,곽태훈,3,469(-10),121.2,31.1,
11,12,5,슈퍼제나이,한,암,2세,53,,이철경,서인석,이용대,3,445(-8),74.7,7.4,망사눈
12,13,2,도원글로리,한,수,2세,55,,박병윤,최봉주,♠양순희,1¼,477(-1),121.2,13.0,망사눈
13,14,10,세명엠파이어,한,암,2세,53,,권석원,신삼영,이기철,9,461(3),107.0,81.0,망사+
0,1,5,와일들리로맨틱,미,수,2세,53,38,임기원,안병기,♠우태율,,454(-1),1.2,1.1,망사눈+
1,2,11,두손장군,미,수,2세,53,38,장추열,정호익,이도명,4,522(19),30.7,1.9,망사눈
