,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,8,스터닝한센,한,암,2세,53,,임기원,김동균,김익영,,476(-8),12.1,2.2,
1,2,6,독보천하,한,암,2세,53,,조재로,배휴준,♠김진영a,1¾,496(2),2.7,1.3,
2,3,10,거센질주,한,암,2세,53,,문세영,이신영,♠강석대,1¼,479(4),3.0,1.1,망사눈
3,4,3,콰이어트아델,한,암,2세,53,,송재철,송문길,♠이종훈,9,490(-1),2.7,1.2,"반가지큰, 망사눈"
4,5,12,컴플리트매직,한,암,2세,53,,김정준,심승태,♠장석영,2½,476(-19),109.6,10.9,
5,6,5,샤이니퀸,한,암,2세,53,,이강서,전승규,♠손병철,5,439(-1),36.4,4.1,Triabit
6,7,9,원더풀맘보,한,암,2세,53,,이동진,박대흥,♠(주)녹원목장,1¾,450(5),76.9,10.1,"계란형큰, 망사눈"
7,8,4,스카이타임,한,암,2세,53,,이혁,김동균,권용수,1¼,501(-3),212.1,25.1,
8,9,2,빅토리질주,한,암,2세,53,,유승완,최영주,♠손병현,½,474(4),70.8,11.5,망사눈+
9,10,1,페더럴검,한,암,2세,53,,하정훈,지용철,♠조창석,½,475(6),73.5,7.6,
10,11,7,강철다리,한,암,2세,53,,박태종,서정하,♠공이공팔,5,463(-2),182.1,25.1,계란형큰+
11,12,11,그린서미트,한,암,2세,53,,다비드,홍대유,♠김재영b,22,472(4),165.8,40.6,눈가면
0,1,12,브레이브퀸,미,암,2세,52,41,김용근,신삼영,♠이장운,,428(2),7.1,2.0,망사
1,2,1,춘산,미,암,2세,52,38,김동수,전승규,♠이관형,코,452(-5),23.0,2.8,혀끈+
2,3,10,다이나믹커밍,미,수,2세,55,43,안토니오,박대흥,이원태,목,513(10),2.2,1.3,"계란형큰, 망사눈"
3,4,9,블루마카롱,미,암,2세,52,38,이준철,김대근,♠최병욱,2½,451(-14),18.3,2.5,
4,5,7,황금럭키,미,수,2세,54,38,먼로,임봉춘,♠송진석,1½,524(3),29.7,3.7,눈가면-
5,6,3,천사박,미,암,2세,52,38,김효정,배대선,♠(주)디알엠씨티,2½,468(-20),140.2,27.1,"계란형큰,망사+"
6,7,8,선우럭키,미,거,2세,54,38,김정준,심승태,♠선우파워텍(주),½,465(-9),64.3,8.6,
7,8,4,문학탭,미,수,2세,54,38,이혁,이희영,♠권경자,3,497(9),13.1,2.5,망사+
8,9,2,엉클벨,미,수,2세,54,38,문세영,이신영,♠오종택,1¼,478(14),2.4,1.2,"계란형큰, 망사"
9,10,6,문학잭팟,미,수,2세,54,38,다비드,홍대유,♠권경자,2½,498(5),120.5,22.9,눈가면
10,11,5,에치드프라임,미,거,2세,54,38,하정훈,박천서,♠김종진,6,496(-3),286.1,36.2,"반가지큰, 눈가면"
11,12,11,코인피버,미,거,2세,54,38,박을운,김동철,♠(주)디알엠씨티,3,472(-6),517.1,73.3,"망사,반가지큰+"
0,1,10,멋진금성,한,수,2세,52,,(-2)김덕현,박재우,♠조창규,,426(6),2.7,1.4,
1,2,12,윈블레이드,한,암,3세,53,,김옥성,최영주,말사모,2½,446(-15),91.3,17.3,
2,3,11,놀부천하,한,수,2세,54,,문세영,지용철,박시용,2½,489(2),8.7,2.5,
3,4,7,테라스피드,한,수,2세,54,,임기원,박재우,선용호,½,467(-7),27.0,4.8,
4,5,9,제이엠파이터,한,수,2세,54.5,,김정준,김윤섭,김재용,1,495(5),6.9,2.1,망사
5,6,1,추석달,한,암,3세,53,,이동진,안해양,박충범,코,449(-14),81.6,16.0,계란형큰
