,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,7,라온더골드,한,암,2세,53,,문세영,박종곤,♠라온건설,,469(11),1.3,1.1,망사눈
1,2,3,와일드삭스,한,수,2세,55,,유승완,이관호,♠김창식,½,472(5),5.2,1.2,망사
2,3,10,플라잉골드,한,수,2세,55,,장추열,강성오,♠김형순,1¼,445(4),52.3,3.1,계란형큰+
3,4,11,장산포이즌,한,수,2세,55,,안토니오,최용건,♠김병진,½,453(19),13.1,2.7,"계란형큰,망사눈+"
4,5,1,빅비트,한,암,2세,53,,빅투아르,지용철,♠오종환,½,521(-2),58.0,7.0,
5,6,8,두손드라이브,한,수,2세,55,,임기원,박재우,이도명,¾,490(-1),58.5,3.9,"망사눈+,망사-"
6,7,4,메이블레이드,한,암,2세,53,,김용근,이준철,♠김형란,1½,442(4),9.5,1.6,망사눈
7,8,5,생일선물,한,암,2세,53,,조한별,안병기,♠우태율,1,442(-4),79.8,7.7,망사
8,9,9,스마티대세,한,암,2세,53,,김동수,박병일,♠에스지이건설,목,437(0),306.4,11.4,망사눈
9,10,6,러너몬스터,한,수,2세,55,,최원준,최영주,말사모,3,443(-3),315.3,33.0,망사눈
10,11,2,인디언선샤인,한,암,2세,53,,김옥성,임채덕,박충범,5,443(7),343.5,18.0,망사눈
11,12,12,아그리워,한,암,2세,52,,(-1)임다빈,이신영,♠라온산업개발(주),6,428(10),265.1,32.2,
0,1,12,포에버칸,한,수,2세,55,,김정준,박병일,강태구,,484(-4),3.6,1.7,망사눈
1,2,6,피엔에스골드,한,암,2세,52,,(-1)임다빈,손영표,♠피엔에스커튼월,1¼,470(1),1.7,1.1,망사
2,3,1,휘파람,한,암,2세,53,,문성혁,조현수,♠(주)나스카,2,456(-1),5.7,1.5,망사
3,4,5,케이엔티즈원,한,수,2세,55,,박태종,박대흥,♠조경수,1,457(-9),75.8,8.0,
4,5,11,쏘아라대로,한,암,2세,53,,하정훈,이준철,현태봉,¾,436(-11),55.0,9.7,
5,6,8,랠리퀸,한,암,2세,53,,유승완,김동균,♠최동근,머리,458(-16),13.9,1.9,망사눈
6,7,2,거센광풍,한,수,2세,55,,김동수,최상식,♠강석대,2,472(-14),294.2,57.6,"계란형큰,망사눈"
7,8,10,서니블레이드,한,암,2세,53,,빅투아르,최용건,♠김병진,코,490(8),17.5,3.1,"계란형큰,눈가면+"
8,9,4,함평여왕,한,암,2세,53,,김용근,최영주,♠함평제일,½,466(-6),27.4,3.7,
9,10,3,워프나인,한,수,2세,51,,(-4)김태희,서인석,홍상기,4,462(8),248.2,23.0,
10,11,7,화랑스토리,한,암,2세,53,,박현우,배대선,♠박웅진,½,428(-11),190.9,11.7,망사
11,12,9,플라잉센걸,한,암,2세,53,,이철경,임채덕,♠김형순,¾,441(0),96.6,14.2,"계란형큰,망사눈"
0,1,2,라온더특급,한,거,2세,55,,문세영,박종곤,♠라온건설,,475(9),4.6,1.5,망사눈
1,2,9,은혜,한,수,2세,55,,안토니오,최용구,강태구,2½,502(6),21.1,3.6,망사눈
2,3,7,갈색향기,한,암,2세,53,,빅투아르,안병기,♠김광명,1¼,468(9),13.9,2.8,망사눈
3,4,8,더페이버릿,한,암,2세,53,,유승완,박재우,♠오종택,1¼,469(-1),3.5,1.4,망사
4,5,1,피엔에스빌,한,수,2세,55,,문정균,유재길,♠피엔에스홈즈,1½,465(-3),10.0,1.6,망사
5,6,3,햇무리,한,거,2세,55,,박태종,곽영효,김조은,1½,514(5),2.0,1.2,계란형큰
6,7,4,위너카이,한,수,2세,55,,김용근,우창구,♠전영범,4,533(6),54.1,9.3,
7,8,10,천둥오름,한,암,2세,53,,하정훈,토니,♠김광명,4,418(2),72.9,10.7,"계란형큰,망사눈"
8,9,5,감곡선샤인,한,암,2세,53,,문성혁,임채덕,손칠규,15,487(-5),121.5,29.0,"망사+,자극판+,가지-,망사눈-"
9,,6,화랑투데이,한,수,2세,55,,장추열,전승규,♠박웅진,출전제외,514(5),----,----,"Triabit ,망사눈"
