,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,4,원더풀라이트,한,암,3세,54,,문정균,최상식,♠변갑한,,465(-7),6.8,2.1,
1,2,10,마루캐슬,한,암,3세,54,,다비드,손영표,류재욱,1¼,490(2),40.8,3.1,
2,3,1,힐링공주,한,암,3세,54,,김덕현,박종곤,이미양,4,428(0),6.8,3.1,"반가지큰, 망사눈"
3,4,5,어메이징위즈,한,암,3세,54,,김정준,송문길,♠최몽주,½,454(0),2.6,1.3,
4,5,2,율소리,한,암,3세,54,,이동하,안병기,♠우태율,1,455(4),40.8,33.6,"계란형큰, 망사눈"
5,6,3,프라임서밋,한,암,3세,54,,이혁,유재길,김영표,목,472(2),2.6,2.1,
6,7,7,은혜파도,한,암,3세,54,,박을운,김동철,한종희,½,442(17),40.8,2.1,
7,8,6,신의축복,한,암,4세,54,,김효정,심승태,김교완,7,482(15),40.8,2.1,Triabit
8,9,9,베스트룰즈,한,암,5세,54,,하정훈,임봉춘,윤지중,목,458(-16),40.8,33.6,"망사눈,반가지큰-"
9,10,8,포스윈,한,암,3세,54,,조상범,박희철,♠강석대,½,491(3),40.8,33.6,망사눈+
10,11,11,올어게인,한,암,3세,54,,박현우,이관호,♠강승연,1½,428(13),40.8,3.1,"망사눈,망사-"
0,1,2,울트라시대,한,암,2세,53,,조상범,안병기,♠조명식,,473(6),17.1,10.8,
1,2,4,아델머스탱,한,수,2세,55,,김용근,송문길,♠이종훈,2,447(6),3.9,10.8,반가지큰
2,3,8,럭키월드,한,수,2세,55,,김동수,김동균,♠윤대우,1¾,458(-9),6.4,10.8,망사눈+
3,4,6,그린짱,한,암,2세,53,,함완식,홍대유,♠김재영b,½,452(8),17.1,1.8,망사눈+
4,5,3,좋은관계,한,수,2세,55,,김정준,신삼영,유영준,½,477(-8),2.2,1.0,망사눈
5,6,1,나인아이,한,수,2세,55,,이혁,지용철,♠금악목장,½,487(2),6.4,3.1,"계란형큰, 망사"
6,7,5,지금여기에,한,수,2세,55,,정평수,지용철,♠최성룡,5,424(-12),17.1,10.8,
7,8,7,크레이지탱크,한,수,2세,55,,유승완,신삼영,♠서창식,1¾,472(-12),17.1,10.8,"계란형큰+,망사+"
0,1,1,킹칸모르,한,수,3세,55.5,,이현종,서인석,이중연,,482(3),1.4,2.8,"반가지큰, 망사눈"
1,2,3,원더풀맘보,한,암,3세,53,,이동진,박대흥,♠(주)녹원목장,7,442(-9),10.1,2.8,망사눈
2,3,8,마칼루파워,한,수,3세,55,,황순도,서홍수,♠김세민,목,450(-2),80.8,2.8,망사
3,4,7,거버넌스,한,암,3세,53,,김정준,박병일,♠김정철,머리,443(-7),80.8,2.8,반가지큰
4,5,5,서울크라운,한,수,3세,55,,이동하,이관호,김진엽,1,493(-3),6.2,1.0,"계란형큰, 망사눈"
5,6,2,큐피드코리아,한,거,3세,55,,김용근,송문길,♠서순배,4,467(-5),4.5,2.8,망사눈
6,7,4,천둥기세,한,수,3세,55,,방춘식,배대선,♠(주)디알엠씨티,14,480(0),80.8,2.8,망사
7,8,6,초동럭키,한,암,3세,53,,김옥성,최영주,♠손병철,¾,467(-12),80.8,2.8,"망사눈+,눈가면-"
0,1,1,초동로켓,한,수,3세,56.5,,김용근,최영주,♠손병철,,524(-3),1.7,1.0,망사눈
1,2,8,하이퍼카,한,수,3세,56,,이동하,배대선,♠장석은,4,459(9),3.7,6.8,
2,3,7,사나래,한,암,4세,54,,하정훈,조현수,박세용,2,476(-2),12.0,6.8,망사
3,4,9,백두거포,한,거,4세,56.5,,조상범,구자흥,♠김봉겸,1¾,478(-5),12.0,6.8,반가지큰
4,5,6,선위너,한,암,4세,53,,이동국,서범석,이신근,1½,463(16),18.0,6.8,
