,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,4,엠제이베스트,한,수,2세,55,,송재철,임봉춘,♠박정재,,473(-8),3.9,1.0,"계란형큰+,망사눈+"
1,2,3,러닝킹,한,수,2세,55,,문세영,지용철,♠오종환,1¼,513(6),1.5,1.0,
2,3,6,메이블루,한,암,3세,54,,이혁,박윤규,♠박덕희,1¼,432(0),5.7,1.6,"계란형큰, 망사"
3,4,2,참일호,한,암,3세,54,,이동진,박대흥,이대봉,4,464(-2),74.4,4.7,
4,5,9,탑퀄리티,한,수,2세,55,,최범현,박종곤,♠김정철,¾,477(-20),50.9,46.6,망사눈+
5,6,5,그레이트한센,한,암,2세,53,,김용근,조현수,♠이혜란,1,434(-2),23.5,4.4,"계란형큰+,망사+"
6,7,10,승리여전사,한,암,3세,54,,권석원,이관호,강수덕,1¼,476(-6),443.7,23.6,망사
7,8,11,그랜드스타,한,수,2세,55,,임기원,박재우,♠박정재,¾,530(12),20.8,3.1,망사+
8,9,12,아킬리온,한,수,2세,55,,김정준,안해양,♠김한수,목,509(9),1129.9,39.5,
9,10,8,새로운군주,한,거,4세,56,,부민호,심승태,권용수,¾,453(11),222.5,12.5,망사
10,11,7,마스터선샤인,한,수,2세,55,,안토니오,서홍수,♠김세민,4,491(-4),821.8,27.0,
11,12,1,퀸오브블루,한,암,2세,52,,(-1)문성혁,전승규,♠김용래,1½,457(3),99.1,13.0,"망사눈,혀끈+,Triabit-"
0,1,8,커리어하이,한,암,3세,54,,김동수,강성오,고양진,,472(2),6.1,2.2,"계란형큰, 망사"
1,2,2,아담스애플,한,암,2세,53,,임기원,박재우,♠서창식,1,498(10),3.2,1.2,망사눈+
2,3,4,마칼루파워,한,수,3세,56,,황순도,서홍수,♠김세민,코,453(-1),30.6,4.3,망사
3,4,1,윈디러시,한,암,3세,54,,신형철,구자흥,제주축협,1½,488(14),26.0,11.3,"계란형큰+,망사눈+,망사-"
4,5,6,원더풀매직,한,수,3세,55,,(-1)문성혁,서인석,♠(주)녹원목장,1,483(15),3.7,1.7,"계란형큰, 눈가면"
5,6,9,삼애락,한,암,3세,54,,김효정,배대선,박세용,2,451(5),309.2,12.6,망사
6,7,10,명진캔디,한,암,2세,53,,다비드,임봉춘,♠(주)자성실업,1½,458(-6),47.0,13.4,"눈가면+,망사눈-"
7,8,12,천지부사,한,암,3세,54,,최범현,안병기,♠김기종,¾,475(-19),53.3,11.2,망사눈
8,9,11,송암플레이어,한,암,3세,54,,우에다,전승규,지원철,1,447(5),11.1,1.8,눈가면
