,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,5,정상파이팅,한,암,3세,54,,장추열,정호익,♠정동진,,510(15),2.1,1.1,"계란형큰,망사눈"
1,2,3,생일선물,한,암,3세,54,,문성혁,안병기,♠우태율,4,441(-1),9.4,1.9,"망사눈+,망사-"
2,3,8,해피믹스,한,암,3세,54,,김정준,박병일,신기철,¾,473(5),3.5,1.3,
3,4,10,천은총,한,암,3세,54,,박병윤,김윤섭,조금제,3,460(-5),19.9,4.4,"망사+,망사눈-"
4,5,6,시티참,한,암,3세,54,,송재철,송문길,♠김세민,1¼,429(9),12.8,3.0,망사눈+
5,6,2,큐피드벨,한,암,3세,54,,이현종,강환민,♠서순배,½,420(-11),52.9,7.7,망사눈
6,7,7,스피어골드,한,암,3세,54,,이혁,유재길,♠김영완,½,445(-1),7.4,2.2,
7,8,9,방방뜨네,한,암,3세,54,,김귀배,서인석,김문화,2½,431(6),83.2,12.5,
8,9,12,감곡선샤인,한,암,3세,53,,(-1)임다빈,임채덕,손칠규,코,474(-13),119.6,22.5,망사눈
9,10,1,댓츠마이걸,한,암,3세,54,,김효정,안해양,♠(주)인펨,3,471(3),60.8,21.2,망사눈
10,11,11,위대한한마,한,암,3세,54,,정정희,박재우,이미양,2½,458(11),26.8,5.5,망사+
11,12,4,주얼리베스트,한,암,3세,54,,박을운,심승태,♠김태성,6,461(3),75.6,20.2,"망사눈+,망사-"
0,1,4,굿니센,한,수,3세,56,,김용근,박윤규,김지훈,,483(-1),5.0,1.7,"망사눈+,망사-"
1,2,11,대박스타,한,수,3세,56,,이혁,김동철,♠오종환,4,480(-1),14.9,3.5,
2,3,7,은혜,한,수,3세,56,,안토니오,최용구,강태구,1¼,504(2),3.4,1.5,"망사눈,혀끈+"
3,4,1,유레카,한,수,3세,56,,이용호,이신영,♠(주)나스카,1¼,496(-7),10.8,3.3,계란형큰
4,5,8,이글포인트,한,수,3세,56,,장추열,전승규,♠이관형,4,528(2),4.0,1.5,"Triabit ,눈가면"
5,6,9,희망가득,한,암,3세,54,,정정희,리카디,최용도,코,474(10),41.0,7.6,"계란형큰,망사눈"
6,7,14,플라잉골드,한,수,3세,56,,송재철,강성오,♠김형순,1,451(7),28.8,5.6,"계란형큰,눈가면+,혀끈+"
7,8,6,더페이버릿,한,암,3세,54,,최범현,박재우,♠오종택,1½,476(7),9.6,2.5,망사
8,9,13,라온더축제,한,암,3세,51,,(-3)김아현,박종곤,♠라온산업개발(주),3,504(7),115.6,42.2,
9,10,5,우청륭,한,수,3세,56,,박을운,토니,임흥호,목,466(2),141.7,33.7,"계란형큰,양털코+,눈가면-"
10,11,12,불의신화,한,수,3세,55,,(-1)임다빈,임채덕,♠황경호,2,511(0),104.0,19.1,"Triabit ,망사눈"
11,12,2,한강보스,한,거,3세,56,,김정준,곽영효,♠나기두,¾,465(-9),7.1,2.6,망사눈
12,13,10,정문스피드,한,수,3세,56,,김귀배,홍대유,♠김재영b,4,505(7),265.1,48.4,
13,14,3,피엔에스린,한,거,3세,56,,조상범,구자흥,♠피엔에스홈즈,목,495(6),114.6,38.5,"망사,반가지큰"
0,1,11,동행,한,암,4세,53.5,,(-1)임다빈,우창구,♠배은정,,451(5),3.3,1.4,
1,2,7,라온더펄,한,암,3세,54,,이혁,박종곤,♠라온건설,¾,452(-19),4.1,1.6,망사눈
2,3,10,넘버원타깃,한,암,5세,50.5,,(-4)김태희,이희영,♠태립,3,492(-19),15.9,2.7,망사
