,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,12,대산특급,한,수,3세,56,,우에다,구자흥,말사모,,449(-1),13.4,2.9,"반가지큰, 망사눈"
1,2,11,초인스파크,한,수,3세,56,,먼로,안병기,♠박남성,5,484(-6),23.9,2.3,"계란형큰, 망사눈"
2,3,8,유쾌한선택,한,수,2세,54,,이용호,박재우,♠김세권,¾,488(-7),4.3,1.5,망사+
3,4,7,옥동공주,한,암,3세,54,,박병윤,손영표,박흥길,2,478(-2),57.4,4.3,망사눈
4,5,1,선더케이,한,수,4세,56,,안토니오,박대흥,♠강경운,3,490(-3),1.4,1.1,"계란형큰, 망사눈"
5,6,4,금아매저스티,한,수,5세,56,,부민호,심승태,♠금아산업(주),4,510(-20),19.6,2.7,"계란형큰, 눈가면"
6,7,9,에이스댄싱,한,암,4세,54,,김정준,최영주,♠김순건,¾,497(17),23.6,6.2,
7,8,6,세명엠파이어,한,암,3세,54,,조한별,배휴준,이기철,2½,466(-3),30.8,2.3,
8,9,10,기적의힘,한,수,3세,56,,박상우,유재길,♠이장운,6,437(7),147.9,29.7,양털코+
9,10,2,사려니,한,거,4세,52,,(-4)김아현,박희철,♠오영익,코,500(-12),87.0,7.2,계란형큰
10,11,5,뉴그랜드,한,암,3세,54,,황순도,임봉춘,류재욱,21,465(23),130.5,35.2,망사눈
11,,3,라온더최강,한,암,3세,54,,이혁,박종곤,♠라온건설,출전제외,0(0),----,----,망사눈+
0,1,7,라게르타,한,암,3세,54,,이혁,이신영,♠이성영,,456(9),10.9,2.4,
1,2,2,히어로스피드,한,암,3세,54,,문성혁,최용건,♠고재완,1,448(3),6.1,4.4,"계란형큰, 망사눈"
2,3,4,런던히트,한,암,4세,52,,(-2)임다빈,안해양,임현성,½,476(-15),19.7,7.8,"자극판, 망사"
3,4,1,갑오사랑해,한,암,4세,54,,박을운,김동철,♠김평갑,2,446(-3),4.9,1.4,
4,5,9,플라잉바비,한,암,4세,54,,김효정,안해양,지원철,목,446(7),24.2,5.8,"계란형큰, 망사"
5,6,13,찬기참,한,암,3세,54,,김동수,강성오,♠김세민,1¾,441(2),5.3,2.7,"반가지큰, 망사눈"
6,7,11,새내초이스,한,암,4세,54,,신형철,홍대유,♠문금철,¾,459(-2),6.4,2.0,
7,8,10,사이먼스톰,한,암,4세,54,,유승완,조현수,♠이혜란,머리,461(-7),42.6,2.9,"계란형큰, 망사"
8,9,8,마성혼신,한,암,4세,54,,이철경,서인석,천사들의 안장,1,478(-9),18.9,12.5,"계란형큰,눈가면+"
9,10,6,태양타고,한,암,3세,50,,(-4)김아현,지용철,♠최성룡,1½,428(-8),54.9,9.0,망사눈
10,11,5,스피드댄서,한,암,4세,54,,박상우,곽영효,♠김용래,1¼,453(-9),4.5,2.0,망사눈
11,12,3,로스트워,한,암,3세,54,,박병윤,손영표,♠피엔에스홈즈,1,440(-6),31.1,5.2,
12,13,12,미스스피드,한,암,3세,54,,이용호,김동철,♠김명식,5,437(-3),190.8,54.4,
0,1,12,유정챔프,한,수,3세,56,,이철경,서인석,♠이성님,,483(0),10.4,3.6,"계란형큰,망사눈+"
1,2,9,골든배지,한,암,4세,54,,임기원,강성오,♠이경희,7,445(4),3.6,1.2,"반가지큰+, 망사눈"
2,3,2,대세만세,한,암,3세,54,,유승완,박희철,신영식,머리,486(-4),2.6,1.8,"계란형큰, 망사눈"
3,4,5,이스머스,한,거,3세,54,,(-2)임다빈,김점오,♠이성인,2½,463(1),4.1,1.2,"계란형큰, 망사"
4,5,13,사우스반,한,암,5세,54,,우에다,서범석,♠임종근,2,453(3),27.0,6.9,
5,6,10,세명캡틴,한,수,3세,56,,조한별,서정하,이기철,2,482(-7),115.9,8.3,
6,7,6,멋진가이,한,거,3세,56,,문정균,최영주,♠이장운,1¾,442(-2),33.7,13.4,
7,8,8,걸작맨,한,거,3세,56,,김동수,박윤규,♠박덕희,3,471(-2),116.4,12.4,"계란형큰, 눈가면"
8,9,14,소중한기억,한,거,3세,56,,정정희,배휴준,♠이성님,¾,489(7),374.9,35.0,망사눈
9,10,11,라스트보스,한,수,3세,56,,빅투아르,지용철,♠김선식,½,484(-6),9.5,2.8,
10,11,7,런히어로,한,수,3세,56,,송재철,송문길,박복용,5,478(-6),251.0,13.3,망사
11,12,3,원퍼트,한,거,4세,56,,정평수,지용철,박시용,코,479(1),29.2,3.5,"계란형큰, 망사눈"
12,13,1,머니강자,한,수,4세,56,,김효정,배대선,한광세,2½,483(-6),102.6,42.3,
13,14,4,큐피드딕션,한,수,3세,56,,이혁,강환민,♠서순배,목,509(3),150.3,18.0,"계란형큰+,망사+"
0,1,9,그린다르크,한,암,5세,*52,40,임기원,구자흥,♠김재영b,,458(-10),39.0,3.6,망사눈
1,2,6,흥드림,한,수,3세,55,44,장추열,정호익,♠고광숙,2,512(-2),2.8,1.7,망사눈
2,3,8,베스트타임,한,암,3세,*52,37,송재철,임봉춘,♠김태성,½,469(3),5.6,1.8,망사눈
3,4,3,천지여걸,한,암,4세,54,46,박을운,김동균,♠최임규,코,483(-10),9.8,1.8,"계란형큰, 망사눈"
4,5,5,열린문,한,수,4세,57,48,문성혁,서인석,♠김재성a,½,462(-8),5.0,2.4,
5,6,1,정상으뜸,한,거,6세,55,44,김옥성,박희철,♠정동진,8,476(-4),84.8,13.7,망사눈
6,7,2,라온라이트맨,한,거,4세,55.5,45,이혁,안병기,♠라온건설,¾,480(-3),3.1,1.0,"계란형큰, 망사눈"
7,8,7,레인케이,한,암,4세,*52,36,김정준,송문길,♠강경운,2,472(-7),120.6,14.6,망사눈
8,9,4,럭키명호,한,수,4세,54.5,43,이용호,박재우,최기영,5,520(-15),29.0,16.0,망사
0,1,11,디에코,한,암,4세,*52,25,이준철,김대근,♠안희철,,466(8),2.9,1.6,
1,2,9,런던퀸,한,암,3세,52,29,김정준,안해양,임현성,1,469(7),24.2,7.1,
