,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,9,송암캣,한,암,4세,55,,박현우,안해양,지원철,,432(-13),1867.9,70.1,망사
1,2,14,모던베스트,한,암,3세,54.5,,김귀배,이희영,♠베스트샤인조합,목,439(12),78.4,3.1,
2,3,5,월영이,한,암,4세,55,,김정준,홍대유,♠김정숙,½,486(4),1067.4,5.5,
3,4,4,팬시팬츠,한,암,3세,54.5,,송재철,서홍수,윤지중,1½,438(17),70.9,2.8,
4,5,10,방탄여걸,한,암,3세,54.5,,조상범,이관호,♠김태권,¾,417(7),159.0,7.7,"계란형큰, 망사"
5,6,2,매직타이드,한,암,3세,54.5,,먼로,서인석,♠최상기,1¾,466(7),9.5,1.5,
6,7,12,강서프린세스,한,암,3세,54.5,,안토니오,토니,♠(주)디알엠씨티,목,520(5),1.0,1.2,"계란형큰, 망사,승인편자+"
7,8,13,퍼지퀸,한,암,3세,54.5,,빅투아르,조현수,김욱수,½,475(-7),862.1,58.2,망사
8,9,1,농본바다,한,암,3세,54.5,,김효정,배대선,♠김용래,목,479(4),35.1,2.0,
9,10,3,따뜻한빛,한,암,3세,54.5,,신형철,안병기,♠우태율,2,438(-10),3735.9,84.1,망사눈
10,11,7,마하지존,한,암,3세,54.5,,박을운,최용건,장철환,목,483(-6),11.7,1.6,"계란형큰, 망사"
11,12,8,위닝투게더,한,암,3세,54.5,,유승완,최영주,김창국,1,460(-5),355.8,50.0,"계란형큰,망사눈-"
12,13,6,미스스피드,한,암,3세,54.5,,김옥성,김동철,♠김명식,5,437(13),339.6,18.4,
13,14,11,원더풀글리터,한,암,4세,55,,황순도,임봉춘,♠지대섭,18,478(-1),3735.9,65.9,망사
0,1,6,이스트임팩트,한,거,3세,56.5,,안토니오,박재우,♠김영구,,451(4),1.1,1.1,망사
1,2,8,룰즈클래스,한,수,3세,56.5,,김정준,김윤섭,지원철,3,466(7),31.4,4.5,망사눈
2,3,7,블루해머,한,수,3세,56.5,,이혁,강환민,♠이종원,3,498(-12),15.2,2.4,
3,4,3,스위트주스바,한,수,3세,56.5,,박을운,이신영,♠정영식,½,525(-6),49.1,2.0,
4,5,13,서울데이,한,거,4세,54,,(-3)임다빈,박희철,조병해,1,486(0),101.9,10.6,
5,6,1,드림펠라,한,거,3세,56.5,,유승완,전승규,♠드림커뮤니티,¾,485(3),9.6,1.2,"망사눈, Triabit"
6,7,2,후이넘,한,수,3세,56.5,,함완식,김동균,♠김영근,2,497(3),13.8,4.9,
7,8,14,워리어선더,한,거,4세,57,,문정균,최봉주,윤지중,1½,485(-6),206.9,9.1,"계란형큰, 눈가면"
8,9,4,플라잉바비,한,암,4세,55,,김효정,안해양,지원철,¾,439(2),248.8,40.1,"계란형큰, 망사"
9,10,12,제스트원,한,암,3세,54.5,,이준철,김대근,♠김경민,½,499(-1),252.5,15.8,
10,11,10,헤시안,한,수,3세,56.5,,이동국,박병일,신기철,1¾,516(-5),67.9,4.9,
11,12,11,나도야금,한,수,3세,56.5,,김귀배,이희영,이창모,2½,474(9),150.6,29.2,망사눈
12,13,9,위닝질주,한,거,3세,56.5,,김옥성,김동철,♠양순희,1,447(-1),317.9,8.7,망사
13,14,5,새로운파티,한,암,4세,55,,신형철,박천서,김재성b,85,500(17),250.6,34.5,"눈가면,계란형큰-"
0,1,8,이스트질주,한,수,3세,53.5,,(-3)임다빈,정호익,♠김영구,,467(-1),3.3,1.1,눈가면
1,2,2,선더챔프,한,수,3세,56.5,,함완식,홍대유,♠최동근,코,464(1),6.4,1.6,
