,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,4,핵삭스,한,수,3세,56,,안토니오,강환민,♠김창식,,473(-23),1.1,1.0,계란형큰
1,2,11,천상의여인,한,암,3세,54,,조재로,김동철,김종식,9,422(-8),87.7,9999.9,
2,3,9,로즈데이마린,한,암,3세,54,,김동수,홍대유,♠이경희,2,470(-3),87.7,9999.9,
3,4,3,데카브리스트,한,암,3세,54,,권석원,박윤규,김광영,머리,479(-15),16.9,1.1,
4,5,8,르루아블랑,한,암,3세,54,,하정훈,박천서,♠박병룡,2½,481(-4),14.6,2.1,
5,6,7,레이디럭키,한,암,3세,54,,박현우,곽영효,♠이월희,½,457(-5),87.7,44.7,
6,7,12,폴카,한,암,3세,52,,(-2)문성혁,조현수,정광화,¾,451(5),87.7,9999.9,"계란형큰, 망사눈"
7,8,1,금백조,한,암,3세,54,,방춘식,김학수,박세용,2½,501(-8),17.5,2.2,
8,9,2,모닝동자,한,거,3세,56,,조상범,전승규,김중길,½,472(4),16.9,2.0,망사눈+
9,10,6,마칼루파워,한,수,3세,56,,황순도,서홍수,♠김세민,1¼,452(3),87.7,9999.9,망사
10,11,10,하트제니,한,암,3세,54,,김옥성,박희철,선우패션,1¼,441(-11),87.7,9999.9,망사눈
11,12,5,초원블루,한,암,3세,54,,이해동,최상식,조홍구,16,420(7),87.7,9999.9,"계란형큰,망사눈+,망사-"
0,1,5,배다리캔디,한,암,2세,53,,이혁,홍대유,♠송한우,,465(12),20.6,5.0,
1,2,2,크라운조이,한,암,2세,53,,이동하,배대선,♠이미경,머리,454(-2),33.5,8.2,
2,3,3,땡벌,한,수,2세,55,,이동진,박대흥,죽마조합,6,482(14),2.5,5.0,계란형큰+
3,4,9,쏘아라바바,한,암,2세,53,,박상우,김대근,현태봉,1¼,417(-9),2.5,1.1,망사눈+
4,5,11,스톰로드,한,암,2세,53,,김옥성,최영주,♠손병현,코,427(9),33.5,8.2,망사+
5,6,8,그린최강,한,암,2세,53,,김동수,홍대유,♠김재영b,½,474(-3),4.6,1.1,
