,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,8,갈잎,한,암,3세,54,,문세영,심승태,♠(주)디알엠씨티,,467(13),1.3,1.1,"승인재갈, 눈가면"
1,2,4,풀문오션,한,암,3세,54,,이찬호,이신영,♠김선식,2,487(1),7.0,1.8,
2,3,3,아임해피,한,암,4세,54.5,,빅투아르,박재우,♠김정철,2,447(9),24.5,2.8,망사눈
3,4,5,상감청자,한,거,3세,56,,다나카,강성오,♠이관형,1,460(15),7.1,1.5,"승인재갈+, 눈가면"
4,5,10,천하여제,한,암,3세,54,,김태훈,지용철,♠금악목장,1½,488(3),27.5,3.2,
5,6,1,스터닝어게인,한,거,3세,56,,이혁,서범석,♠청팅콩,½,462(-6),26.3,4.7,"망사눈, 승인재갈"
6,7,9,유롱플라잉,한,거,3세,56,,김동수,정호익,♠장위에셩,¾,439(-7),40.1,6.0,망사눈
7,8,2,크레이지퀸,한,암,3세,54,,이동국,서인석,♠서창식,1½,504(1),81.1,14.0,승인재갈
8,9,6,비엔토퍼스트,한,암,3세,53,,(-1)이동진,안해양,말사모,10,442(12),193.1,21.0,"망사, 승인재갈"
9,10,7,원더풀브라보,한,수,3세,56,,김옥성,최영주,임흥호,½,458(-6),23.2,2.8,"승인재갈, 눈가면+, 자극판-"
10,11,11,럭키마이더스,한,수,3세,56,,김정준,김윤섭,♠조창규,2½,440(-10),101.5,11.5,
0,1,8,미스터터너,미,거,4세,57,50,이철경,김점오,♠이선호,,467(2),6.4,2.0,"망사눈, 혀끈"
1,2,9,에버더챔프,미,거,3세,53.5,38,문세영,배휴준,♠권택종,4,481(8),5.7,1.6,승인재갈
2,3,5,이글스그리프터,미,수,4세,56,44,김동수,우창구,♠최몽주,½,457(-8),5.2,1.9,"망사눈, 승인재갈"
3,4,1,스칸다,미,수,4세,55,42,먼로,이신영,♠(주)나스카,2,511(5),7.4,2.0,"망사눈, 승인재갈, 혀끈+"
4,5,6,런위드골드,미,거,4세,54,36,다나카,곽영효,세계건설(주),1½,533(18),85.0,19.8,양털코
5,6,3,관악함성,미,거,5세,55,42,이동하,이관호,♠황의영,½,466(9),23.6,4.0,"망사눈+, 승인재갈+, 망사-"
6,7,7,리틀보이플래시,미,거,3세,55.5,45,안토니오,박윤규,♠박덕희,1,512(3),2.3,1.2,"자극판+, 눈가면"
7,8,4,투게더허그,미,암,5세,55,50,신형철,김윤섭,♠김두식,5,469(14),11.2,2.7,"망사, 승인재갈"
8,9,2,올포비투비,미,거,5세,54,36,문정균,조현수,이태식,8,475(-21),97.7,11.7,"망사눈, 승인재갈"
0,1,3,바람킹,한,수,4세,55,27,최범현,서범석,♠오상철,,450(-2),4.2,2.0,망사눈
1,2,7,페더라이트,한,암,3세,52.5,26,김정준,박병일,♠이용대,1¾,468(-4),5.8,2.3,망사눈
2,3,6,더블골드,한,거,4세,57,34,지하주,김윤섭,오왕근,목,457(2),6.5,1.8,망사눈
3,4,5,블랙징가,한,암,4세,54,28,다비드,김동균,♠공이공팔,3,438(4),3.8,1.4,"망사눈, 승인재갈"
4,5,9,상비군,한,거,6세,57,33,문정균,최상식,지성한,4,478(-2),5.5,2.0,
5,6,10,로열탱크,한,수,4세,54,21,정정희,최용구,이장호,목,478(-13),13.8,3.9,"망사눈, 승인재갈"
6,7,4,창성강자,한,수,4세,54,23,이철경,조현수,임흥호,½,464(-3),49.3,9.6,"망사, 승인재갈"
7,8,8,영웅불패,미,거,7세,56,31,함완식,유재길,곽승용,½,484(-8),28.1,5.1,승인재갈
8,9,2,선키스드,한,수,5세,53,35,(-4)문성혁,송문길,이수홍,목,505(-9),11.6,3.1,
9,10,1,골드스타힐스,한,암,5세,55,33,최원준,서인석,서운석,7,496(-7),38.7,7.1,"승인재갈, 눈가면"
0,1,3,급행마,한,수,3세,53,28,김동수,이관호,♠박남성,,455(-5),3.9,1.9,망사눈
1,2,5,슬링스톤,한,수,3세,54.5,31,문세영,강성오,♠강현철,¾,481(-2),1.7,1.2,승인재갈
2,3,8,최고비상,한,거,4세,52.5,28,(-1)조한별,김점오,과천시청,4,474(-1),49.9,10.8,망사
3,4,6,라온돌풍,한,거,4세,56.5,34,이혁,박종곤,♠라온건설,1¾,468(2),3.6,1.9,망사눈
4,5,7,골드스탁,한,암,5세,51,24,(-1)김효정,배대선,이수홍,1¼,423(17),56.3,10.2,망사눈
5,6,2,더블에이,한,암,5세,52,28,이동하,서홍수,♠이미경,3,509(9),13.3,3.4,망사눈
6,7,1,자진모리,한,수,5세,55.5,32,김태훈,지용철,♠박남성,4,520(-4),35.3,8.6,망사눈
7,,4,모두드림,한,암,3세,51.5,28,이철경,서인석,♠이성님,출전취소,0(0),----,----,승인재갈
0,1,1,금아제니스,한,수,3세,53,29,이동하,우창구,♠금아산업(주),,504(-3),2.4,1.2,"망사눈, 승인재갈+"
1,2,5,해들뫼,한,수,3세,55,33,김동수,정호익,♠박남성,1,514(-2),6.2,1.7,망사눈
2,3,8,레이먼드,한,수,3세,56,35,문세영,이관호,♠박남성,3,454(-1),3.4,1.4,"양털코+, 망사-"
3,4,9,태풍아이즈,한,수,4세,53.5,31,(-1)김효정,심승태,장철환,목,521(-8),10.3,2.2,승인재갈
4,5,6,환상의빛,한,암,4세,51,26,이철경,서인석,♠김재성a,목,463(-8),61.3,9.4,"망사눈, 승인재갈"
5,6,2,풀문스카이,한,수,3세,53.5,30,최범현,이신영,♠손학봉,2,471(-2),6.9,2.2,망사+
6,7,4,메가시티,한,거,4세,52,26,이혁,이희영,♠지대섭,2½,501(8),12.5,2.7,망사
7,8,3,금빛환향,한,암,4세,51,25,(-1)조한별,지용철,♠최성룡,1,494(3),53.2,10.8,눈가면
8,9,7,레베카,한,암,5세,*52,25,먼로,손영표,♠최병권,3,493(-6),62.8,7.8,"망사눈, 혀끈"
0,1,11,기동대장,한,거,4세,51,40,(-1)조상범,안병기,♠박남성,,486(2),29.3,4.0,"망사, 승인재갈"
1,2,10,비평,한,수,3세,51,38,박태종,송문길,♠민형근,½,488(-5),2.3,1.1,"망사눈, 승인재갈"
2,3,4,베스트빅토리,한,수,4세,55,46,신형철,홍대유,♠베스트샤인조합,1¼,453(2),10.1,2.5,"망사눈, 승인재갈"
