,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,3,쇠와꽃,한,암,3세,54,,최범현,곽영효,♠김용재,,478(5),2.1,1.1,"계란형큰, 망사눈"
1,2,9,남산초콜릿,한,암,3세,54,,김효정,토니,♠이기선,4,439(-11),3.2,1.2,"계란형큰, 혀끈,눈가면+"
2,3,5,따뜻한빛,한,암,3세,54,,조한별,안병기,♠우태율,4,441(2),21.7,7.0,망사눈
3,4,4,퍼펙트라이트,한,암,4세,54,,정정희,우창구,♠변갑한,½,439(2),22.1,6.0,"망사눈,Triabit+,반가지큰-"
4,5,6,엘리트룰즈,한,암,3세,54,,김옥성,이희영,♠태희종합건설,4,457(12),20.2,5.0,망사눈
5,6,2,다울사랑,한,암,3세,54,,문성혁,최용건,♠김봉겸,½,459(0),25.2,5.0,"계란형큰, 망사"
6,7,1,퍼스트로드,한,암,3세,54,,박상우,박대흥,죽마조합,머리,465(17),4.5,1.4,망사
7,8,7,퀸라이언,한,암,4세,54,,박병윤,조현수,♠신우철,½,455(3),17.8,1.6,"계란형큰, 망사눈"
8,,8,뉴호프,한,암,3세,54,,송재철,최봉주,♠오상철,출전제외,0(0),----,----,계란형큰
0,1,7,주말의시작,한,암,3세,52,,(-2)임다빈,박윤규,김광영,,456(-8),10.2,1.7,망사눈+
1,2,3,미스캠프,한,암,3세,50,,(-4)김아현,임채덕,말사모,½,464(2),6.2,3.0,"망사눈,계란형큰-"
2,3,6,정성대로,한,암,3세,54,,이혁,최용건,임정균,1½,472(-24),5.2,1.7,"계란형큰, 망사"
3,4,4,런던파워,한,암,3세,54,,박현우,안해양,임현성,1½,453(12),2.8,1.7,"눈가면+,계란형큰-,망사눈-"
4,5,2,금국화,한,암,3세,54,,우에다,우창구,♠배태곤,½,469(7),4.6,1.2,"망사눈, Triabit"
5,6,9,동서여걸,한,암,3세,54,,이철경,서홍수,♠김명식,1¼,408(-4),8.8,2.2,망사
6,7,8,스위트카카오,한,암,3세,54,,박병윤,이신영,♠김용래,목,462(13),16.8,8.1,
7,8,10,볼드어게인,한,암,3세,54,,문성혁,전승규,신상섭,1,436(2),34.8,5.1,"망사눈,Triabit+"
8,9,5,천탑,한,암,3세,54,,조상범,최봉주,조금제,1¼,476(4),56.7,20.4,망사눈
9,10,1,미사일퀸,한,암,3세,54,,윤영민,조현수,♠이장운,6,448(8),113.5,27.1,망사
0,1,4,루미너스퀸,한,암,3세,54,,김용근,신삼영,♠손학봉,,477(7),1.6,1.2,망사
1,2,9,더파이팅,한,수,3세,56,,김정준,박병일,♠김정철,3,494(7),24.8,3.4,
2,3,6,일격필살,한,수,3세,56,,이현종,강성오,♠김창식,목,489(0),8.7,1.7,계란형큰
3,4,12,찬란한날,한,수,3세,56,,김덕현,임봉춘,진교원,6,444(-1),220.7,14.0,"망사,혀끈+"
4,5,2,그레이트선더,한,수,3세,56,,조상범,최용건,♠조건진,½,506(0),5.0,2.4,"계란형큰, 망사"
5,6,7,내길의축복,한,암,4세,54,,최범현,홍대유,유종국,4,478(-11),34.6,5.3,
6,7,11,런던타이거,한,암,3세,54,,김효정,안해양,임현성,¾,424(-9),51.9,9.9,"계란형큰-,망사눈-"
7,8,13,클라우터,한,거,3세,56,,박상우,곽영효,♠김용래,1¼,456(-4),210.2,83.3,"계란형큰, 망사눈"
8,9,10,엠제이스톰,한,수,3세,56,,임기원,김동균,♠박정재,목,510(5),9.1,1.7,"계란형큰, 망사눈"
9,10,14,스마티트렘,한,수,3세,56,,이동국,최용건,♠이종욱,코,449(-2),18.6,2.7,"계란형큰, 망사눈"
10,11,5,서울데이,한,거,4세,56,,김옥성,박희철,조병해,머리,503(12),138.4,20.2,
11,12,1,원더풀캣,한,암,4세,54,,신형철,임채덕,♠(주)녹원목장,2,423(-1),57.7,20.3,"계란형큰,망사눈+,망사-"
12,13,8,상승행진,한,수,3세,56,,이혁,지용철,곽태훈,½,465(2),108.7,10.6,
13,14,3,강철다리,한,암,4세,54,,이기회,서정하,♠공이공팔,24,468(-1),39.0,10.7,"계란형큰, 망사"
0,1,13,온포인트,한,수,3세,54,29,김동수,강성오,♠박호균,,478(1),17.3,3.5,
1,2,10,베스트탑,한,수,4세,55,31,송재철,이희영,♠베스트샤인조합,1¾,480(0),28.3,5.3,"망사,승인편자-"
2,3,8,조이브라더,한,거,4세,54.5,34,(-2)임다빈,김점오,♠이성인,¾,462(1),20.2,4.2,"계란형큰, 망사눈, 혀끈"
3,4,3,울트라킹,한,거,3세,54.5,30,임기원,안병기,♠조명식,목,487(3),9.3,2.4,망사눈
4,5,1,땡큐대천,한,수,4세,54.5,30,장추열,정호익,♠강용식,1,499(-8),3.0,1.9,망사눈
5,6,9,바잉블레이드,한,수,3세,56.5,34,최범현,강환민,♠김형란,1,497(4),3.9,2.0,"계란형큰, 망사눈"
6,7,2,와일드우즈,한,거,4세,52.5,26,박현우,최용구,♠최동근,1¾,484(2),64.1,18.1,망사눈
7,8,7,패션드패션,한,암,3세,55,35,문세영,최용건,이미양,코,425(-1),3.6,1.2,"계란형큰, 망사눈"
8,9,11,멋진승부,한,수,4세,54.5,30,유승완,김윤섭,♠이종욱,4,490(-18),59.7,19.4,"망사눈+,눈가면-"
9,10,5,홀리데이참,한,수,3세,53.5,28,조한별,유재길,♠김세민,¾,463(-1),50.7,12.0,망사
10,11,6,마칼루파워,한,수,4세,52,25,이용호,서홍수,♠김세민,4,463(4),68.3,22.8,망사
11,12,4,회두령,한,수,3세,55,31,안토니오,박재우,♠권태석,1¾,481(-10),21.4,2.9,망사
12,13,12,스트롱레드,한,암,4세,51,27,다비드,서범석,이성헌,23,479(0),90.4,5.3,눈가면
0,1,10,코브라볼,한,수,3세,54.5,30,이현종,우창구,♠한명로,,462(7),3.6,1.9,망사
1,2,3,유롱스타,한,암,4세,51,29,(-2)임다빈,정호익,♠에릭 코,5,474(0),15.2,5.0,망사눈
2,3,7,록파이터,한,수,3세,55.5,32,김동수,최상식,♠강승연,1¼,478(0),7.2,2.5,"계란형큰+, 눈가면"
3,4,13,위너블루,한,거,4세,54,29,신형철,우창구,♠전영범,1¼,482(-1),42.5,8.5,"망사눈, Triabit"
4,5,11,배다리캔디,한,암,3세,*52,28,박현우,홍대유,♠송한우,1,453(-8),45.5,14.5,망사
5,6,12,이스트임팩트,한,거,3세,56,33,안토니오,박재우,♠김영구,½,448(-4),2.1,1.0,망사
6,7,8,킹칸모르,한,수,4세,56,33,문성혁,서인석,이중연,1,497(0),17.6,3.6,"반가지큰, 망사눈"
7,8,1,왕인행차,한,수,4세,53,27,조한별,서홍수,전영규,3,482(-5),74.8,28.8,"계란형큰, 망사눈"
8,9,4,럭키마이더스,한,수,5세,55,31,유승완,김윤섭,♠조창규,목,471(-2),143.2,7.2,계란형큰
9,10,5,아델머스탱,한,수,3세,53.5,28,우에다,송문길,♠이종훈,목,454(0),94.7,12.0,
10,11,9,기븐러너,한,수,5세,57,35,정정희,안병기,박정웅,½,467(-3),11.3,4.6,망사눈
11,12,14,원앤온리,한,암,4세,51,28,(-4)김아현,지용철,♠조용학,¾,497(7),62.9,5.1,눈가면
12,13,6,피케이돌풍,한,거,4세,56.5,34,김정준,심승태,♠김태성,1,469(-13),19.8,3.2,망사
13,14,2,엄지여왕,한,암,6세,*52,21,이용호,배휴준,서상주,4,487(4),444.6,68.8,눈가면
0,1,1,라온핑크,한,암,3세,52,40,임기원,박종곤,♠라온산업개발(주),,465(-4),3.1,2.0,"반가지큰, 망사눈"
1,2,11,슈퍼엑톤,한,거,4세,52,36,정정희,강환민,♠삼정,1¼,439(-2),5.3,2.5,망사
2,3,8,만세,한,거,4세,52,36,송재철,임봉춘,김진태a,¾,485(5),16.3,2.6,망사눈
