,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,8,스타블레이드,한,수,2세,55,,안토니오,토니,♠김형란,,481(8),1.5,1.1,"계란형큰, 망사눈"
1,2,7,콜조이,한,거,2세,55,,최범현,곽영효,♠이미경,코,445(-15),5.1,1.8,
2,3,10,글로벌영웅,한,수,2세,55,,함완식,최상식,♠장재형,1¼,482(-13),15.2,2.6,망사눈+
3,4,4,빅레드,한,수,2세,54,,(-1)문성혁,서인석,홍상기,¾,473(7),6.1,1.4,자극판+
4,5,6,바잉블레이드,한,수,2세,55,,이준철,강환민,♠김형란,1¾,505(7),10.7,2.0,"계란형큰, 망사눈"
5,6,5,사랑다모아,한,암,2세,53,,이혁,손영표,박흥길,9,470(-7),144.4,17.2,
6,7,12,태양타고,한,암,2세,53,,정평수,지용철,♠최성룡,½,429(0),174.2,26.0,
7,8,13,정문스타,한,수,2세,55,,김정준,홍대유,♠김재영b,1¼,442(-3),142.8,18.3,
8,9,3,위너킹,한,수,2세,55,,김덕현,이관호,♠손병현,¾,500(3),272.3,25.1,"계란형큰, 망사"
9,10,14,보리보리,한,암,2세,53,,우에다,임봉춘,피닉스,3,423(-8),235.5,46.1,눈가면+
10,11,11,마이리더,한,수,2세,55,,장추열,정호익,♠백국인,6,434(9),318.7,23.1,눈가면
11,12,1,화이트마운틴,한,암,2세,53,,김효정,배대선,♠이미경,¾,497(-13),136.8,205.3,망사
12,13,9,리얼콩코드,한,암,2세,53,,다비드,신삼영,♠이진경,1½,431(-25),322.7,11.0,"망사눈,계란형큰-"
13,14,2,원더풀맘보,한,암,3세,54,,이동진,박대흥,♠(주)녹원목장,9,443(1),27.1,2.9,망사눈
0,1,3,우소륭,한,암,2세,53,,김귀배,안해양,임흥호,,483(3),5.2,1.6,망사눈
1,2,5,원더풀케이,한,수,2세,55,,장추열,배대선,♠강경운,2,453(-18),10.7,1.7,망사
2,3,7,그랜드캐슬,한,수,2세,55,,김동수,김점오,♠신우철,½,481(4),1.5,1.0,
3,4,9,특급여왕,한,암,2세,53,,하정훈,최봉주,말사모,1¼,446(-6),96.5,16.4,망사눈
4,5,14,세명나래,한,암,2세,53,,송재철,신삼영,이기철,머리,483(4),25.2,5.5,망사
5,6,8,선더챔프,한,수,2세,55,,함완식,홍대유,♠최동근,5,459(-7),18.6,4.2,
6,7,2,장산가드,한,수,2세,55,,박을운,강환민,♠김병진,1¾,494(-7),31.7,6.3,"계란형큰, 망사눈"
7,8,4,통천대로,한,암,2세,53,,이준철,김대근,♠김경민,1,469(-11),11.4,2.2,
8,9,10,소중한기억,한,거,2세,55,,이철경,배휴준,♠이성님,4,463(-13),68.0,17.8,
9,10,11,햇살타고,한,암,2세,53,,조한별,김동철,김종식,1¾,427(-5),79.1,18.4,
10,11,1,은혜충만,한,암,3세,54,,이동국,박병일,강태구,½,495(-1),63.8,9.3,
11,12,13,럭키바우,한,수,2세,55,,최범현,우창구,♠김성래,4,480(17),46.2,5.4,
12,13,12,빅포켓,한,수,2세,55,,김옥성,최봉주,권인택,7,491(-2),82.8,60.0,망사눈+
13,,6,페더럴아이,한,수,2세,55,,문세영,지용철,♠금악목장,출전제외,486(0),----,----,Triabit
0,1,2,온포인트,한,수,2세,55,,김동수,강성오,♠박호균,,466(-5),137.9,36.9,
1,2,5,라온비트,한,거,2세,55,,최범현,박종곤,♠라온건설,목,443(-12),10.7,2.9,망사눈-
2,3,4,엘리트파워,한,암,2세,53,,이혁,유재길,♠태희종합건설,½,448(-3),2.7,1.3,"가지, 망사눈"
3,4,14,더퀸저스티스,한,암,2세,53,,송재철,이관호,♠(주)인펨,1,453(7),5.7,1.4,"계란형큰, 망사, 혀끈"
4,5,7,좋은관계,한,수,2세,55,,다비드,신삼영,유영준,목,485(6),4.6,1.8,망사눈
5,6,10,라스트보스,한,수,2세,55,,조상범,지용철,♠김선식,3,480(-3),43.6,30.7,
