,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,6,드림포레,한,수,3세,56,,김귀배,김동균,♠드림커뮤니티,,525(-15),11.1,2.1,
1,2,5,흥캡틴,한,수,3세,56,,이준철,김대근,♠임동현,3,478(-4),3.0,1.3,
2,3,7,글로리파이터,한,암,3세,54,,빅투아르,이관호,서홍배,1¾,516(3),1.8,1.1,계란형큰
3,4,8,원더풀매직,한,수,3세,56,,이철경,서인석,♠(주)녹원목장,2,478(-12),8.8,1.9,"계란형큰, 눈가면"
4,5,2,그레이트웨이,한,암,3세,54,,이혁,이신영,♠정영식,2½,469(7),21.3,2.9,"계란형큰, 망사"
5,6,4,스타러시,한,수,3세,56,,지하주,김동철,제주축협,1¼,465(7),131.3,22.5,망사
6,7,3,빅페이스,한,수,3세,56,,부민호,박윤규,♠이방훈,1½,479(-4),105.4,11.4,망사눈
7,8,9,골든스위치,한,암,3세,54,,윤영민,강환민,♠이용대,1,470(-13),80.6,10.0,"계란형큰+, 눈가면,자극판-"
8,9,1,월드특급,한,거,3세,56,,박상우,박종곤,♠김명식,¾,473(4),145.3,22.5,"반가지큰+,망사눈+"
9,10,12,율소리,한,암,3세,54,,조상범,안병기,♠우태율,5,446(15),218.9,21.5,"계란형큰, 망사눈"
10,11,11,플래시라이커,한,수,3세,56,,안토니오,정호익,♠에릭 코,2,497(7),22.3,5.4,
11,12,10,파이널에이스,한,암,3세,54,,이현종,이신영,♠김선식,코,479(-5),25.6,4.0,계란형큰
0,1,9,아테나브이,한,암,4세,54.5,,유승완,송문길,♠허장원,,517(20),3.1,1.5,계란형큰
1,2,1,원앤온리,한,암,3세,54,,김동수,지용철,♠조용학,3,486(-6),2.3,1.2,눈가면+
2,3,11,새로운보배,한,암,4세,54.5,,김정준,심승태,류재욱,1,446(-16),24.4,4.3,"계란형큰, 망사눈"
3,4,6,해피먼스,한,암,3세,54,,부민호,박윤규,♠박덕희,1¾,503(-4),19.0,3.0,망사눈
4,5,12,굿원더,한,암,4세,54.5,,김용근,신삼영,♠오종환,4,505(-4),4.3,1.7,
5,6,8,강화처녀,한,암,3세,54,,이철경,서인석,서운석,3,436(-15),140.3,30.5,망사눈
6,7,2,가온찬,한,암,3세,54,,박태종,정호익,최종환,1,429(-10),29.3,3.4,
7,8,7,한일모아,한,암,3세,54,,이준철,김대근,한일사료,1¾,464(-12),12.6,2.0,
8,9,4,뉴비기닝,한,암,3세,54,,하정훈,박천서,♠김종진,1¼,406(-23),222.0,38.9,눈가면
9,10,10,미르스카이,한,암,3세,54,,박병윤,손영표,류재욱,2½,487(-1),131.9,19.2,
10,11,5,세찬나리,한,암,3세,54,,문정균,정호익,강필석,7,448(-4),36.4,6.2,"계란형큰, 망사눈"
11,12,3,일기비호,한,암,3세,54,,조재로,배휴준,명인환,4,454(-1),149.1,26.7,망사
0,1,2,퓨처파이어,한,거,3세,55.5,,이혁,전승규,♠손병현,,488(11),3.0,1.5,"계란형큰,망사눈+, 혀끈,눈가면-"
1,2,5,야호골든캣,한,수,3세,54,,(-1)김덕현,박재우,이태식,5,491(-7),13.5,2.9,망사
2,3,11,봄날의기억,한,수,3세,55.5,,김동수,안병기,♠우태율,1,494(-6),3.8,1.4,"계란형큰, 망사눈"
3,4,6,농부의수채화,한,암,4세,55,,이현종,강성오,♠이관형,¾,449(-12),6.4,2.1,"계란형큰+, 망사눈,Triabit-"
4,5,3,천지꽃바람,한,암,3세,54,,유승완,조현수,이창모,¾,501(3),8.4,2.8,"계란형큰, 망사"
5,6,7,으뜸이루리,한,수,4세,56.5,,하정훈,박천서,고정아,3,488(1),21.2,4.6,눈가면
6,7,10,레전드윈,한,수,3세,55.5,,안토니오,서홍수,김규중,목,466(1),10.8,3.5,망사눈
7,8,8,원더플레이스,한,암,3세,53,,김용근,김순근,이장한,머리,434(-3),65.0,15.5,망사눈+
8,9,1,원더풀라이트,한,암,3세,53.5,,문정균,최상식,♠변갑한,½,466(-2),14.4,3.5,
9,10,12,율도장사,한,암,3세,53,,지하주,서정하,♠공이공팔,3,445(3),136.2,11.9,"망사-,반가지큰-"
10,11,9,펀치파워,한,수,3세,55.5,,먼로,박희철,♠강석대,¾,479(-5),15.1,4.2,"계란형큰, 망사"
11,12,4,정문레이저,한,거,4세,55.5,,조상범,구자흥,♠김재영b,1¼,494(-3),142.5,23.3,"망사, 반가지큰"
0,1,6,럭키법전,한,수,3세,54,32,(-1)김덕현,박재우,최기영,,492(2),1.4,1.1,망사눈
1,2,5,베스트럭키,한,수,3세,54,30,문정균,최상식,♠고광숙,2½,481(-5),21.1,2.9,망사눈
2,3,2,로열고스트,한,암,4세,53,30,김동수,김순근,♠정기환,4,474(-4),10.6,1.5,망사눈
3,4,4,윈드리버,한,암,4세,52.5,29,유승완,전승규,♠손병현,6,439(-13),25.6,4.3,계란형큰
4,5,8,라피도볼트,한,수,3세,54,30,안토니오,송문길,♠허장원,½,526(-1),35.4,6.8,망사
5,6,11,삼성비바,한,수,3세,54,30,먼로,박천서,♠한명로,코,485(-6),9.1,1.6,"망사눈, 혀끈"
6,7,3,킹리,한,거,4세,53.5,28,조상범,김점오,♠금악목장,3,441(-4),130.3,12.7,"반가지큰, 망사눈"
7,8,12,스피드버드,한,수,3세,54.5,31,이현종,김학수,양현모,목,494(1),8.8,2.8,"계란형큰, 망사눈"
8,9,10,최강매직,한,거,4세,52.5,26,빅투아르,리카디,♠함춘,1¼,430(-2),54.5,8.6,"망사,혀끈-"
9,10,7,라온댄서,한,암,4세,52.5,29,이혁,박종곤,♠라온산업개발(주),3,456(-1),28.2,6.4,망사눈
10,11,9,블레싱로드,한,암,5세,55.5,35,박태종,서범석,♠무라카미 켄세이,1½,415(-3),44.9,7.5,"계란형큰, 망사"
11,,1,원더풀댄서,한,거,4세,54,29,박병윤,손영표,♠(주)녹원목장,출전제외,459(-4),----,----,"반가지큰, 망사눈"
0,1,1,럭키명호,한,수,3세,55.5,33,(-1)김덕현,박재우,최기영,,521(-12),2.6,1.3,눈가면
1,2,3,캠프터치,한,암,5세,55,32,유승완,곽영효,♠이월희,6,461(-3),11.4,2.8,망사눈
2,3,8,다이아키,한,수,3세,55,30,이현종,배대선,강종우,2,450(-2),2.9,1.4,망사
3,4,2,천지폭풍,한,거,4세,55.5,30,김용근,서인석,홍상기,1½,452(-4),10.0,2.1,"계란형큰, 양털코"
4,5,9,천년의바람,한,거,4세,55,29,이동하,임봉춘,♠류주영,6,491(-3),21.7,4.1,"반가지큰, 눈가면"
5,6,7,대마지풍,한,수,4세,55,29,박태종,박종곤,한종희,4,474(-8),6.4,2.0,망사눈
6,7,4,논스톱행진,한,암,4세,52,26,김효정,유재길,♠태립,½,458(-1),64.5,11.6,망사눈
7,8,10,캡틴베스트,한,거,4세,54.5,28,조상범,김동균,최현기,코,462(-6),26.7,6.0,계란형큰
8,9,6,원더풀팡팡,한,암,4세,*52,25,먼로,김학수,♠이혜란,2,505(-19),48.4,8.3,
9,10,5,아라시,한,거,4세,53,25,문정균,김동철,♠김광명,1½,481(6),117.2,18.7,망사눈
10,11,12,블랙퓨펄,한,암,4세,53,28,김귀배,손영표,양현모,7,494(-2),19.5,4.1,"계란형큰, 망사눈, 승인편자, 혀끈"
11,,11,투엠오케이,한,거,5세,55.5,30,이혁,최봉주,♠미즈타니 마사테루,출전취소,0(0),----,----,계란형큰
0,1,1,문학미스치프,미,암,3세,53,40,김동수,정호익,김재영a,,497(-5),3.0,1.4,"망사눈, 혀끈"
1,2,10,클린업샤인,미,암,3세,52.5,39,함완식,강환민,♠민형근,½,436(-18),3.0,1.4,계란형큰
2,3,4,날아라힐,한,암,4세,53,39,김용근,서인석,♠최상기,코,510(0),5.9,1.7,
3,4,6,명진스톰,미,암,3세,52,38,이혁,박대흥,♠정은섭,6,480(0),6.3,1.7,"반가지큰, 망사눈"
4,5,7,절예,미,암,3세,56.5,47,이동하,지용철,♠조용학,목,497(1),6.5,1.9,계란형큰
5,6,5,대성루비,한,암,6세,*52,36,문정균,최영주,김창국,1,484(-4),66.6,8.5,
6,7,12,블루마카롱,미,암,3세,*52,37,이준철,김대근,♠최병욱,2,424(-3),31.9,4.4,망사눈
7,8,9,멋진데,미,암,3세,52,38,부민호,박윤규,정기찬,코,454(-3),181.8,21.3,"계란형큰, 망사눈"
8,9,11,땡큐보스,미,암,3세,*52,37,유승완,최용구,♠강용식,2,482(-6),61.1,8.0,망사눈
9,10,2,빅토리고고,미,암,3세,*52,37,조재로,배휴준,♠이성님,1½,464(-7),77.3,21.6,"망사눈, Triabit"
10,11,8,유포리앙,미,암,3세,51.5,37,조상범,안병기,♠우태율,6,475(-15),175.0,30.4,"눈가면+,망사눈-"
11,12,3,피엔에스초록,아일,암,4세,53,39,이해동,구자흥,♠피엔에스커튼월,2½,479(13),206.4,32.6,
0,1,5,아이엠스타,한,거,7세,56.5,47,이혁,이희영,♠태희종합건설,,529(-3),13.7,2.2,망사눈
1,2,6,버킷풀골드,한,수,4세,53.5,41,조상범,안해양,김길중,1½,489(-3),35.0,5.3,눈가면
2,3,1,정문서미트,한,수,3세,53,41,함완식,홍대유,♠김재영b,¾,509(0),1.7,1.1,망사
3,4,8,킹오브선데이,한,수,4세,*52,37,조재로,배휴준,양현모,2,503(6),10.3,2.4,망사눈
4,5,9,피케이군주,한,수,4세,54,42,먼로,신삼영,♠김태성,¾,493(-1),26.6,3.7,"계란형큰, 망사눈"
5,6,2,로만블레이드,한,암,5세,*52,39,하정훈,박재우,♠김형란,¾,428(-10),46.3,8.4,망사
6,7,7,위닝블레이드,한,거,4세,52.5,39,이동진,박대흥,♠김형란,½,515(5),35.9,8.1,"계란형큰,혀끈-,눈가면-"
7,8,3,기븐위켄드,한,거,4세,54.5,43,안토니오,김순근,배선규,½,453(-19),33.6,5.5,"반가지큰, 망사눈"
