,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,3,터프가이,한,수,2세,55,,장추열,정호익,♠(주)디알엠씨티,,527(1),1.3,1.0,"계란형큰, 망사눈"
1,2,4,아마존킹,한,수,2세,55,,안토니오,토니,허훈,2,450(1),8.7,1.8,"계란형큰, 망사눈"
2,3,8,참좋은친구,한,암,2세,53,,김정준,이준철,♠임한용,3,474(-16),8.1,1.7,
3,4,1,퍼스트슈,한,수,2세,55,,박을운,심승태,전영애,1¾,476(-9),12.0,2.5,망사
4,5,2,서니블레이드,한,암,2세,53,,빅투아르,최용건,♠김병진,5,482(15),69.1,6.8,계란형큰
5,6,7,은혜,한,수,2세,55,,송재철,최용구,강태구,2,496(2),16.9,4.5,망사눈
6,7,9,트로트퀸,한,암,2세,53,,함완식,김동균,♠김영근,½,465(3),59.2,6.2,
7,8,5,질주에바다,한,수,2세,55,,이철경,서인석,♠고재완,1¼,461(5),15.6,2.8,망사눈
8,9,6,플라잉센걸,한,암,2세,53,,유승완,임채덕,♠김형순,12,441(3),119.0,9.8,"계란형큰+,망사눈+"
0,1,5,플라잉풀문,한,암,3세,54,,장추열,임채덕,♠김형순,,467(-7),3.0,1.4,"자극판+, 승인편자, 망사눈,Triabit-"
1,2,9,금국화,한,암,3세,54,,빅투아르,우창구,♠배태곤,1¾,464(-4),13.4,4.8,"Triabit, 망사눈"
2,3,7,세명햇살,한,암,3세,54,,다비드,서정하,이기철,1,471(-6),28.0,5.3,망사눈+
3,4,10,루비캣,한,암,3세,54,,김정준,안병기,♠김기종,코,532(-7),45.0,19.7,"계란형큰, 망사눈"
4,5,6,브이퀸,한,암,3세,54,,박을운,박천서,♠박평양,머리,469(-8),13.0,5.3,"Triabit, 망사, 혀끈"
5,6,11,시선주마,한,암,3세,54,,송재철,안해양,천사들의 안장,1,490(-3),2.7,1.5,"망사눈+,망사-"
6,7,4,엄청난걸,한,암,3세,54,,문정균,이준철,♠임한용,1,473(7),18.5,2.1,
7,8,3,야스,한,암,3세,54,,박병윤,김윤섭,조금제,¾,480(-9),61.0,8.8,망사
8,9,1,비엔토,한,암,3세,54,,부민호,심승태,전영애,머리,444(-9),7.9,2.0,"계란형큰, 망사눈"
9,10,8,실버햄튼,한,암,3세,54,,먼로,박대흥,♠김경민,2,480(8),11.1,3.6,망사눈
10,11,2,강한여전사,한,암,4세,54,,지하주,신삼영,♠조창규,¾,477(-2),18.6,2.8,눈가면
11,12,12,파이널에이스,한,암,4세,54,,유승완,조현수,♠김선식,4,478(-2),366.3,102.5,"계란형큰, 망사눈"
0,1,12,정문최강,한,거,3세,56,,박병윤,홍대유,♠김재영b,,521(17),18.3,6.8,혀끈
1,2,2,러닝넘버원,한,수,3세,56,,박현우,배대선,♠(주)디알엠씨티,1½,480(8),59.1,11.7,망사
2,3,1,태양타고,한,암,3세,54,,최원준,지용철,♠최성룡,½,416(-12),9.6,2.2,망사눈
3,4,9,선더호스,한,수,3세,56,,조한별,안병기,♠(주)디알엠씨티,½,469(-2),9.3,3.7,망사눈
