,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,5,아이스스타,한,거,3세,52,,(-4)김아현,이관호,♠이경희,,480(3),21.3,3.3,"계란형큰, 망사눈"
1,2,11,장산가드,한,수,3세,56,,문세영,강환민,♠김병진,1,507(0),3.1,1.6,"계란형큰, 망사눈"
2,3,6,정문지존,한,거,3세,56,,함완식,홍대유,♠김재영b,3,500(0),23.0,2.2,
3,4,12,쇠와꽃,한,암,3세,54,,최범현,곽영효,♠김용재,4,482(4),5.1,2.0,"계란형큰, 망사눈"
4,5,10,거센파워,한,수,3세,56,,우에다,박희철,♠강석대,1¾,464(-13),72.3,11.5,망사눈
5,6,1,부스터로켓,한,암,4세,52,,(-2)임다빈,최봉주,윤지중,1¾,503(24),32.9,6.2,
6,7,7,봄꽃,한,암,3세,54,,김효정,최용건,♠박성구,½,473(-7),112.2,36.5,
7,8,3,보고또보고,한,거,4세,56,,황순도,임봉춘,김진태a,1½,514(9),5.5,1.5,
8,9,2,러닝넘버원,한,수,3세,56,,장추열,배대선,♠(주)디알엠씨티,2½,468(-1),22.2,4.8,망사
9,10,9,신데렐라,한,암,4세,54,,이기회,서홍수,이본희,3,419(-5),125.8,27.1,"반가지큰, 망사눈"
10,11,8,미사일퀸,한,암,3세,54,,조상범,조현수,♠이장운,1½,441(-7),169.3,11.0,망사
11,12,4,질주본,한,거,3세,56,,김정준,최영주,♠박준배,3,476(6),2.9,1.7,망사눈
0,1,4,불방울,한,수,2세,54.5,,문세영,박천서,윤훈현,,479(6),2.9,1.4,"반가지큰, 망사눈"
1,2,1,런투골,한,암,3세,54,,함완식,강성오,♠씨유네트워크,½,439(-6),5.8,2.1,"계란형큰, 망사눈"
2,3,11,리멤버웬,한,암,4세,54,,안토니오,리카디,♠함춘,1¼,481(3),4.2,1.7,"계란형큰, 망사"
3,4,3,걸작우먼,한,암,3세,54,,김용근,박윤규,♠박덕희,1,484(-1),3.7,1.4,"승인편자,망사눈-"
4,5,8,워리어선더,한,거,4세,56,,유승완,최봉주,윤지중,¾,491(2),17.3,4.3,"계란형큰, 눈가면"
5,6,12,새내초이스,한,암,4세,54,,김정준,홍대유,♠문금철,3,449(-10),59.3,5.8,
6,7,5,원더풀리버,한,암,3세,54,,박을운,배휴준,지경미,2,477(-2),26.0,2.6,망사눈
7,8,10,에피파니,한,수,3세,56,,김동수,안병기,♠우태율,1¾,489(11),194.4,12.9,"계란형큰, 망사눈"
8,9,6,퍼펙트라이트,한,암,4세,54,,다비드,우창구,♠변갑한,2,441(2),142.4,18.3,"망사눈, Triabit"
9,10,2,넘버원타깃,한,암,4세,54,,이혁,이희영,♠태립,2,492(6),16.0,3.9,망사
10,11,9,럭셔리돌풍,한,수,3세,56,,먼로,김동균,♠박정재,19,512(2),30.0,14.0,계란형큰
11,12,7,미소가득,한,암,4세,54,,박상우,곽영효,양수화,7,451(-7),182.1,41.6,계란형큰
0,1,4,더파이팅,한,수,3세,56,,김정준,박병일,♠김정철,,498(4),3.1,1.5,
1,2,6,원더풀오렌지,한,암,4세,54,,다비드,배대선,♠(주)녹원목장,4,465(4),8.6,1.3,망사
2,3,11,블루해머,한,수,3세,56,,이혁,강환민,♠이종원,1¼,503(1),2.7,1.4,
