,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,5,플라잉불릿,한,암,3세,53,,임기원,신삼영,♠이진경,,465(1),7.5,2.0,"계란형큰,눈가면+,양털코-"
1,2,8,클린업트리오,한,거,3세,56.5,,함완식,강성오,♠민형근,2,491(-20),2.5,1.3,계란형큰
2,3,7,인그란퀸,한,암,3세,53,,(-1)조상범,지용철,♠금악목장,½,488(-1),11.4,2.7,
3,4,6,천지폭풍,한,수,3세,56.5,,다나카,서인석,홍상기,1,462(-1),8.2,1.8,"계란형큰,양털코+,망사눈-"
4,5,1,원더풀힐스,한,암,3세,53.5,,조재로,김동철,♠지대섭,머리,417(-8),8.7,2.0,망사
5,6,4,라온스텔라,한,수,3세,55.5,,유승완,이신영,♠라온건설,½,505(3),6.6,2.7,"계란형큰, 망사"
6,7,3,퍼스트선더,한,수,4세,55,,김용근,심승태,장철환,목,496(5),4.5,1.6,"망사, 반가지큰"
7,8,2,불패함성,한,암,3세,53,,라이언,이관호,♠황의영,6,474(26),53.1,11.9,망사
0,1,8,스트롱벌처,한,거,3세,56,,라이언,서범석,이성헌,,450(7),1.4,1.1,
1,2,9,영광의비트,한,거,3세,53,,(-3)문성혁,전승규,♠변창덕,10,450(0),6.8,1.7,"망사눈, Triabit"
2,3,3,컴플리트모션,한,암,3세,54,,김용근,심승태,♠장석영,1¼,481(-2),9.5,2.0,망사+
3,4,5,아이언하트,한,암,3세,54,,하정훈,임봉춘,박정웅,목,460(-10),7.2,1.4,"반가지큰, 눈가면"
4,5,2,코리아대장부,한,거,3세,56,,황순도,배휴준,곽승용,3,515(5),26.8,3.0,"계란형큰, 눈가면,혀끈-"
5,6,6,시드니머니,한,암,3세,54,,다비드,사이먼,♠함춘,6,424(13),13.7,2.5,Triabit
6,7,1,비앙카,한,암,3세,54,,유승완,박희철,♠강석대,5,434(-14),31.1,4.0,"계란형큰, 망사눈"
7,,7,베프케이,한,거,3세,56,,이동하,배대선,♠강경운,출전제외,491(-7),----,----,망사
8,,4,지오바나,한,암,3세,54,,함완식,박재우,♠오종택,출전제외,476(9),----,----,망사눈
0,1,11,최강스타,한,수,3세,53,40,다비드,사이먼,♠함춘,,473(-10),2.7,1.3,"Triabit, 눈가면"
1,2,5,케이엔에이스,미,암,3세,51.5,40,김용근,박대흥,♠조경수,½,473(-10),3.9,1.4,"계란형큰, 망사"
2,3,6,문학에카티,미,수,2세,51,38,박태종,정호익,세계건설(주),5,500(-2),22.5,4.6,눈가면
3,4,8,머스탱런,미,수,3세,52,38,안토니오,이관호,이영성,코,503(19),31.3,6.2,"계란형큰, 망사, 혀끈"
4,5,7,큐피드닥터,한,암,5세,52,43,(-1)김효정,유재길,♠서순배,코,470(5),22.4,4.2,
5,6,9,큐피드가이,미,거,3세,56.5,47,이현종,박천서,♠서순배,2,443(-8),4.2,1.9,"반가지큰, 망사눈"
6,7,4,베스트이펙트,미,거,4세,*52,34,박병윤,박천서,♠베스트샤인조합,목,496(17),125.5,20.9,망사눈
7,8,3,문학파이어,미,수,3세,52.5,39,빅투아르,신삼영,세계건설(주),¾,485(-12),6.0,1.5,"계란형큰, 망사눈, 혀끈"
8,9,10,아메리칸포스원,미,수,2세,*52,38,이동하,지용철,♠서정범,¾,492(-8),51.3,9.0,
9,10,2,금아팔콘,일,거,4세,54,42,유승완,심승태,♠금아산업(주),11,502(0),15.6,3.7,망사눈
10,11,1,리틀빅타이거,미,수,3세,53,40,정정희,안병기,♠우태율,1½,467(-15),129.5,19.1,"계란형큰, 망사눈"
0,1,4,크레이지큐,한,암,3세,50,,(-3)문성혁,서인석,♠서창식,,438(2),21.1,4.6,"계란형큰,망사눈+"
1,2,2,내길의빛,한,거,4세,55,,하정훈,홍대유,유종국,1½,452(-12),7.2,1.7,계란형큰
2,3,8,투어다이아,한,거,3세,55,,임기원,박재우,양무승,3,439(-17),17.3,2.9,눈가면+
3,4,3,리커버리탑,한,암,3세,53,,신형철,김윤섭,♠변갑한,5,475(-5),3.3,1.4,망사눈
4,5,7,마하천하,한,암,4세,53,,다나카,강환민,장철환,½,503(5),2.2,1.2,계란형큰
5,6,6,원더풀댄서,한,거,3세,55,,이아나,최용구,♠(주)녹원목장,목,487(11),8.2,2.2,"반가지큰,망사눈+,눈가면-"
6,7,1,제이엔리,한,거,3세,55,,이동국,김학수,♠이혜란,6,412(3),11.3,2.3,"망사눈, D형구리"
7,8,5,신라대장군,한,거,3세,55,,이동하,임봉춘,♠류주영,12,588(-13),30.2,8.4,계란형큰
0,1,12,토함산파워,한,수,3세,55,43,이현종,배대선,♠박웅진,,492(-1),3.2,1.7,망사
1,2,10,황금사자,미,수,3세,57,50,다나카,임봉춘,진교원,1¼,487(4),4.3,1.7,"망사, 반가지큰"
2,3,8,프리티오드보이,미,수,4세,53,38,빅투아르,박병일,♠권경자,½,477(-1),4.6,2.0,"계란형큰, 망사눈"
3,4,3,센스쟁이,미,거,3세,55,43,임기원,안병기,김종철,1¾,478(-9),6.7,1.9,"눈가면+,망사눈-"
4,5,1,굿카이로,미,수,3세,53,37,마누엘,박윤규,세계건설(주),¾,444(-6),10.3,2.7,망사눈
5,6,11,로열프린스,한,거,4세,54,41,다비드,박재우,최장석,¾,474(6),33.8,5.5,"반가지큰, 망사눈"
6,7,5,리워드하이,미,암,6세,55,49,하정훈,임봉춘,김종철,½,513(-11),30.9,5.3,"망사, 반가지큰"
7,8,9,데블맨,한,거,6세,55,44,김동수,조현수,♠(주)녹원목장,2,486(7),80.3,17.7,"계란형큰, 망사눈"
8,9,7,더더비,미,거,3세,53,37,라이언,손영표,김재용,4,481(-4),48.2,9.5,망사눈
9,10,2,스피드쇼크,미,수,4세,53,38,함완식,김동균,♠장석은,2½,467(-11),20.1,5.1,망사눈
10,11,6,우정의향기,미,암,3세,51,37,김용근,김점오,♠강균호,2½,469(-2),11.8,2.6,양털코-
11,12,4,피엔에스하늘,아일,암,3세,51,40,(-1)조한별,조현수,♠피엔에스커튼월,6,449(23),104.5,32.5,망사
0,1,3,영스톰,한,수,5세,55.5,35,(-1)조상범,안병기,김종철,,483(1),17.3,3.2,"계란형큰,망사눈-"
1,2,5,퀸오브캠프,한,암,3세,52,29,임기원,박재우,윤건구,1½,492(-5),2.5,1.2,망사눈
2,3,9,메니스피드,한,수,3세,52,26,김동수,조현수,♠최몽주,2,548(-2),7.3,1.8,"계란형큰, 망사"
3,4,2,라온프로센스,한,거,4세,53,28,최범현,박종곤,♠라온건설,½,471(1),3.7,1.4,망사눈
4,5,1,페더라이트,한,암,3세,52,29,빅투아르,박병일,♠이용대,3,473(3),4.4,1.5,망사눈
5,6,6,골든웨딩,한,암,4세,51.5,30,(-1)조한별,조현수,♠박성식,3,455(3),17.3,3.8,"계란형큰, 망사눈"
6,7,8,선빅터,한,수,6세,54,30,마누엘,서범석,이신근,2,484(4),28.3,5.2,"계란형큰, 망사눈"
7,8,4,로열조이,한,암,3세,*52,28,다나카,최용구,이장호,6,447(8),25.3,6.1,"혀끈+, 눈가면,계란형큰-"
8,9,7,하드프린세스,한,암,4세,51.5,28,이아나,김점오,♠(주)녹원목장,5,478(-8),56.7,16.7,망사
0,1,8,딕시어게인,한,거,3세,55.5,32,안토니오,이신영,♠정영식,,489(-2),1.4,1.1,
1,2,10,문학아치,미,거,4세,56.5,34,신형철,김윤섭,김재영a,9,488(-1),59.0,7.0,
2,3,4,한양누리,한,암,3세,53.5,31,김용근,전승규,나종용,1¾,492(-8),8.7,1.6,"망사눈, Triabit"
3,4,5,탄탄위너,한,수,3세,54.5,30,다나카,최용구,♠최동근,코,461(-9),9.8,2.2,망사눈
4,5,11,아스테르,한,거,4세,51,23,박태종,서정하,♠공이공팔,3,433(-3),13.1,2.6,망사+
5,6,1,승리라이크,한,거,4세,51.5,30,(-3)문성혁,서인석,김재성b,1½,485(2),24.2,3.1,"계란형큰, 눈가면"
6,7,6,킹엔아이,한,수,3세,53.5,28,조재로,김동철,♠금악목장,1¾,516(-7),18.8,2.7,망사+
7,8,7,슈퍼라이트닝,미,암,7세,53.5,33,(-1)이동진,안해양,신기철,3,476(1),63.1,9.2,망사
8,9,3,축복의열매,한,암,5세,*52,22,방춘식,지용철,김영옥,7,476(-1),73.3,21.9,
9,10,2,발뢰자,한,수,3세,54.5,30,유승완,최영주,말사모,½,468(-15),13.6,2.7,망사눈+
