,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,8,일마레,한,수,3세,55.5,,먼로,서범석,♠카도노 시게오,,472(5),18.6,3.8,"계란형큰, 망사눈"
1,2,6,천하여제,한,암,3세,53,,문세영,지용철,♠금악목장,2½,493(5),3.1,1.4,
2,3,4,백두거포,한,거,3세,55,,마누엘,구자흥,♠김봉겸,3,472(-3),10.8,3.0,"계란형큰, 양털코"
3,4,12,쏘아라흑장군,한,수,3세,55,,이준철,김대근,현태봉,2½,545(-7),66.8,18.0,
4,5,11,퍼스트선더,한,수,4세,55,,김정준,심승태,장철환,목,491(-1),45.3,6.1,"망사, 반가지큰"
5,6,5,대호천하,한,거,4세,55,,정평수,김동철,♠고재완,2½,463(1),34.1,7.1,"계란형큰, 망사눈"
6,7,2,달리는웅지,한,수,4세,56,,유승완,박희철,경규환,2,477(8),4.9,1.5,"계란형큰, 망사눈"
7,8,1,캐럿시커,한,수,4세,55.5,,함완식,김동균,♠공이공팔,3,454(5),4.2,1.6,"계란형큰+, 망사눈"
8,9,7,선샤인마린,한,암,3세,54,,다나카,이관호,♠이경희,1,482(0),20.1,4.1,"계란형큰, 망사, 혀끈"
9,10,10,아임해피,한,암,4세,54,,빅투아르,박재우,♠김정철,1,455(8),5.3,2.6,망사눈
10,11,3,블랙스피릿,한,암,4세,54,,다비드,김학수,♠이혜란,1½,434(17),42.6,9.5,"망사눈+,Triabit-,눈가면-"
11,12,9,매직돌풍,한,암,4세,53.5,,안효리,유재길,오왕근,23,471(11),86.1,21.2,"반가지큰, 혀끈"
0,1,12,초동보배,한,암,3세,50,,(-4)문성혁,전승규,♠손병현,,446(-1),3.2,1.5,양털코+
1,2,2,서울시티,한,암,3세,54,,안효리,최봉주,♠이시환,½,470(12),4.4,1.5,"계란형큰, 망사눈"
2,3,7,황금도야지,한,암,3세,54,,김용근,김점오,이중연,코,490(4),4.8,1.9,
3,4,3,라온댄서,한,암,3세,54,,박태종,박종곤,♠라온산업개발(주),1½,446(6),10.9,2.9,망사눈
4,5,10,쿠카캣,한,암,3세,54,,다비드,사이먼,♠이시돌협회,2,423(-6),7.6,2.4,Triabit+
5,6,5,퀸스트리트,한,암,4세,54,,안토니오,최영주,♠손병현,1½,490(3),7.4,1.9,혀끈+
6,7,6,언성히어로,한,암,3세,54,,김옥성,손영표,노병석,1½,474(6),75.7,17.5,"계란형큰, 망사눈"
7,8,1,꼬꼬마레이디,한,암,3세,53,,(-1)이동진,안해양,신기철,1,451(8),121.4,22.8,"계란형큰, 망사"
8,9,9,에이스고고,한,암,3세,54,,마누엘,구자흥,김광두,¾,464(0),196.5,32.5,"망사눈+,망사-"
9,10,4,이길래오,한,암,3세,54,,이현종,박대흥,죽마조합,¾,485(-1),10.8,2.9,"계란형큰, 망사"
