,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,3,황금파워,한,암,2세,53,,박을운,임봉춘,♠송진석,,473(-5),3.3,2.0,망사
1,2,9,진또배기,한,수,2세,55,,이혁,지용철,박시용,5,458(-16),20.0,12.0,
2,3,6,해피데이,한,암,2세,53,,김용근,안병기,♠김기종,½,483(3),20.0,1.1,망사+
3,4,8,빅토리카,한,암,2세,53,,송재철,안해양,♠김한수,머리,446(8),1.8,12.0,
4,5,2,에이스프린스,한,수,2세,55,,안토니오,최봉주,♠우상우,1,467(13),20.0,12.0,망사눈+
5,6,1,스톰로드,한,암,2세,53,,이현종,최영주,♠손병현,1,426(-1),20.0,12.0,망사
6,7,10,올드스페셜,한,수,2세,55,,임기원,박재우,♠이진경,목,468(7),20.0,12.0,망사+
7,8,7,럭키전사,한,수,2세,55,,빅투아르,홍대유,♠황봉기,½,492(8),20.0,1.1,
8,9,5,바잉블레이드,한,수,2세,55,,최범현,강환민,♠김형란,1½,494(8),20.0,1.1,"계란형큰, 망사눈"
9,10,4,유정챔프,한,수,2세,55,,김귀배,서인석,♠이성님,½,467(10),20.0,12.0,
0,1,10,이비사걸,한,암,3세,54,,이동국,리카디,♠공이공팔,,423(0),34.4,3.2,망사눈+
1,2,6,마칼루파워,한,수,3세,56,,황순도,서홍수,♠김세민,1¼,453(3),3.1,3.2,망사
2,3,12,천둥기세,한,수,3세,56,,김효정,배대선,♠(주)디알엠씨티,½,476(-4),34.4,3.2,망사
3,4,2,캡틴브라보,한,거,3세,56,,박현우,곽영효,♠김용래,1½,431(3),17.2,3.2,"계란형큰, 망사눈"
4,5,9,스프링데이,한,수,3세,56,,유승완,송문길,♠(주)나스카,1¼,466(3),34.4,3.2,"반가지큰-,망사눈-"
5,6,1,마칼루퀸,한,암,3세,54,,박상우,서홍수,♠김명식,코,443(5),3.1,3.2,
6,7,5,헤리티지,한,수,3세,56,,박을운,신삼영,♠이혜란,목,482(12),34.4,3.2,"망사+,망사눈-"
7,8,8,그린스카이,한,암,3세,54,,이현종,구자흥,♠김재영b,2,429(-6),34.4,3.2,망사
8,9,3,장산사수대,한,수,3세,56,,송재철,이신영,♠김병진,3,426(2),3.1,3.2,망사
9,10,7,슈퍼마스터,한,수,3세,56,,권석원,박윤규,♠김지훈,목,443(19),34.4,3.2,"계란형큰,망사눈+"
10,11,11,사이먼스톰,한,암,3세,54,,박병윤,조현수,♠이혜란,8,481(8),34.4,3.2,
11,12,4,컬러즈온리,한,암,3세,54,,조상범,구자흥,이화연,1½,463(-7),34.4,3.2,"망사+,반가지큰+"
0,1,3,조이오브킹,한,거,4세,56,,김동수,조현수,♠신우철,,501(-4),3.1,1.2,"망사, 반가지큰"
1,2,8,피케이돌풍,한,거,3세,56,,김정준,심승태,♠김태성,목,476(7),4.3,1.9,망사눈+
2,3,4,천상의여인,한,암,3세,54,,조재로,김동철,김종식,3,427(5),3.1,1.2,
3,4,12,질풍백광,한,암,3세,54,,이동진,박대흥,조진환,1,485(7),5.7,1.4,"망사,계란형큰-"
4,5,6,시크릿걸,한,암,3세,54,,조한별,박윤규,♠김영선,1,455(-7),34.4,8.7,"계란형큰, 눈가면"
5,6,2,청수라이더,한,수,3세,56,,신형철,김윤섭,♠청수,목,481(3),34.4,8.7,망사눈
6,7,10,오버어치브,한,암,3세,54,,박현우,곽영효,♠오종택,1¼,452(6),34.4,8.7,
7,8,11,럭셔리골드,한,암,3세,54,,이현종,신삼영,김은갑,3,474(-2),34.4,8.7,망사눈
8,9,7,모닝동자,한,거,3세,54,,(-2)문성혁,전승규,김중길,2½,461(-11),34.4,8.7,"계란형큰+, 망사눈"
9,10,1,신록,한,수,3세,56,,박상우,최상식,강종우,½,544(-4),34.4,8.7,
10,11,9,쿠레나이원,한,암,3세,54,,조상범,김점오,♠금악목장,9,466(15),34.4,8.7,"반가지큰, 망사눈"
11,,5,청담플라잉,한,암,3세,54,,임기원,강환민,♠삼정,출전취소,0(0),----,----,
0,1,1,루이사,한,암,3세,54,30,이현종,임봉춘,♠김철,,468(-3),23.2,1.2,
1,2,9,조지퀸,한,암,3세,54.5,31,박현우,이관호,♠김순건,1¾,489(-4),1.1,1.2,망사
2,3,7,새로운보배,한,암,4세,54,30,김정준,심승태,류재욱,4,462(2),23.2,1.2,"계란형큰,망사눈-"
3,4,6,쏘아라여장군,한,암,3세,53.5,29,박상우,김대근,현태봉,11,426(-4),23.2,4.8,
4,5,8,프라임퀸,한,암,4세,54,30,조재로,배휴준,김진철,2,504(21),23.2,4.8,"Triabit+,눈가면+,계란형큰-,망사-"
5,6,5,라온조이,한,암,4세,*52,25,조상범,박종곤,♠라온건설,½,466(11),23.2,4.8,망사눈
6,7,3,포트스원,한,암,2세,52,29,김용근,서인석,♠조창규,목,491(-4),23.2,4.8,눈가면
7,8,4,원앤온리,한,암,3세,53,28,이혁,지용철,♠조용학,¾,497(9),23.2,4.8,눈가면
8,9,2,한센초이스,한,암,3세,54,30,최범현,신삼영,♠이혜란,7,464(8),23.2,4.8,
0,1,9,전정사금,한,암,3세,53.5,30,임기원,이관호,♠박재범,,505(14),2.6,2.9,망사눈
1,2,10,위너템플러,한,암,4세,52.5,28,이현종,박대흥,♠요시다 가츠미,6,462(23),28.8,2.9,"계란형큰-,혀끈-"
2,3,7,글로벌골드,한,거,3세,54.5,29,이혁,최상식,♠장재형,1¾,465(5),28.8,2.9,망사눈
3,4,8,대싱카누,한,암,4세,53,29,조한별,유재길,박정열,3,492(-5),28.8,2.9,망사
4,5,6,아마로네,한,암,5세,52.5,28,하정훈,임봉춘,지앤지프로덕션,½,436(-7),28.8,2.9,"반가지큰, 망사눈"
5,6,4,위너블루,한,거,3세,55.5,31,안토니오,우창구,♠전영범,1,465(-1),2.6,2.9,"망사눈, Triabit"
6,7,3,선샤인특급,한,암,4세,53,29,김동수,이신영,박의주,½,504(0),4.8,2.9,"계란형큰, 망사눈"
7,8,11,선더머니,한,거,5세,51.5,23,다비드,손영표,♠박성구,½,465(-1),28.8,2.9,"반가지큰,망사눈-"
8,9,5,페더럴킹,한,수,3세,56,32,조상범,지용철,♠금악목장,1,495(-10),28.8,2.9,"망사눈, Triabit"
9,10,1,디에코,한,암,3세,52,27,이준철,김대근,♠안희철,1¼,443(4),28.8,2.9,
10,11,2,브레인스피더,한,암,4세,*52,24,박상우,서범석,이성헌,9,513(17),28.8,2.9,
0,1,1,스프링킹,미,거,3세,56,38,이동하,토니,♠(주)디알엠씨티,,471(-17),7.7,7.5,"계란형큰, 망사,혀끈-"
1,2,9,문학문,미,수,2세,54.5,38,빅투아르,홍대유,♠권경자,4,477(19),1.8,7.5,눈가면+
2,3,5,마이티칩,미,수,2세,54.5,38,안토니오,서홍수,♠조병태,2½,507(0),3.8,1.0,
3,4,3,선붐,미,수,3세,56,39,다비드,서범석,이신근,5,501(-5),34.1,1.0,계란형큰
4,5,11,두손멍군,미,수,2세,54.5,38,함완식,정호익,이도명,1¼,454(14),408.8,7.5,망사눈
5,6,10,창성히트,뉴,거,3세,55.5,38,김용근,안해양,임흥호,머리,440(-23),8.0,7.5,망사눈-
6,7,12,장산골드,미,암,3세,54,38,유승완,최용건,♠김병진,목,489(-16),13.2,7.5,"망사,혀끈-"
7,8,4,문학파로아,미,수,2세,54.5,38,최범현,박종곤,♠권경자,3,503(8),408.8,7.5,망사눈
8,9,8,베링맨,미,수,2세,54.5,38,박현우,박천서,♠박평양,3,461(2),68.1,7.5,"망사, 반가지큰"
9,10,6,이럽션,미,수,3세,56,38,이혁,안해양,♠이혜란,목,486(-11),408.8,7.5,망사눈
10,11,7,비무량,미,수,3세,56,38,박을운,심승태,♠송진석,6,512(27),15.7,7.5,"계란형큰, 망사"
11,12,2,선더타임,미,수,2세,54.5,38,송재철,우창구,♠변갑한,6,478(4),408.8,7.5,
0,1,12,땡큐마더,한,암,4세,51,41,(-2)문성혁,서인석,♠강용식,,502(-6),25.6,2.1,"계란형큰, 양털코"
1,2,9,원더풀루비,한,암,4세,*52,36,김용근,배휴준,♠지대섭,1¾,475(5),25.6,12.5,"망사, Triabit"
2,3,4,컴플리트캡틴,한,수,3세,57,48,임기원,박재우,♠장석영,목,513(0),1.2,1.0,눈가면
3,4,8,그린다르크,한,암,4세,*52,38,김정준,구자흥,♠김재영b,3,455(-8),25.6,3.1,망사눈
4,5,7,킹오브선데이,한,수,4세,*52,36,조재로,배휴준,양현모,4,484(-3),25.6,1.1,망사눈
