,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,5,모닝뉴스,한,암,3세,54,,이혁,최용건,♠(주)나스카,,457(-3),10.2,1.6,"계란형큰, 망사"
1,2,12,데스크탑,한,수,3세,56,,조상범,배휴준,조금제,1½,468(4),8.0,3.8,망사
2,3,4,온리위너,한,암,4세,54,,김정준,송문길,♠손병철,3,439(8),2.6,1.2,
3,4,8,퍼펙트라이트,한,암,4세,52,,(-2)임다빈,우창구,♠변갑한,½,441(0),43.6,4.8,"Triabit, 망사눈"
4,5,1,거센돌풍,한,수,3세,56,,문정균,최상식,♠강석대,¾,476(8),3.1,2.6,망사
5,6,6,럭키어필,한,수,3세,56,,윤태혁,김동철,♠금악목장,3,452(-5),12.6,2.0,망사눈
6,7,7,파이널에이스,한,암,4세,54,,지하주,조현수,♠김선식,코,483(0),11.9,2.9,"계란형큰, 망사눈"
7,8,3,과천신세계,한,암,3세,54,,하정훈,신삼영,♠김성진,1¼,483(11),75.9,7.1,
8,9,11,더블테이크,한,암,3세,54,,다비드,안해양,♠김성래,목,470(-8),9.8,7.2,망사눈
9,10,10,햇살타고,한,암,3세,54,,최원준,김동철,김종식,13,423(0),107.3,4.5,계란형큰
10,11,9,비바소모,한,암,3세,54,,김귀배,이신영,신준수,11,472(6),131.7,45.7,승인편자
11,12,2,연승장관,한,거,4세,56,,이기회,최영주,김근영,3,451(15),168.5,18.9,"망사눈+,계란형큰-,눈가면-"
0,1,5,원지,한,거,4세,56,,조한별,안병기,♠우태율,,474(0),1.6,1.2,"반가지큰, 망사눈"
1,2,8,큐피드원더,한,암,3세,54,,김귀배,이희영,♠서순배,2½,444(-2),24.1,2.7,"반가지큰, 망사눈"
2,3,9,어드밴스,한,암,4세,54,,정평수,최봉주,정승희,2½,444(-6),88.9,25.7,망사눈
3,4,6,남산초콜릿,한,암,3세,54,,김효정,토니,♠이기선,3,439(-4),13.1,1.9,"계란형큰, 눈가면, 혀끈"
4,5,10,빛나는질주,한,수,3세,56,,박상우,유재길,제주축산개발,코,520(-5),76.4,17.6,"계란형큰, 망사눈"
