,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,8,샤이니파이어,한,암,3세,54,,송재철,최영주,♠손병철,,471(5),3.0,1.0,
1,2,1,섀도우퀸,한,암,3세,54,,김정준,신삼영,링크폴로,1,472(19),3.0,1.3,"계란형큰+,망사눈+"
2,3,4,조이오브킹,한,거,4세,56,,김동수,조현수,♠신우철,7,505(13),20.7,31.7,"망사, 반가지큰"
3,4,5,환상터치,한,암,3세,54,,이준철,김대근,♠임동현,2,419(0),20.7,31.7,
4,5,3,월영이,한,암,3세,54,,이혁,홍대유,♠김정숙,½,477(-3),3.0,2.3,
5,6,9,메니스퍼트,한,암,3세,54,,박병윤,심승태,최현기,1,503(5),38.0,31.7,
6,7,7,런던의러닝,한,거,3세,56,,김용근,안해양,김창국,목,467(-17),38.0,31.7,망사눈
7,8,2,깨우침,한,수,4세,56,,조상범,안병기,♠우태율,½,472(-19),20.7,2.9,"계란형큰,망사+,망사눈-"
8,9,6,피엔에스볼트,한,암,3세,54,,이해동,구자흥,♠피엔에스홈즈,머리,457(2),38.0,31.7,"반가지큰, 망사눈"
9,10,10,졸리로저,한,수,3세,56,,김귀배,이희영,♠김정성,8,485(27),38.0,2.9,눈가면
0,1,3,가자플랜,한,암,3세,54,,신형철,홍대유,김재영a,,485(21),3.4,1.0,망사눈
1,2,1,함양상림,한,암,4세,54,,하정훈,신삼영,유영준,¾,471(8),4.2,2.2,
2,3,10,메이블루,한,암,3세,54,,이동진,박윤규,♠박덕희,5,434(-1),4.2,4.3,"계란형큰, 망사"
3,4,2,발리스타,한,거,4세,56,,박태종,이희영,(주)늘푸른목장,1½,468(1),24.0,1.1,망사
4,5,5,퍼펙트파워,한,거,3세,56,,문정균,최상식,지성한,½,481(-10),32.0,14.9,"망사눈, 혀끈"
5,6,4,금아매저스티,한,수,4세,56,,김정준,심승태,♠금아산업(주),1½,506(6),6.9,3.7,망사
6,7,6,오버어치브,한,암,3세,54,,박현우,곽영효,♠오종택,½,446(4),32.0,14.9,
7,8,8,메니스톰,한,암,3세,54,,조재로,최봉주,♠양순희,3,431(17),24.0,11.9,
8,9,9,오케이짱,한,암,3세,54,,송재철,송문길,박복용,4,464(-2),6.9,3.7,망사눈-
9,10,7,피엔에스니드,한,암,3세,54,,조상범,조현수,♠피엔에스커튼월,50,465(-4),24.0,11.9,망사눈
0,1,3,라피도아레스,한,암,3세,54,,송재철,송문길,♠허장원,,550(0),1.2,2.4,"계란형큰, 망사"
1,2,5,한일모아,한,암,3세,54,,이준철,김대근,한일사료,5,475(5),10.3,3.2,
2,3,4,스페셜스토리,한,암,3세,54,,조재로,박희철,이효선,1¼,450(-2),10.3,1.0,눈가면
3,4,7,글로벌선,한,암,3세,54,,김동수,최상식,♠장재형,½,466(-1),41.2,3.2,망사눈
4,5,2,새내초이스,한,암,3세,54,,빅투아르,홍대유,♠문금철,6,445(-12),6.9,1.2,"계란형큰+,망사눈+"
5,6,8,대승가온,한,암,3세,52,,(-2)문성혁,서인석,문석현,7,432(-7),41.2,2.6,
6,7,6,마칼루스타,한,암,3세,54,,김효정,서홍수,♠김세민,2½,438(11),41.2,10.6,
7,8,1,제주의여왕,한,암,4세,54,,김옥성,최봉주,♠미즈타니 마사테루,20,442(-8),41.2,6.3,
0,1,1,드림걸스,한,암,3세,54,,김효정,우창구,♠드림커뮤니티,,433(8),1.5,1.0,Triabit
1,2,6,원더플레이스,한,암,3세,54,,이혁,김순근,이장한,4,431(-8),38.4,34.7,망사눈
2,3,9,하루온,한,암,3세,54,,신형철,박병일,♠임동현,코,483(6),12.8,8.7,
3,4,8,성실머니,한,암,3세,54,,김귀배,박윤규,♠이동훈,3,527(17),38.4,34.7,망사눈
4,5,5,라이징빅토리,한,암,3세,54,,박병윤,조현수,♠신우철,4,493(10),38.4,5.8,망사눈
5,6,4,플라잉주노,한,암,4세,54,,김용근,심승태,♠김형순,코,472(0),6.4,11.6,"반가지큰, 망사눈"
6,7,3,율도장사,한,암,3세,54,,조상범,서정하,♠공이공팔,3,446(5),38.4,34.7,
7,8,2,마칼루퀸,한,암,3세,54,,박상우,서홍수,♠김명식,3,438(-4),38.4,34.7,
8,9,7,안양호랑이,한,암,3세,54,,김옥성,홍대유,(주)에이에프피,12,441(-10),4.8,1.0,계란형큰
0,1,6,미사일캔디,한,수,5세,55,28,이현종,최영주,♠이장운,,451(9),14.1,1.0,망사눈
1,2,4,열린문,한,수,3세,54,30,(-2)문성혁,서인석,♠김재성a,목,464(3),14.1,1.0,망사눈
2,3,1,레스카,한,암,3세,54,29,박태종,곽영효,구본순,3,535(3),1.7,1.0,"계란형큰, 망사눈"
3,4,3,아마로네,한,암,5세,53.5,28,조한별,임봉춘,지앤지프로덕션,2½,443(18),105.6,10.2,"반가지큰, 망사눈"
4,5,5,바람의미소,한,암,4세,*52,22,김용근,전승규,♠류화영,½,493(12),8.8,4.9,계란형큰
5,6,2,스트리트강자,한,거,3세,55.5,29,이동진,박대흥,남승현,2½,511(15),3.3,7.0,계란형큰
6,7,8,아라시,한,거,4세,52.5,23,조재로,김동철,♠김광명,6,475(3),21.1,8.0,망사눈
7,8,7,수제비,한,거,5세,52,21,문정균,김순근,김순주,21,476(5),23.5,14.0,망사눈
0,1,3,경부도령,한,수,3세,56,,이현종,유재길,♠허건호,,467(2),1.8,1.0,
1,2,2,코리안펄,한,수,3세,55,,박상우,서홍수,♠박순옥,2,447(-4),13.3,11.7,"계란형큰, 망사눈"
2,3,4,골드브릿지,한,거,3세,55.5,,조상범,최영주,♠손병현,½,523(5),5.0,4.8,"망사눈,혀끈+"
3,4,8,원더풀오렌지,한,암,3세,53.5,,김효정,배대선,청호컴넷(주),½,453(0),5.0,1.0,망사
4,5,5,에이원킹,한,수,4세,55.5,,조한별,유재길,임영수,3,488(-1),39.8,6.3,망사눈
5,6,6,호수아,한,거,4세,55.5,,다비드,손영표,이종천,2,461(6),46.4,11.7,"계란형큰, 망사눈"
6,7,9,파워프라이드,한,거,4세,56,,송재철,김동철,최현기,4,474(1),17.4,6.3,"계란형큰, 망사눈"
7,8,7,아리산,한,수,4세,55,,김옥성,박천서,♠청수,1,466(-20),17.4,11.7,혀끈
8,9,1,운해베스트,한,수,4세,55,,이혁,김동철,♠박정재,1½,426(-4),25.3,11.7,망사눈
0,1,7,스트라이드업,한,거,4세,55,45,조재로,서범석,♠청팅콩,,513(5),4.5,3.9,"계란형큰, 망사"
1,2,9,호스퀸,한,암,4세,51,39,하정훈,신삼영,링크폴로,목,493(11),4.5,1.0,
2,3,4,대군파워,한,거,4세,55.5,46,박현우,최용구,♠표종순,¾,471(4),4.8,3.9,혀끈
3,4,8,교룡득수,한,수,3세,51,36,조상범,지용철,♠(주)디알엠씨티,1¾,506(5),17.1,3.2,망사눈+
4,5,3,날아라힐,한,암,4세,51,43,(-2)문성혁,서인석,♠최상기,코,511(1),4.5,3.2,
5,6,6,섬싱노바디노,한,수,4세,56,47,김정준,홍대유,정춘복,4,475(-1),6.1,3.2,망사눈
6,7,5,사이킥보스,한,암,3세,51,36,박태종,정호익,♠금악목장,목,486(-7),17.1,3.2,
