,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,12,엠제이퀸,한,암,2세,53,,박현우,김동균,♠박정재,,481(1),2.5,1.0,망사눈
1,2,9,햇빛향기,한,암,3세,54,,조한별,김윤섭,지원철,¾,419(-9),22.3,3.0,눈가면
2,3,11,서브에이스,한,암,2세,53,,빅투아르,이관호,♠김정철,5,462(-1),5.5,1.4,망사
3,4,6,블루비치,한,암,2세,53,,조상범,강환민,♠이종원,1¼,450(19),73.8,9.4,망사
4,5,7,베가킹,한,수,3세,56,,김효정,배대선,김정두,1,444(6),2.8,3.4,"계란형큰+, 망사"
5,6,5,블루카이저,한,암,2세,53,,장추열,정호익,♠임동현,1,464(27),7.4,1.4,
6,7,4,슈프림위너,한,수,2세,55,,이현종,최영주,♠손병철,¾,458(17),98.2,13.8,계란형큰+
7,8,14,마하조던,한,암,2세,53,,김정준,심승태,장철환,1½,431(5),132.6,22.2,"계란형큰, 망사"
8,9,10,송암캣,한,암,3세,54,,이동진,안해양,지원철,2,450(21),22.9,4.5,망사
9,10,8,위닝메이커,한,암,2세,53,,김옥성,조현수,김갑수,코,467(8),118.6,18.9,"계란형큰+,망사+"
10,11,1,과천신세계,한,암,2세,53,,권석원,신삼영,♠김성진,1½,462(4),73.3,11.1,"계란형큰, 망사눈"
11,12,13,인디라이트,한,암,2세,53,,송재철,최상식,♠변갑한,코,482(12),106.6,31.0,망사+
12,13,3,천지운행,한,수,2세,55,,박을운,김동철,♠조창석,6,503(-2),149.1,46.8,
13,14,2,쇼미더선더,한,거,2세,54,,(-1)문성혁,박종곤,이웅열,1½,490(-16),66.7,10.8,망사눈
0,1,14,큐피드포인트,한,암,2세,53,,이혁,김동철,♠서순배,,493(14),13.0,2.9,망사
1,2,13,로열로드,한,수,2세,55,,김용근,안병기,♠손병현,5,502(5),18.5,7.7,망사눈
2,3,12,마하지존,한,암,2세,53,,문세영,최용건,장철환,½,476(-7),3.9,1.2,"계란형큰+, 망사"
3,4,7,에이원퀸,한,암,2세,53,,이동진,박대흥,임영수,1¼,479(8),34.2,3.7,"계란형큰+,망사+"
4,5,3,런던스피드,한,암,2세,53,,박을운,안해양,임흥호,2,480(17),2.2,1.3,
5,6,6,에이스댄싱,한,암,3세,54,,지하주,최영주,♠김순건,3,483(-8),27.7,3.3,
6,7,8,화이트트레인,한,수,2세,55,,우에다,강성오,♠홍종운,¾,490(4),201.6,35.8,"반가지큰, 망사눈"
7,8,9,금아스위프트,한,수,2세,55,,송재철,이관호,♠금아산업(주),¾,520(15),3.7,1.4,"계란형큰,망사눈+,망사-"
8,9,1,카우보이탱고,한,수,2세,55,,신형철,최상식,♠임동현,4,500(-1),55.1,11.0,
9,10,2,센아이,한,수,2세,55,,조한별,임봉춘,♠금악목장,½,510(13),53.8,6.7,"계란형큰,눈가면-"
10,11,11,러닝넘버원,한,수,2세,55,,김효정,배대선,♠(주)디알엠씨티,½,472(2),542.8,56.4,망사
11,12,10,미소가득,한,암,3세,54,,박현우,곽영효,양수화,5,451(-3),112.7,14.8,
12,13,5,라온울프,한,암,2세,53,,조재로,박종곤,♠라온건설,2½,458(4),170.5,52.7,
