,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,6,불의여왕,한,암,3세,55,,장추열,손영표,박흥길,,483(-4),1.6,1.2,망사+
1,2,13,성실머니,한,암,4세,55,,김귀배,박윤규,♠이동훈,1,535(-7),33.8,3.3,망사눈
2,3,7,스마트대보,한,암,3세,55,,김정준,전승규,♠박철근,4,446(-2),27.4,11.3,"망사눈, Triabit"
3,4,4,호크아리랑,한,암,5세,55,,우에다,최봉주,♠코리아호스랜드,4,490(4),62.1,12.6,"망사눈, Triabit"
4,5,11,큐피드원더,한,암,3세,55,,지하주,이희영,♠서순배,코,453(-1),90.0,24.2,망사눈
5,6,2,글로리칸,한,암,3세,52,,(-3)임다빈,정호익,정범성,¾,485(-2),33.2,5.7,망사눈
6,7,9,프린세스삭스,한,암,3세,55,,안토니오,이신영,♠김창식,½,453(-3),3.8,1.1,양털코
7,8,8,아라크투윈,한,암,3세,55,,조상범,배휴준,양현모,목,458(1),86.1,30.4,눈가면
8,9,5,르루아블랑,한,암,4세,55,,신형철,박천서,♠박병룡,2,461(5),16.3,2.7,망사눈
9,10,10,라온더최강,한,암,3세,55,,박태종,박종곤,♠라온건설,코,426(7),11.0,5.5,
10,11,12,남산초콜릿,한,암,3세,55,,문세영,토니,♠이기선,코,447(-8),42.4,5.7,"계란형큰,망사+,망사눈-"
11,12,14,퍼펙트라이트,한,암,4세,55,,문정균,우창구,♠변갑한,6,438(-1),90.0,69.2,"반가지큰, 망사눈"
12,13,1,지산꽃,한,암,3세,55,,유승완,박대흥,♠이기선,5,424(9),116.0,35.0,망사
13,14,3,빅토리샘,한,암,3세,55,,최범현,곽영효,이효선,3,455(5),35.0,1.9,"계란형큰,망사눈+"
0,1,5,록파이터,한,수,3세,57,,김동수,최상식,♠강승연,,476(8),15.4,3.3,눈가면
1,2,2,라온샹젤리,한,암,3세,55,,박태종,박종곤,♠라온건설,½,473(-12),2.1,1.4,망사눈
2,3,10,호크의영광,한,거,5세,57,,신형철,최봉주,♠코리아호스랜드,2½,480(0),81.8,14.8,계란형큰
3,4,1,비뢰킹,한,거,4세,57,,김효정,배대선,김정두,코,483(-11),4.4,2.5,망사
4,5,7,그레이캣,한,수,3세,57,,안토니오,서홍수,♠김명식,머리,448(-8),7.6,1.4,"계란형큰, 망사눈"
5,6,12,삼정타퍼즈,한,거,4세,56,,(-1)문성혁,서인석,♠김형란,2,463(-12),7.0,3.7,자극판
6,7,6,모닝플래시,한,수,3세,57,,이철경,조현수,김중길,코,503(-2),10.5,1.7,"계란형큰, 망사"
7,8,8,송암플레이어,한,암,4세,55,,이혁,전승규,지원철,¾,446(7),17.6,2.8,"망사눈+,Triabit+,눈가면-"
8,9,4,정문최강,한,수,3세,57,,김정준,홍대유,♠김재영b,2½,501(-5),123.4,6.1,눈가면
9,10,3,거센파워,한,수,3세,57,,유승완,박희철,♠강석대,8,479(2),90.4,12.5,"계란형큰+, 망사"
10,11,11,센아이,한,수,3세,57,,정정희,임봉춘,♠금악목장,5,517(1),292.6,47.6,"망사눈+,계란형큰-"
11,12,9,월드특급,한,거,4세,57,,지하주,박천서,♠김명식,1¾,476(0),116.3,14.3,"반가지큰, 망사눈"
0,1,8,럭키월드,한,수,3세,57,,송재철,김동균,♠윤대우,,460(6),3.8,1.5,"계란형큰, 망사눈"
1,2,9,블랙루키,한,암,3세,55,,김용근,강성오,이용대,2,464(2),2.4,1.5,망사눈
2,3,7,고고스타,한,암,3세,55,,김정준,김윤섭,김재용,1¼,455(4),4.0,1.3,망사눈
3,4,1,러닝넘버원,한,수,3세,57,,김효정,배대선,♠(주)디알엠씨티,8,467(0),62.2,16.4,망사
4,5,3,마성천하,한,수,3세,56,,(-1)문성혁,서인석,천사들의 안장,1½,471(-1),6.4,1.4,눈가면
5,6,4,과천신세계,한,암,3세,55,,신형철,신삼영,♠김성진,1,469(1),34.8,5.4,
6,7,6,국향,한,암,3세,55,,안토니오,박재우,김창만,½,469(1),8.9,1.5,망사
7,8,5,고속대박,한,암,3세,55,,문정균,최영주,♠손병철,1,455(12),306.0,48.4,망사눈+
8,9,2,온리의꿈,한,수,3세,57,,이해동,배휴준,김광영,26,496(12),104.7,16.6,"계란형큰+,눈가면+,망사눈-"
0,1,8,베스트탑,한,수,4세,57,,송재철,이희영,♠베스트샤인조합,,491(-3),4.1,1.7,"망사, 승인편자"
1,2,12,허니버터바비,한,암,4세,55,,안효리,이신영,♠카도노 시게오,목,465(3),10.2,2.0,"계란형큰, 망사눈"
2,3,7,페더럴아이,한,수,3세,57,,문세영,지용철,♠금악목장,1¼,489(3),2.7,1.3,"망사눈, Triabit"
3,4,1,그랜드스타,한,수,3세,57,,임기원,박재우,♠박정재,5,506(9),60.2,12.4,망사
4,5,4,소우주,한,수,3세,57,,정정희,안병기,♠우태율,½,490(4),15.1,4.9,"계란형큰, 망사눈"
5,6,5,리턴밸리브리,한,수,3세,57,,신형철,홍대유,김인호,½,494(-7),88.2,6.9,
6,7,6,소중한골든,한,거,4세,57,,이철경,서인석,최영훈,코,456(0),98.8,23.0,"계란형큰, 망사눈"
7,8,9,라온더타이거,한,거,3세,57,,최범현,박종곤,♠라온산업개발(주),머리,460(5),6.4,4.3,망사눈
8,9,11,사우스반,한,암,5세,55,,박상우,서범석,♠임종근,1¼,438(-11),11.9,11.8,
9,10,2,스피드플라잉,한,암,5세,55,,박을운,조현수,♠최몽주,2½,480(7),14.7,2.4,"계란형큰, 눈가면"
10,11,10,머니가락,한,거,3세,57,,김효정,배대선,박상헌,7,432(-11),127.7,21.1,망사
11,12,3,별빛보석,한,수,3세,57,,하정훈,신삼영,♠이장운,머리,459(1),8.9,1.8,눈가면
12,13,13,파이널에이스,한,암,4세,55,,이혁,조현수,♠김선식,¾,482(9),107.5,16.6,"계란형큰, 망사눈"
0,1,5,퍼텐셜에너지,한,암,4세,53,29,박태종,김동철,♠박재범,,480(4),26.8,7.6,망사
1,2,2,운외창천,한,암,4세,55,33,문세영,우창구,♠장수영,½,482(-2),2.3,1.3,망사
