,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,6,희망챔프,한,수,2세,55,,이현종,최용건,♠박재범,,479(2),8.9,2.6,"계란형큰+,망사눈+,망사-"
1,2,3,두손드라이브,한,수,2세,55,,다비드,박재우,이도명,1,480(-10),2.4,1.4,망사눈
2,3,5,타이탄삭스,한,수,2세,55,,안토니오,이신영,♠김창식,1¼,482(3),3.5,1.3,망사-
3,4,8,스카이팡팡,한,수,2세,55,,송재철,김윤섭,김재용,2,483(-4),25.9,5.2,
4,5,11,아치참,한,암,2세,53,,김효정,서홍수,♠김세민,코,463(10),85.6,10.0,
5,6,4,피엔에스린,한,거,2세,55,,조상범,구자흥,♠피엔에스홈즈,2,489(-4),61.6,10.6,"망사,반가지큰"
6,7,2,천은총,한,암,2세,53,,박병윤,김윤섭,조금제,¾,465(-3),5.7,1.5,망사눈+
7,8,7,차돌런,한,암,2세,53,,먼로,홍대유,전은영,2,485(3),44.9,11.4,
8,9,10,피엔에스땅콩,한,수,2세,51,,(-4)김태희,배휴준,♠피엔에스커튼월,½,450(11),185.4,26.9,
9,10,12,다운더존,한,암,2세,53,,유승완,김동균,♠양순희,목,432(7),6.9,1.8,망사눈
10,11,9,슈발도리앙,한,수,2세,55,,황순도,최영주,황혜정,1¼,473(0),276.2,31.8,망사눈+
11,12,1,주얼리베스트,한,암,2세,53,,박을운,심승태,♠김태성,1,458(0),36.1,8.4,망사+
0,1,4,멋진기록,한,수,2세,55,,다비드,박윤규,정기찬,,517(4),2.3,1.1,
1,2,7,올가림,한,수,2세,55,,조상범,지용철,임수복,½,509(-9),5.9,1.5,망사눈
2,3,10,걸작맨,한,거,3세,56,,문정균,박윤규,♠박덕희,1¼,480(13),162.8,21.5,"계란형큰,눈가면"
3,4,3,선더호스,한,수,3세,56,,빅투아르,안병기,♠(주)디알엠씨티,½,480(5),8.3,1.9,망사눈
4,5,2,마이더스캠프,한,수,3세,56,,문성혁,서인석,이유환,¾,441(2),9.5,2.8,"계란형큰,눈가면"
5,6,9,문학포리스트,한,수,3세,56,,유승완,박재우,♠황봉기,½,502(0),5.2,2.2,망사눈
6,7,8,킹마운틴,한,수,2세,55,,박병윤,홍대유,♠이미경,1½,527(-2),203.3,26.9,
7,8,11,티즈파이팅,한,거,3세,52,,(-4)김태희,안병기,신승열,1,466(3),141.7,11.2,"계란형큰,망사눈"
8,9,6,케이엔특급,한,거,3세,56,,안토니오,박대흥,♠조경수,2,452(3),21.9,6.3,망사
9,10,5,패밀리캡틴,한,수,3세,56,,황순도,임봉춘,김은갑,2,451(-2),24.0,4.4,눈가면
10,11,1,피엔에스헐,한,암,2세,53,,김동수,유재길,♠피엔에스홈즈,5,446(6),8.9,3.0,"계란형큰,망사눈"
