,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,8,베스트타임,한,암,2세,53,,하정훈,임봉춘,♠김태성,,472(-1),10.4,3.6,
1,2,11,올하트,한,암,2세,53,,함완식,김동균,김창희,½,464(-4),10.4,3.6,망사눈
2,3,3,더퀸저스티스,한,암,2세,53,,송재철,이관호,♠(주)인펨,1½,446(13),5.2,1.2,"계란형큰, 망사, 혀끈"
3,4,9,고고스타,한,암,2세,53,,김정준,김윤섭,김재용,4,470(8),5.2,2.4,
4,5,2,서에번쩍,한,수,2세,55,,안토니오,서인석,♠김명환,머리,488(3),10.4,3.6,"계란형큰+,혀끈+"
5,6,10,제이호크,한,수,2세,55,,먼로,송문길,♠허장원,1¾,448(6),10.4,3.6,망사눈
6,7,5,영웅대마,한,수,2세,55,,이준철,정호익,♠김광명,½,490(2),10.4,3.6,망사눈
7,8,4,새내윈,한,수,2세,55,,이혁,홍대유,♠문금철,목,473(11),10.4,3.6,망사눈+
8,9,6,케이프렌지,한,수,2세,55,,임기원,박윤규,♠김영선,3,506(-3),10.4,3.6,망사눈
9,10,7,스톰워리어,한,수,2세,55,,문세영,박대흥,양동희,3,502(-9),10.4,3.6,"계란형큰+,망사눈+"
10,11,1,나도야금,한,수,2세,55,,김옥성,이희영,이창모,1¾,470(10),10.4,3.6,망사눈+
0,1,7,베스트투어,한,수,3세,55,,송재철,신삼영,♠베스트샤인조합,,457(-6),25.6,3.2,망사
1,2,10,스피드마운틴,한,수,4세,56,,조상범,조현수,♠최몽주,¾,497(-6),2.3,1.6,"계란형큰, 망사눈"
2,3,11,큐피드코리아,한,거,3세,55,,방춘식,송문길,♠서순배,¾,463(-4),25.6,3.2,망사눈
3,4,5,킬라타스,한,수,3세,55,,안토니오,서홍수,♠오종택,3,466(-4),25.6,3.2,"계란형큰, 망사"
4,5,6,새내초이스,한,암,3세,54,,함완식,홍대유,♠문금철,2,454(9),12.8,3.2,"계란형큰-,망사눈-"
5,6,9,젝스칸,한,거,4세,52,,(-4)임다빈,박희철,윤명수,6,462(0),25.6,3.2,망사눈
6,7,8,록하드스카이,한,거,4세,55,,권석원,박윤규,♠(주)자성실업,½,457(-6),25.6,3.2,"계란형큰, 망사눈"
7,8,1,일여하여,한,암,5세,53.5,,이해동,최상식,제일사료(주),1¾,471(7),2.3,3.2,망사눈
8,9,3,운해베스트,한,수,4세,55,,하정훈,김동철,♠박정재,½,428(2),25.6,3.2,망사눈
9,10,4,머니라인,한,수,3세,55,,안효리,배대선,박상헌,2½,539(10),25.6,3.2,망사눈
10,11,2,골든앵글,한,수,4세,56,,김옥성,김윤섭,♠이종욱,4,496(3),25.6,3.2,망사눈
0,1,11,무쌍황후,한,암,3세,53.5,,이혁,리카디,이기훈,,448(-7),3.7,1.4,망사
1,2,1,케이엔원더풀,한,거,3세,55,,이동진,박대흥,♠조경수,4,501(-1),3.7,1.4,"계란형큰, 양털코"
2,3,10,티케파이어,한,수,3세,55,,문세영,최영주,♠손병현,4,507(-8),29.6,5.6,망사눈
3,4,4,디바인파워,한,수,3세,55,,다비드,손영표,류재욱,½,477(-2),7.4,2.8,망사눈
4,5,2,청담탱크,한,암,3세,53,,이동하,토니,♠삼정,1¼,450(3),29.6,5.6,"계란형큰, 망사눈"
5,6,5,베스트스톰,한,수,3세,55,,김덕현,박재우,♠박정재,1½,496(10),29.6,5.6,망사눈
6,7,9,로드핑크,한,암,3세,53,,하정훈,안해양,♠표종순,1¾,487(-3),29.6,5.6,망사
7,8,3,구름바다,한,거,3세,55,,함완식,임채덕,♠이관형,1¾,495(-12),3.7,1.4,"계란형큰,망사눈+,눈가면-"
8,9,8,장산엔진,한,암,3세,53,,송재철,이신영,♠김병진,4,462(-11),29.6,5.6,
9,10,7,소중한골든,한,거,3세,55,,안토니오,서인석,최영훈,1½,442(-9),29.6,5.6,"계란형큰, 망사눈"
10,11,6,런던보스,한,수,3세,55,,조상범,안해양,임흥호,2½,460(20),9.9,5.6,"계란형큰+, 눈가면,혀보정큰-"
0,1,10,사람이라는별,한,수,3세,56,31,문세영,안병기,♠우태율,,536(0),10.7,5.6,"계란형큰, 망사눈"
1,2,11,페더럴킹,한,수,3세,52,31,(-4)김아현,지용철,♠금악목장,5,500(5),75.2,22.4,"망사눈, Triabit"
2,3,2,만세,한,거,3세,55,29,송재철,임봉춘,김진태a,6,479(-3),18.8,7.5,"반가지큰, 망사눈"
3,4,1,황금도야지,한,암,4세,54,30,박현우,곽영효,이중연,목,486(-4),25.1,5.6,망사눈
4,5,3,갓오브삭스,한,수,4세,55.5,30,김덕현,강환민,♠김창식,3,472(4),75.2,22.4,"계란형큰, 망사눈"
5,6,4,아스테르,한,거,5세,51,21,지하주,서정하,♠공이공팔,5,439(1),75.2,22.4,
6,7,6,드림머니,한,거,4세,55,29,다비드,박윤규,♠박덕희,1¾,470(-2),12.5,5.6,망사눈
7,8,9,메이플문,미,수,4세,53.5,26,안효리,유재길,곽승용,1¼,488(5),2.4,1.0,
8,9,8,위대한파이터,미,거,4세,55.5,30,조재로,배휴준,곽승용,¾,514(3),2.3,1.0,"자극판, 눈가면"
9,10,5,윈드리버,한,암,4세,52,26,권석원,최영주,♠손병현,1¾,447(-7),75.2,22.4,"계란형큰, 망사눈"
10,,7,킹리,한,거,4세,52.5,24,조상범,김점오,♠금악목장,주행중지,437(-5),12.5,7.5,"반가지큰, 망사눈"
0,1,1,핵삭스,한,수,3세,56,32,안토니오,강환민,♠김창식,,484(0),3.6,1.3,자극판
1,2,8,대지여걸,한,암,4세,53.5,30,김정준,최영주,말사모,2½,444(3),7.2,2.7,망사눈
2,3,9,럭키마이더스,한,수,4세,52.5,33,(-4)임다빈,김윤섭,♠조창규,3,467(7),28.8,5.3,계란형큰
3,4,10,네버워크얼론,한,수,3세,55.5,31,문세영,최봉주,♠김정철,½,440(8),2.2,1.3,망사
4,5,3,최고비상,한,거,5세,51,21,방춘식,김점오,과천시청,1,478(-1),14.4,2.7,망사
5,6,11,아라시,한,거,4세,*52,21,조한별,김동철,♠김광명,½,471(-8),28.8,5.3,"망사눈,혀끈+"
6,7,4,장군의시대,한,암,4세,52.5,28,안효리,심승태,강필석,2½,449(1),28.8,5.3,"계란형큰, 망사"
7,8,5,블루밴드,한,암,4세,*52,26,박을운,이신영,♠정영식,6,442(11),9.6,2.7,"계란형큰, 망사"
8,9,7,송암바비,한,암,5세,*52,22,이강서,유재길,지원철,1,471(4),28.8,5.3,
