,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,9,정조의꿈,한,거,3세,56,,먼로,강성오,♠이관형,,461(5),3.1,1.2,"계란형큰, 눈가면"
1,2,11,해랑,한,암,3세,54,,문세영,우창구,이보원,2,495(12),4.0,1.3,망사눈
2,3,4,화이트코멧,한,수,3세,56,,박태종,정호익,♠백국인,2,474(1),2.0,1.0,망사눈
3,4,3,제주의요정,한,암,3세,54,,이동하,최봉주,♠미즈타니 마사테루,10,485(-2),13.3,2.1,"계란형큰, 망사눈"
4,5,5,스펙터퀸,한,암,3세,54,,박상우,이관호,배선규,2½,462(17),51.1,7.5,"계란형큰, 망사눈"
5,6,6,로열리멤버,한,수,3세,56,,마누엘,최용구,이장호,1,488(-11),26.2,4.0,계란형큰
6,7,7,베스트골드,한,암,4세,54,,방춘식,이희영,♠베스트샤인조합,코,432(-18),196.6,23.2,망사+
7,8,8,스페셜어게인,한,암,2세,52.5,,다비드,곽영효,♠이미경,½,456(-2),152.6,15.8,
8,9,1,리빙인더모던,한,암,3세,51,,(-3)문성혁,박종곤,♠김정철,5,445(2),155.5,21.4,반가지큰
9,10,2,스페셜챔프,한,암,3세,53,,(-1)김효정,배휴준,♠이성님,9,434(-19),78.2,15.6,망사
10,11,10,우봉륭,한,암,2세,52.5,,송재철,임봉춘,임흥호,3,460(-9),89.9,13.0,망사눈+
0,1,6,솔개바람,한,암,3세,53,,다비드,이희영,♠이종욱,,461(-2),15.4,3.0,
1,2,11,블루대자연,한,거,3세,56,,조재로,배휴준,황철연,1,472(5),2.7,1.1,"계란형큰, 눈가면"
2,3,9,디아볼라,한,암,3세,53,,마누엘,리카디,♠조건진,2,461(-1),6.7,1.7,망사눈
3,4,4,캡틴베스트,한,거,3세,55,,박을운,김동균,최현기,3,460(-1),8.0,2.7,망사눈
4,5,3,새내플래시,한,수,3세,53,,(-2)김덕현,홍대유,♠문금철,1½,483(4),5.7,1.8,
5,6,7,제이엔리,한,거,3세,55,,이동국,김학수,♠이혜란,¾,401(-8),75.9,14.4,"망사눈, D형구리"
6,7,5,타미나,한,암,4세,53,,이현종,배대선,♠이태인,¾,460(-12),12.0,3.2,"계란형큰+,망사+,Triabit-"
