,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,3,날아라힐,한,암,3세,51,,(-3)문성혁,서인석,♠최상기,,524(4),2.1,1.1,
1,2,5,천지애가,한,암,3세,54,,하정훈,박천서,함운일,6,491(-1),15.7,2.3,망사눈
2,3,1,대지공주,한,암,4세,54,,다나카,조현수,배선규,5,464(1),38.7,3.9,"반가지큰, 망사눈"
3,4,2,곡마단,한,수,3세,56,,김정준,김윤섭,♠이종욱,5,500(-9),44.4,11.6,망사눈
4,5,7,백색광채,한,수,3세,55,,(-1)김효정,배대선,미리내,¾,480(-11),2.4,1.0,망사
5,6,4,호남대로,한,거,3세,56,,송재철,최영주,말사모,목,419(-1),100.5,10.3,"계란형큰-,망사눈-"
6,7,8,원더풀팡팡,한,암,3세,54,,김용근,김학수,♠이혜란,1½,500(-9),5.2,1.2,망사눈-
7,8,6,샌드루이스,한,거,3세,56,,김옥성,박희철,♠강석대,8,495(-8),29.5,6.7,"망사눈,혀끈+"
0,1,6,오케이데이,한,수,4세,55.5,32,김용근,송문길,박복용,,536(-8),3.0,1.4,망사눈
1,2,2,인듀어런스,한,수,3세,57,35,문세영,지용철,♠조용학,2½,547(6),2.4,1.1,
2,3,7,플라잉조이,한,수,4세,55,35,(-2)김덕현,심승태,♠김형순,3,462(-5),21.3,2.5,"계란형큰, 망사눈"
3,4,3,글로리번,한,암,4세,51,25,박태종,정호익,정범성,코,440(1),25.6,3.4,망사
4,5,5,일마레,한,수,3세,56,33,먼로,서범석,♠카도노 시게오,1,479(-6),3.2,1.5,"계란형큰, 망사눈"
5,6,9,미사일캔디,한,수,4세,53,27,유승완,최영주,♠이장운,1¾,449(2),22.7,3.0,망사눈
6,7,4,포제이케이,한,암,4세,*52,25,함완식,김점오,♠강균호,2½,427(-10),57.5,8.4,망사눈
7,8,1,굳세어라,한,암,4세,51,24,하정훈,임봉춘,♠윤우환,3,451(-3),58.3,8.1,"계란형큰, 망사눈"
8,9,8,브레인스피더,한,암,3세,51.5,27,다비드,서범석,이성헌,1,485(-2),53.3,7.2,
