,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,8,위시미,한,암,2세,52,,김용근,최용구,♠강무웅,,511(-6),4.1,1.3,계란형큰
1,2,4,검포,한,수,2세,54.5,,함완식,박병일,♠드림커뮤니티,1,485(10),1.4,1.0,망사
2,3,1,에이투제트,한,수,2세,54,,조한별,지용철,♠최성룡,3,477(8),12.5,2.0,
3,4,9,전정사금,한,암,2세,52,,임기원,이관호,♠박재범,목,502(12),6.4,1.6,망사눈
4,5,3,참일호,한,암,2세,52,,먼로,박대흥,이대봉,4,466(0),46.6,4.7,계란형큰-
5,6,2,원더풀제이드,한,수,2세,54,,다나카,김학수,♠(주)녹원목장,8,450(4),75.9,7.8,망사눈
6,7,6,코리아기적,한,수,2세,54,,이동하,지용철,♠오종환,3,497(9),40.1,5.3,
7,8,5,천사의별,한,거,2세,54,,박병윤,김동철,♠김선식,목,463(5),212.2,22.6,망사
8,9,10,골디락스,한,수,2세,54,,김동수,조현수,♠(주)나스카,1½,534(8),86.9,12.1,"계란형큰, 망사눈,승인편자+"
9,,7,영주스톤,한,수,2세,53,,(-1)김덕현,서정하,유영준,출전제외,481(-1),----,----,망사눈
0,1,1,제이엠파이터,한,수,2세,54.5,,김정준,김윤섭,김재용,,506(11),3.6,1.4,망사
1,2,9,원더케이,한,수,3세,55,,송재철,우창구,♠강경운,2½,497(8),4.7,2.0,"반가지큰, 망사눈"
2,3,4,봄날의기억,한,수,2세,54,,조상범,안병기,♠우태율,목,500(6),3.3,1.2,"계란형큰, 망사눈"
3,4,3,제이에스파워,한,수,2세,54,,박을운,김동철,♠박정재,6,472(5),5.7,2.0,망사
4,5,6,스카이타임,한,암,2세,52,,박병윤,김동균,권용수,6,498(-6),218.7,19.9,
5,6,5,베스트골드,한,암,4세,54,,임기원,이희영,♠베스트샤인조합,½,446(13),10.5,2.7,망사
6,7,7,일여하여,한,암,4세,53.5,,박상우,최상식,제일사료(주),½,458(0),39.6,5.6,망사눈
7,8,8,블루킹,한,수,2세,54,,조재로,배휴준,♠강승연,1¾,500(14),12.5,3.6,"망사+, Triabit,망사눈-"
8,9,2,세명공주,한,암,3세,53,,김옥성,최영주,이기철,21,438(1),13.4,3.3,"계란형큰, 망사눈"
0,1,2,동방지존,미,수,3세,56,45,박을운,김동철,이미양,,473(-3),1.9,1.2,망사눈
1,2,4,마이시스터니나,미,암,3세,55,49,먼로,서인석,♠김종진,4,466(-10),4.6,1.7,"계란형큰, 눈가면"
2,3,7,카일라스댄서,미,수,4세,56,47,함완식,송문길,♠윤우환,1¼,471(18),28.9,5.0,망사
3,4,5,맞잡은손,한,암,4세,51,38,김동수,조현수,임흥호,머리,464(8),36.7,3.7,
4,5,10,맹주,미,수,3세,54,39,김용근,임봉춘,박정웅,머리,500(2),6.9,2.2,"계란형큰, 망사눈"
5,6,6,대천에이스,한,수,5세,56,47,박태종,정호익,♠김경민,1½,467(5),9.9,2.0,망사눈
6,7,3,서울시대,미,수,3세,55,42,박병윤,김동균,♠이시환,¾,456(3),47.8,5.9,
7,8,8,에이스캔트,한,거,4세,53,36,부민호,박윤규,♠김지훈,2½,480(8),49.5,8.4,
8,9,9,라이즈앤샤인,한,암,4세,51,36,하정훈,조현수,권영규,½,490(8),157.9,25.6,
9,10,1,코레미카바요,미,수,3세,54,40,다나카,리카디,노만영,1½,518(17),6.1,1.9,계란형큰
0,1,2,이글아이,한,암,3세,54,,먼로,이신영,♠(주)나스카,,474(8),1.2,1.0,망사
1,2,4,백학,한,암,2세,53,,함완식,서인석,♠씨유네트워크,9,461(-3),10.9,2.1,"계란형큰,망사눈-"
2,3,5,호크의영광,한,수,3세,56,,김동수,최봉주,♠오종환,목,469(-2),83.1,4.8,"계란형큰, 망사눈"
3,4,7,새로운보배,한,암,3세,54,,김정준,심승태,류재욱,1¾,461(-7),14.1,2.3,"계란형큰, 망사눈"
4,5,1,인디언서머,한,거,3세,56,,지하주,최영주,♠김정철,¾,491(-1),20.0,2.8,"계란형큰, 망사눈"
5,6,9,통합시대,한,암,4세,54,,박상우,최상식,♠김경민,2,451(-2),89.6,5.0,망사눈
6,7,8,아즈위스톤,한,수,3세,56,,윤태혁,김동균,♠김한수,2,473(15),24.7,3.9,"계란형큰, 망사눈"
7,8,6,두둥이,한,수,3세,56,,송재철,홍대유,♠김정숙,8,473(6),18.8,3.0,망사눈
8,9,10,패밀리호프,한,암,3세,54,,이혁,손영표,김은갑,14,462(5),8.4,2.1,망사눈
9,,3,마하네단,한,수,2세,55,,임기원,안병기,♠홍종운,출전취소,0(0),----,----,망사눈
0,1,6,다이나믹펀치,한,수,2세,53,30,먼로,서인석,이원태,,480(1),1.9,1.2,"계란형큰, 망사눈"
1,2,5,영광의비트,한,거,3세,54,30,김용근,전승규,♠변창덕,6,454(10),10.5,2.6,"망사눈, Triabit"
2,3,9,금빛열정,한,암,3세,55,35,빅투아르,이관호,♠이경희,머리,491(-4),3.9,1.7,"망사, 반가지큰"
3,4,3,선샤인특급,한,암,3세,52,29,이혁,이신영,박의주,머리,498(4),8.0,2.1,"계란형큰, 망사눈"
4,5,10,프린스오브선,한,거,4세,56.5,35,박상우,서범석,♠청팅콩,4,467(6),33.1,5.7,"계란형큰, 망사"
5,6,2,프라임퀸,한,암,3세,52.5,30,함완식,송문길,김진철,1,483(-1),8.7,1.9,"계란형큰, 망사"
6,7,8,과천의별,한,암,3세,52,29,문정균,김동철,♠김선식,1¼,473(-3),118.4,14.6,망사
7,8,4,로드우먼,한,암,4세,*52,27,부민호,박윤규,♠(주)자성실업,1¾,459(-13),45.5,5.3,망사눈
8,9,12,대대손손,한,암,3세,52,29,이동하,강성오,♠김경민,2½,394(0),32.6,5.3,"반가지큰, 망사눈"
9,10,1,태풍아이즈,한,수,4세,56,34,김효정,심승태,장철환,½,537(12),27.8,4.0,계란형큰
10,11,11,스칼렛퍼펙트,한,암,4세,*52,21,이해동,구자흥,충마회,3,474(-4),176.0,29.2,"망사, 반가지큰"
11,12,7,다이아파크,한,암,3세,*52,23,하정훈,김동균,♠박정재,6,492(6),230.9,46.9,"눈가면+,계란형큰-"
0,1,3,엘리트레이디,한,암,2세,54,31,박태종,송문길,♠태희종합건설,,485(8),1.3,1.2,
1,2,9,피케이힐,한,암,2세,54,31,김용근,김동철,♠김태성,3,472(5),5.3,1.4,망사
2,3,5,킹리,한,거,3세,54.5,27,송재철,김점오,♠금악목장,1½,451(12),56.2,5.4,"반가지큰+, 망사눈"
3,4,8,천은짱,한,암,3세,55,31,먼로,최봉주,조금제,코,429(3),10.0,1.6,"계란형큰, 망사눈"
4,5,2,브레인스피더,한,암,3세,*52,24,다비드,서범석,이성헌,2½,501(10),69.5,9.7,
5,6,11,라온조이,한,암,3세,53,27,이혁,박종곤,♠라온건설,1½,444(-7),19.3,2.6,망사눈
6,7,6,스틸런,한,암,4세,52,25,부민호,박윤규,♠박덕희,2,428(-9),198.4,20.2,망사눈
7,8,10,달려라라온,한,수,4세,*52,21,조상범,홍대유,♠김한수,1,474(5),147.2,18.0,"계란형큰, 눈가면"
8,9,1,가즈아,한,수,3세,52.5,23,김동수,김학수,♠장석린외1인(신치구),1½,487(19),61.5,6.5,"망사눈,계란형큰-"
9,10,7,칸에이스,한,거,3세,55.5,29,이동국,심승태,♠김용래,7,494(3),31.5,4.3,계란형큰
10,11,4,하늘공원,한,암,3세,54.5,30,임기원,강성오,♠김기종,3,462(3),41.1,2.5,"계란형큰, 망사눈"
0,1,3,큐티바비,한,암,3세,55,34,신형철,김윤섭,지원철,,479(-1),4.4,1.8,
1,2,1,시티송암,한,거,3세,56,30,박을운,최용구,지원철,3,496(1),2.4,1.4,망사눈
2,3,2,골드레벨,한,암,3세,54,30,먼로,서홍수,♠이미경,3,461(-1),5.8,1.8,망사눈
3,4,6,블랙징가,한,암,4세,53,27,김용근,김동균,♠공이공팔,1,453(-9),15.7,3.8,"계란형큰, 망사눈"
4,5,4,정동독주,한,암,4세,53,27,박태종,곽영효,구본순,1,471(3),13.1,2.9,"계란형큰, 망사눈"
5,6,11,컬러즈킹,한,거,3세,55,27,김정준,김윤섭,김종철,2½,504(8),27.7,4.5,눈가면
6,7,7,로열조이,한,암,3세,52,25,이아나,최용구,이장호,2½,436(-7),35.6,9.2,눈가면
7,8,9,달순이,한,암,4세,54,30,이강서,유재길,♠김영완,½,482(-2),33.6,3.9,망사
8,9,5,아마로네,한,암,4세,54,31,송재철,임봉춘,피닉스,1¼,412(-17),6.9,2.5,망사눈
9,10,10,맹산히어로,미,수,3세,56,30,이동하,지용철,♠조용학,¾,488(-2),26.2,5.1,Triabit
10,11,8,에이스돈키,한,수,3세,55,29,김효정,심승태,♠김순건,2,538(6),108.8,28.9,계란형큰+
11,12,12,천년해피,한,암,3세,52,25,박병윤,김동철,권용수,4,491(9),65.2,9.9,"계란형큰, 망사눈"
0,1,2,금빛장인,한,수,3세,52.5,39,이효식,안병기,♠박남성,,516(11),2.1,1.4,눈가면
1,2,4,라온칸,한,거,3세,52.5,39,박태종,박종곤,♠라온산업개발(주),2½,484(0),23.9,5.5,망사눈
2,3,7,스트라이드업,한,거,3세,53.5,41,다비드,서범석,♠청팅콩,¾,523(16),5.5,1.9,"계란형큰, 망사"
3,4,1,아이엠스타,한,거,6세,56,46,임기원,이희영,♠태희종합건설,1¼,531(4),7.0,2.0,망사눈
4,5,5,챔프케이,한,수,3세,53,40,이동하,배대선,♠강경운,1¾,471(6),25.4,4.2,망사눈
5,6,10,로열프린스,한,거,4세,53,40,함완식,박재우,최장석,¾,462(-8),31.3,3.6,"반가지큰, 망사눈"
6,7,11,대천히어로,한,거,4세,55.5,45,김옥성,박희철,고양진,¾,456(-6),37.7,5.4,눈가면
7,8,12,피렌체힐,한,수,3세,52,38,김용근,신삼영,안병렬,½,484(4),61.6,10.8,"계란형큰, 망사눈"
8,9,8,창성럭키,한,수,4세,52.5,39,조재로,김순근,임흥호,3,451(8),159.9,15.4,계란형큰
9,10,9,엘초이스,한,암,4세,*52,39,김동수,강환민,♠이종욱,목,484(-5),38.4,8.5,"반가지큰, 망사눈"
10,11,3,라온브라이언,한,거,3세,52,38,이혁,이신영,♠라온건설,1½,489(-1),9.9,3.0,
11,12,6,명마질주,한,암,3세,53,43,먼로,신삼영,♠조창석,4,437(11),6.5,1.9,
0,1,1,다이아로드,한,암,3세,55.5,69,김용근,송문길,♠손병철,,510(-11),1.6,1.1,"망사눈, 혀끈"
1,2,13,리드머니,한,암,5세,56,88,임기원,박윤규,♠박덕희,4,496(-2),9.1,2.2,"계란형큰, 망사눈"
2,3,8,서울의별,한,암,4세,56,78,박을운,김동철,♠김선식,2,433(10),22.1,3.5,
3,4,7,[부]헬로비너스,한,암,5세,56,89,임성실,방동석,♠오종환,머리,450(-11),10.2,2.4,
4,5,10,흥부자,한,암,3세,55.5,69,이준철,김대근,♠고광숙,목,459(3),71.4,12.3,
5,6,9,오케이퀸,한,암,4세,56,78,박태종,송문길,박복용,목,458(3),58.2,10.4,망사눈
6,7,11,[부]브라운파이,한,암,3세,55.5,55,정동철,구영준,조영철,2½,471(-1),224.3,22.3,
