,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,3,드래곤보트,한,거,3세,53.5,28,먼로,최영주,♠박성구,,474(-2),3.2,1.6,망사눈
1,2,8,하이비트,한,거,4세,54,29,김정준,심승태,권용수,1¼,493(2),7.3,2.4,Triabit
2,3,1,로열훼이버,미,거,7세,57,35,안효리,서범석,♠김두식,1¼,457(4),21.3,5.2,"계란형큰, 망사눈"
3,4,5,페더럴캣,한,수,3세,53,27,김용근,지용철,♠금악목장,1,483(0),7.8,2.0,"계란형큰, 망사눈"
4,5,9,캠프바다,한,암,3세,53,30,유승완,김윤섭,조금제,½,463(2),5.9,2.3,
5,6,7,내길의빛,한,거,4세,52.5,28,(-1)이동진,홍대유,유종국,½,473(9),78.1,14.6,"계란형큰,망사+"
6,7,11,과천의별,한,암,3세,52.5,29,문정균,김동철,♠김선식,1¼,473(0),43.8,9.9,망사
7,8,2,광야불기둥,한,암,5세,54.5,33,박병윤,임봉춘,이종천,¾,417(1),10.9,2.3,망사
8,9,6,빅토리스타,한,암,4세,52.5,29,이동하,박윤규,♠박덕희,목,454(6),56.8,9.0,"자극판, 눈가면"
9,10,4,논스톱행진,한,암,3세,52.5,29,이혁,유재길,♠태립,2,454(-19),12.1,3.5,망사눈
10,11,10,스칼렛퍼펙트,한,암,4세,*52,21,이해동,구자흥,충마회,4,481(0),70.8,15.0,"망사, 반가지큰"
11,12,12,백상,한,거,3세,54.5,30,최범현,전승규,♠김광명,5,477(6),4.7,1.8,망사눈
0,1,8,라이언여제,한,암,2세,52.5,,안토니오,서홍수,♠김명식,,487(1),2.6,1.4,자극판+
1,2,4,라온탑맨,한,거,2세,54,,최범현,박종곤,♠라온건설,4,413(-1),13.0,2.8,망사눈
2,3,3,베스트탑,한,수,2세,54,,송재철,이희영,♠베스트샤인조합,1¾,453(1),34.5,5.6,승인편자
3,4,9,더비스트,한,수,2세,54,,먼로,박병일,♠한명로,½,477(-13),11.4,2.3,
4,5,2,당찬바람,한,암,2세,52,,박태종,홍대유,김재덕,¾,433(-7),5.0,1.9,망사눈
5,6,6,삼애락,한,암,2세,52,,이동하,배대선,박세용,2,446(0),61.3,8.5,망사
6,7,1,강한여전사,한,암,2세,52,,이혁,신삼영,♠조창규,코,462(-3),59.5,14.0,양털코+
