,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,2,제이콥,한,거,3세,55,31,이현종,송문길,♠강석대,,479(-2),20.0,2.3,망사
1,2,5,초인강자,한,수,2세,53,30,임기원,안병기,♠박남성,7,469(4),1.2,1.0,
2,3,7,플라잉조이,한,수,4세,54,35,(-3)문성혁,심승태,♠김형순,7,468(6),18.8,2.3,"계란형큰, 망사눈"
3,4,4,메인레이서,한,수,4세,53,27,이동국,서인석,♠박웅진,½,512(-1),32.3,5.2,"계란형큰, 망사눈"
4,5,11,페더라이트,한,암,3세,52,28,빅투아르,박병일,♠이용대,1¼,470(14),33.1,3.3,망사눈
5,6,10,명마질주,한,암,3세,53,30,다나카,신삼영,♠조창석,¾,425(-8),7.9,1.4,
6,7,3,천록,한,암,3세,*52,25,안효리,최봉주,조금제,11,453(0),74.4,10.3,"계란형큰+,눈가면-"
7,8,9,라스트콘서트,한,암,4세,*52,25,송재철,김점오,♠강균호,목,539(5),42.4,6.4,
8,9,1,사려니킹,한,거,6세,53.5,28,하정훈,박희철,♠오영익,1,472(-8),73.1,19.2,"계란형큰, 망사눈, 혀끈"
9,10,6,풀문오션,한,암,3세,53,30,김용근,이신영,♠김선식,머리,476(-9),29.8,4.9,
10,11,8,엄지여왕,한,암,4세,53,30,먼로,배휴준,서상주,6,473(-5),34.6,5.8,"계란형큰, 눈가면"
0,1,5,정문서미트,한,수,2세,54.5,,김태훈,홍대유,♠김재영b,,483(1),1.6,1.1,망사
1,2,1,스트레토,한,수,2세,54,,이현종,박윤규,박기태,3,505(2),2.6,1.3,"반가지큰,망사눈+,망사-"
2,3,7,와일드킹덤,한,수,2세,54,,조재로,배휴준,양현모,10,541(14),33.3,5.2,망사눈+
3,4,2,라피도볼트,한,수,2세,54,,송재철,송문길,♠허장원,1,525(4),18.7,2.2,망사+
4,5,9,대형호재,한,수,2세,54,,김용근,박대흥,나종용,1,489(12),42.2,4.2,"계란형큰, 망사"
5,6,10,한라블로섬,한,수,2세,54,,다비드,배대선,♠강홍수,3,489(6),27.1,3.3,망사눈+
6,7,3,백학,한,암,2세,52,,김정준,서인석,♠씨유네트워크,1,459(-6),24.3,3.0,"계란형큰, 망사눈"
7,8,8,만세,한,수,2세,54,,안토니오,임봉춘,김진태a,1¼,493(10),58.8,7.0,"반가지큰+,망사눈+"
8,9,6,밀키셰리,한,암,2세,51,,(-1)조한별,지용철,♠금악목장,1¾,459(-1),95.4,15.8,
9,10,4,싱싱유로,한,수,2세,54,,신형철,최영주,전석호,1½,495(0),34.6,3.1,망사눈
0,1,10,위너마운틴,한,거,3세,56.5,,최범현,곽영효,♠이미경,,469(8),1.8,1.1,망사눈
1,2,7,컬러즈킹,한,거,3세,56,,김정준,김윤섭,김종철,1½,499(3),4.6,1.6,눈가면+
2,3,3,패스티스트,한,암,4세,53,,먼로,박병일,♠이용대,8,440(3),7.0,2.2,"계란형큰, 망사눈"
3,4,1,푸에르스페스,한,수,4세,55.5,,송재철,신삼영,♠베스트샤인조합,½,495(-5),17.4,2.5,
4,5,4,레지나,한,암,3세,52,,(-1)이동진,안해양,신기철,9,445(-6),94.4,11.5,
5,6,9,더블에스,한,암,3세,53,,문정균,최영주,♠이종욱,목,450(8),40.5,4.6,망사눈
6,7,11,에이스돈키,한,수,3세,53,,(-2)김덕현,심승태,♠김순건,6,537(11),66.1,10.3,
7,8,2,베스트맨,한,거,4세,55,,박병윤,박천서,윤훈현,1¾,470(9),43.1,5.8,망사눈+
8,9,6,서울시티,한,암,3세,54.5,,이현종,최봉주,♠이시환,머리,460(-7),9.3,2.9,"계란형큰, 망사눈"
9,10,8,블루메가엘라,한,암,3세,53,,황순도,김동균,♠공이공팔,28,492(-16),21.3,4.0,"계란형큰, 망사눈"
10,11,5,레몬키드,한,암,3세,53,,다비드,리카디,이원태,11,474(10),19.2,4.9,"망사눈,혀끈+"
0,1,6,라온스텔라,한,수,3세,54,29,송재철,이신영,♠라온건설,,502(5),7.1,2.2,망사눈
1,2,9,올댓코리아,미,거,3세,56,35,(-1)이동진,안해양,임두인,2½,496(4),6.2,2.0,망사
2,3,10,함양산삼,한,암,3세,53,30,빅투아르,박재우,유영준,1,451(-1),5.8,2.0,반가지큰
3,4,4,동해클럽,일,거,4세,56,33,김옥성,서홍수,김갑수,2,468(2),43.4,8.1,망사
4,5,11,탄탄위너,한,수,3세,56,33,안토니오,최용구,♠최동근,1¼,468(4),3.4,1.6,망사눈
5,6,1,영웅불패,미,거,7세,*52,23,윤영민,유재길,곽승용,2½,488(1),55.9,7.9,
6,7,2,금순이스타,한,수,3세,54,29,먼로,박병일,♠배태곤,¾,522(0),5.9,2.1,계란형큰
7,8,7,광폭주행,한,거,4세,56.5,34,최범현,박종곤,♠유희태,목,439(7),6.5,1.6,망사눈
8,9,8,시티챔프,한,수,5세,53,27,최원준,박윤규,윤훈현,2,499(0),63.5,11.0,계란형큰
9,10,3,선더머니,한,거,4세,53,27,다나카,손영표,♠박성구,2½,463(11),9.7,4.4,"반가지큰, 망사눈"
