,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,2,퀸오브베스트,한,암,2세,53,,김동수,김동균,♠신우철,,443(9),24.8,5.3,망사눈
1,2,6,걸작우먼,한,암,2세,53,,박태종,박윤규,♠박덕희,2,489(11),2.8,1.8,망사눈
2,3,8,대한질주,한,수,2세,55,,박을운,김동철,♠박재범,2½,509(5),6.2,1.8,
3,4,7,페더럴아이,한,수,2세,51,,(-4)김아현,지용철,♠금악목장,2½,486(8),24.8,5.3,Triabit
4,5,4,서에번쩍,한,수,2세,54,,(-1)문성혁,서인석,♠김명환,½,499(11),24.8,5.3,"계란형큰, 혀끈"
5,6,12,질풍백광,한,암,3세,54,,이동진,박대흥,조진환,3,493(8),24.8,5.3,망사
6,7,11,스테디챔피언,한,수,2세,55,,방춘식,김점오,♠신우철,목,519(11),24.8,5.3,
7,8,13,비엔토,한,암,2세,53,,조재로,심승태,♠선우파워텍(주),¾,464(2),24.8,5.3,망사눈
8,9,1,옥추마,한,수,3세,56,,함완식,강성오,♠씨유네트워크,¾,519(15),6.2,1.8,반가지큰
9,10,5,특급여왕,한,암,2세,53,,정평수,최봉주,말사모,1¾,452(8),24.8,5.3,망사눈
10,11,10,엄청난걸,한,암,2세,53,,조한별,김대근,♠고광숙,¾,482(5),6.2,5.3,
11,12,14,선더챔피언,한,수,3세,52,,(-4)임다빈,구자흥,이화연,3,449(4),24.8,5.3,망사
12,13,3,천탑,한,암,2세,53,,김옥성,박천서,조금제,1¾,468(-8),24.8,5.3,망사눈+
13,14,9,정문스타,한,수,2세,55,,김정준,홍대유,♠김재영b,1¼,445(11),24.8,5.3,
0,1,1,우소륭,한,암,2세,53,,김귀배,안해양,임흥호,,480(26),12.8,4.3,망사눈
1,2,13,대천얼짱,한,수,2세,51,,(-4)임다빈,최봉주,♠김경민,2,484(3),12.8,4.3,망사눈
2,3,7,유정챔프,한,수,2세,55,,권석원,서인석,♠이성님,½,485(18),12.8,4.3,
3,4,9,브라이트빅터,한,암,2세,53,,김효정,안병기,함철원,5,470(7),6.4,2.1,망사
4,5,4,선더챔프,한,수,2세,55,,신형철,홍대유,♠최동근,머리,466(21),12.8,4.3,
5,6,6,통천대로,한,암,2세,53,,이준철,김대근,♠김경민,목,480(12),12.8,4.3,
6,7,5,스팟플래터,한,수,2세,55,,김동수,김동균,♠박준배,목,490(5),6.4,2.1,망사눈
7,8,12,라스트보스,한,수,2세,51,,(-4)김아현,지용철,♠김선식,4,483(15),12.8,4.3,
8,9,2,유로아이,한,암,2세,53,,조재로,배휴준,♠오상철,½,481(19),12.8,4.3,망사눈
9,10,11,원더풀러커스,한,암,2세,53,,이동국,서인석,♠지대섭,1,461(1),12.8,4.3,
10,11,8,논스톱기상,한,수,2세,55,,송재철,신삼영,♠태립,1½,493(26),12.8,4.3,망사눈+
11,12,10,위닝질주,한,수,2세,55,,조한별,김동철,♠양순희,7,470(11),12.8,4.3,
12,13,14,패밀리스타,한,암,3세,54,,조상범,손영표,류재욱,7,455(2),12.8,4.3,
13,,3,메인오브킹,한,수,2세,55,,우에다,이관호,♠손병현,주행중지,438(6),12.8,4.3,"계란형큰, 망사"
0,1,1,그랜드캐슬,한,수,2세,55,,김동수,김점오,♠신우철,,477(7),19.2,23.7,
1,2,2,케이프렌지,한,수,2세,55,,이동진,박윤규,♠김영선,½,504(-2),19.2,23.7,망사눈
2,3,3,명진데이,한,수,2세,55,,신형철,전승규,♠정은섭,½,442(-7),19.2,23.7,"망사눈+,Triabit+"
3,4,11,케이엔라이트,한,수,2세,55,,문세영,박대흥,♠조경수,5,506(17),57.6,23.7,"계란형큰+,망사눈+"
4,5,14,빅포스원,한,암,3세,54,,하정훈,구자흥,♠서정범,1,511(9),57.6,23.7,"계란형큰,망사+,눈가면-"
5,6,7,엘리트파워,한,암,2세,53,,이혁,유재길,♠태희종합건설,1¼,451(10),28.8,11.9,"가지, 망사눈"
6,7,4,이스트매직,한,암,2세,53,,임기원,박재우,♠김영구,2½,494(20),57.6,2.0,망사+
7,8,8,힐링공주,한,암,3세,54,,방춘식,박종곤,이미양,3,427(-2),57.6,11.9,망사눈
8,9,12,온포인트,한,수,2세,55,,이현종,강성오,♠박호균,3,471(13),57.6,2.2,
9,10,5,어서와,한,수,2세,55,,함완식,강환민,♠강용식,½,483(14),1.1,1.0,"계란형큰, 망사눈"
10,11,10,진또배기,한,수,2세,55,,정평수,지용철,박시용,머리,450(-18),28.8,11.9,
11,12,13,새내윈,한,수,2세,55,,김옥성,홍대유,♠문금철,1½,478(5),57.6,11.9,망사눈
12,13,6,아이언로즈,한,암,2세,53,,김정준,신삼영,♠김선식,¾,484(11),57.6,23.7,망사눈+
13,14,9,차밍붐,한,암,2세,50,,(-4)임다빈,정호익,♠양순희,19,456(38),57.6,23.7,망사눈
0,1,6,치프인디,한,수,2세,55,,문세영,박대흥,♠박남성,,502(7),6.8,2.0,망사눈
1,2,8,스타블레이드,한,수,2세,55,,이동하,토니,♠김형란,4,473(13),13.6,4.0,"계란형큰, 망사눈"
2,3,12,조이풀케이,한,암,3세,54,,안토니오,강환민,♠강경운,머리,460(8),13.6,4.0,"계란형큰, 망사"
3,4,7,빅레드,한,수,2세,54,,(-1)문성혁,서인석,홍상기,2½,466(-6),13.6,4.0,
4,5,13,그린폭주,한,암,2세,53,,김정준,홍대유,♠김재영b,6,477(6),13.6,4.0,
5,6,5,글로벌영웅,한,수,2세,55,,이혁,최상식,♠장재형,½,495(21),6.8,4.0,
6,7,9,한센프리마,한,암,3세,54,,권석원,리카디,남기태,1,465(5),13.6,4.0,"계란형큰, 망사눈"
7,8,4,선봉골드,한,암,2세,53,,김옥성,박천서,한영석,½,446(8),6.8,4.0,"반가지큰, 망사눈"
8,9,3,세명나래,한,암,2세,53,,송재철,신삼영,이기철,목,479(-2),13.6,4.0,망사+
9,10,10,테이크하트,한,암,2세,53,,박을운,임봉춘,♠홍종운,½,454(4),13.6,4.0,"계란형큰+,눈가면+"
10,11,11,흑룡가무,한,수,2세,55,,우에다,서인석,정승희,6,500(29),13.6,4.0,"자극판, 망사눈"
11,12,1,배다리장군,한,수,2세,55,,함완식,홍대유,♠송한우,2½,504(29),13.6,4.0,망사눈+
12,13,14,베스트포스,한,거,3세,56,,이동국,심승태,♠김태성,3,442(-8),13.6,4.0,망사
13,14,2,상승행진,한,수,2세,55,,정평수,지용철,곽태훈,4,479(19),13.6,4.0,
0,1,12,모스트스피드,한,암,2세,53,,우에다,서인석,♠고재완,,448(20),13.6,4.8,"계란형큰, 망사눈"
1,2,5,그레이캣,한,수,2세,55,,송재철,서홍수,♠김명식,2½,445(12),4.5,1.6,"계란형큰, 망사눈"
2,3,13,콜조이,한,거,2세,55,,박태종,곽영효,♠이미경,½,460(16),13.6,4.8,
3,4,9,누비고,한,수,2세,54,,(-1)문성혁,서인석,천병득,¾,525(12),13.6,2.4,
4,5,2,챔피언가문,한,수,2세,55,,이동진,박대흥,(주)케이씨피,2½,486(3),13.6,4.8,망사
5,6,14,브라보메이,한,거,2세,55,,조재로,서범석,♠오상철,½,488(4),13.6,4.8,망사
6,7,1,뉴호프,한,암,2세,53,,김옥성,최봉주,♠오상철,¾,475(-18),13.6,4.8,
7,8,11,바잉블레이드,한,수,2세,55,,안토니오,강환민,♠김형란,1½,498(17),6.8,2.4,"계란형큰, 망사눈"
8,9,10,판타지퀸,한,암,2세,53,,김용근,전승규,♠이경희,1¾,469(12),13.6,4.8,망사
9,10,6,케이블레이드,한,암,2세,53,,조한별,토니,♠김형란,9,458(-3),13.6,4.8,"계란형큰,망사눈+,망사-"
10,11,7,도원글로리,한,수,2세,55,,방춘식,최봉주,♠양순희,3,478(0),13.6,4.8,망사눈
11,12,3,세명엠파이어,한,암,2세,53,,하정훈,신삼영,이기철,5,458(-10),13.6,4.8,
12,13,8,문학포리스트,한,수,2세,55,,임기원,박재우,♠황봉기,머리,508(26),13.6,4.8,
13,14,4,울돌목영웅,한,거,2세,55,,박병윤,박천서,이창모,¾,451(15),13.6,4.8,망사눈
0,1,11,탱크삭스,한,암,3세,55,33,박을운,강환민,♠김창식,,462(14),12.8,4.3,망사
1,2,9,제다이,한,암,2세,54,32,문세영,송문길,♠(주)나스카,1,488(11),12.8,4.3,망사
2,3,7,백산선더,한,암,3세,54,31,이현종,리카디,♠이용식,목,455(-1),12.8,4.3,"계란형큰+,혀보정큰-"
3,4,13,럭키클럽,한,수,2세,55,30,이혁,서홍수,이본희,1,455(16),12.8,4.3,
4,5,8,와니케이,한,암,5세,54,29,우에다,유재길,♠김영완,½,459(9),12.8,4.3,"반가지큰, 눈가면"
5,6,4,조이머니,한,암,3세,54,29,조상범,박윤규,♠박덕희,목,510(10),6.4,2.1,망사눈
6,7,1,피어나다,한,암,3세,54,31,함완식,손영표,김창희,2,466(17),12.8,4.3,망사눈
7,8,14,클린하트,한,수,3세,55,26,조한별,김대근,♠김경민,1½,536(12),12.8,4.3,
8,9,5,섀도우퀸,한,암,3세,54,30,하정훈,신삼영,링크폴로,2,465(-3),12.8,4.3,"계란형큰, 눈가면"
9,10,10,럭키스마일,한,암,3세,51,28,(-4)김아현,지용철,♠금악목장,1½,513(4),6.4,2.1,"계란형큰, 망사눈"
10,11,3,가나파크,한,암,3세,51,30,(-4)임다빈,구자흥,♠김한수,목,496(-4),12.8,4.3,
11,12,6,러브위드미,한,암,3세,54,29,김효정,배대선,♠서창식,20,480(-11),6.4,2.1,"계란형큰, 망사눈"
12,13,2,더블블랙,한,암,2세,53,30,박현우,최용구,♠강무웅,92,503(15),12.8,4.3,반가지큰
13,,12,피케이돌풍,한,거,3세,57,34,김정준,심승태,♠김태성,출전제외,479(3),----,----,망사눈
0,1,13,조지퀸,한,암,3세,55,35,박현우,이관호,♠김순건,,499(10),20.8,9.9,망사
1,2,3,청담컬링,한,수,3세,57,34,김용근,강환민,♠삼정,2,489(6),20.8,1.0,"계란형큰, 망사눈"
