,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,6,신부,한,암,3세,54,,먼로,박재우,♠씨유네트워크,,497(-4),3.0,1.6,망사눈
1,2,10,레드선,한,거,3세,55,,(-1)조상범,사이먼,♠이시돌협회,목,471(-7),3.8,1.7,Triabit
2,3,11,라온조이,한,암,3세,54,,최범현,박종곤,♠라온건설,1¾,453(5),7.0,2.0,망사눈
3,4,4,뇌성벽력,한,거,3세,53,,(-3)문성혁,서인석,홍상기,1,481(1),5.0,1.5,"계란형큰, 눈가면"
4,5,8,스터닝어게인,한,거,3세,56,,다비드,서범석,♠청팅콩,1½,469(-1),10.2,2.5,"계란형큰, 망사눈"
5,6,2,최강다이아,한,암,4세,54,,유승완,최용구,한종희,2,479(0),24.3,4.1,"계란형큰, 망사"
6,7,7,초동무적,한,수,2세,54.5,,김정준,최영주,♠손병철,코,471(5),60.3,19.8,"계란형큰,망사눈-"
7,8,9,금노래,한,암,3세,54,,이동국,박병일,♠배태곤,1¾,444(1),44.8,10.5,망사
8,9,5,모노투,한,암,4세,54,,조재로,배휴준,이재상,1,540(20),28.1,7.7,
9,10,3,퍼펙트라이트,한,암,2세,52.5,,이동하,우창구,♠변갑한,1,438(-8),56.8,14.0,
10,11,1,지금이최강,한,수,3세,56,,안토니오,임봉춘,윤지중,4,519(11),13.7,3.2,눈가면
11,12,12,룰즈파크,한,암,3세,54,,방춘식,이희영,♠이종욱,7,449(-15),91.1,15.9,망사눈
0,1,4,밸리퀸,한,암,3세,54,,김동수,홍대유,김인호,,462(0),1.3,1.1,
1,2,6,카이젠실버,한,거,4세,56,,방춘식,이희영,♠태립,8,522(-3),12.9,2.1,망사
2,3,2,정동사랑,한,암,3세,54,,최범현,곽영효,구본순,5,458(-3),11.7,2.2,
3,4,3,코리아대장부,한,거,3세,56,,황순도,배휴준,곽승용,머리,504(-11),14.7,2.3,"계란형큰, 눈가면"
