,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,4,큐피드불릿,한,거,3세,56.5,,송재철,송문길,♠서순배,,465(6),9999.9,9999.9,"계란형큰, 망사눈"
1,2,1,불의가속,한,거,3세,56.5,,박병윤,손영표,신상섭,1,438(-13),9999.9,9999.9,망사눈+
2,3,8,홀리데이참,한,수,3세,56.5,,조한별,유재길,♠김세민,5,476(7),3.2,1.1,망사
3,4,6,데스크탑,한,수,3세,56.5,,조상범,배휴준,조금제,½,452(1),9999.9,9999.9,망사눈+
4,5,5,천상성,한,수,3세,56.5,,부민호,최용건,임정균,머리,479(-2),3.2,1.1,"계란형큰, 망사"
5,6,3,모던골드,한,수,3세,56.5,,하정훈,심승태,김은갑,1,440(-7),9999.9,9999.9,망사눈
6,7,9,스타크레이지,한,수,3세,56.5,,김정준,심승태,♠선우파워텍(주),3,507(17),9999.9,9999.9,
7,8,2,영광의행진,한,수,3세,56.5,,박현우,김동균,♠변창덕,코,489(1),3.2,1.1,"계란형큰, 눈가면"
8,9,11,엔에스미래,한,수,3세,56.5,,이강서,구자흥,♠피엔에스홈즈,2½,472(-9),9999.9,9999.9,"계란형큰+, 망사"
9,10,7,토루크막토,한,암,3세,54.5,,다비드,곽영효,김봉섭,1¾,460(4),3.2,1.1,
10,11,10,배다리킹덤,한,암,3세,54.5,,방춘식,홍대유,♠송한우,7,470(-30),9999.9,9999.9,
11,12,12,임페리얼데이,한,암,3세,54.5,,박태종,최봉주,♠양순희,2,472(1),9999.9,9999.9,망사눈+
0,1,1,위너이즈웰,한,수,5세,56,,(-1)문성혁,전승규,♠요시다 가츠미,,545(-2),3.6,1.4,계란형큰-
1,2,13,올드스페셜,한,수,3세,56.5,,송재철,박재우,♠이진경,7,475(7),4.3,1.4,"망사눈+,망사-"
2,3,4,베스트천상,한,암,3세,54.5,,김귀배,박천서,♠베스트샤인조합,코,449(-3),4.3,1.4,"반가지큰, 망사눈"
3,4,6,글로벌천사,한,암,3세,54.5,,이혁,최상식,♠장재형,1½,473(-5),4.3,1.4,망사
4,5,9,브이퀸,한,암,3세,54.5,,지하주,박천서,♠박평양,2,466(-9),9999.9,9999.9,"망사, 혀끈, Triabit"
5,6,11,마이더스캠프,한,수,3세,56.5,,이철경,서인석,이유환,¾,437(8),9999.9,9999.9,"계란형큰,눈가면+"
6,7,5,아이스스타,한,거,3세,56.5,,박현우,이관호,♠이경희,3,492(-11),21.6,7.2,"계란형큰, 망사눈"
7,8,14,마이리더,한,수,3세,56.5,,장추열,정호익,♠백국인,코,441(1),4.3,1.4,눈가면
8,9,10,라스트콜,한,수,3세,56.5,,조상범,손영표,♠강승연,3,439(-15),9999.9,9999.9,
9,10,8,빅리치,한,수,3세,56.5,,조한별,배휴준,김진철,½,475(6),9999.9,9999.9,망사눈
10,11,12,럭셔리킹,한,수,3세,56.5,,박을운,김동철,♠김명식,¾,453(-12),9999.9,9999.9,
11,12,3,럭키바우,한,수,3세,56.5,,함완식,임채덕,♠김성래,1¾,466(-9),9999.9,9999.9,"망사눈+,혀끈+,Triabit+,망사-"
12,13,2,백제의미소,한,암,3세,54.5,,신형철,조현수,♠이혜란,12,465(2),9999.9,7.2,망사
13,,7,원모어카드,한,수,3세,56.5,,하정훈,지용철,박시용,출전제외,503(-6),----,----,계란형큰
0,1,10,케이엔메니퀸,한,암,3세,54.5,,문세영,박대흥,♠조경수,,486(-2),14.4,1.2,망사+
1,2,11,대지의여걸,한,암,3세,54.5,,김동수,강성오,♠김명식,5,449(6),9999.9,9999.9,망사눈
