,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,4,승리라이크,한,거,4세,53,,(-4)김덕현,서인석,김재성b,,479(-5),3.1,1.5,"승인재갈, 눈가면"
1,2,1,머니샤프,한,수,4세,56,,이동하,배대선,한광세,½,470(-3),2.8,1.2,망사눈
2,3,5,인그란퀸,한,암,3세,53,,이혁,지용철,♠금악목장,4,482(8),12.7,2.8,
3,4,2,캐럿시커,한,수,4세,55.5,,지하주,김동균,♠공이공팔,4,449(-1),4.7,1.4,망사눈
4,5,9,세라여제,한,암,4세,52.5,,(-1)김효정,전승규,김찬영,¾,421(15),6.1,1.6,"승인재갈, 눈가면+"
5,6,7,대호천하,한,거,4세,51,,(-4)문성혁,김동철,♠고재완,목,462(-7),13.4,2.7,"망사눈, 승인재갈"
6,7,6,일여하여,한,암,4세,53.5,,이해동,최상식,제일사료(주),3,455(4),75.0,12.7,망사눈
7,8,8,남녁의하늘,한,암,4세,53,,마누엘,구자흥,♠오종환,12,459(9),39.0,6.8,
8,,3,제이엔리,한,거,3세,55,,이동국,김학수,♠이혜란,출전제외,400(-7),----,----,"망사눈, 승인재갈"
0,1,5,미스터히어로,한,수,3세,56,,이혁,유재길,♠김명식,,513(21),2.5,1.3,
1,2,7,대군파워,한,거,3세,56,,김용근,임봉춘,♠표종순,8,469(-21),5.3,1.5,망사눈+
2,3,1,뇌성벽력,한,거,3세,56,,이철경,서인석,홍상기,목,475(-4),32.2,4.1,승인재갈
3,4,9,한센블레이드,한,수,3세,56,,빅투아르,박재우,♠김병진,목,509(-1),2.9,1.4,눈가면+
4,5,2,이길래오,한,암,3세,54,,이동하,박대흥,죽마조합,5,486(12),59.3,8.2,"망사, 승인재갈"
5,6,6,리쉬부르,한,거,3세,56,,하정훈,박천서,♠박병룡,¾,482(6),34.9,3.4,"망사눈, 승인재갈, 혀끈"
6,7,4,깨우침,한,수,3세,55,,(-1)조상범,안병기,♠우태율,3,488(5),7.4,2.5,"망사, 승인재갈"
7,7,8,스터닝어게인,한,거,3세,56,,안효리,서범석,♠청팅콩,동순위,465(3),11.0,2.0,"망사눈, 승인재갈"
8,9,3,더쎈왕자,한,수,3세,56,,방춘식,박희철,경규환,½,486(14),132.2,33.9,망사눈
0,1,2,위너세이,한,암,3세,54,,마누엘,리카디,♠요시다 가츠미,,449(12),2.4,1.2,망사
1,2,4,큐피드초이스,한,암,3세,54,,방춘식,박흥진,♠서순배,2½,438(3),4.9,1.6,망사
2,3,1,검향,한,암,3세,54,,김정준,박병일,♠드림커뮤니티,코,472(-6),2.8,1.3,눈가면
3,4,10,선샤인레이디,한,암,3세,54,,박을운,이관호,♠신윤경,6,449(1),24.6,3.9,망사
4,5,9,유롱플라잉,한,거,3세,56,,김동수,정호익,♠장위에셩,코,442(3),13.8,2.2,망사눈
5,6,3,퀸오브골드,한,암,3세,54,,다비드,김점오,♠신우철,1,476(-1),31.7,5.5,망사+
6,7,6,라온한니발,한,암,3세,54,,이혁,박종곤,♠라온산업개발(주),1¾,462(-10),77.1,15.3,
7,8,8,마하선더,한,수,3세,56,,박병윤,심승태,장철환,코,470(19),29.2,5.3,망사+
8,9,5,실버드래곤,한,수,3세,56,,김용근,임봉춘,♠(주)나스카,7,490(0),15.5,3.7,망사눈+
9,10,7,대군옥,한,암,3세,54,,이동하,손영표,♠표종순,3,458(11),84.9,9.9,망사눈
0,1,1,야호화이트캣,한,암,3세,54,,임기원,박재우,이태식,,442(-9),6.4,2.7,망사+
1,2,3,로드우먼,한,암,4세,53,,(-1)조상범,구자흥,♠(주)자성실업,3,458(10),6.3,1.7,망사눈
2,3,6,새내빅토리,한,암,3세,54,,박태종,홍대유,♠문금철,2½,460(-8),1.7,1.0,"승인재갈, 눈가면"
3,4,4,원더풀힐스,한,암,3세,53,,(-1)김효정,김동철,♠지대섭,1¼,424(7),46.4,8.2,망사
4,5,2,리커버리탑,한,암,3세,54,,김정준,김윤섭,♠변갑한,머리,480(-6),16.1,3.9,망사눈+
5,6,7,우승마차,한,암,3세,54,,김동수,지용철,♠최성룡,1¼,455(10),49.1,9.4,
6,7,12,송암바비,한,암,4세,54,,이혁,유재길,지원철,¾,454(4),10.7,2.2,승인재갈
7,8,8,과천공주,한,암,3세,54,,이준철,김대근,신상섭,1¾,433(1),12.7,2.3,
8,9,5,아이캔플라이,한,암,3세,54,,이동하,우창구,김길중,목,449(-6),81.8,16.0,
9,10,11,마하천하,한,암,4세,54,,김용근,강환민,장철환,머리,485(-9),21.1,3.6,승인재갈+
10,11,9,샤이닝메모리,한,암,4세,54,,박병윤,심승태,홍상기,½,424(-9),92.5,30.5,망사
11,12,10,주연,한,암,4세,54,,안효리,최봉주,♠김경민,1¼,434(-6),78.5,16.3,"망사눈, 승인재갈"
0,1,7,피케이군주,한,수,3세,55.5,,박을운,신삼영,♠김태성,,494(-9),4.8,1.7,망사눈+
1,2,4,킹오브룰즈,한,수,3세,55,,김동수,조현수,♠이혜란,2,503(4),12.5,2.3,
2,3,8,탑라인,한,암,3세,54.5,,임기원,박재우,이미양,2½,466(2),4.2,1.4,"망사눈, 승인재갈"
3,4,6,스트롱벌처,한,거,3세,56,,신형철,서범석,이성헌,½,461(23),12.2,2.7,
4,5,2,블루메가엘라,한,암,3세,53,,이혁,김동균,♠공이공팔,2,497(-3),5.9,2.0,"망사눈, 승인재갈+"
5,6,3,수호,한,거,3세,56,,김태훈,이관호,♠황은호,1,520(-7),2.3,1.2,"망사, 승인재갈"
6,7,1,호남대로,한,거,3세,51,,(-4)문성혁,최영주,말사모,5,420(-8),60.0,11.6,"망사눈, 승인재갈"
7,8,5,인천라이언,한,수,3세,55,,김용근,유재길,김재영a,3,490(15),40.8,4.9,"망사, 승인재갈"
0,1,7,방탄마,한,암,3세,52,28,이동하,지용철,김영진,,458(5),8.3,2.2,
1,2,1,인듀어런스,한,수,3세,55,31,김정준,지용철,♠조용학,2½,532(-6),2.7,1.2,
2,3,8,아스테르,한,거,4세,51,22,마누엘,서정하,♠공이공팔,¾,428(0),53.7,9.0,
3,4,5,승리플러스,한,수,4세,55,31,김용근,이관호,강수덕,목,497(5),13.4,3.1,"망사, 승인재갈"
4,5,4,블레싱로드,한,암,4세,52.5,29,방춘식,서범석,♠무라카미 켄세이,1¼,415(18),23.5,6.1,"망사, 승인재갈"
5,6,10,대한일품,한,수,3세,53,29,(-1)김효정,배대선,♠(주)디알엠씨티,½,514(5),4.8,1.7,
6,7,2,섀도우머니,한,거,6세,54,29,문정균,최영주,♠박준배,1,421(-8),8.6,2.1,
7,8,3,스피드흑룡,한,수,3세,54,29,빅투아르,이신영,과천시청,코,505(-2),4.0,1.5,"망사, 승인재갈, 혀끈"
8,9,6,마이티쿨,한,암,5세,*52,21,김동수,서홍수,♠조병태,1,495(-3),85.6,11.7,망사
9,10,9,샛별이,한,암,6세,53.5,33,(-1)조한별,신삼영,♠김성진,7,463(0),35.8,13.6,"망사눈, 승인재갈"
0,1,1,라온세레나,한,암,3세,51,40,임기원,박종곤,♠라온산업개발(주),,469(9),3.3,1.3,
1,2,10,개나리송,한,수,3세,51,38,김용근,박대흥,김원숙,¾,505(-3),2.9,1.5,망사
2,3,3,서울퀸,한,암,6세,52,43,박태종,이관호,김진엽,3,468(-2),19.6,4.7,망사눈
3,4,5,우라칸,한,수,4세,55,46,박을운,박재우,윤건구,1¾,468(8),9.0,2.8,"승인재갈, 눈가면"
4,5,12,말라카스,한,수,5세,51,38,(-1)김효정,배대선,고영희,코,480(1),47.8,8.2,망사
