,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,6,피케이힐,한,암,2세,53,,문세영,김동철,♠김태성,,467(-1),1.2,1.0,망사
1,2,1,록라인,한,수,2세,54,,함완식,최영주,소태영,½,488(4),5.7,1.3,망사눈
2,3,4,가가나,한,수,2세,52,,(-2)김덕현,박재우,이경호,6,508(11),118.8,11.9,
3,4,10,바디스타,한,수,2세,54,,송재철,임봉춘,김진태a,1,481(0),7.3,1.4,"망사눈+,망사-"
4,5,2,레스카,한,암,2세,52,,박태종,곽영효,구본순,5,506(-2),134.7,11.8,"계란형큰, 망사눈"
5,6,8,강호제일,한,수,2세,54,,안토니오,서인석,홍상기,½,536(14),38.8,5.6,눈가면
6,7,5,천총,한,수,2세,54,,문정균,최봉주,조금제,1¼,448(-3),23.9,2.4,망사+
7,8,7,록뉴스,한,거,2세,54,,김동수,정호익,최종환,½,498(0),35.0,4.3,망사눈
8,9,3,골드브릿지,한,거,2세,54,,유승완,최영주,♠손병현,6,516(-14),85.4,32.8,망사눈
9,10,9,피엔에스볼트,한,암,2세,52,,이해동,구자흥,♠피엔에스홈즈,3,452(-11),265.2,25.3,반가지큰
0,1,4,파워타워,한,암,2세,53,,송재철,임봉춘,윤지중,,470(-2),4.0,1.3,망사
1,2,5,뉴문워리어,한,거,2세,55,,박태종,송문길,최종환,목,485(2),1.5,1.0,
2,3,7,블루케이,한,암,2세,53,,이현종,송문길,♠강경운,¾,521(9),14.5,3.1,망사
3,4,9,베스트군단,한,거,2세,55,,박을운,박재우,♠박정재,8,482(6),66.0,10.6,망사눈
4,5,1,강한여전사,한,암,2세,53,,유승완,신삼영,♠조창규,½,462(0),78.8,13.1,양털코
5,6,12,로열축복,한,수,2세,55,,안토니오,박병일,이장호,1½,480(-8),13.1,2.3,
6,7,2,다행이다,한,수,2세,55,,조상범,안병기,♠우태율,½,474(7),17.3,3.3,"계란형큰, 망사눈"
7,8,3,그레이트웨이,한,암,2세,53,,먼로,이신영,♠정영식,5,462(2),107.3,8.8,"계란형큰+,망사+"
8,9,10,블루킹,한,수,2세,55,,조재로,배휴준,♠강승연,2,486(-17),30.1,5.1,"망사눈, Triabit"
9,10,6,럭키플랜,한,암,2세,53,,이혁,이희영,김재영a,머리,461(-6),98.9,19.8,
10,11,11,코리아기적,한,수,2세,55,,문세영,지용철,♠오종환,½,488(-22),27.3,4.7,
11,12,8,통일질주,한,수,2세,55,,함완식,곽영효,박흥길,13,478(0),139.9,12.4,"계란형큰, 망사눈"
0,1,8,다이나믹펀치,한,수,2세,54,,먼로,서인석,이원태,,479(8),4.0,1.6,"계란형큰+, 망사눈"
