,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,4,녹리총,한,암,4세,55,,이강서,송문길,♠이긍열,,471(-3),35.1,1.7,망사+
1,2,7,골든찬스,한,암,3세,54.5,,조상범,배휴준,양현모,코,512(-5),19.8,4.0,
2,3,5,레전드스타,한,암,3세,54.5,,장추열,정호익,♠양순희,3,423(4),1.9,1.1,망사눈
3,4,12,그린필스타,한,암,3세,54.5,,문세영,홍대유,♠김재영b,2,488(5),8.5,2.2,"계란형큰+,망사+"
4,5,14,갑오사랑해,한,암,4세,55,,부민호,김동철,♠김평갑,목,443(11),83.6,11.4,
5,6,6,넘버원타깃,한,암,4세,55,,김귀배,이희영,♠태립,5,502(23),108.2,19.1,망사
6,7,8,헬로금성,한,암,4세,55,,김정준,김윤섭,♠조창규,¾,473(13),701.7,92.8,망사+
7,8,9,베스트파티,한,암,4세,55,,조한별,박천서,♠이진경,목,444(3),285.9,13.9,"반가지큰, 망사눈, 혀끈"
8,9,11,강한여전사,한,암,4세,55,,하정훈,신삼영,♠조창규,1¾,467(-4),454.1,64.3,망사눈+
9,10,1,더블테이크,한,암,3세,54.5,,최범현,안해양,♠김성래,1¾,463(20),9.3,3.4,망사눈+
10,11,3,비봉마루,한,암,4세,55,,김옥성,서정하,유영준,½,495(3),26.7,5.0,
11,12,13,오로라로드,한,암,3세,54.5,,유승완,최영주,♠손병현,½,427(-4),130.1,10.8,계란형큰+
12,13,10,프라임서밋,한,암,4세,55,,박병윤,유재길,김영표,9,459(-3),48.9,8.6,
13,14,2,원더풀머스킷,한,암,3세,54.5,,빅투아르,서홍수,윤지중,½,466(6),3.1,1.6,"계란형큰, 망사"
0,1,9,동진최강,한,수,3세,56.5,,박태종,박윤규,민규동,,496(5),1.6,1.3,망사눈
1,2,2,다시두손,한,암,4세,55,,안토니오,박재우,이도명,2½,472(8),3.7,1.4,눈가면
2,3,11,금아매저스티,한,수,5세,57,,부민호,심승태,♠금아산업(주),3,522(11),24.1,1.8,"계란형큰, 눈가면"
