,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,3,원더풀섀도우,한,암,3세,54,,조상범,강환민,♠지대섭,,445(-10),5.7,1.7,"계란형큰,망사눈"
1,2,7,그랜드파워,한,수,3세,56,,함완식,김동균,♠박민지,2½,511(4),5.7,1.8,계란형큰
2,3,9,로드에이스,한,수,3세,56,,김정준,김동철,♠손병철,목,494(-1),3.6,1.5,망사
3,4,5,콩코드스퍼트,한,수,3세,56,,박을운,곽영효,♠김준현,½,503(0),3.2,1.4,망사눈
4,5,2,경부대검,한,수,3세,56,,이혁,최용건,♠조창석,4,476(1),33.4,5.3,"계란형큰,망사눈"
5,6,8,러너몬스터,한,수,3세,56,,김용근,최영주,말사모,3,451(8),38.8,8.2,망사눈-
6,7,1,동방사기,한,암,3세,54,,유승완,김윤섭,♠함평제일,2½,490(5),63.9,10.5,눈가면+
7,8,12,글로벌퍼스트,한,암,3세,54,,송재철,최상식,♠장재형,2,487(-10),6.3,2.3,망사+
8,9,11,매직글로리,한,암,3세,54,,이현종,서인석,♠최상일,2½,465(8),20.8,3.9,망사눈+
9,10,10,쌍옥루,한,수,3세,56,,박병윤,최봉주,♠이용식,8,509(-6),47.1,8.4,눈가면
10,11,4,사려니로키,한,거,3세,56,,이용호,이신영,♠오영익,25,462(1),131.2,33.4,"계란형큰,망사눈"
11,,6,큐피드세이프,한,암,3세,54,,정정희,박재우,♠서순배,출전제외,442(12),----,----,망사
0,1,8,케이엔올드퀸,한,암,3세,54,,문세영,박대흥,♠조경수,,503(-3),1.5,1.3,"계란형큰,망사"
1,2,12,불의꽃,한,암,3세,53,,(-1)임다빈,임채덕,♠황경호,2½,485(5),3.4,1.4,망사눈
2,3,1,기쁨환희,한,암,3세,54,,박병윤,이준철,김경남,1½,459(6),21.6,2.9,
3,4,14,스마트별,한,암,3세,54,,김용근,조현수,김조은,3,444(-4),79.3,9.4,"계란형큰,망사"
4,5,5,헤라블레이드,한,암,3세,54,,안토니오,토니,♠김형란,1,413(-7),33.3,3.7,"계란형큰,양털코+,망사-"
5,6,6,퍼펙트타임,한,암,3세,54,,조상범,손영표,김은갑,½,456(1),140.8,52.8,망사눈+
6,7,4,그레이트제니,한,암,3세,54,,이현종,강환민,김순건,1,487(4),14.5,2.1,"망사,반가지큰"
7,8,3,나올세상,한,암,3세,54,,문성혁,서인석,♠이경호a,½,448(-6),85.5,14.5,
8,9,7,라이징호크,한,암,3세,54,,이혁,리카디,♠홍종철,1¾,464(-4),16.6,2.8,"계란형큰,혀끈"
9,10,10,유로퀸,한,암,3세,51,,(-3)김아현,신삼영,♠박성구,½,463(2),151.7,24.8,"망사눈,승인편자"
10,11,11,원평퀸,한,암,3세,54,,함완식,유재길,♠김용재,3,465(5),18.4,2.1,
11,12,9,피엔에스꼬미,한,암,3세,54,,박현우,박윤규,♠피엔에스커튼월,28,447(-5),245.6,38.7,망사눈
12,13,13,베스트팔콘,한,암,3세,54,,지하주,김동균,♠정기환,42,449(-3),126.5,22.5,계란형큰+
13,,2,제이랩터,한,암,3세,54,,송재철,송문길,♠허장원,출전취소,(0),----,----,망사
0,1,4,벼락,한,수,3세,56,,문세영,안해양,♠공이공팔,,489(-2),1.4,1.1,
1,2,3,원퍼트,한,거,5세,56.5,,김태훈,지용철,박시용,4,492(-5),75.5,6.4,"계란형큰,망사눈"
2,3,8,블로마인드,한,거,4세,56.5,,조상범,박대흥,♠요시다 가츠미,½,466(-5),42.7,4.2,
3,4,2,원더풀니키야,한,암,5세,54.5,,함완식,최봉주,♠지대섭,½,457(-13),18.8,3.9,"계란형큰,망사눈,혀끈+"
4,5,1,블랙킹,한,수,5세,55.5,,(-1)임다빈,이신영,♠김두식,¾,473(-4),85.8,10.3,망사눈
5,6,10,청산영웅,한,거,3세,56,,유승완,이관호,♠황은호,¾,436(-4),10.2,2.1,망사눈
6,7,12,신주류,한,수,3세,56,,이현종,조현수,♠김선식,½,485(0),12.8,2.1,계란형큰
7,8,6,베스트빅뱅,한,거,4세,56.5,,박병윤,손영표,♠박정재,¾,466(-7),137.0,19.2,망사
8,9,5,선봉골드,한,암,4세,54.5,,박현우,박천서,한영석,1¾,451(-5),28.2,4.1,
9,10,11,두손드라이브,한,수,3세,56,,김용근,박재우,이도명,½,479(-1),7.1,2.3,망사눈
10,11,7,천둥오름,한,암,3세,54,,김효정,토니,♠김광명,4,404(-1),79.5,12.3,"계란형큰,눈가면"
11,12,9,질주에바다,한,수,3세,56,,문성혁,서인석,♠고재완,3,446(-10),15.4,3.2,망사눈
0,1,6,챔피언가문,한,거,4세,56.5,,조상범,박대흥,(주)케이씨피,,468(-5),7.8,2.4,"계란형큰,양털코,혀끈-"
1,2,5,천문,한,수,4세,56.5,,박병윤,배휴준,조금제,8,485(-2),9.2,2.5,"망사눈,혀끈"
2,3,2,퀸라이언,한,암,5세,51.5,,(-3)김아현,조현수,♠신우철,½,442(-2),45.6,10.6,"계란형큰,망사눈"
3,4,9,글로벌스톰,한,거,4세,56.5,,방춘식,최상식,♠장재형,4,466(-7),71.6,11.2,망사
4,5,8,브이퀸,한,암,4세,54.5,,장추열,박천서,♠박평양,목,461(-4),4.9,1.8,"Triabit ,망사,혀끈"
5,6,1,페페런,한,거,4세,56.5,,문성혁,전승규,박기태,½,466(-3),8.2,2.7,"계란형큰,망사,혀끈"
6,7,11,문학포리스트,한,수,4세,56.5,,김용근,박재우,♠황봉기,1½,509(-3),4.8,1.6,망사눈
7,8,7,과천신세계,한,암,4세,54.5,,이혁,신삼영,♠김성진,머리,486(4),10.8,3.0,"계란형큰,망사,혀끈-"
8,9,3,신대로,한,수,5세,56.5,,이용호,최용건,♠박정배,1¾,474(-7),50.5,11.4,계란형큰
9,10,12,대승가온,한,암,5세,54.5,,이현종,서인석,문석현,2,429(7),22.5,4.3,눈가면
10,11,10,토루크막토,한,암,4세,54.5,,박현우,박천서,김봉섭,1¾,455(-4),53.2,17.4,망사눈
11,12,4,정문짱,한,수,4세,56.5,,박을운,홍대유,♠김재영b,4,490(7),3.7,2.1,"망사눈,반가지큰"
0,1,2,성실머니,한,암,5세,54.5,29,문세영,박윤규,♠이동훈,,540(-1),3.4,1.6,"망사눈,승인편자"
1,2,11,스마트하이,한,암,4세,55,30,유승완,최용건,김창호,1¾,491(1),5.4,2.3,
2,3,9,원더풀오렌지,한,암,5세,54,28,김효정,배대선,♠(주)녹원목장,코,459(-6),40.8,6.0,망사
3,4,7,골드스파이크,한,암,4세,56,32,송재철,송문길,박복용,½,491(4),28.3,4.8,망사눈
4,5,6,리마커블,한,암,3세,53.5,28,이혁,지용철,♠조용학,¾,482(-2),4.5,1.7,"계란형큰,망사"
5,6,10,중추부사,한,암,4세,55.5,31,장추열,강성오,♠김기종,½,463(1),8.2,2.3,"계란형큰,망사눈"
6,7,5,블랙루키,한,암,4세,55.5,31,조상범,강성오,이용대,머리,458(1),9.8,2.5,망사눈
7,8,8,송암플레이어,한,암,5세,54,28,김태훈,전승규,♠송암축산,머리,439(-3),30.7,7.5,"Triabit ,망사눈"
8,9,13,스마트핑크,한,암,4세,54.5,29,문성혁,김동철,♠오종환,1½,468(14),87.4,28.2,망사
9,10,14,정상제트,한,암,3세,54.5,30,먼로,박희철,♠정동진,3,467(0),17.9,3.9,눈가면
10,11,3,골드필드,한,암,6세,51,24,(-3)김아현,조현수,윤영기,½,454(-2),81.8,25.1,"계란형큰,망사"
11,12,12,남산초콜릿,한,암,4세,55,30,안토니오,토니,♠이기선,1¼,438(-2),17.5,5.1,"계란형큰,혀끈,망사-"
12,13,1,아테나브이,한,암,6세,53,26,김용근,송문길,♠허장원,26,540(6),10.2,4.1,반가지큰
13,,4,슈퍼버드,한,암,4세,54,28,김정준,김윤섭,최장석,출전제외,453(-1),----,----,망사
0,1,7,크레이지탱크,한,수,4세,54.5,30,김태훈,신삼영,♠서창식,,488(-11),26.7,5.6,망사눈
1,2,9,제이트로스,한,암,3세,52.5,31,유승완,송문길,♠허장원,½,474(-17),6.9,2.6,"망사,반가지큰+"
2,3,3,프린세스삭스,한,암,4세,54.5,34,안토니오,이신영,♠김창식,1¼,452(-8),5.7,2.2,양털코
3,4,2,부스터로켓,한,암,5세,52.5,30,먼로,최봉주,윤지중,½,469(0),5.3,1.8,망사눈
4,5,11,컴플리트스타,한,암,4세,54.5,34,문세영,박재우,♠장세준,¾,481(5),3.4,1.4,망사눈
5,6,12,퀸오브베스트,한,암,4세,52,29,이혁,조현수,♠신우철,¾,452(11),91.8,22.0,망사눈
6,7,10,엑톤질주,한,수,4세,53.5,28,박병윤,손영표,♠황경호,1,484(-1),46.6,5.7,
7,8,5,베스트야,한,암,3세,*52,28,송재철,이희영,베스트샤인조합,½,471(12),26.1,4.8,눈가면
8,9,8,영웅대마,한,거,4세,52.5,28,(-1)임다빈,정호익,♠김광명,1,478(-3),82.6,9.1,망사눈
9,10,6,럭키마이더스,한,수,6세,52.5,26,부민호,김윤섭,♠조창규,1,481(-3),25.8,4.5,"계란형큰,망사눈+"
