,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,1,6,영광의비트,한,거,3세,56.5,,김용근,전승규,♠변창덕,,444(-3),2.6,1.3,"망사눈, Triabit"
1,2,7,대싱카누,한,암,3세,52,,(-1)조한별,유재길,박정열,7,491(7),29.0,5.6,망사
2,3,9,클리어스토리,한,암,3세,53,,이아나,최용구,♠김창만,머리,484(-4),21.8,3.9,망사눈
3,4,2,골드레벨,한,암,3세,54,,먼로,서홍수,♠이미경,½,459(4),3.8,1.4,망사눈
4,5,5,최강신기,한,거,3세,55,,다비드,사이먼,♠이기선,½,472(-13),57.2,7.1,"Triabit, 눈가면"
5,6,1,크레이지퀸,한,암,3세,51,,(-3)문성혁,서인석,♠서창식,4,517(4),2.9,1.2,"계란형큰, 망사눈"
6,7,8,백두거포,한,거,3세,55.5,,마누엘,구자흥,♠김봉겸,14,474(2),8.2,1.8,"계란형큰, 양털코"
7,8,3,정성와일드,한,암,3세,52,,(-1)조상범,강환민,임정균,1¾,434(5),50.7,5.5,망사
8,9,4,대군사랑,한,암,3세,53,,유승완,손영표,♠표종순,3,442(-7),43.4,9.5,망사
0,1,10,화이트퀸,한,암,2세,52.5,31,임기원,박재우,♠김태성,,473(10),6.1,1.9,망사
1,2,8,마이티럭,한,암,3세,54,31,먼로,서홍수,♠조병태,코,483(8),2.6,1.4,
2,3,1,방탄마,한,암,3세,56,35,김용근,지용철,김영진,2½,455(-2),2.4,1.4,망사
3,4,4,프리마니케,한,암,3세,53,29,이현종,서인석,천병득,3,452(11),54.2,4.5,"계란형큰, 망사눈"
4,5,11,세라여제,한,암,4세,51,27,(-3)문성혁,전승규,김찬영,½,422(-4),131.7,15.9,"계란형큰, 눈가면"
5,6,3,원더풀마리아,한,암,3세,54.5,32,송재철,임봉춘,♠(주)녹원목장,1,462(-18),14.8,2.6,
6,7,7,싱그러운타임,한,암,3세,55.5,34,유승완,김동균,♠조창석,코,491(25),14.9,2.6,망사눈
7,8,5,코일로,한,암,3세,54.5,32,안토니오,사이먼,♠이혜란,1½,501(0),13.1,2.3,"혀끈, Triabit, 눈가면"
8,9,6,금스타,한,암,3세,52.5,28,김정준,박병일,♠배태곤,4,486(-5),91.2,7.9,망사눈
9,10,2,스마트파티,한,암,3세,53,29,안효리,심승태,♠김태성,22,470(6),60.5,12.1,망사
10,11,9,운명에폴링,한,암,3세,52,29,(-1)조상범,안병기,김제영,1¼,493(-13),57.8,12.7,망사눈
0,1,4,세명스톰,한,수,3세,55,32,다나카,신삼영,이기철,,505(-8),2.5,1.5,"계란형큰+,망사눈-"
1,2,3,미라클호프,한,수,3세,51.5,27,(-1)김효정,우창구,♠변갑한,13,478(1),32.2,5.0,"망사, Triabit"
2,3,11,라오진,한,암,3세,53,35,(-2)김덕현,김동균,(주)삼건사,1¼,463(-15),3.1,1.5,"계란형큰, 눈가면"
3,4,7,어스피스,한,수,3세,53.5,29,먼로,박윤규,강현찬,1¾,496(9),11.8,2.8,망사눈
4,5,9,대천히어로,한,거,4세,55,32,김옥성,박희철,고양진,머리,445(-4),17.5,3.2,눈가면
5,6,8,원더풀마린,한,수,3세,52.5,27,마누엘,이관호,♠이경희,1½,447(6),13.5,3.7,"망사, 혀끈"
6,7,5,퀸포스원,한,암,4세,54.5,34,이현종,조현수,♠서정범,코,459(-2),10.4,2.5,"계란형큰, 망사눈"
7,8,6,기븐러너,한,수,3세,52.5,29,(-1)조상범,안병기,김종철,2½,457(-13),97.3,14.8,망사눈
8,9,2,적토비마,한,암,3세,52.5,30,박태종,정호익,정범성,2½,449(-6),21.1,3.3,"망사눈, 혀끈"
9,10,10,천년의바람,한,거,3세,53.5,29,송재철,임봉춘,♠류주영,½,472(-4),12.9,3.2,"반가지큰, 눈가면"
10,11,1,큐피드여왕,한,암,3세,51,27,문정균,유재길,♠서순배,3,481(0),19.0,5.1,망사눈
0,1,7,대군파워,한,거,3세,54,30,안토니오,임봉춘,♠표종순,,455(-10),3.0,1.4,망사눈
1,2,4,천지명장,미,수,3세,55,33,(-1)조한별,손영표,♠최임규,6,429(-3),34.1,5.0,"계란형큰, 망사눈"
2,3,11,피케이군주,한,수,3세,54.5,30,임기원,신삼영,♠김태성,1,488(-2),3.6,1.6,계란형큰
3,4,2,태풍아이즈,한,수,4세,55,35,(-2)김덕현,심승태,장철환,1,523(-2),5.4,1.6,계란형큰
4,5,3,일마레,한,수,3세,55,33,(-1)김효정,서범석,♠카도노 시게오,½,479(0),5.1,1.8,"계란형큰, 망사눈"
5,6,9,포르티오르,미,거,3세,57,35,송재철,최용구,♠강무웅,4,413(-15),113.0,17.0,"반가지큰, 망사눈"
6,7,10,플라잉헤라,한,암,4세,*52,25,박을운,심승태,♠김형순,½,455(-4),27.7,4.7,"망사, Triabit"
7,8,8,포제이케이,한,암,4세,51,24,방춘식,김점오,♠강균호,½,429(2),116.0,18.1,망사눈
