,Unnamed: 0,name,ranked,fw,fd,mw,md
0,0,금로열,1,,"493,755USD ","41,484,000원", 
1,1,프라임퀸,2,"1,220,375,000원", ,"69,370,000원", 
2,2,갑오풀퀸,3,,"3,084,278USD ","256,115,000원", 
3,3,플라잉토르,4,,"493,755USD ",,"106,365USD "
4,4,블랙퓨펄,5,,"51,475USD ","57,878,000원", 
5,5,정성홀리데이,6,,"416,475,000JPY ",,"81,671USD "
6,6,용암장군,7,,"1,810,805USD ","156,911,000원", 
7,7,빅토리조이,8,,"1,570,380USD ","307,463,200원", 
8,8,쏘아라흑장군,9,,"1,732,000USD ",,"170,121USD "
9,9,해피하와이,10,,"3,084,278USD ",,0AUD 
10,10,에이스고고,11,,"3,187,232USD ",,0
11,11,연승가이,12,"1,636,444,000원", ,"10,934,000원","9,840USD "
12,12,인듀어런스,1,,"1,570,380USD ","140,176,000원", 
13,13,킹오브이글,2,,"172,705,000JPY ","511,520,000원", 
14,14,논스톱위닝,3,,"695,299USD ",0원, 
15,15,깨우침,4,,"416,475,000JPY ","251,002,000원", 
16,16,대군사랑,5,,"578,302,000JPY ","2,000,000원", 
17,17,곡마단,6,,"1,570,380USD ",,0
18,18,서울매직,7,,"163,133USD ","107,712,000원", 
19,19,젝스칸,8,,"416,475,000JPY ",,400USD 
20,20,무패함성,9,"1,225,505,000원", ,"161,979,000원", 
22,22,비카브레이싱,1,,"835,142USD ",,"16,685USD "
23,23,두리,2,,"617,310USD ","55,287,000원", 
24,24,레이디다이아,3,"817,614,000원", ,"101,880,000원", 
25,25,캐럿시커,4,,"811,400USD ",,"9,135USD "
26,26,송암바비,5,,"456,410USD ",,"66,215USD "
27,27,세명스톰,6,"470,582,000원", ,"42,600,000원", 
28,28,천지기상,7,,"2,879,612USD ",,"52,746USD "
29,29,남녁의하늘,8,,"456,410USD ",,"35,115USD "
30,30,인그란퀸,9,,"3,545,062USD ",,"3,850,000JPY "
31,31,대지공주,10,,"1,570,380USD ",,"7,544USD "
32,32,금성가이,11,,"396,254USD ",,0USD 
34,34,위너브라운,1,,"158,713AUD ",,"165,311USD "
35,35,피렌체힐,2,,"493,755USD ","95,420,000원", 
36,36,리치룰즈,3,,"3,084,278USD ",,"148,315USD "
37,37,엄지여왕,4,,"315,015USD ",,"80,303USD "
38,38,마이호크,5,,"491,312USD ","116,080,000원", 
39,39,파티파워,6,,"51,814,000JPY ",,"8,278USD "
40,40,미사일캔디,7,,"944,900USD ",,"34,560USD "
41,41,맘보천하,8,,"278,406USD ","19,495,000원", 
42,42,라온프로센스,9,,"1,732,000USD ","241,966,000원", 
43,43,방탄마,10,"689,387,200원", ,"155,903,000원", 
44,44,유니스,11,,"396,254USD ",,100USD 
45,45,다산의초대,12,,"339,984USD ","37,235,000원", 
46,46,다이아로드,1,,"158,713AUD ","202,949,000원", 
47,47,당대질주,2,,"1,607,774USD ",,0
48,48,캠프바다,3,,"339,984USD ","58,130,000원", 
49,49,천년해피,4,"1,225,505,000원", ,"147,460,000원", 
50,50,아이언하트,5,,"1,083,533USD ",,"898,000JPY "
51,51,레인,6,,"1,083,533USD ","125,768,000원", 
52,52,스틸런,7,,"3,187,232USD ","239,805,200원", 
53,53,블루메가엘라,8,,"1,083,533USD ",,0
54,54,크레이지큐,9,"817,614,000원", ,,"8,780USD "
55,55,종다리낭랑,10,,"3,545,062USD ","140,590,000원", 
56,56,주연,11,,"396,254USD ",,"262,002USD "
57,57,로열샬롬,12,,"339,984USD ","47,730,000원", 
58,58,창성럭키,1,,"85,630,000JPY ","164,595,000원", 
59,59,선오브선더,2,,"3,084,278USD ","38,433,000원", 
60,60,플라잉조이,3,,"315,015USD ",,"281,986USD "
61,61,한일달빛,4,,"274,382USD ",,"24,008USD "
62,62,섀도우머니,5,,"480,001USD ","145,668,800원", 
63,63,럭키봉화,6,,"315,015USD ","169,115,000원", 
64,64,원어게인,7,,"210,553USD ",,"77,610USD "
65,65,바람의미소,8,,"51,475USD ",,"25,200USD "
66,66,굳세어라,9,,"3,545,062USD ","56,396,000원", 
67,67,라이즈앤샤인,10,,"3,545,062USD ","202,050,000원", 
68,68,에메랄드킹,11,,"107,515USD ","202,350,000원", 
69,69,칠종칠금,12,,"396,254USD ",,"8,014USD "
70,70,백투백,1,,"1,732,000USD ",, 
71,71,리치마인,2,,"274,382USD ",,"52,689USD "
72,72,일각수,3,,"339,984USD ",,"81,140USD "
73,73,라온세레나,4,,"1,810,805USD ","49,730,000원", 
74,74,봄비스킹,5,"435,833,000원", ,,"34,400USD "
75,75,푸른질주,6,,"70,961,000JPY ",,"4,040,000JPY "
76,76,금순유,7,,"1,503,825USD ","292,350,000원", 
77,77,델타케이,8,,"278,406USD ","80,230,000원", 
78,78,정상으뜸,9,,"695,299USD ","37,299,000원", 
79,79,아워캣,10,,"435,597USD ",,"2,195USD "
80,80,위너스피릿,11,,"456,410USD ",,"112,985USD "
81,81,중전마마,12,,"568,629,000JPY ","84,660,000원", 
82,82,인천치프,1,,"1,634,200USD ",,"244,510USD "
83,83,매치캡틴,2,,"770,496USD ",,"21,280USD "
84,84,흥짱,3,,"2,765,800USD ",,"1,800USD "
85,85,스피드쇼크,4,,"795,071USD ",,"14,834USD "
86,86,인천스피드,5,,"742,640USD ",,"71,046USD "
87,87,선스타트,6,,"794,855USD ",,0
88,88,올댓코리아,7,,"454,630USD ",,"23,200USD "
89,89,프라우드섐록,8,,"389,141USD ",,"41,820USD "
90,90,동해클럽,9,,"172,705,000JPY ",,"16,528,000JPY "
91,91,본능대로,10,,"500,435USD ",,"131,553USD "
92,92,블루스타매직,11,,"1,606,000USD ",,0AUD 
94,94,라피도쿠스,1,,"654,681USD ",,"50,050USD "
95,95,이천쌀,2,,"107,515USD ",,"148,315USD "
96,96,큐피드데이트,3,,"3,084,278USD ",,"73,410USD "
97,97,한양공주,4,,"1,503,825USD ",,0
98,98,캡틴파워,5,,"568,629,000JPY ",,"53,091USD "
99,99,스피드황룡,6,,"416,475,000JPY ","69,635,000원", 
100,100,강서으뜸,7,,"1,810,805USD ",,"170,121USD "
101,101,대명솔라,8,,"1,503,825USD ","61,468,000원", 
102,102,패스트패션,9,,"51,475USD ",,"35,950USD "
103,103,스트롱캡틴,10,,"493,755USD ",,975AUD 
104,104,본위너,11,,"1,283,145USD ",,"31,270USD "
105,105,흰별,12,,"568,086USD ",,"2,340USD "
106,106,글로벌축제,1,,"1,570,380USD ","95,190,000원", 
107,107,햇살왕자,2,,"3,187,232USD ","74,648,000원", 
108,108,위드프렌드십,3,,"832,140USD ",,"109,202USD "
109,109,스페셜위너,4,,"568,629,000JPY ","17,025,000원", 
110,110,탐라킹,5,,"3,545,062USD ","148,460,000원", 
111,111,아멘다,6,,"1,732,000USD ","58,562,500원", 
112,112,센타포바,7,,"339,984USD ","266,851,000원", 
113,113,예스유캔,8,,"70,961,000JPY ","37,665,000원", 
114,114,메니블레이드,9,,"1,732,000USD ",,"62,397USD "
115,115,특별스타,10,,"578,302,000JPY ","181,834,000원", 
116,116,볼드샤이닝,11,,"480,001USD ","305,585,000원", 
117,117,로드킹,12,,"1,732,000USD ",,"33,710USD "
118,118,금비랑,1,,"1,732,000USD ","441,102,000원", 
119,119,문학조이,2,,"2,075,791USD ",,"61,766USD "
120,120,글로벌라인,3,,"1,570,380USD ",,0
121,121,히비키,4,,"1,732,000USD ",,0
122,122,초인마,5,,"1,732,000USD ","203,132,000원", 
123,123,용총,6,,"396,254USD ",,"61,125USD "
124,124,난초의고향,7,,"454,630USD ",,"7,800USD "
125,125,야호선샤인,8,,"1,610,604USD ",,"61,859USD "
126,126,황금소리,9,,"583,280USD ",,"49,036USD "
127,127,불멸의제왕,10,,"251,090USD ",,"77,670USD "
128,128,대쥬신,11,,"1,716,950USD ",,"111,226USD "
129,129,위대한전사,12,,"879,768USD ",,"4,595USD "
130,130,엉클오,1,,"811,760USD ",,623USD 
131,131,초코캔디,2,,"1,146,340USD ",,780USD 
132,132,문학쓰나미,3,,"1,146,340USD ",, 
133,133,오섬스마트,4,,"337,376USD ",,"106,340USD "
134,134,돌아온날리,5,,"301,500USD ",,244USD 
135,135,가온퀸,6,,"1,606,000USD ",,"189,055USD "
136,136,남촌아티스트,7,,"1,319,481USD ",,"79,860USD "
137,137,탭패션드,8,,"583,280USD ",,"51,158USD "
138,138,사려니윈,9,,"239,229USD ",,"3,650USD "
139,139,미스터포춘,10,,"1,570,380USD ","119,331,000원", 
140,140,우승하우스,11,,"500,435USD ",,"192,287USD "
141,141,해피보이,12,,"1,694,180USD ",,"41,330USD "
142,142,골드파티,1,,"794,855USD ",,"53,849USD "
143,143,금아매저스티,2,,"1,810,805USD ",,0
144,144,큐피드초이스,3,,"1,694,180USD ",,760USD 
145,145,안양레오파드,4,,"4,374,590USD ",,"1,715USD "
146,146,과천공주,5,,"687,967USD ",,"72,057USD "
147,147,완승무패,6,,"804,090USD ","8,200,000원", 
148,148,골드필드,7,,"339,984USD ",,"3,498USD "
149,149,백스핀,8,,"568,086USD ",,"79,418USD "
150,150,드림캠프,9,,"339,984USD ","122,223,000원", 
151,151,더캐스팅,10,,"494,895,000JPY ",,"62,774USD "
152,152,애니포스원,11,,"1,083,533USD ",,"105,150USD "
153,153,베스트버디,12,,"371,623,500JPY ","102,100,000원", 
154,154,장산플라이,1,,"51,475USD ",,"12,567USD "
155,155,레드블레이드,2,,"1,732,000USD ",,"49,173USD "
156,156,페더럴캣,3,,"172,705,000JPY ",,"10,948,000JPY "
157,157,클린업트리오,4,,"114,300USD ",,"84,205USD "
158,158,플라워로드,5,,"491,312USD ",,"22,580USD "
159,159,비앙카,6,,"1,810,805USD ",,"1,680USD "
160,160,호스캡틴,7,,"1,810,805USD ",,0
161,161,투어브라더,8,,"163,133USD ","112,060,000원", 
162,162,챔피언라이트,9,,"1,570,380USD ",0원, 
163,163,최강러너,10,,"254,672USD ",,0
165,165,금빛장인,1,,"1,732,000USD ","148,346,000원", 
166,166,끌어주는손,2,,"249,760USD ","78,614,000원", 
167,167,사사,3,,"339,984USD ","21,156,000원","16,030USD "
168,168,정상만세,4,,"493,755USD ","92,266,000원", 
169,169,로열브론즈,5,,"396,254USD ",,0
170,170,바이칼전사,6,,"456,410USD ","21,156,000원","16,030USD "
171,171,피케이타임,7,,"617,310USD ","29,446,000원", 
172,172,블루파이어,8,,"493,755USD ","125,820,000원", 
173,173,그린와이,9,,"491,312USD ","137,120,000원", 
174,174,속보태자,10,,"568,086USD ","113,835,000원", 
175,175,카이젠포스,11,,"1,037,810USD ",,"6,110USD "
176,176,사바킹덤,12,,"114,300USD ",,"3,550NZD "
177,177,화기,1,,"3,614,500USD ",,"55,960USD "
178,178,크레이지위키,2,,"572,927USD ",,0AUD 
179,179,고고비,3,,"1,146,340USD ",,"40,820USD "
180,180,흥복드림,4,,"1,878,013USD ",,"34,898USD "
181,181,블루스파이더,5,,0AUD ,, 
182,182,굿센스,6,,"4,383,200USD ",,"34,970USD "
183,183,질풍강자,7,"728,298,000원", ,"96,320,000원", 
184,184,피닉스울프,8,,"1,103,050CAD ",,"1,458,198USD "
185,185,머스탱런,9,,"3,645,383USD ",,500USD 
186,186,굿카이로,10,,"562,000USD ",,"32,192USD "
187,187,위대한파이터,11,,"1,005,413USD ",,"14,600USD "
188,188,파티큘러퀸,12,,"3,924,648USD ",,"74,620USD "
189,189,럭키봉성,1,,"1,810,805USD ",,"14,507USD "
190,190,안목항,2,,"396,254USD ","82,258,000원", 
191,191,타이밍굿,3,,"3,084,278USD ","45,956,000원", 
192,192,셋더페이스,4,,"172,705,000JPY ",,0
193,193,위너크라운,5,,"493,755USD ",,"8,014USD "
194,194,조이오브킹,6,,"172,705,000JPY ",,"9,480USD "
195,195,배다리서미트,7,,"494,895,000JPY ","145,767,000원", 
196,196,메니타운십,8,,"1,732,000USD ",,0
197,197,큐피드여왕,9,,"114,300USD ",,"78,976USD "
198,198,원더풀댄서,10,,"617,310USD ",, 
199,199,정조의꿈,11,,"114,300USD ",,880USD 
200,200,라온호크,12,,"1,083,533USD ",,640USD 
201,201,스마티아델,1,,"1,810,805USD ","72,204,000원", 
202,202,원더풀루비,2,,"416,475,000JPY ",,"25,309USD "
203,203,럭키소천,3,,"51,475USD ",,"29,760USD "
204,204,스타리스트,4,,"3,545,062USD ","38,806,000원",0
205,205,베티나,5,,"210,553USD ",,"1,320USD "
206,206,엠제이타운,6,,"819,668USD ",,"20,390USD "
207,207,쏘아라우츠,7,,"120,176USD ",,"207,440USD "
208,208,더조은내일,8,,"1,732,000USD ","485,085,000원", 
209,209,동해실버,9,,"568,629,000JPY ",,0
211,211,총알같이,1,,"396,254USD ","81,118,000원", 
212,212,골든웨딩,2,"451,805,000원", ,,"73,626USD "
213,213,라스트잭팟,3,,"568,086USD ",,0AUD 
214,214,바리메캠프,4,,"339,984USD ","61,748,000원", 
215,215,트루팀버,5,,"7,712,841USD ","296,100,000원", 
216,216,스피드흑룡,6,,"210,553USD ",,"4,005USD "
217,217,달려라라온,7,,"3,084,278USD ",,"1,920USD "
218,218,큐피드플라잉,8,,"51,475USD ","227,208,000원", 
219,219,백산아일랜드,9,,"435,597USD ",,"20,646USD "
220,220,스타퍼펙트,10,,"578,302,000JPY ","142,751,000원", 
221,221,승리플러스,11,,"804,090USD ","180,313,000원", 
222,222,파이널캡틴,12,"451,805,000원", ,,0
223,223,문학아리아리,1,,"1,146,340USD ",,"10,377USD "
224,224,대군천하,2,,"1,878,013USD ",,"29,446USD "
225,225,글라디아토레에이,3,,"1,046,381USD ",,"81,473USD "
226,226,원더풀인디언,4,,"1,182,992USD ",,720USD 
227,227,리암스무니,5,,"135,191USD ",,"84,319USD "
228,228,센스쟁이,6,,"742,640USD ",,"10,490USD "
229,229,남촌데이,7,,"1,706,350USD ",,"32,406USD "
230,230,맹주,8,,"4,383,200USD ",,0USD 
231,231,패션피플,9,,"583,280USD ",,"127,465USD "
232,232,아델엔젤,10,,"492,910USD ",,"22,944USD "
233,233,더더비,11,,"492,430USD ",,"44,820USD "
234,234,문학파이어,12,,"385,807USD ",,0
235,235,스피드영웅,1,,"3,084,278USD ","34,768,000원",0RUB 
236,236,천년바이킹,2,"1,225,505,000원", ,"34,927,000원", 
237,237,사이먼프루트,3,,"274,382USD ",,"16,060USD "
238,238,제왕의별,4,,"1,503,825USD ",,"148,914USD "
239,239,해피스트,5,,"51,475USD ","40,536,000원", 
240,240,해피마운틴,6,,"1,607,774USD ",,"300,820USD "
241,241,재롱이,7,,"4,156,389USD ","29,446,000원", 
242,242,스피드청룡,8,,"1,732,000USD ","28,637,000원",0AUD 
243,243,천하형국,9,,"70,961,000JPY ","44,551,500원", 
244,244,여울이,10,,"3,294,901USD ","15,449,000원",0
245,245,희망포인트,11,,"315,015USD ",,"8,445USD "
246,246,어린왕자,12,,"339,984USD ",,438USD 
247,247,메갈리오스,1,,"1,380,200USD ",,"34,540USD "
248,248,삼삼빅토리,2,,"385,807USD ",,"36,622USD "
249,249,하와이보스,3,,"633,076USD ",,"8,345USD "
250,250,킹포세,4,,"1,423,379USD ",,"65,390USD "
251,251,마이비전,5,,"835,142USD ",,"53,320USD "
252,252,왕의대로,6,,"1,779,012USD ",,"43,148USD "
253,253,장산베어스,7,,"1,146,340USD ",,244USD 
254,254,비드타운,8,,"819,668USD ",,0
255,255,핵항공모함,9,,"1,104,810USD ",,"46,346USD "
256,256,본워리어,10,,"254,672USD ",,"41,885USD "
257,257,아르고오섬,11,,"835,142USD ","113,588,000원", 
258,258,우먼볼트,12,,"727,290USD ",,0AUD 
259,259,말리부불패,1,,"33,840USD ",,"133,683USD "
260,260,청담제왕,2,,"3,090,101USD ",,0
261,261,플레이시스투고,3,,"1,026,229USD ",,"150,550USD "
262,262,흥룡,4,,"811,760USD ",,0
263,263,장산제왕,5,,"399,089USD ",,"8,014USD "
264,264,신규강자,6,,"35,665USD ","145,591,000원", 
265,265,다이나믹질주,7,,"591,225USD ",,"184,175USD "
266,266,글로벌뱅크,8,,"114,300USD ",,"31,200USD "
267,267,이광사석,9,,"185,417USD ","139,414,000원", 
271,271,센터폴,1,,"1,732,000USD ","227,736,000원", 
272,272,무도,2,,"254,672USD ",,"38,880USD "
273,273,메니그랜드,3,,"1,732,000USD ",,"15,820USD "
274,274,천년의바람,4,,"274,382USD ","64,602,000원", 
275,275,스피드벨,5,,"205,617USD ",,"16,285USD "
276,276,챔프케이,6,,"114,300USD ","67,895,000원", 
277,277,라비에벨,7,,"339,984USD ",,0
278,278,에이스샤인,8,,"51,475USD ",,0
279,279,피케이군주,9,,"1,732,000USD ","113,667,000원", 
280,280,서던맨,10,,"1,843,750USD ",,0
281,281,모닝별,11,,"695,299USD ","155,495,000원", 
282,282,칸에이스,12,"451,805,000원", ,"44,749,000원", 
283,283,금아인빈서블,1,,"1,732,000USD ",,0AUD 
284,284,킹리,2,,"172,705,000JPY ",,0
285,285,대길이,3,,"3,545,062USD ",,"181,694USD "
286,286,스타삭스,4,,"1,570,380USD ","137,865,000원", 
287,287,신의축복,5,"1,225,505,000원", ,"45,835,000원", 
288,288,대지의축복,6,,"568,086USD ","21,430,000원", 
