16759,16759,클린업해피,1,,"1,101,924USD ",,"8,514USD "
16760,16760,원더풀스톰,2,,"1,732,000USD ",,"210,188USD "
16761,16761,럭셔리캡틴,3,,"1,607,774USD ","39,446,000원", 
16762,16762,나의전설,4,,"583,280USD ","363,840,000원", 
16763,16763,언패럴렐드,5,,"339,984USD ","75,398,000원", 
16764,16764,교룡득수,6,,"1,810,805USD ","539,152,000원", 
16765,16765,라온패션,7,,"583,280USD ",,"184,563USD "
16766,16766,이스트챔프,8,,"1,503,825USD ","263,244,000원", 
16767,16767,만에하나,9,,"51,475USD ",,"16,630GBP "
16768,16768,화이트코멧,10,,"254,672USD ",,"16,200AUD "
16769,16769,하이비트,11,,"585,719USD ",,"41,475USD "
16770,16770,인디언보스,12,,"617,310USD ","132,500,000원", 
16771,16771,럭키법전,1,,"1,810,805USD ",,"138,998USD "
16772,16772,정조의꿈,2,,"114,300USD ",,880USD 
16773,16773,장산플라이,3,,"51,475USD ",,"12,567USD "
16774,16774,미르스톰,4,,"456,410USD ",,0
16775,16775,서클댄서,5,,"835,142USD ","114,172,000원", 
16776,16776,컴플리트캡틴,6,,"339,984USD ","46,605,000원", 
16777,16777,메니챔프,7,,"1,732,000USD ",,"6,570USD "
16778,16778,이스트킹덤,8,,"1,607,774USD ","58,653,000원", 
16779,16779,연희일출,9,,"254,672USD ","165,950,000원", 
16780,16780,구름손짓해,11,,"339,984USD ",,"1,489USD "
16781,16781,리빙스턴,12,"579,356,000원", ,, 
16782,16782,마이티칩,1,,"1,065,147USD ",, 
16783,16783,히든돌풍,2,,"582,960USD ",, 
16784,16784,마이티팝,3,,"1,889,766USD ",,"7,198USD "
16785,16785,문학시바,4,,"4,368,214USD ",, 
16786,16786,문학고스트,5,,"3,446,120USD ",,"37,784USD "
16787,16787,메디치퀸,6,,"1,606,000USD ",, 
16788,16788,핑크번개,7,,"239,229USD ",, 
16789,16789,파노라마칸,8,,"405,730USD ",, 
16790,16790,파노라마퀸,9,,"597,800USD ",,"30,009USD "
16791,16791,선녀예찬,10,,"163,584AUD ",, 
16792,16792,천구클래스,11,,"2,983,350USD ",,"1,155EUR "
16793,16793,그린질주,12,,"3,645,383USD ",,"60,020USD "
16794,16794,록뉴스,1,,"1,570,380USD ","96,601,000원", 
16795,16795,선더윈드,2,,"114,300USD ","75,240,000원", 
16796,16796,서울크라운,3,,"568,086USD ",,0
16797,16797,블랙참,4,,"416,475,000JPY ","648,176,000원", 
16798,16798,에이피파텍,5,,"4,941,513USD ","277,074,000원", 
16799,16799,초동로켓,6,,"1,732,000USD ","205,168,000원", 
16800,16800,탱크삭스,7,,"254,672USD ",,0
16801,16801,어메이징위즈,8,,"1,570,380USD ","1,200,000원", 
16802,16802,럭키클럽,9,,"274,382USD ","87,410,000원", 
16803,16803,엠제이베스트,10,,"1,037,810USD ","238,350,000원", 
16804,16804,일보등천,11,,"633,076USD ",,"4,542USD "
16805,16805,금성에이스,12,,"51,475USD ","259,050,000원", 
16806,16806,위즈모멘트,1,,"1,732,000USD ",,"17,980USD "
16807,16807,제주의흑선,2,,"568,086USD ","90,960,000원",0
16808,16808,천지여걸,3,,"274,382USD ","196,259,000원", 
16809,16809,러브레이스,4,,"1,732,000USD ",,0
16810,16810,맘마로마,5,,"1,083,533USD ","51,491,000원", 
16811,16811,갑오풀퀸,6,,"3,084,278USD ","256,115,000원", 
16812,16812,레인케이,7,"76,502,000원", ,"24,600,000원", 
16813,16813,라이징삭스,8,,"274,382USD ",,"38,200USD "
16814,16814,정상여신,9,,"51,475USD ","413,351,000원", 
16815,16815,함양산삼,10,,"1,732,000USD ",,"41,280USD "
16816,16816,땡큐마더,11,,"1,732,000USD ","648,176,000원", 
16817,16817,피오레,12,,"3,545,062USD ",,"10,420USD "
16818,16818,글로벌삭스,1,,"742,640USD ",, 
16819,16819,콘스티솔로,2,,"1,031,596USD ",,"244,195USD "
16820,16820,신의열매,3,,"3,647,000USD ",,"7,980USD "
16821,16821,더더비,4,,"492,430USD ",,"44,820USD "
16822,16822,창성히트,5,,"377,066USD ",, 
16823,16823,정문에이스,6,,"1,243,500USD ",,"234,460CAD "
16824,16824,대마불사,7,,"769,964USD ",,"1,151,850USD "
16825,16825,피노시스터,8,,"2,612,516USD ",,0
16826,16826,은어축제,9,,"2,283,402USD ",, 
16827,16827,정상처럼,10,,"3,044,000USD ",,"98,636USD "
16828,16828,스카이홀드,11,,"185,213USD ",,"4,650USD "
16829,16829,거미손,12,,"1,636,426USD ",,"4,767USD "
16830,16830,강토마,1,,"416,475,000JPY ","206,263,000원", 
16831,16831,문학타이거,3,,"1,146,340USD ",,"32,280USD "
16832,16832,장산카우보이,6,,"1,037,810USD ",,"46,200USD "
16833,16833,메디치글로리,7,,"794,855USD ",,"70,155USD "
16834,16834,흑전사,8,,"3,645,383USD ",,"198,994USD "
16835,16835,커버걸저스티스,9,,"1,353,125USD ",,0
16836,16836,오케이퀸,10,,"114,300USD ","2,600,000원", 
16837,16837,슈퍼플루이드,11,,"4,368,214USD ",,"35,280USD "
16838,16838,이스트팔로스,12,,"1,146,340USD ",,"250,645USD "
16839,16839,개나리송,1,,"274,382USD ",,"38,831USD "
16840,16840,파크삭스,2,,"1,694,180USD ",,"47,717USD "
16841,16841,이겨주마,3,,"1,889,766USD ",,"24,815USD "
16842,16842,피닉스선,4,,"804,090USD ",,"29,660USD "
16843,16843,대박행진,5,,"439,250USD ",,"143,791USD "
16844,16844,돌아온날리,6,,"301,500USD ",,244USD 
16845,16845,조우니가,7,,"3,044,000USD ",,"20,996USD "
16846,16846,빅이어,8,,"493,755USD ",, 
16847,16847,레드블레이드,9,,"1,732,000USD ",,"49,173USD "
16848,16848,베스트에버,10,,"568,086USD ",,"31,270USD "
16849,16849,환상스타,11,,"623,000USD ",,"11,050EUR "
16850,16850,캐치참,1,,"1,810,805USD ",,"17,838USD "
16851,16851,컴플리트스타,2,,"339,984USD ","189,805,000원", 
16852,16852,레전드스타,3,,"1,103,496USD ",,0
16853,16853,골든찬스,4,,"1,570,380USD ","101,880,000원", 
16854,16854,드림노크,5,,"1,103,496USD ",,0
16855,16855,하이브,6,"2,426,805,000원", ,,"7,160USD "
16856,16856,일향달마,7,,"1,779,012USD ",,"17,698USD "
16857,16857,원더풀리버,8,,"905,434USD ","353,733,000원", 
16858,16858,로큰롤타임,9,,"1,570,380USD ","17,500,000원", 
16859,16859,런던타이거,10,,"1,810,805USD ","138,640,000원",0
16860,16860,델피니,11,,"1,037,810USD ",,"8,514USD "
16861,16861,굿퍼지,12,,"905,434USD ","55,330,000원", 
16862,16862,폭스파워,1,,"1,810,805USD ","99,278,000원", 
16863,16863,글로벌영웅,2,,"1,103,496USD ",,"127,862USD "
16864,16864,어서와,3,,"1,037,810USD ",,0
16865,16865,명마타임,4,,"1,570,380USD ","121,222,000원", 
16866,16866,마성혼신,5,,"480,001USD ",,0
16867,16867,히트에이스,6,,"1,732,000USD ","147,765,000원", 
16868,16868,로스트워,7,,"2,170,340USD ",,"243,390USD "
16869,16869,런던스피드,8,,"1,779,012USD ","72,166,000원", 
16870,16870,브라이트빅터,9,,"770,496USD ",,"7,200USD "
16871,16871,베스트마루,10,,"3,000USD ","167,687,000원",0
16872,16872,프로폰도로쏘,11,,"612,935USD ",0원, 
16873,16873,정문스타,12,,"583,280USD ",,"128,210USD "
16874,16874,케이엔라이트,1,,"416,475,000JPY ","87,760,000원", 
16875,16875,매드블레이드,2,,"1,037,810USD ","84,100,000원", 
16876,16876,리얼콩코드,3,,"669,260USD ",,"180,395USD "
16877,16877,판타지퀸,4,,"1,083,533USD ",,"159,877USD "
16878,16878,원더풀케이,5,,"905,434USD ","113,350,000원", 
16879,16879,위너킹,6,,"1,380,200USD ",,375USD 
16880,16880,보리보리,7,,"172,705,000JPY ","124,300,000원",0
16881,16881,에피파니,8,,"389,141USD ",,"5,000USD "
16882,16882,슈퍼제나이,9,,"1,037,810USD ",,"69,260USD "
16883,16883,새내황제,10,,"1,810,805USD ","226,930,000원", 
16884,16884,바이킹조이,11,,"1,607,774USD ","34,927,000원", 
16885,16885,나우퀸,12,,"1,064,727USD ",,"35,233USD "
16886,16886,최강게임,1,,"905,434USD ",,"164,706USD "
16887,16887,정문짱,2,,"1,810,805USD ",,0
16888,16888,바잉블레이드,3,,"1,037,810USD ",,"175,695USD "
16889,16889,대천얼짱,4,,"491,312USD ","46,740,000원",0
16890,16890,후이넘,5,,"389,141USD ",,"46,460USD "
16891,16891,통천대로,6,,"491,312USD ",,"135,412USD "
16892,16892,소중한기억,7,,"3,245,370USD ",,0
16893,16893,좋은관계,8,,"1,236,820USD ","157,452,000원", 
16894,16894,장산사수대,9,,"3,084,278USD ",,"135,262USD "
16895,16895,천탑,10,,"1,732,000USD ","33,270,000원", 
16898,16898,르루아블랑,1,,"339,984USD ","231,048,000원", 
16899,16899,로드로즈,2,,"51,475USD ","159,250,000원", 
16900,16900,어메이징퀸,3,,"254,672USD ",,"4,005USD "
16901,16901,걸작우먼,4,,"1,236,820USD ","55,652,000원", 
16902,16902,청담여걸,5,,"1,732,000USD ","10,520,000원", 
16903,16903,그린짱,6,,"1,810,805USD ",,"544,019USD "
16904,16904,남산드림,7,,"3,645,383USD ",,0
16905,16905,러빙댄서,8,,"1,236,820USD ",,"28,015USD "
16906,16906,샤이니퀸,9,,"612,935USD ",,"2,117GBP "
16907,16907,원더풀니키야,10,,"617,310USD ",,"27,200,000JPY "
16908,16908,화이트마운틴,11,,"695,299USD ","34,620,000원", 
16909,16909,빅포스원,12,,"695,299USD ",,"35,680USD "
16910,16910,스타블레이드,1,,"804,090USD ","139,291,000원", 
16911,16911,케이프렌지,2,,"1,732,000USD ",,"55,600USD "
16912,16912,해피먼스,3,,"695,299USD ","122,937,000원", 
16913,16913,청산가세,4,"1,087,822,000원", ,"197,757,000원", 
16914,16914,스타러시,5,,"2,494,490USD ",,"24,581USD "
16915,16915,좋은사이,6,,"416,475,000JPY ","80,230,000원", 
16916,16916,질주대로,7,"2,426,805,000원", ,"136,676,000원", 
16917,16917,큐피드코리아,8,,"1,083,533USD ","74,440,000원", 
16918,16918,에이원킹,9,,"396,254USD ","18,126,000원", 
16919,16919,옥추마,10,,"804,090USD ",,"16,046USD "
16920,16920,하트제니,11,,"339,984USD ","23,940,000원", 
16921,16921,홍산,12,"728,298,000원", ,"137,420,000원", 
16922,16922,라온더파이터,1,,"4,454,930USD ",,"94,117USD "
16923,16923,흥드림,2,,"416,475,000JPY ","16,800,000원", 
16924,16924,화이트참,3,,"1,037,810USD ","115,705,000원", 
16925,16925,선오브스톰,4,,"583,280USD ",,"176,880USD "
16926,16926,로열고스트,5,,"568,086USD ","1,800,000원", 
16927,16927,코브라볼,6,,"339,984USD ","125,820,000원", 
16928,16928,샌드파워,7,,"1,570,380USD ",,"72,057USD "
16929,16929,베스트타임,8,,"377,241USD ",,0USD 
16930,16930,섀도우퀸,9,,"1,570,380USD ","95,420,000원", 
16931,16931,하이퍼카,10,"817,614,000원", ,"34,580,000원", 
16932,16932,위너세이,11,,"1,124,820USD ",,"40,484,000JPY "
16933,16933,백두거포,12,,"114,300USD ","175,248,000원", 
16934,16934,마이멤버,1,,"491,312USD ","116,080,000원", 
16935,16935,럭키스마일,2,,"1,732,000USD ","122,692,000원", 
16936,16936,올마이퀸,3,,"491,312USD ",,"12,003USD "
16937,16937,라피도아레스,4,"76,502,000원", ,,"50,050USD "
16938,16938,조이머니,5,,"1,236,820USD ","971,650,000원", 
16939,16939,라온핑크,6,,"1,236,820USD ",,"149,633USD "
16940,16940,바비블레이드,7,,"1,857,000USD ",,220USD 
16941,16941,조지퀸,8,,"1,236,820USD ",,"120,585USD "
16942,16942,소서노레전드,9,,"583,280USD ","224,317,000원", 
16943,16943,화려,10,,"1,810,805USD ","181,012,000원", 
16944,16944,대싱카누,11,,"568,629,000JPY ","201,285,000원", 
16945,16945,하루온,12,,"210,553USD ","106,041,000원", 
16946,16946,흥록대부,1,,"301,500USD ",, 
16947,16947,새내아이린,2,,"1,031,596USD ",,"101,942USD "
16948,16948,피버디니,3,,"710,480USD ",,"219,266USD "
16949,16949,당찬세력,4,,"444,717USD ",,"81,114USD "
16950,16950,발베니,5,,"3,924,648USD ",,"139,300USD "
16951,16951,에코빅터,6,,"794,855USD ",,"53,059USD "
16952,16952,두손장군,7,,"725,296USD ",,"32,214USD "
16953,16953,에이스레전드,8,,"2,435,343USD ",,"1,480USD "
16954,16954,판타스틱,9,,"972,632USD ",,0
16955,16955,큐피드베이브,10,,"674,405USD ",,0
16956,16956,나는스타,11,,"3,307,278USD ",,0
16957,16957,강남맨,12,,"748,000USD ",,0
16958,16958,와일들리로맨틱,1,,"4,454,930USD ",, 
16959,16959,거센불패,2,,"1,732,780USD ",, 
16960,16960,엠제이포인트,3,,"480,150USD ",,0
16961,16961,로열태리,4,,"1,304,800USD ",,"16,350,000JPY "
16962,16962,마이티후,5,,"1,304,800USD ",,"240,995USD "
16963,16963,문학백투백,6,,"794,855USD ",, 
16964,16964,타라타라타라,7,,"4,454,930USD ",,"150,165USD "
16965,16965,로맨스참,8,,"582,920USD ",,"432,432USD "
16966,16966,이스트포인트,9,,0AUD ,, 
16967,16967,컴플리트찬스,10,,"1,006,415USD ",, 
