,Unnamed: 0,name,ranked,fw,fd,mw,md
7916,7916,대천히어로,7,,"114,300USD ",,"137,366USD "
7917,7917,피렌체힐,8,,"493,755USD ","95,420,000원", 
7918,7918,창성럭키,9,,"85,630,000JPY ","164,595,000원", 
7919,7919,엘초이스,10,,"339,984USD ",,"22,780USD "
7920,7920,라온브라이언,11,,"12,891,734USD ",,"22,590,000JPY "
7921,7921,명마질주,12,,"172,705,000JPY ",0원, 
7922,7922,다이아로드,1,,"158,713AUD ","202,949,000원", 
7923,7923,리드머니,2,,"396,254USD ",,"2,575USD "
7924,7924,서울의별,3,,"568,629,000JPY ","217,833,000원", 
7925,7925,오케이퀸,6,,"114,300USD ","2,600,000원", 
7926,7926,방탄마,13,"689,387,200원", ,"155,903,000원", 
7927,7927,대완마,14,,"51,475USD ",,"80,303USD "
7928,7928,원더풀트루스,15,,"416,475,000JPY ","296,100,000원", 
7929,7929,스페셜스톤,16,,"568,629,000JPY ","109,660,000원", 
7930,7930,구통사,1,,"1,139,150USD ",,"70,245USD "
7931,7931,토스코노바캣,2,,"658,960USD ",,"63,354USD "
7932,7932,대박이다,3,,"1,721,297USD ",,"112,524USD "
7933,7933,소통시대,5,"200,839,000원", ,0원, 
7934,7934,찬마,6,,"1,732,000USD ",,"39,894CAD "
7935,7935,야호스카이캣,7,,"3,084,278USD ",,"36,280USD "
7936,7936,가을의전설,8,,"1,006,415USD ",,"7,050AUD "
7937,7937,이글스그리프터,1,,"1,319,481USD ",,"136,041USD "
7938,7938,프로함성,2,,"1,706,350USD ",,"47,741USD "
7939,7939,플라잉보스,3,,"454,630USD ",,"135,086USD "
7940,7940,투고윈,4,,"254,672USD ",,"108,670USD "
7941,7941,미스터터너,5,,"742,640USD ",,"87,822USD "
7942,7942,황금들판,7,,"225,941USD ",, 
7943,7943,우승특기,8,,"725,700USD ",,"182,002USD "
7944,7944,선제일격,9,,"872,610USD ",,0USD 
7945,7945,올댓스피드,10,,"1,182,992USD ",,"1,680USD "
7946,7946,추카추카,11,,"872,610USD ",,"99,995USD "
7947,7947,럭키상운,1,,"583,280USD ",,0
7948,7948,스트롱레드,2,,"254,672USD ",,0
7949,7949,와일드우즈,3,,"339,984USD ",,250USD 
7950,7950,광야시대,4,"409,030,000원", ,"17,025,000원", 
7951,7951,알파독,5,,"3,084,278USD ","4,347,000원", 
7952,7952,바벨,6,,"583,280USD ",,"181,694USD "
7953,7953,슈퍼마스터,7,,"416,475,000JPY ",,"145,138USD "
7954,7954,원더풀글리터,8,,"4,941,513USD ",,"37,060USD "
7955,7955,슈퍼파크,9,,"1,503,825USD ",,"131,871USD "
7956,7956,발바투,10,,"1,810,805USD ","28,230,000원", 
7957,7957,베스트군단,1,,"583,280USD ","30,795,000원", 
7958,7958,다행이다,2,,"51,475USD ",,0
7959,7959,천지바람,3,,"1,083,533USD ","54,198,000원",36USD 
7960,7960,질주의꿈,4,,"832,744USD ",,"4,690USD "
7961,7961,넘버원타깃,5,,"1,810,805USD ",,760USD 
7962,7962,네버워크얼론,6,,"565,716USD ",,"38,063USD "
7963,7963,퍼펙트파워,7,,"51,475USD ",,"198,635USD "
7964,7964,스프링컴,8,,"761,442USD ",,0
7965,7965,과천에이스,9,"414,605,000원",0,,"59,345USD "
7966,7966,원더풀어게인,10,,"254,672USD ",,"7,870USD "
7967,7967,천마여제,11,,"1,083,533USD ",,0GBP 
7968,7968,콰이어트아델,1,,"1,732,000USD ",,170USD 
7969,7969,초동로켓,2,,"1,732,000USD ","205,168,000원", 
7970,7970,열린문,3,,"1,083,533USD ",,"32,585USD "
7971,7971,케이엔원더풀,4,,"254,672USD ",,"81,671USD "
7972,7972,록뉴스,5,,"1,570,380USD ","96,601,000원", 
7973,7973,샌드파워,6,,"1,570,380USD ",,"72,057USD "
7974,7974,파이팅나우,7,,"51,475USD ",,"34,878USD "
7975,7975,라온빅맨,8,,"1,236,820USD ",,0
7977,7977,마성투혼,1,,"339,984USD ","75,012,000원", 
7978,7978,아워사이먼,2,,"274,382USD ",,"20,800AUD "
7979,7979,이스트챔프,3,,"1,503,825USD ","263,244,000원", 
7980,7980,바디스타,4,,"612,935USD ",,"72,611USD "
7981,7981,환상터치,5,,"612,935USD ",,0
7982,7982,라스트매직,6,,"47,460AUD ","2,770,000원", 
7983,7983,플라잉토르,7,,"493,755USD ",,"106,365USD "
7984,7984,정문레이저,8,,"205,617USD ",,"101,898USD "
7985,7985,송암캣,9,,"339,984USD ",,"79,305USD "
7986,7986,그랜드마스터,10,,"612,935USD ",,0
7987,7987,록하드스카이,11,,"1,570,380USD ",,"36,603USD "
7989,7989,울트라챔피언,1,,"794,855USD ",,"4,412USD "
7990,7990,캡틴불릿,2,,"944,900USD ",,"720,046USD "
7991,7991,큐피드미션,3,,"1,284,949USD ",,"92,583USD "
7992,7992,파이널칸지노,4,,"1,227,875AUD ",, 
7993,7993,브라보삭스,5,,"1,380,200USD ",,"37,412USD "
7994,7994,땡큐보스,6,,"831,800USD ",,0
7995,7995,빅토리메신저,7,,0AUD ,, 
7996,7996,문학챔피언,8,,"794,855USD ",,0
7997,7997,템플야라,10,,"326,400USD ",,"398,390USD "
7998,7998,드래곤보트,1,,"491,312USD ","58,220,000원", 
7999,7999,글로벌보스,2,,"687,967USD ",, 
8000,8000,돌아온뽀빠이,3,,"1,031,596USD ",,"130,357USD "
8001,8001,화이팅랭퍼,4,,"698,574USD ",,0
8002,8002,캐논슈터,5,,"922,180USD ",,"48,594USD "
8003,8003,마이로미오,6,,"390,345USD ",,"28,350USD "
8004,8004,파이널에센스,7,,"1,227,875AUD ",, 
8005,8005,카일룸여제,9,,"568,629,000JPY ","97,562,000원", 
8007,8007,우리,1,,"1,064,727USD ",,"47,602USD "
8008,8008,레이먼드,3,,"315,015USD ",,"7,400USD "
8009,8009,탭패션드,4,,"583,280USD ",,"51,158USD "
8010,8010,소중한만남,5,,"626,671USD ",,"4,134USD "
8011,8011,문학쓰나미,6,,"1,146,340USD ",, 
