,name,ranked,fw,fd,mw,md
0,금로열,1.0,,"493,755USD ","41,484,000원", 
1,프라임퀸,2.0,"1,220,375,000원", ,"69,370,000원", 
2,갑오풀퀸,3.0,,"3,084,278USD ","256,115,000원", 
3,플라잉토르,4.0,,"493,755USD ",,"106,365USD "
4,블랙퓨펄,5.0,,"51,475USD ","57,878,000원", 
5,정성홀리데이,6.0,,"416,475,000JPY ",,"81,671USD "
6,용암장군,7.0,,"1,810,805USD ","156,911,000원", 
7,빅토리조이,8.0,,"1,570,380USD ","307,463,200원", 
8,쏘아라흑장군,9.0,,"1,732,000USD ",,"170,121USD "
9,해피하와이,10.0,,"3,084,278USD ",,0AUD 
10,에이스고고,11.0,,"3,187,232USD ",,0
11,연승가이,12.0,"1,636,444,000원", ,"10,934,000원","9,840USD "
12,인듀어런스,1.0,,"1,570,380USD ","140,176,000원", 
13,킹오브이글,2.0,,"172,705,000JPY ","511,520,000원", 
14,논스톱위닝,3.0,,"695,299USD ",0원, 
15,깨우침,4.0,,"416,475,000JPY ","251,002,000원", 
16,대군사랑,5.0,,"578,302,000JPY ","2,000,000원", 
17,곡마단,6.0,,"1,570,380USD ",,0
18,서울매직,7.0,,"163,133USD ","107,712,000원", 
19,젝스칸,8.0,,"416,475,000JPY ",,400USD 
20,무패함성,9.0,"1,225,505,000원", ,"161,979,000원", 
21,컬러풀조이,,,"51,475USD ",,"10,265USD "
22,비카브레이싱,1.0,,"835,142USD ",,"16,685USD "
23,두리,2.0,,"617,310USD ","55,287,000원", 
24,레이디다이아,3.0,"817,614,000원", ,"101,880,000원", 
25,캐럿시커,4.0,,"811,400USD ",,"9,135USD "
26,송암바비,5.0,,"456,410USD ",,"66,215USD "
27,세명스톰,6.0,"470,582,000원", ,"42,600,000원", 
28,천지기상,7.0,,"2,879,612USD ",,"52,746USD "
29,남녁의하늘,8.0,,"456,410USD ",,"35,115USD "
30,인그란퀸,9.0,,"3,545,062USD ",,"3,850,000JPY "
31,대지공주,10.0,,"1,570,380USD ",,"7,544USD "
32,금성가이,11.0,,"396,254USD ",,0USD 
33,화이트플라워,,,"695,299USD ","197,345,000원", 
34,위너브라운,1.0,,"158,713AUD ",,"165,311USD "
35,피렌체힐,2.0,,"493,755USD ","95,420,000원", 
36,리치룰즈,3.0,,"3,084,278USD ",,"148,315USD "
37,엄지여왕,4.0,,"315,015USD ",,"80,303USD "
38,마이호크,5.0,,"491,312USD ","116,080,000원", 
39,파티파워,6.0,,"51,814,000JPY ",,"8,278USD "
40,미사일캔디,7.0,,"944,900USD ",,"34,560USD "
41,맘보천하,8.0,,"278,406USD ","19,495,000원", 
42,라온프로센스,9.0,,"1,732,000USD ","241,966,000원", 
43,방탄마,10.0,"689,387,200원", ,"155,903,000원", 
44,유니스,11.0,,"396,254USD ",,100USD 
45,다산의초대,12.0,,"339,984USD ","37,235,000원", 
46,다이아로드,1.0,,"158,713AUD ","202,949,000원", 
47,당대질주,2.0,,"1,607,774USD ",,0
48,캠프바다,3.0,,"339,984USD ","58,130,000원", 
49,천년해피,4.0,"1,225,505,000원", ,"147,460,000원", 
50,아이언하트,5.0,,"1,083,533USD ",,"898,000JPY "
51,레인,6.0,,"1,083,533USD ","125,768,000원", 
52,스틸런,7.0,,"3,187,232USD ","239,805,200원", 
53,블루메가엘라,8.0,,"1,083,533USD ",,0
54,크레이지큐,9.0,"817,614,000원", ,,"8,780USD "
55,종다리낭랑,10.0,,"3,545,062USD ","140,590,000원", 
56,주연,11.0,,"396,254USD ",,"262,002USD "
57,로열샬롬,12.0,,"339,984USD ","47,730,000원", 
58,창성럭키,1.0,,"85,630,000JPY ","164,595,000원", 
59,선오브선더,2.0,,"3,084,278USD ","38,433,000원", 
60,플라잉조이,3.0,,"315,015USD ",,"281,986USD "
61,한일달빛,4.0,,"274,382USD ",,"24,008USD "
62,섀도우머니,5.0,,"480,001USD ","145,668,800원", 
63,럭키봉화,6.0,,"315,015USD ","169,115,000원", 
64,원어게인,7.0,,"210,553USD ",,"77,610USD "
65,바람의미소,8.0,,"51,475USD ",,"25,200USD "
66,굳세어라,9.0,,"3,545,062USD ","56,396,000원", 
67,라이즈앤샤인,10.0,,"3,545,062USD ","202,050,000원", 
68,에메랄드킹,11.0,,"107,515USD ","202,350,000원", 
69,칠종칠금,12.0,,"396,254USD ",,"8,014USD "
70,백투백,1.0,,"1,732,000USD ",, 
71,리치마인,2.0,,"274,382USD ",,"52,689USD "
72,일각수,3.0,,"339,984USD ",,"81,140USD "
73,라온세레나,4.0,,"1,810,805USD ","49,730,000원", 
74,봄비스킹,5.0,"435,833,000원", ,,"34,400USD "
75,푸른질주,6.0,,"70,961,000JPY ",,"4,040,000JPY "
76,금순유,7.0,,"1,503,825USD ","292,350,000원", 
77,델타케이,8.0,,"278,406USD ","80,230,000원", 
78,정상으뜸,9.0,,"695,299USD ","37,299,000원", 
79,아워캣,10.0,,"435,597USD ",,"2,195USD "
80,위너스피릿,11.0,,"456,410USD ",,"112,985USD "
81,중전마마,12.0,,"568,629,000JPY ","84,660,000원", 
82,인천치프,1.0,,"1,634,200USD ",,"244,510USD "
83,매치캡틴,2.0,,"770,496USD ",,"21,280USD "
84,흥짱,3.0,,"2,765,800USD ",,"1,800USD "
85,스피드쇼크,4.0,,"795,071USD ",,"14,834USD "
86,인천스피드,5.0,,"742,640USD ",,"71,046USD "
87,선스타트,6.0,,"794,855USD ",,0
88,올댓코리아,7.0,,"454,630USD ",,"23,200USD "
89,프라우드섐록,8.0,,"389,141USD ",,"41,820USD "
90,동해클럽,9.0,,"172,705,000JPY ",,"16,528,000JPY "
91,본능대로,10.0,,"500,435USD ",,"131,553USD "
92,블루스타매직,11.0,,"1,606,000USD ",,0AUD 
93,정문스카이,,,"633,076USD ",,"115,616USD "
94,라피도쿠스,1.0,,"654,681USD ",,"50,050USD "
95,이천쌀,2.0,,"107,515USD ",,"148,315USD "
96,큐피드데이트,3.0,,"3,084,278USD ",,"73,410USD "
97,한양공주,4.0,,"1,503,825USD ",,0
98,캡틴파워,5.0,,"568,629,000JPY ",,"53,091USD "
99,스피드황룡,6.0,,"416,475,000JPY ","69,635,000원", 
100,강서으뜸,7.0,,"1,810,805USD ",,"170,121USD "
101,대명솔라,8.0,,"1,503,825USD ","61,468,000원", 
102,패스트패션,9.0,,"51,475USD ",,"35,950USD "
103,스트롱캡틴,10.0,,"493,755USD ",,975AUD 
104,본위너,11.0,,"1,283,145USD ",,"31,270USD "
105,흰별,12.0,,"568,086USD ",,"2,340USD "
106,글로벌축제,1.0,,"1,570,380USD ","95,190,000원", 
107,햇살왕자,2.0,,"3,187,232USD ","74,648,000원", 
108,위드프렌드십,3.0,,"832,140USD ",,"109,202USD "
109,스페셜위너,4.0,,"568,629,000JPY ","17,025,000원", 
110,탐라킹,5.0,,"3,545,062USD ","148,460,000원", 
111,아멘다,6.0,,"1,732,000USD ","58,562,500원", 
112,센타포바,7.0,,"339,984USD ","266,851,000원", 
113,예스유캔,8.0,,"70,961,000JPY ","37,665,000원", 
114,메니블레이드,9.0,,"1,732,000USD ",,"62,397USD "
115,특별스타,10.0,,"578,302,000JPY ","181,834,000원", 
116,볼드샤이닝,11.0,,"480,001USD ","305,585,000원", 
117,로드킹,12.0,,"1,732,000USD ",,"33,710USD "
118,금비랑,1.0,,"1,732,000USD ","441,102,000원", 
119,문학조이,2.0,,"2,075,791USD ",,"61,766USD "
120,글로벌라인,3.0,,"1,570,380USD ",,0
121,히비키,4.0,,"1,732,000USD ",,0
122,초인마,5.0,,"1,732,000USD ","203,132,000원", 
123,용총,6.0,,"396,254USD ",,"61,125USD "
124,난초의고향,7.0,,"454,630USD ",,"7,800USD "
125,야호선샤인,8.0,,"1,610,604USD ",,"61,859USD "
126,황금소리,9.0,,"583,280USD ",,"49,036USD "
127,불멸의제왕,10.0,,"251,090USD ",,"77,670USD "
128,대쥬신,11.0,,"1,716,950USD ",,"111,226USD "
129,위대한전사,12.0,,"879,768USD ",,"4,595USD "
130,엉클오,1.0,,"811,760USD ",,623USD 
131,초코캔디,2.0,,"1,146,340USD ",,780USD 
132,문학쓰나미,3.0,,"1,146,340USD ",, 
133,오섬스마트,4.0,,"337,376USD ",,"106,340USD "
134,돌아온날리,5.0,,"301,500USD ",,244USD 
135,가온퀸,6.0,,"1,606,000USD ",,"189,055USD "
136,남촌아티스트,7.0,,"1,319,481USD ",,"79,860USD "
137,탭패션드,8.0,,"583,280USD ",,"51,158USD "
138,사려니윈,9.0,,"239,229USD ",,"3,650USD "
139,미스터포춘,10.0,,"1,570,380USD ","119,331,000원", 
140,우승하우스,11.0,,"500,435USD ",,"192,287USD "
141,해피보이,12.0,,"1,694,180USD ",,"41,330USD "
142,골드파티,1.0,,"794,855USD ",,"53,849USD "
143,금아매저스티,2.0,,"1,810,805USD ",,0
144,큐피드초이스,3.0,,"1,694,180USD ",,760USD 
145,안양레오파드,4.0,,"4,374,590USD ",,"1,715USD "
146,과천공주,5.0,,"687,967USD ",,"72,057USD "
147,완승무패,6.0,,"804,090USD ","8,200,000원", 
148,골드필드,7.0,,"339,984USD ",,"3,498USD "
149,백스핀,8.0,,"568,086USD ",,"79,418USD "
150,드림캠프,9.0,,"339,984USD ","122,223,000원", 
151,더캐스팅,10.0,,"494,895,000JPY ",,"62,774USD "
152,애니포스원,11.0,,"1,083,533USD ",,"105,150USD "
153,베스트버디,12.0,,"371,623,500JPY ","102,100,000원", 
154,장산플라이,1.0,,"51,475USD ",,"12,567USD "
155,레드블레이드,2.0,,"1,732,000USD ",,"49,173USD "
156,페더럴캣,3.0,,"172,705,000JPY ",,"10,948,000JPY "
157,클린업트리오,4.0,,"114,300USD ",,"84,205USD "
158,플라워로드,5.0,,"491,312USD ",,"22,580USD "
159,비앙카,6.0,,"1,810,805USD ",,"1,680USD "
160,호스캡틴,7.0,,"1,810,805USD ",,0
161,투어브라더,8.0,,"163,133USD ","112,060,000원", 
162,챔피언라이트,9.0,,"1,570,380USD ",0원, 
163,최강러너,10.0,,"254,672USD ",,0
164,프라이빗맨,,,"491,312USD ",,"1,200AUD "
165,금빛장인,1.0,,"1,732,000USD ","148,346,000원", 
166,끌어주는손,2.0,,"249,760USD ","78,614,000원", 
167,사사,3.0,,"339,984USD ","21,156,000원","16,030USD "
168,정상만세,4.0,,"493,755USD ","92,266,000원", 
169,로열브론즈,5.0,,"396,254USD ",,0
170,바이칼전사,6.0,,"456,410USD ","21,156,000원","16,030USD "
171,피케이타임,7.0,,"617,310USD ","29,446,000원", 
172,블루파이어,8.0,,"493,755USD ","125,820,000원", 
173,그린와이,9.0,,"491,312USD ","137,120,000원", 
174,속보태자,10.0,,"568,086USD ","113,835,000원", 
175,카이젠포스,11.0,,"1,037,810USD ",,"6,110USD "
176,사바킹덤,12.0,,"114,300USD ",,"3,550NZD "
177,화기,1.0,,"3,614,500USD ",,"55,960USD "
178,크레이지위키,2.0,,"572,927USD ",,0AUD 
179,고고비,3.0,,"1,146,340USD ",,"40,820USD "
180,흥복드림,4.0,,"1,878,013USD ",,"34,898USD "
181,블루스파이더,5.0,,0AUD ,, 
182,굿센스,6.0,,"4,383,200USD ",,"34,970USD "
183,질풍강자,7.0,"728,298,000원", ,"96,320,000원", 
184,피닉스울프,8.0,,"1,103,050CAD ",,"1,458,198USD "
185,머스탱런,9.0,,"3,645,383USD ",,500USD 
186,굿카이로,10.0,,"562,000USD ",,"32,192USD "
187,위대한파이터,11.0,,"1,005,413USD ",,"14,600USD "
188,파티큘러퀸,12.0,,"3,924,648USD ",,"74,620USD "
189,럭키봉성,1.0,,"1,810,805USD ",,"14,507USD "
190,안목항,2.0,,"396,254USD ","82,258,000원", 
191,타이밍굿,3.0,,"3,084,278USD ","45,956,000원", 
192,셋더페이스,4.0,,"172,705,000JPY ",,0
193,위너크라운,5.0,,"493,755USD ",,"8,014USD "
194,조이오브킹,6.0,,"172,705,000JPY ",,"9,480USD "
195,배다리서미트,7.0,,"494,895,000JPY ","145,767,000원", 
196,메니타운십,8.0,,"1,732,000USD ",,0
197,큐피드여왕,9.0,,"114,300USD ",,"78,976USD "
198,원더풀댄서,10.0,,"617,310USD ",, 
199,정조의꿈,11.0,,"114,300USD ",,880USD 
200,라온호크,12.0,,"1,083,533USD ",,640USD 
201,스마티아델,1.0,,"1,810,805USD ","72,204,000원", 
202,원더풀루비,2.0,,"416,475,000JPY ",,"25,309USD "
203,럭키소천,3.0,,"51,475USD ",,"29,760USD "
204,스타리스트,4.0,,"3,545,062USD ","38,806,000원",0
205,베티나,5.0,,"210,553USD ",,"1,320USD "
206,엠제이타운,6.0,,"819,668USD ",,"20,390USD "
207,쏘아라우츠,7.0,,"120,176USD ",,"207,440USD "
208,더조은내일,8.0,,"1,732,000USD ","485,085,000원", 
209,동해실버,9.0,,"568,629,000JPY ",,0
210,스트롱라이트,,,"456,410USD ","45,956,000원", 
211,총알같이,1.0,,"396,254USD ","81,118,000원", 
212,골든웨딩,2.0,"451,805,000원", ,,"73,626USD "
213,라스트잭팟,3.0,,"568,086USD ",,0AUD 
214,바리메캠프,4.0,,"339,984USD ","61,748,000원", 
215,트루팀버,5.0,,"7,712,841USD ","296,100,000원", 
216,스피드흑룡,6.0,,"210,553USD ",,"4,005USD "
217,달려라라온,7.0,,"3,084,278USD ",,"1,920USD "
218,큐피드플라잉,8.0,,"51,475USD ","227,208,000원", 
219,백산아일랜드,9.0,,"435,597USD ",,"20,646USD "
220,스타퍼펙트,10.0,,"578,302,000JPY ","142,751,000원", 
221,승리플러스,11.0,,"804,090USD ","180,313,000원", 
222,파이널캡틴,12.0,"451,805,000원", ,,0
223,문학아리아리,1.0,,"1,146,340USD ",,"10,377USD "
224,대군천하,2.0,,"1,878,013USD ",,"29,446USD "
225,글라디아토레에이,3.0,,"1,046,381USD ",,"81,473USD "
226,원더풀인디언,4.0,,"1,182,992USD ",,720USD 
227,리암스무니,5.0,,"135,191USD ",,"84,319USD "
228,센스쟁이,6.0,,"742,640USD ",,"10,490USD "
229,남촌데이,7.0,,"1,706,350USD ",,"32,406USD "
230,맹주,8.0,,"4,383,200USD ",,0USD 
231,패션피플,9.0,,"583,280USD ",,"127,465USD "
232,아델엔젤,10.0,,"492,910USD ",,"22,944USD "
233,더더비,11.0,,"492,430USD ",,"44,820USD "
234,문학파이어,12.0,,"385,807USD ",,0
235,스피드영웅,1.0,,"3,084,278USD ","34,768,000원",0RUB 
236,천년바이킹,2.0,"1,225,505,000원", ,"34,927,000원", 
237,사이먼프루트,3.0,,"274,382USD ",,"16,060USD "
238,제왕의별,4.0,,"1,503,825USD ",,"148,914USD "
239,해피스트,5.0,,"51,475USD ","40,536,000원", 
240,해피마운틴,6.0,,"1,607,774USD ",,"300,820USD "
241,재롱이,7.0,,"4,156,389USD ","29,446,000원", 
242,스피드청룡,8.0,,"1,732,000USD ","28,637,000원",0AUD 
243,천하형국,9.0,,"70,961,000JPY ","44,551,500원", 
244,여울이,10.0,,"3,294,901USD ","15,449,000원",0
245,희망포인트,11.0,,"315,015USD ",,"8,445USD "
246,어린왕자,12.0,,"339,984USD ",,438USD 
247,메갈리오스,1.0,,"1,380,200USD ",,"34,540USD "
248,삼삼빅토리,2.0,,"385,807USD ",,"36,622USD "
249,하와이보스,3.0,,"633,076USD ",,"8,345USD "
250,킹포세,4.0,,"1,423,379USD ",,"65,390USD "
251,마이비전,5.0,,"835,142USD ",,"53,320USD "
252,왕의대로,6.0,,"1,779,012USD ",,"43,148USD "
253,장산베어스,7.0,,"1,146,340USD ",,244USD 
254,비드타운,8.0,,"819,668USD ",,0
255,핵항공모함,9.0,,"1,104,810USD ",,"46,346USD "
256,본워리어,10.0,,"254,672USD ",,"41,885USD "
257,아르고오섬,11.0,,"835,142USD ","113,588,000원", 
258,우먼볼트,12.0,,"727,290USD ",,0AUD 
259,말리부불패,1.0,,"33,840USD ",,"133,683USD "
260,청담제왕,2.0,,"3,090,101USD ",,0
261,플레이시스투고,3.0,,"1,026,229USD ",,"150,550USD "
262,흥룡,4.0,,"811,760USD ",,0
263,장산제왕,5.0,,"399,089USD ",,"8,014USD "
264,신규강자,6.0,,"35,665USD ","145,591,000원", 
265,다이나믹질주,7.0,,"591,225USD ",,"184,175USD "
266,글로벌뱅크,8.0,,"114,300USD ",,"31,200USD "
267,이광사석,9.0,,"185,417USD ","139,414,000원", 
268,문학프린세스,,,"586,515USD ",,"22,269USD "
269,당대걸작,,,"3,084,278USD ",,"30,071USD "
270,글로벌캡틴,,,"742,640USD ",,"81,114USD "
271,센터폴,1.0,,"1,732,000USD ","227,736,000원", 
272,무도,2.0,,"254,672USD ",,"38,880USD "
273,메니그랜드,3.0,,"1,732,000USD ",,"15,820USD "
274,천년의바람,4.0,,"274,382USD ","64,602,000원", 
275,스피드벨,5.0,,"205,617USD ",,"16,285USD "
276,챔프케이,6.0,,"114,300USD ","67,895,000원", 
277,라비에벨,7.0,,"339,984USD ",,0
278,에이스샤인,8.0,,"51,475USD ",,0
279,피케이군주,9.0,,"1,732,000USD ","113,667,000원", 
280,서던맨,10.0,,"1,843,750USD ",,0
281,모닝별,11.0,,"695,299USD ","155,495,000원", 
282,칸에이스,12.0,"451,805,000원", ,"44,749,000원", 
283,금아인빈서블,1.0,,"1,732,000USD ",,0AUD 
284,킹리,2.0,,"172,705,000JPY ",,0
285,대길이,3.0,,"3,545,062USD ",,"181,694USD "
286,스타삭스,4.0,,"1,570,380USD ","137,865,000원", 
287,신의축복,5.0,"1,225,505,000원", ,"45,835,000원", 
288,대지의축복,6.0,,"568,086USD ","21,430,000원", 
289,통합시대,7.0,,"804,090USD ",,"22,580USD "
290,컨트리송,8.0,,"456,410USD ",,0
291,인디언서머,9.0,,"493,755USD ",,800USD 
292,럭셔리파워,10.0,,"568,629,000JPY ","213,750,000원", 
293,달리는에이스,11.0,,"568,086USD ","145,591,000원", 
294,러브레이스,1.0,,"1,732,000USD ",,0
295,뉴패러다임,2.0,,"205,617USD ","59,327,000원", 
296,속보옹주,3.0,,"568,086USD ",,"101,898USD "
297,프리마니케,4.0,,"928,000USD ",,"72,611USD "
298,세라여제,5.0,,"695,299USD ",,"22,108AUD "
299,그린파크,6.0,,"1,503,825USD ",,"14,496,000JPY "
300,올마이퀸,7.0,,"491,312USD ",,"12,003USD "
301,아워사이먼,8.0,,"274,382USD ",,"20,800AUD "
302,플라잉주노,9.0,,"568,629,000JPY ",,"18,500AUD "
303,베스트넘버원,10.0,,"568,086USD ","91,962,000원", 
304,화이트벨벳,1.0,,"1,810,805USD ",,"61,020USD "
305,새내빅토리,2.0,,"51,475USD ",,0
306,골드페릴라,3.0,,"804,090USD ","68,944,000원", 
307,머니샤프,4.0,,"456,410USD ",,0
308,우승마차,5.0,,"371,623,500JPY ","80,767,000원", 
309,대호천하,6.0,,"3,084,278USD ","99,328,000원", 
310,파인애플마크,7.0,,"1,570,380USD ",0원, 
311,킹오브룰즈,8.0,,"3,084,278USD ","306,052,000원", 
312,스마트파티,9.0,,"500,435USD ",,"216,734USD "
313,승리라이크,10.0,,"210,553USD ",,0GBP 
314,카이젠실버,11.0,,"617,310USD ",,0
315,포에버위너,1.0,,"835,142USD ","248,896,000원", 
316,로열프린스,2.0,,"1,732,000USD ",,0AUD 
317,골든스텝,3.0,,"70,961,000JPY ",,"327,311USD "
318,여걸비전,4.0,,"494,895,000JPY ","287,612,000원", 
319,토함산파워,5.0,,"163,133USD ","132,010,000원", 
320,해가람,6.0,,"1,283,145USD ","40,606,000원", 
321,세라칸,7.0,,"568,086USD ","155,619,000원", 
322,음악대장,8.0,,"133,833USD ","121,222,000원", 
323,헤네시댄서,9.0,,"1,610,604USD ",,220USD 
324,사려니선더,10.0,,"456,410USD ","42,637,000원", 
325,블랙윈드,11.0,,"339,984USD ",,0
326,블랙뮤직,12.0,,"835,142USD ","210,222,000원", 
327,강화총각,1.0,,"3,084,278USD ","163,259,200원",0
328,슈퍼라이트닝,2.0,,"1,889,766USD ",,"73,425USD "
329,원더풀마리아,3.0,,"416,475,000JPY ",,0
330,굿초이스,4.0,,"416,475,000JPY ",,"11,072USD "
331,내가끝판왕,5.0,,"568,086USD ","167,200,000원", 
332,루미네스,6.0,"470,582,000원", ,"96,601,000원", 
333,운주영웅,7.0,,"2,580,402USD ",,"46,600USD "
334,맹산히어로,8.0,,"601,560USD ",,"12,880USD "
335,마이티쿨,9.0,,"568,086USD ",,0
336,과천히어로,10.0,"728,298,000원", ,"116,542,000원", 
337,월드스페셜,11.0,,"4,471,322USD ",,"1,037USD "
338,금성황제,1.0,,"210,553USD ",,0USD 
339,이글스카이,2.0,,"396,254USD ","101,758,000원", 
340,리빙스턴,3.0,"579,356,000원", ,, 
341,파이널스톰,4.0,"451,805,000원", ,,"8,100USD "
342,카일룸여제,5.0,,"568,629,000JPY ","97,562,000원", 
343,금아클리프,6.0,,"971,269USD ",,"8,200AUD "
344,대천히어로,7.0,,"114,300USD ",,"137,366USD "
345,천록,,,"339,984USD ","2,106,000원", 
346,말리부진저,1.0,,"33,840USD ",,"99,679USD "
347,골든다이얼,2.0,,"941,936USD ",,"70,613USD "
348,대군의길,3.0,,"562,000USD ",,"73,684USD "
349,빅갈랜드,4.0,,"710,480USD ",,0AUD 
350,서울시대,5.0,,"492,910USD ",,"33,083USD "
351,케미블루,6.0,,"1,779,012USD ",,"23,200USD "
352,티아고터치,7.0,,"2,358,270USD ",,0
353,콜윈,8.0,,"633,076USD ",,"6,000USD "
354,청담타이거,9.0,,"831,335USD ",,"108,960USD "
355,맨해튼뮤직,10.0,,"6,169,800USD ",,365USD 
356,스피드보스,11.0,,"831,800USD ",,"2,762USD "
357,위즈레이나,12.0,,"1,284,949USD ",,"124,866USD "
358,킹메신저,1.0,,"480,001USD ",0원, 
359,남손,2.0,,"4,156,389USD ","85,842,000원", 
360,햇빛나,3.0,,"185,417USD ","157,894,000원", 
361,베스트힐,4.0,,"51,475USD ",,"1,700AUD "
362,룰오브섬,5.0,,"1,610,604USD ","122,439,000원", 
363,산토스,6.0,,"1,570,380USD ","115,231,000원", 
364,파이어볼,7.0,,"568,086USD ",,"1,033USD "
365,스마트드림,8.0,,"339,984USD ","135,025,000원", 
366,파인챔프,9.0,,"804,090USD ",,0
367,골드시나,10.0,,"315,015USD ","177,532,000원", 
368,올오브미,11.0,"414,605,000원",0,,"272,457USD "
369,동작,12.0,,"1,810,805USD ",,"176,400USD "
370,가나도라,1.0,,"928,000USD ",,"138,998USD "
371,금아킹덤,2.0,,"8,387,500USD ",,"17,700USD "
372,엘리트퀸,3.0,"1,225,505,000원", ,"210,222,000원", 
373,영스톰,4.0,,"315,015USD ","151,850,000원", 
374,피오레,5.0,,"3,545,062USD ",,"10,420USD "
375,호크아이즈,6.0,,"1,610,604USD ",,0
376,인키타투스,7.0,,"339,984USD ",,"54,150USD "
377,엠제이로드,8.0,"1,225,505,000원", ,"113,588,000원", 
378,말라카스,9.0,,"1,732,000USD ","423,095,000원", 
379,브레이브업,10.0,,"3,545,062USD ",,"71,118EUR "
380,로열복순이,11.0,,"1,570,380USD ",,"3,498USD "
381,하이유레카,12.0,,"185,417USD ","21,762,000원", 
382,천행,1.0,,"698,574USD ",,"11,670USD "
383,동방의기억,2.0,,"937,200AUD ",,0
384,삼성동행,3.0,,"623,000USD ",,"45,723USD "
385,적벽신화,4.0,,"500,435USD ",,"32,776USD "
386,추카추카,5.0,,"872,610USD ",,"99,995USD "
387,해오라비,6.0,,"597,080USD ",,"39,586USD "
388,신기파랑,7.0,,"1,159,193USD ",,"55,720USD "
389,황금들판,8.0,,"225,941USD ",, 
390,엠파이어킹덤,9.0,,"1,304,800USD ",,"64,278USD "
391,정상천마,10.0,,"1,037,810USD ",,0
392,라이언록,1.0,,"1,503,825USD ",,0USD 
393,하바나찰리,2.0,,"251,090USD ",,"23,330USD "
394,스마트파크,3.0,,"903,685USD ",,"108,780USD "
395,스피드조이,4.0,,"439,250USD ",,290USD 
396,굿헤니,5.0,,"1,124,820USD ",,"171,091USD "
397,뉴파트너,6.0,,"480,001USD ","34,927,000원", 
398,코리아정상,7.0,,"1,319,481USD ",,"34,917USD "
399,칼리오페,8.0,,"617,310USD ",,"242,086USD "
400,프로마테우스,9.0,,"310,542USD ",,0
401,큐피드플라워,10.0,,"3,545,062USD ","112,984,000원", 
402,컨저버티브,11.0,,"804,090USD ",,0
403,노벰버모닝,12.0,,"742,640USD ",,"31,444USD "
404,갈잎,1.0,,"1,083,533USD ",,0USD 
405,풀문오션,2.0,,"1,083,533USD ","13,617,000원", 
406,아임해피,3.0,,"371,623,500JPY ",,800USD 
407,상감청자,4.0,,"3,084,278USD ",,"119,723USD "
408,천하여제,5.0,,"172,705,000JPY ",,0
409,스터닝어게인,6.0,,"4,374,590USD ",,"222,769USD "
410,유롱플라잉,7.0,,"51,475USD ",,"94,885USD "
411,크레이지퀸,8.0,,"274,382USD ",,0
412,비엔토퍼스트,9.0,"728,298,000원", ,"135,040,000원",0
413,원더풀브라보,10.0,,"249,760USD ","23,766,000원", 
414,럭키마이더스,11.0,,"205,617USD ","115,419,000원", 
415,미스터터너,1.0,,"742,640USD ",,"87,822USD "
416,에버더챔프,2.0,,"221,265USD ",,"218,237USD "
417,이글스그리프터,3.0,,"1,319,481USD ",,"136,041USD "
418,스칸다,4.0,,"941,936USD ",,"4,200USD "
419,런위드골드,5.0,,"224,684USD ",,"57,070USD "
420,관악함성,6.0,,"2,221,630USD ",,"36,328USD "
421,리틀보이플래시,7.0,,"405,730USD ",,"18,265USD "
422,투게더허그,8.0,,"1,779,012USD ",,"4,217USD "
423,올포비투비,9.0,,"1,936,000USD ",,"75,516USD "
424,바람킹,1.0,,"315,015USD ","246,497,000원", 
425,페더라이트,2.0,,"205,617USD ","186,043,000원", 
426,더블골드,3.0,,"480,001USD ","192,055,000원", 
427,블랙징가,4.0,,"85,630,000JPY ","27,055,000원", 
428,상비군,5.0,,"315,015USD ",,"92,814USD "
429,로열탱크,6.0,,"3,187,232USD ",,"79,652USD "
430,창성강자,7.0,,"3,545,062USD ",,"45,835USD "
431,영웅불패,8.0,,"1,267,273USD ",,"47,249USD "
432,선키스드,9.0,,"493,755USD ",,"18,426USD "
433,골드스타힐스,10.0,,"107,515USD ","15,449,000원",0
434,급행마,1.0,,"1,810,805USD ",,"39,894CAD "
435,슬링스톤,2.0,,"163,133USD ","183,655,000원", 
436,최고비상,3.0,,"617,310USD ",,"31,420,000JPY "
437,라온돌풍,4.0,,"12,891,734USD ",,"417,736USD "
438,골드스탁,5.0,,"3,084,278USD ","166,656,000원", 
439,더블에이,6.0,,"695,299USD ",,"340,836USD "
440,자진모리,7.0,,"1,732,000USD ",,0
441,모두드림,,,"51,475USD ","85,690,000원", 
442,금아제니스,1.0,,"1,810,805USD ",,"43,100USD "
443,해들뫼,2.0,,"416,475,000JPY ",,"42,652USD "
444,레이먼드,3.0,,"315,015USD ",,"7,400USD "
445,태풍아이즈,4.0,,"1,732,000USD ","113,299,000원", 
446,환상의빛,5.0,,"396,254USD ","100,111,000원", 
447,풀문스카이,6.0,,"140,172USD ",,"4,680USD "
448,메가시티,7.0,,"107,515USD ","132,716,000원", 
449,금빛환향,8.0,"1,861,967,000원", ,"84,526,000원", 
450,레베카,9.0,,"493,755USD ",,"40,860USD "
451,기동대장,1.0,,"416,475,000JPY ",,"1,870USD "
452,비평,2.0,,"51,475USD ",,"73,752USD "
453,베스트빅토리,3.0,,"85,630,000JPY ","138,880,000원", 
454,두손왕자,4.0,,"3,084,278USD ","17,803,000원", 
455,행복스타,5.0,,"456,410USD ","75,012,000원", 
456,초오롱마,6.0,,"662,000USD ",,"21,569USD "
457,불사불패,7.0,,"3,545,062USD ","75,612,000원","7,700AUD "
