,name,ranked,fw,fd,mw,md
13243,나인아이,2.0,,"1,732,000USD ",,"13,507,000JPY "
13244,에이스함성,3.0,,"612,935USD ",,"29,760USD "
13245,샌드파워,4.0,,"1,570,380USD ",,"72,057USD "
13246,플라잉스티드,5.0,,"51,475USD ",,"35,950USD "
13247,골든스위치,6.0,,0AUD ,,"33,455USD "
13248,최강토마,7.0,,"416,475,000JPY ",, 
13249,대승가온,8.0,,"51,475USD ","6,000,000원", 
13250,거버넌스,9.0,,"1,083,533USD ",,0
13251,오월강자,10.0,,"210,553USD ",,0
13252,천존,11.0,,"254,672USD ",,0
13253,열린문,1.0,,"1,083,533USD ",,"32,585USD "
13254,가자플랜,2.0,,"190,838USD ",,0
13255,더킹클래스,3.0,,"493,755USD ",,"128,210USD "
13256,최고비상,4.0,,"617,310USD ",,"31,420,000JPY "
13257,글로리파이터,5.0,,"326,400USD ",,"35,296USD "
13258,골드필드,6.0,,"339,984USD ",,"3,498USD "
13259,그레이킹덤,7.0,,"601,560USD ",,"85,886USD "
13260,로열축복,10.0,,"493,755USD ",,"77,031USD "
13261,블랙퓨펄,11.0,,"51,475USD ","57,878,000원", 
13262,라이드럭키,1.0,,"339,984USD ",,"4,300,000JPY "
13263,농부의수채화,2.0,,"396,254USD ","141,780,000원", 
13264,메니스탠드,3.0,,"1,732,000USD ",,"94,795USD "
13265,천향국색,4.0,,"804,090USD ","104,724,000원", 
13266,메이세이드림,5.0,,"494,895,000JPY ",,"124,453USD "
13267,올마이퀸,6.0,,"491,312USD ",,"12,003USD "
13268,윈드리버,7.0,,"1,503,825USD ",,"1,100USD "
13269,광야불기둥,8.0,,"3,084,278USD ",,"8,764USD "
13270,큐피드초이스,9.0,,"1,694,180USD ",,760USD 
13271,흥깨비,10.0,,"491,312USD ",0원, 
13272,위즈모멘트,1.0,,"1,732,000USD ",,"17,980USD "
13273,해피하와이,2.0,,"3,084,278USD ",,0AUD 
13274,와니케이,3.0,,"315,015USD ",,0
13275,제주의요정,4.0,,"493,755USD ","146,135,000원", 
13276,글로리번,5.0,,"1,570,380USD ","137,120,000원", 
13277,센토사,6.0,,"1,570,380USD ","24,249,000원", 
13278,화씨벽,7.0,,"3,084,278USD ","110,623,000원", 
13279,피케이힐,8.0,,"493,755USD ",,0
13280,라스트매직,9.0,,"47,460AUD ","2,770,000원", 
13281,하늘공원,10.0,,"339,984USD ",,"2,720USD "
13282,해피플랜,,,"190,838USD ",,0
13283,카히나,1.0,,"3,187,232USD ",,"116,910USD "
13284,서던맨,2.0,,"1,843,750USD ",,0
13285,멋진승부,3.0,,"1,236,820USD ","140,481,000원", 
13286,매직플랜,4.0,,"190,838USD ",,"55,542USD "
13287,인디언보스,5.0,,"617,310USD ","132,500,000원", 
13288,가가나,6.0,"76,502,000원", ,"210,490,000원", 
13289,스타삭스,7.0,,"1,570,380USD ","137,865,000원", 
13290,킹오브이글,9.0,,"172,705,000JPY ","511,520,000원", 
13291,달려라속보,10.0,,"568,086USD ",, 
13292,굿초이스,11.0,,"416,475,000JPY ",,"11,072USD "
13293,디케이별찌,1.0,,"853,828USD ",,0USD 
13294,제이에스군주,2.0,,"866,428USD ",,"16,532USD "
13295,문학드림,3.0,,"794,855USD ",,"137,513USD "
13296,피버디니,4.0,,"710,480USD ",,"219,266USD "
13297,디케이미르,5.0,,"2,691,135USD ",,0
13298,선우럭키,6.0,,"2,612,516USD ",,"81,500EUR "
13299,문학탭,7.0,,"972,632USD ",,"61,848USD "
13300,가야영봉,8.0,,"2,274,073USD ",,"5,850AUD "
13301,패트리어츠테일,9.0,,"1,182,992USD ",,"16,489USD "
13302,가온매직,10.0,,"2,202,887USD ",,"189,055USD "
13303,치투치투,11.0,,"597,800USD ",, 
13304,원더풀이블,1.0,,"254,672USD ",,"3,065,000JPY "
13305,오케이퀸,2.0,,"114,300USD ","2,600,000원", 
13306,허쉬대보,2.0,,"416,475,000JPY ","278,587,000원", 
13307,레이먼드,4.0,,"315,015USD ",,"7,400USD "
13308,예상백승,5.0,,"396,254USD ","77,332,000원", 
13309,초인마,6.0,,"1,732,000USD ","203,132,000원", 
13310,와일드선더,7.0,,"835,142USD ","30,564,000원","35,080USD "
13311,라온터프맨,2.0,,"1,236,820USD ",,"22,590,000JPY "
13312,흥행질주,3.0,,"51,475USD ",,"1,580USD "
13313,케이엔로드,6.0,,"583,280USD ",,"39,200USD "
13314,롤러블레이드,7.0,,"804,090USD ",,"47,840USD "
13315,디터미네이션,9.0,,"51,475USD ",,"39,920USD "
13316,최강특급,10.0,,"254,672USD ",,"31,200USD "
13317,초인강자,11.0,,"1,732,000USD ",,"117,578USD "
13318,메니히어로,14.0,,"1,732,000USD ","548,953,000원", 
13319,레전드스톰,,,"804,090USD ",, 
13320,스피드황룡,1.0,,"416,475,000JPY ","69,635,000원", 
13321,뉴문워리어,2.0,,"3,084,278USD ",,"15,583USD "
13322,피케이전사,3.0,,"1,607,774USD ","39,446,000원", 
13323,더블골드,4.0,,"480,001USD ","192,055,000원", 
13324,페더럴캣,5.0,,"172,705,000JPY ",,"10,948,000JPY "
13325,메인이벤트,6.0,,"456,410USD ","262,308,000원", 
13326,스토미,7.0,,"114,300USD ",,"14,959USD "
13327,심청사달,8.0,,"804,090USD ",,0
13328,엘리트퀸,9.0,"1,225,505,000원", ,"210,222,000원", 
13329,스피드벨,10.0,,"205,617USD ",,"16,285USD "
13330,왕탱이,,,"1,607,774USD ","101,758,000원", 
13331,장산포에버,1.0,,"430,400USD ",,"26,730USD "
13332,센스쟁이,2.0,,"742,640USD ",,"10,490USD "
13333,불굴의러너,3.0,,"1,293,782USD ",, 
13334,골든서비스,4.0,,"1,146,340USD ",,"7,080USD "
13335,올댓코리아,5.0,,"454,630USD ",,"23,200USD "
13336,천년의고도,6.0,,"205,617USD ",,761USD 
