,Unnamed: 0,순위,마번,중복제거마명,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
173,5,6,5,,자이언트걸,한,암,3세,52,37,송재철,김동균,♠신윤경,1½,479(9),10.4,3.5,"계란형큰, 망사눈"
174,6,7,9,,스트롱퀸,한,암,3세,52,38,방춘식,서홍수,곽영숙,3,520(10),10.4,3.5,"계란형큰+, 망사"
175,7,8,13,,피오레,한,암,5세,54,44,정평수,지용철,♠최성룡,½,489(14),10.4,3.5,망사
176,8,9,4,,티케이데이,한,암,3세,53,42,박을운,김동철,♠김태권,½,538(28),5.2,1.7,"반가지큰, 망사눈"
177,9,10,1,,골드브릿지,한,거,3세,54,37,김용근,최영주,♠손병현,6,534(17),10.4,3.5,"망사눈, 혀끈"
178,10,11,11,,불의퀸,한,암,4세,54,44,박병윤,손영표,신상섭,머리,478(12),10.4,3.5,"계란형큰, 망사눈"
179,11,12,2,,광폭주행,한,거,5세,55,40,조한별,박종곤,♠유희태,7,440(-2),10.4,3.5,망사눈
180,12,,6,,급행마,한,수,4세,55,41,박태종,최용건,♠박재범,출전제외,465(3),----,----,"계란형큰, 망사"
181,13,,7,,맘마로마,한,암,4세,51,45,(-4)임다빈,리카디,♠김용래,출전제외,486(-4),----,----,"계란형큰+, 망사눈,혀보정큰-"
182,0,1,11,,아이스펀치,한,수,3세,54,54,문세영,이관호,♠김정철,,480(7),6,2,망사눈
183,1,2,8,,고업,한,암,3세,53,57,이혁,이희영,♠김정성,6,554(7),12,4,
184,2,3,3,,탁트인,한,암,3세,51,53,(-4)김아현,지용철,♠김광명,4,503(13),12,4,망사눈
185,3,4,14,,원더풀마리아,한,암,4세,55,63,이현종,임봉춘,♠(주)녹원목장,코,475(-5),12,4,망사
186,4,5,5,,케이톱킹,한,수,3세,55,57,임기원,박재우,♠오종환,½,508(10),12,4,망사눈
187,5,6,2,,스피드흑룡,한,거,4세,54,43,방춘식,김점오,과천시청,¾,513(5),12,4,망사눈
188,6,7,1,,대디글로리,한,암,4세,54,61,박현우,김동균,♠박정배,¾,488(4),12,4,"계란형큰, 망사눈"
189,7,8,13,,금아애크미,한,수,4세,54,54,박병윤,이관호,♠금아산업(주),½,488(14),12,4,"계란형큰, 망사눈, 혀끈"
190,8,9,9,,장산바다,한,수,3세,54,53,안토니오,토니,♠김형란,½,454(0),12,4,"계란형큰, 망사, 혀끈"
191,9,10,6,,라온칸,한,거,4세,54,53,이동하,박종곤,♠라온산업개발(주),10,480(-2),12,4,망사눈
192,10,11,7,,금아킹덤,한,수,4세,56,59,박을운,심승태,♠금아산업(주),1¼,496(-3),12,4,망사
193,11,12,12,,능력시대,한,암,5세,53,55,이강서,유재길,♠허건호,1¼,483(3),12,4,
194,12,13,4,,다이나믹펀치,한,수,3세,54,54,(-1)문성혁,서인석,♠이일형,2,475(9),12,4,"계란형큰, 망사눈"
195,13,14,10,,스트라이드업,한,거,4세,54,51,조재로,서범석,♠청팅콩,2½,522(17),12,4,"계란형큰, 망사"
196,0,1,6,,청담제왕,미,수,5세,54,103,함완식,서인석,♠삼정,,522(-4),10.4,3.5,"계란형큰, 눈가면"
197,1,2,7,,브리가디어제너럴,호,수,4세,54,84,송재철,서범석,♠청팅콩,¾,483(-7),5.2,1.7,망사눈
198,2,3,3,,다크플레이어,미,수,4세,54,87,이현종,이관호,♠박남성,목,452(4),10.4,3.5,망사
199,3,4,2,,삼성불패,미,거,6세,54,101,안토니오,박대흥,♠김병진,목,512(14),10.4,3.5,
200,4,5,13,,플라잉챔프,미,암,6세,52,92,조재로,심승태,♠김형순,4,468(-6),10.4,3.5,"자극판, 망사눈"
201,5,6,5,,스마티블루,한,거,5세,54,66,우에다,전승규,♠김용래,½,515(0),10.4,3.5,Triabit
