,Unnamed: 0,순위,마번,중복제거마명,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
0,0,1,1,금로열,금로열,한,수,3세,56,,이동하,우창구,♠배태곤,,457(1),1.5,1.1,눈가면
1,1,2,5,프라임퀸,프라임퀸,한,암,3세,54,,문세영,송문길,김진철,2½,501(8),3.5,1.2,"망사, 승인재갈+"
2,2,3,8,갑오풀퀸,갑오풀퀸,한,암,3세,54,,박상우,이관호,♠김평갑,4,409(0),10.2,1.4,"자극판, 망사"
3,3,4,4,플라잉토르,플라잉토르,한,수,3세,56,,김정준,강환민,♠김형순,2,532(-13),47.9,5,"망사눈, 승인재갈"
4,4,5,10,블랙퓨펄,블랙퓨펄,한,암,3세,54,,유승완,손영표,양현모,1½,482(1),7.9,2.2,"망사눈+, 승인편자, 혀끈, 망사-"
5,5,6,2,정성홀리데이,정성홀리데이,한,거,3세,56,,박병윤,심승태,임정균,½,437(-5),38.3,4.4,
6,6,7,12,용암장군,용암장군,한,수,3세,56,,방춘식,김점오,강종우,2½,445(8),85.4,9.3,망사눈
7,7,8,6,빅토리조이,빅토리조이,한,암,3세,54,,김태훈,지용철,남기태,½,501(7),158.5,19,
8,8,9,3,쏘아라흑장군,쏘아라흑장군,한,수,3세,56,,이준철,김대근,현태봉,목,542(3),75.7,8.4,
9,9,10,7,해피하와이,해피하와이,한,암,3세,54,,먼로,박윤규,♠오종환,4,491(-4),173.4,20.5,"망사눈+, 승인재갈"
10,10,11,11,에이스고고,에이스고고,한,암,3세,53,,(-1)조상범,구자흥,김광두,4,449(-5),200.8,31.4,
11,11,12,9,연승가이,연승가이,한,거,3세,56,,다비드,최영주,권인택,3,427(-3),259.8,41.9,망사눈
12,0,1,3,인듀어런스,인듀어런스,한,수,3세,56,,김정준,지용철,♠조용학,,530(-2),1.3,1,
13,1,2,8,킹오브이글,킹오브이글,한,거,3세,55,,빅투아르,이신영,♠신우철,10,461(-10),10.7,1.5,"망사눈-, 승인재갈-"
14,2,3,4,논스톱위닝,논스톱위닝,한,수,3세,55,,방춘식,박흥진,오왕근,¾,446(-9),15,2.4,
15,3,4,5,깨우침,깨우침,한,수,3세,54,,(-1)조상범,안병기,♠우태율,목,483(5),5.9,1.5,"망사+, 승인재갈, 망사눈-"
16,4,5,7,대군사랑,대군사랑,한,암,3세,53,,다나카,손영표,♠표종순,9,436(-18),39.5,8.1,망사
17,5,6,1,곡마단,곡마단,한,수,3세,55,,이철경,서인석,♠이종욱,¾,525(5),31.8,5,망사눈
18,6,7,10,서울매직,서울매직,한,수,3세,55,,김태훈,김동철,♠이시환,머리,455(-2),21.5,2.4,망사
19,7,8,2,젝스칸,젝스칸,한,수,3세,55,,김옥성,박희철,윤명수,4,457(9),53.1,6.6,"망사눈, 승인재갈"
20,8,9,9,무패함성,무패함성,한,암,3세,53,,이동국,서인석,♠박정배,13,473(-3),75,10.4,
21,9,,6,컬러풀조이,컬러풀조이,한,수,3세,56,,김용근,박대흥,이원태,출전제외,0(0),----,----,"망사눈, 승인재갈"
22,0,1,7,비카브레이싱,비카브레이싱,한,수,4세,57,,문세영,박대흥,♠(주)자성실업,,505(5),1.4,1,"승인재갈, 눈가면"
23,1,2,8,두리,두리,한,암,4세,53.5,,김용근,김동균,배석두,9,478(10),32,4.2,
24,2,3,5,레이디다이아,레이디다이아,한,암,3세,54,,이철경,김점오,강종우,¾,449(-11),21.6,7,눈가면-
25,3,4,3,캐럿시커,캐럿시커,한,수,4세,56,,함완식,김동균,♠공이공팔,1,450(8),36.8,9.4,망사눈
26,4,5,11,송암바비,송암바비,한,암,4세,55,,이혁,유재길,지원철,1,450(2),6.4,1.5,승인재갈
27,5,6,6,세명스톰,세명스톰,한,수,3세,55,,다나카,신삼영,이기철,1,494(26),104,21.5,
28,6,7,1,천지기상,천지기상,한,수,3세,55.5,,먼로,정호익,강세명,2½,473(-5),23.7,3.1,"망사눈, 승인재갈"
29,7,8,2,남녁의하늘,남녁의하늘,한,암,4세,53.5,,이아나,구자흥,♠오종환,2½,450(7),131.8,19.4,
30,8,9,12,인그란퀸,인그란퀸,한,암,3세,53,,김태훈,지용철,♠금악목장,목,477(2),35.5,4.3,
31,9,10,10,대지공주,대지공주,한,암,4세,54,,(-1)조상범,조현수,배선규,2,454(-2),14.2,3,"망사눈, 승인재갈"
32,10,11,4,금성가이,금성가이,한,거,4세,55.5,,지하주,김윤섭,♠조창규,2,473(-4),153.3,20.8,
33,11,,9,화이트플라워,화이트플라워,한,암,4세,55,,김동수,서홍수,윤훈열,주행중지,464(-4),8.1,1.7,"망사눈+, 승인재갈, 망사-"
34,0,1,6,위너브라운,위너브라운,한,수,3세,52.5,35,(-4)문성혁,전승규,♠손병현,,505(-6),2.1,1.3,"망사, 승인재갈"
35,1,2,5,피렌체힐,피렌체힐,한,수,3세,54.5,31,유승완,신삼영,안병렬,3,479(-13),3.8,1.3,"망사눈, 승인재갈"
36,2,3,2,리치룰즈,리치룰즈,한,암,3세,52,29,최범현,강환민,♠이종욱,1½,459(4),5.8,2.2,승인재갈
37,3,4,4,엄지여왕,엄지여왕,한,암,4세,52.5,29,조재로,배휴준,서상주,2½,479(-6),12.1,2.1,"승인재갈, 눈가면"
38,4,5,9,마이호크,마이호크,한,수,3세,54,30,먼로,정호익,♠백국인,1,469(7),16.4,3.1,"눈가면+, 망사눈-"
39,5,6,10,파티파워,파티파워,한,암,6세,52.5,29,부민호,박희철,조병해,1¾,443(11),78.4,16.6,
40,6,7,7,미사일캔디,미사일캔디,한,수,4세,53.5,28,다비드,최영주,♠이장운,½,444(-7),30.3,6.6,망사눈
41,7,8,11,맘보천하,맘보천하,한,암,6세,54,32,방춘식,김점오,♠이선호,2,446(8),168.2,38.7,
42,8,9,8,라온프로센스,라온프로센스,한,거,4세,53,27,이혁,박종곤,♠라온건설,목,463(-5),41.9,7.8,망사눈
43,9,10,12,방탄마,방탄마,한,암,3세,*52,28,문세영,지용철,김영진,½,459(4),11.5,2.4,
44,10,11,3,유니스,유니스,한,암,4세,52,28,김옥성,박종곤,♠유희태,2½,436(0),127.6,29.9,"망사눈, 승인재갈"
45,11,12,1,다산의초대,다산의초대,한,암,3세,*52,28,박병윤,김동균,♠김영근,¾,491(2),43.9,9.3,망사눈
46,0,1,5,다이아로드,다이아로드,한,암,3세,54,,김용근,송문길,♠손병철,,507(-14),3.6,1.7,"망사눈, 혀끈+, 승인재갈-"
47,1,2,4,당대질주,당대질주,한,암,3세,54,,다나카,서홍수,조성옥,5,463(9),9.3,1.7,"망사눈+, 눈가면-"
48,2,3,6,캠프바다,캠프바다,한,암,3세,54,,이아나,김윤섭,김광영,1¼,446(6),15.3,3.6,
49,3,4,7,천년해피,천년해피,한,암,3세,54,,김정준,배휴준,권용수,2,495(-3),34.4,4.5,망사
50,4,5,1,아이언하트,아이언하트,한,암,3세,54,,안토니오,임봉춘,박정웅,½,470(6),2.6,1.3,"승인재갈, 눈가면"
51,5,6,2,레인,레인,한,암,3세,54,,빅투아르,이신영,♠이성영,2½,477(-2),22.4,4.3,"망사, 승인재갈"
52,6,7,12,스틸런,스틸런,한,암,4세,50.5,,(-4)문성혁,박윤규,♠박덕희,½,432(7),39.1,5.5,망사눈
53,7,8,9,블루메가엘라,블루메가엘라,한,암,3세,54,,김동수,김동균,♠공이공팔,2½,500(-4),4.4,1.8,"망사눈, 승인재갈-"
54,8,9,11,크레이지큐,크레이지큐,한,암,3세,54,,이동국,서인석,♠서창식,4,441(3),130.2,32.5,승인재갈
55,9,10,10,종다리낭랑,종다리낭랑,한,암,3세,54,,이동하,홍대유,♠송한우,5,427(-2),129.1,30.1,승인재갈
56,10,11,3,주연,주연,한,암,4세,54.5,,이혁,최봉주,♠김경민,7,440(2),90.6,14.4,"망사눈, 승인재갈"
57,11,12,8,로열샬롬,로열샬롬,한,암,3세,54,,정정희,최용구,이장호,½,505(0),16.1,4.8,"승인재갈, 눈가면"
58,0,1,7,창성럭키,창성럭키,한,수,4세,56.5,34,안토니오,김순근,임흥호,,440(1),5.8,2,승인재갈
59,1,2,9,선오브선더,선오브선더,한,거,3세,53,28,문세영,박대흥,양동희,목,460(-9),1.9,1.4,"망사, 승인재갈"
60,2,3,12,플라잉조이,플라잉조이,한,수,4세,55.5,32,신형철,심승태,♠김형순,½,468(0),10.8,3.4,승인재갈
61,3,4,11,한일달빛,한일달빛,한,수,4세,57,35,박상우,김대근,한일사료,½,532(-4),7.9,2.5,
62,4,5,1,섀도우머니,섀도우머니,한,거,6세,54,29,문정균,최영주,♠박준배,1½,429(1),23.5,4,
63,5,6,3,럭키봉화,럭키봉화,한,수,4세,53.5,28,김동수,박재우,최기영,½,494(0),13.4,2.7,
64,6,7,4,원어게인,원어게인,한,거,6세,52,25,빅투아르,강성오,♠이용대,1,451(2),21.6,3.8,"승인재갈, 눈가면"
65,7,8,6,바람의미소,바람의미소,한,암,3세,*52,25,유승완,전승규,♠류화영,머리,474(2),42.4,5.8,승인재갈
66,8,9,2,굳세어라,굳세어라,한,암,4세,*52,27,이찬호,임봉춘,♠윤우환,1¼,439(8),32.3,6.3,"망사눈, 승인재갈"
67,9,10,5,라이즈앤샤인,라이즈앤샤인,한,암,4세,52.5,29,이철경,조현수,권영규,1¼,473(-8),20.8,4.6,
68,10,11,8,에메랄드킹,에메랄드킹,한,수,4세,52.5,26,정정희,최용구,♠이종욱,머리,503(4),54.3,12.6,승인재갈
69,11,12,10,칠종칠금,칠종칠금,한,거,4세,53,27,이동하,최용구,♠권태석,11,467(0),18.3,3.1,"망사눈, 승인재갈"
70,0,1,2,백투백,백투백,한,거,4세,51.5,38,김용근,박대흥,김원숙,,522(7),5.5,1.7,"망사, 혀끈"
71,1,2,8,리치마인,리치마인,한,암,4세,55,48,조재로,배휴준,김길중,½,500(2),3.2,1.3,망사
72,2,3,3,일각수,일각수,한,수,5세,53.5,42,안효리,정호익,♠백국인,머리,519(0),5.6,2,망사
73,3,4,4,라온세레나,라온세레나,한,암,3세,*52,40,문세영,박종곤,♠라온산업개발(주),¾,460(-3),3.7,1.5,
74,4,5,1,봄비스킹,봄비스킹,한,거,5세,52.5,40,박태종,곽영효,퓨리나코리아,1½,502(2),20.8,4.5,혀끈
75,5,6,10,푸른질주,푸른질주,한,암,6세,52,42,신형철,서정하,♠금악목장,½,450(-4),34.8,7,망사
76,6,7,6,금순유,금순유,한,수,4세,*52,37,김정준,박병일,♠배태곤,2½,484(2),20.6,5.3,망사눈
77,7,8,12,델타케이,델타케이,한,거,5세,54,43,김동수,김점오,♠강균호,¾,491(7),17.7,4,"망사눈, 승인재갈"
78,8,9,11,정상으뜸,정상으뜸,한,거,4세,53,41,이동하,박희철,♠정동진,1,476(-2),86.8,17.1,망사눈
79,9,10,7,아워캣,아워캣,한,거,7세,56,47,유승완,김동철,고제광,3,442(6),59.6,10.6,"망사, 승인재갈"
80,10,11,9,위너스피릿,위너스피릿,한,수,4세,55.5,46,이혁,서범석,♠(주)녹원목장,목,544(-19),10.7,3.9,"망사, 승인재갈"
81,11,12,5,중전마마,중전마마,한,암,4세,*52,36,문정균,최상식,♠오상철,10,474(7),123.5,25.9,망사눈
82,0,1,7,인천치프,인천치프,미,수,3세,55,47,문세영,정호익,세계건설(주),,496(2),2,1,망사
83,1,2,1,매치캡틴,매치캡틴,미,수,3세,56.5,50,안토니오,서인석,♠고재완,½,463(-3),2,1.1,"승인재갈, 눈가면+"
84,2,3,9,흥짱,흥짱,미,거,3세,54.5,46,이준철,김대근,♠고광숙,1¾,511(-6),24,2.3,
85,3,4,2,스피드쇼크,스피드쇼크,미,수,4세,*52,37,김정준,김동균,♠장석은,1,475(-4),48.8,5.8,망사눈
86,4,5,6,인천스피드,인천스피드,미,수,3세,51.5,40,김용근,박희철,♠권경자,½,490(-3),27.9,4.3,"망사눈, 승인재갈"
87,5,6,8,선스타트,선스타트,미,수,4세,53.5,43,다나카,손영표,이신근,¾,519(-4),15.6,2.1,"망사눈+, 승인재갈, 망사-"
88,6,7,12,올댓코리아,올댓코리아,미,거,3세,51,38,(-1)이동진,안해양,임두인,1½,488(-2),68.8,5.4,
89,7,8,3,프라우드섐록,프라우드섐록,미,암,3세,*52,37,유승완,김동철,권용수,코,422(-9),55.4,5.7,망사
90,8,9,4,동해클럽,동해클럽,일,거,4세,52,40,이동국,심승태,김갑수,6,486(5),169.4,24.7,망사
91,9,10,5,본능대로,본능대로,미,거,3세,*52,40,이혁,이희영,이창모,4,503(9),25.8,6.3,
92,10,11,10,블루스타매직,블루스타매직,호,수,4세,51,36,(-1)김효정,배대선,이미양,16,440(-1),187.7,34.3,망사
93,11,,11,정문스카이,정문스카이,미,수,3세,51,39,박태종,홍대유,♠김재영b,출전제외,0(0),----,----,
94,0,1,5,라피도쿠스,라피도쿠스,한,수,3세,56.5,50,유승완,송문길,♠허장원,,523(5),1.4,1.1,망사
95,1,2,7,이천쌀,이천쌀,한,거,4세,56,46,이혁,심승태,이천시청,6,472(2),38.1,7.9,망사눈
96,2,3,8,큐피드데이트,큐피드데이트,한,거,4세,55,42,문정균,박흥진,♠태립,목,444(-6),46.5,8.7,망사눈
97,3,4,9,한양공주,한양공주,한,암,4세,52,37,이찬호,박대흥,나종용,1¼,492(2),25.3,6.1,"망사, 승인재갈, 혀끈"
98,4,5,2,캡틴파워,캡틴파워,한,수,4세,54,42,(-1)김효정,심승태,♠김세민,코,452(-2),21.4,3.9,"망사, 승인재갈"
99,5,6,12,스피드황룡,스피드황룡,한,거,4세,54,37,김용근,김점오,과천시청,1¼,492(0),10.2,2,망사
100,6,7,6,강서으뜸,강서으뜸,한,수,4세,57,48,다나카,이관호,♠(주)디알엠씨티,1,470(-3),16.4,3,"망사눈, 승인재갈"
101,7,8,11,대명솔라,대명솔라,한,암,4세,52,37,이동국,서인석,(주)대명종합건설,½,404(-14),53,11.5,"망사눈, 승인재갈"
102,8,9,4,패스트패션,패스트패션,한,거,4세,54,38,빅투아르,박병일,♠이관형,머리,479(4),10.5,1.7,"망사눈, 승인재갈"
103,9,10,3,스트롱캡틴,스트롱캡틴,한,거,4세,53,50,(-4)김덕현,서범석,이성헌,1¼,451(-5),16.4,3.1,"망사눈, 승인재갈"
104,10,11,10,본위너,본위너,한,수,6세,53,37,(-1)이동진,이희영,♠김정성,목,470(-1),67.1,21.6,
105,11,12,1,흰별,흰별,한,암,4세,54,43,김태훈,김동철,♠백국인,½,443(2),20.4,3.2,"망사눈, 승인재갈"
106,0,1,5,글로벌축제,글로벌축제,한,수,3세,*52,53,유승완,최상식,♠장재형,,510(0),1.4,1.1,망사눈
107,1,2,2,햇살왕자,햇살왕자,한,거,5세,*52,52,먼로,박병일,박기태,2,438(10),138.7,15.1,"승인재갈, 눈가면"
108,2,3,3,위드프렌드십,위드프렌드십,한,거,4세,*52,54,빅투아르,박천서,♠김종진,1,482(-2),6.3,1.6,망사눈
109,3,4,7,스페셜위너,스페셜위너,한,수,4세,52,55,김용근,심승태,장철환,½,485(-3),18.4,2.6,"망사눈, 승인재갈"
110,4,5,8,탐라킹,탐라킹,한,거,5세,53,65,(-4)김덕현,박재우,김경태,2,512(-6),8.5,2.1,
111,5,6,1,아멘다,아멘다,한,암,4세,52.5,59,김동수,정호익,♠김광명,1¼,437(-7),66.3,7.1,망사눈
112,6,7,12,센타포바,센타포바,한,수,5세,53,57,김태훈,지용철,박시용,머리,486(0),150.9,11.4,
113,7,8,6,예스유캔,예스유캔,한,거,5세,54.5,60,박태종,송문길,김길중,1¾,457(-2),24.3,3,
114,8,9,11,메니블레이드,메니블레이드,한,암,4세,*52,57,문세영,박대흥,♠김형란,1½,489(0),14.7,3,"망사, 승인재갈"
115,9,10,9,특별스타,특별스타,한,암,5세,52.5,59,이철경,서인석,김재성b,1½,452(-2),180.2,17.2,"망사눈, 승인재갈"
116,10,11,10,볼드샤이닝,볼드샤이닝,한,거,4세,51,51,정정희,안병기,신승열,1½,457(-19),54.2,13,망사눈
117,11,12,4,로드킹,로드킹,한,거,5세,54,59,안토니오,임봉춘,♠표종순,12,483(-3),26.9,3.8,"망사눈, 승인재갈"
118,0,1,7,금비랑,금비랑,한,수,4세,53.5,73,빅투아르,박병일,♠배태곤,,533(-2),2.6,1.3,"망사눈, 승인재갈"
119,1,2,12,문학조이,문학조이,미,수,3세,53,73,유승완,정호익,♠권경자,목,496(-3),8.5,2.6,망사
120,2,3,10,글로벌라인,글로벌라인,한,거,4세,54,74,이혁,최상식,♠장재형,1,512(3),7.8,2.3,망사눈
121,3,4,6,히비키,히비키,한,거,5세,52,70,신형철,신삼영,♠요시다 테루야,머리,492(-4),17.3,3.1,망사
122,4,5,4,초인마,초인마,한,수,4세,55,76,문세영,이관호,♠박남성,1¾,514(-7),3.5,1.4,망사
123,5,6,1,용총,용총,한,수,6세,53,72,먼로,정호익,♠김광명,4,491(-8),29.1,6.1,망사눈
124,6,7,5,난초의고향,난초의고향,미,거,5세,52.5,73,(-1)조한별,조현수,신기철,2,467(-8),33.3,6.6,망사
125,7,8,2,야호선샤인,야호선샤인,한,수,7세,53,80,(-4)문성혁,조현수,이태식,2,462(-6),37.1,7.7,망사눈
126,8,9,3,황금소리,황금소리,미,수,5세,52,72,(-1)조상범,김동철,이수홍,머리,511(28),97.7,22.5,망사
127,9,10,9,불멸의제왕,불멸의제왕,미,수,4세,54.5,75,다나카,최용구,이영해,1¼,479(3),7.5,2.4,"혀끈, 양털뺨-, 승인재갈-"
128,10,11,11,대쥬신,대쥬신,미,수,5세,52,70,이동하,지용철,♠조용학,¾,481(-1),64.5,9.3,망사
129,11,12,8,위대한전사,위대한전사,미,거,5세,56,78,이강서,유재길,곽승용,머리,460(-3),59.5,8.8,"망사눈, 승인재갈"
130,0,1,11,엉클오,엉클오,미,수,3세,*52,51,이찬호,이신영,♠오종택,,451(-2),23.3,4.4,망사
131,1,2,1,초코캔디,초코캔디,미,암,3세,53,61,김용근,이신영,♠정영식,2½,464(-2),2.8,1.4,"망사눈, 승인재갈+"
132,2,3,9,문학쓰나미,문학쓰나미,미,수,3세,52.5,57,문세영,정호익,♠권경자,2,485(2),5,1.9,눈가면
133,3,4,8,오섬스마트,오섬스마트,미,암,4세,*52,56,빅투아르,서홍수,임민영,½,462(2),24.9,4.2,
134,4,5,6,돌아온날리,돌아온날리,미,수,5세,52,55,신형철,신삼영,♠태희종합건설,1¼,506(3),33.2,5.9,
135,5,6,10,가온퀸,가온퀸,미,암,3세,53.5,62,유승완,안병기,♠김기종,목,486(-4),3.1,1.5,망사눈
136,6,7,5,남촌아티스트,남촌아티스트,미,수,4세,55.5,62,안토니오,박대흥,남승현,목,491(-1),8.1,2.6,"망사+, 승인재갈, 혀끈"
137,7,8,7,탭패션드,탭패션드,미,거,4세,52.5,56,이동하,배대선,♠김진영a,¾,438(1),30.4,4.6,망사
138,8,9,2,사려니윈,사려니윈,한,거,6세,51,53,(-1)조상범,구자흥,♠오영익,1¼,454(0),60.7,9.6,"망사눈, 승인재갈"
139,9,10,3,미스터포춘,미스터포춘,한,수,5세,55,61,조재로,배휴준,김길중,½,493(-9),22.6,3.3,"망사, 승인재갈"
140,10,11,4,우승하우스,우승하우스,미,거,7세,54.5,62,(-1)김효정,우창구,오현주,코,490(-3),48.1,8.8,"망사, 승인재갈"
141,11,12,12,해피보이,해피보이,미,수,4세,56.5,64,먼로,정호익,♠권경자,¾,478(3),60.5,14.6,"망사눈, 혀끈"
0,0,1,5,골드파티,골드파티,한,암,3세,54,,김동수,송문길,♠박정재,,480(17),4.5,1.6,
1,1,2,6,금아매저스티,금아매저스티,한,수,3세,56,,문세영,심승태,♠금아산업(주),¾,490(-1),1.4,1.1,망사
2,2,3,9,큐피드초이스,큐피드초이스,한,암,3세,54,,방춘식,박흥진,♠서순배,5,435(-7),35.3,4.2,망사
3,3,4,4,안양레오파드,안양레오파드,한,암,4세,53.5,,(-1)이동진,구자흥,(주)에이에프피,½,422(1),134.6,15.3,"망사+, 눈가면-"
4,4,5,10,과천공주,과천공주,한,암,3세,54,,이준철,김대근,신상섭,목,432(-12),142.6,16,
5,5,6,7,완승무패,완승무패,한,거,4세,56.5,,다나카,곽영효,♠이월희,3,509(17),105.1,14.1,"망사눈, 승인재갈"
6,6,7,12,골드필드,골드필드,한,암,3세,54,,김태훈,조현수,윤영기,코,432(-2),81.3,12.3,망사
7,7,8,11,백스핀,백스핀,한,암,3세,54,,이해동,이관호,♠이경희,코,442(-6),13.2,1.9,망사눈
8,8,9,1,드림캠프,드림캠프,한,수,3세,55,,(-1)조한별,신삼영,♠드림커뮤니티,½,509(13),37.4,7,
9,9,10,2,더캐스팅,더캐스팅,한,수,3세,56,,문정균,최영주,최준호,½,482(-13),9.9,2,"망사눈, 승인재갈+, 혀끈+"
10,10,11,8,애니포스원,애니포스원,한,암,3세,54,,박병윤,정호익,♠서정범,1½,419(-5),19.8,2.4,망사눈
11,11,12,3,베스트버디,베스트버디,한,암,3세,54,,먼로,강성오,정수남,5,388(-2),52.1,9.3,망사
12,0,1,8,장산플라이,장산플라이,한,거,3세,56.5,,안토니오,서인석,♠김형란,,450(-8),2.3,1.2,승인재갈
13,1,2,2,레드블레이드,레드블레이드,한,거,3세,55.5,,박태종,박대흥,♠김형란,½,499(1),5.8,1.8,"망사눈, 승인재갈, 혀끈"
14,2,3,3,페더럴캣,페더럴캣,한,수,3세,56,,문세영,지용철,♠금악목장,7,497(-1),3.7,1.4,"망사눈, 승인재갈"
15,3,4,4,클린업트리오,클린업트리오,한,수,3세,56.5,,유승완,심승태,♠민형근,5,507(-10),5.6,1.6,양털코+
16,4,5,7,플라워로드,플라워로드,한,암,3세,53,,김동수,김점오,♠강균호,머리,478(-4),22.3,3.2,"망사눈, 승인재갈"
17,5,6,5,비앙카,비앙카,한,암,3세,53,,이동하,박희철,♠강석대,6,424(-1),165.3,25.1,"망사눈, 승인재갈"
18,6,7,10,호스캡틴,호스캡틴,한,수,3세,55,,다나카,신삼영,링크폴로,2,519(2),77.5,12.6,"망사눈+, 승인재갈"
19,7,8,6,투어브라더,투어브라더,한,수,3세,52.5,,(-4)김덕현,박재우,양무승,1,455(15),10.3,2.9,망사눈
20,8,9,1,챔피언라이트,챔피언라이트,한,암,3세,53,,이해동,최상식,♠변갑한,9,443(-10),179.2,27.3,
21,9,10,9,최강러너,최강러너,한,수,3세,55,,다비드,사이먼,♠이기선,4,476(-7),33.3,4.9,
22,10,,11,프라이빗맨,프라이빗맨,한,수,3세,56.5,,김용근,배대선,♠김경민,출전취소,0(0),----,----,망사
23,0,1,12,금빛장인,금빛장인,한,수,3세,55,32,문세영,안병기,♠박남성,,505(14),1.3,1.1,눈가면
24,1,2,7,끌어주는손,끌어주는손,한,암,4세,55.5,35,안토니오,김순근,임흥호,2,444(9),18.3,2.4,승인재갈
25,2,3,11,사사,사사,한,암,3세,53,31,빅투아르,박재우,이종천,1¼,478(15),44.4,5.8,망사눈
26,3,4,8,정상만세,정상만세,한,수,5세,55.5,32,이찬호,박희철,♠정동진,½,504(0),16.4,2.7,"망사눈, 승인재갈"
27,4,5,10,로열브론즈,로열브론즈,한,암,5세,*52,26,김옥성,이희영,♠서순배,2½,461(-7),65.9,11.1,망사눈
28,5,6,3,바이칼전사,바이칼전사,한,거,5세,53.5,28,먼로,최영주,오수석,머리,444(0),58.5,6.7,"망사+, 승인재갈, 자극판-, 망사눈-"
29,6,7,1,피케이타임,피케이타임,한,암,4세,51,34,(-4)문성혁,김동철,♠김태성,코,463(-5),21.3,3.8,"망사눈, 승인재갈"
30,7,8,5,블루파이어,블루파이어,한,거,3세,54,30,이혁,구자흥,♠이관형,½,494(-7),6,1.4,"망사눈, 승인재갈"
31,8,9,2,그린와이,그린와이,한,암,3세,51,27,김용근,홍대유,♠김재영b,3,446(-11),46.6,4.3,
32,9,10,6,속보태자,속보태자,한,거,5세,55.5,32,방춘식,박희철,신영식,1,478(-6),142.4,31.8,망사눈
33,10,11,4,카이젠포스,카이젠포스,미,암,6세,55,34,문정균,박흥진,오왕근,1¼,474(4),96.3,10.3,망사눈
34,11,12,9,사바킹덤,사바킹덤,한,수,3세,55,32,김정준,박병일,♠이관형,1,458(5),27,3.7,"망사눈, 승인재갈"
35,0,1,9,화기,화기,미,암,3세,55.5,50,문세영,이관호,♠황은호,,455(8),2.9,1.3,"망사눈, 승인재갈"
36,1,2,2,크레이지위키,크레이지위키,호,수,4세,55.5,48,(-1)김효정,배대선,♠서창식,6,488(-8),4.7,1.7,망사
37,2,3,3,고고비,고고비,캐,암,3세,*52,40,김정준,김윤섭,김재용,½,446(6),47.4,6.6,
38,3,4,5,흥복드림,흥복드림,미,거,3세,57,50,이준철,김대근,♠고광숙,2,511(-6),7,2,
39,4,5,12,블루스파이더,블루스파이더,호,거,4세,*52,36,이동하,임봉춘,피닉스,½,492(7),127.1,11,"양털코, 승인재갈"
40,5,6,7,굿센스,굿센스,미,수,3세,*52,37,유승완,박종곤,♠권경자,1¼,489(5),88.1,14.7,"망사눈, 승인재갈"
41,6,7,4,질풍강자,질풍강자,한,거,4세,51,37,(-1)이동진,박대흥,조진환,2,472(-3),4.5,1.5,"자극판, 승인재갈, 눈가면"
42,7,8,8,피닉스울프,피닉스울프,미,암,3세,54,47,이찬호,임봉춘,피닉스,2½,437(-1),4.6,1.6,망사눈
43,8,9,1,머스탱런,머스탱런,미,수,3세,*52,39,이혁,이관호,이영성,머리,488(-6),26.5,5.5,"망사, 승인재갈, 혀끈+"
44,9,10,11,굿카이로,굿카이로,미,수,3세,*52,39,먼로,박윤규,세계건설(주),½,440(3),187.3,41,망사눈
45,10,11,6,위대한파이터,위대한파이터,미,수,3세,52,40,김용근,김동철,곽승용,6,511(-3),155.4,24.3,
46,11,12,10,파티큘러퀸,파티큘러퀸,미,암,3세,51,40,박태종,곽영효,♠김세민,2½,463(4),54.7,9.6,승인재갈+
47,0,1,6,럭키봉성,럭키봉성,한,암,3세,54,,김동수,박재우,최기영,,494(10),2.2,1.2,"망사+, 승인재갈+"
48,1,2,8,안목항,안목항,한,암,3세,54,,안토니오,리카디,♠홍종철,3,471(1),9.3,2.8,망사
49,2,3,5,타이밍굿,타이밍굿,한,수,3세,56,,박상우,최상식,♠변갑한,2,455(6),3.8,1.4,"망사눈+, 승인재갈+"
50,3,4,2,셋더페이스,셋더페이스,한,암,3세,54,,최범현,박천서,윤지중,1,487(-5),56.1,7.1,망사눈
51,4,5,11,위너크라운,위너크라운,한,거,3세,56,,신형철,곽영효,♠오상철,½,473(6),5.2,1.5,
52,5,6,1,조이오브킹,조이오브킹,한,거,3세,56,,김태훈,이관호,♠신우철,2½,492(-3),9.7,2.6,망사
53,6,7,3,배다리서미트,배다리서미트,한,수,3세,56,,이찬호,홍대유,♠송한우,1,500(-3),55.2,10.4,
54,7,8,12,메니타운십,메니타운십,한,암,3세,54,,함완식,김동균,♠김용래,½,519(1),70.3,9.1,
55,8,9,10,큐피드여왕,큐피드여왕,한,암,3세,54,,문정균,박흥진,♠서순배,½,478(12),170.1,15.5,망사눈
56,9,10,9,원더풀댄서,원더풀댄서,한,거,3세,56,,다나카,최용구,♠(주)녹원목장,2,461(-11),93.2,18.7,"망사눈, 승인재갈"
57,10,11,4,정조의꿈,정조의꿈,한,거,3세,56,,유승완,강성오,♠이관형,4,460(2),20.6,3.8,"승인재갈, 눈가면"
58,11,12,7,라온호크,라온호크,한,거,3세,56,,정정희,안병기,♠라온건설,3,456(19),89.2,14.8,"망사눈, 승인재갈"
59,0,1,10,스마티아델,스마티아델,한,암,3세,54,32,문세영,송문길,♠이종훈,,433(6),1.9,1.4,망사
