name,ranked,fw,fd,mw,md
글로벌축제,1,,"1,570,380USD ","95,190,000원", 
햇살왕자,2,,"3,187,232USD ","74,648,000원", 
위드프렌드십,3,,"832,140USD ",,"109,202USD "
스페셜위너,4,,"568,629,000JPY ","17,025,000원", 
탐라킹,5,,"3,545,062USD ","148,460,000원", 
아멘다,6,,"1,732,000USD ","58,562,500원", 
센타포바,7,,"339,984USD ","266,851,000원", 
예스유캔,8,,"70,961,000JPY ","37,665,000원", 
메니블레이드,9,,"1,732,000USD ",,"62,397USD "
특별스타,10,,"578,302,000JPY ","181,834,000원", 
볼드샤이닝,11,,"480,001USD ","305,585,000원", 
로드킹,12,,"1,732,000USD ",,"33,710USD "
금비랑,1,,"1,732,000USD ","441,102,000원", 
문학조이,2,,"2,075,791USD ",,"61,766USD "
글로벌라인,3,,"1,570,380USD ",,0
히비키,4,,"1,732,000USD ",,0
초인마,5,,"1,732,000USD ","203,132,000원", 
용총,6,,"396,254USD ",,"61,125USD "
난초의고향,7,,"454,630USD ",,"7,800USD "
야호선샤인,8,,"1,610,604USD ",,"61,859USD "
황금소리,9,,"583,280USD ",,"49,036USD "
불멸의제왕,10,,"251,090USD ",,"77,670USD "
대쥬신,11,,"1,716,950USD ",,"111,226USD "
위대한전사,12,,"879,768USD ",,"4,595USD "
엉클오,1,,"811,760USD ",,623USD 
초코캔디,2,,"1,146,340USD ",,780USD 
문학쓰나미,3,,"1,146,340USD ",, 
오섬스마트,4,,"337,376USD ",,"106,340USD "
돌아온날리,5,,"301,500USD ",,244USD 
가온퀸,6,,"1,606,000USD ",,"189,055USD "
남촌아티스트,7,,"1,319,481USD ",,"79,860USD "
탭패션드,8,,"583,280USD ",,"51,158USD "
사려니윈,9,,"239,229USD ",,"3,650USD "
미스터포춘,10,,"1,570,380USD ","119,331,000원", 
우승하우스,11,,"500,435USD ",,"192,287USD "
해피보이,12,,"1,694,180USD ",,"41,330USD "
골드파티,1,,"794,855USD ",,"53,849USD "
금아매저스티,2,,"1,810,805USD ",,0
큐피드초이스,3,,"1,694,180USD ",,760USD 
안양레오파드,4,,"4,374,590USD ",,"1,715USD "
과천공주,5,,"687,967USD ",,"72,057USD "
완승무패,6,,"804,090USD ","8,200,000원", 
골드필드,7,,"339,984USD ",,"3,498USD "
백스핀,8,,"568,086USD ",,"79,418USD "
드림캠프,9,,"339,984USD ","122,223,000원", 
더캐스팅,10,,"494,895,000JPY ",,"62,774USD "
애니포스원,11,,"1,083,533USD ",,"105,150USD "
베스트버디,12,,"371,623,500JPY ","102,100,000원", 
장산플라이,1,,"51,475USD ",,"12,567USD "
레드블레이드,2,,"1,732,000USD ",,"49,173USD "
페더럴캣,3,,"172,705,000JPY ",,"10,948,000JPY "
클린업트리오,4,,"114,300USD ",,"84,205USD "
플라워로드,5,,"491,312USD ",,"22,580USD "
비앙카,6,,"1,810,805USD ",,"1,680USD "
호스캡틴,7,,"1,810,805USD ",,0
투어브라더,8,,"163,133USD ","112,060,000원", 
챔피언라이트,9,,"1,570,380USD ",0원, 
최강러너,10,,"254,672USD ",,0
금빛장인,1,,"1,732,000USD ","148,346,000원", 
끌어주는손,2,,"249,760USD ","78,614,000원", 
사사,3,,"339,984USD ","21,156,000원","16,030USD "
정상만세,4,,"493,755USD ","92,266,000원", 
로열브론즈,5,,"396,254USD ",,0
바이칼전사,6,,"456,410USD ","21,156,000원","16,030USD "
피케이타임,7,,"617,310USD ","29,446,000원", 
블루파이어,8,,"493,755USD ","125,820,000원", 
그린와이,9,,"491,312USD ","137,120,000원", 
속보태자,10,,"568,086USD ","113,835,000원", 
카이젠포스,11,,"1,037,810USD ",,"6,110USD "
사바킹덤,12,,"114,300USD ",,"3,550NZD "
화기,1,,"3,614,500USD ",,"55,960USD "
크레이지위키,2,,"572,927USD ",,0AUD 
고고비,3,,"1,146,340USD ",,"40,820USD "
흥복드림,4,,"1,878,013USD ",,"34,898USD "
블루스파이더,5,,0AUD ,, 
굿센스,6,,"4,383,200USD ",,"34,970USD "
질풍강자,7,"728,298,000원", ,"96,320,000원", 
