name,ranked,fw,fd,mw,md
대용왕,5,,"1,083,533USD ","44,225,000원", 
일여하여,6,,"3,187,232USD ","118,005,000원", 
스마트한센,7,,"1,810,805USD ",,"66,678USD "
아리산,8,,"1,570,380USD ","118,483,000원", 
황금신화,9,,"568,086USD ",,"25,200USD "
에이스샤인,11,,"51,475USD ",,0
어치브,1,,"11,470,635USD ",,"10,700,000JPY "
대한챔프,2,,"1,503,825USD ",,0
페더럴캣,3,,"172,705,000JPY ",,"10,948,000JPY "
백상,4,,"456,410USD ","130,190,000원", 
불사불패,5,,"3,545,062USD ","75,612,000원","7,700AUD "
머니샤프,6,,"456,410USD ",,0
퀸오브캠프,7,,"339,984USD ",,"104,746USD "
당대질주,8,,"1,607,774USD ",,0
수제비,9,"435,833,000원", ,"51,001,000원", 
킹즈스텝,1,,"1,606,000USD ",,"68,990AUD "
디케이나린,2,,"1,154,000USD ",,"30,210USD "
불굴의러너,3,,"1,293,782USD ",, 
정상스마트,4,,"1,103,496USD ",,560USD 
아메리칸포스원,5,,"794,855USD ",,"1,512USD "
그레이킹덤,6,,"601,560USD ",,"85,886USD "
캡틴포스원,7,,"142,605USD ",,342USD 
금자유,8,,"1,251,300USD ",,0
큐티바비,1,,"3,187,232USD ",,"66,215USD "
달려라속보,2,,"568,086USD ",, 
빛나는루비,3,,"1,570,380USD ","129,643,000원", 
우승마차,4,,"371,623,500JPY ","80,767,000원", 
슈퍼빅터,5,"1,861,967,000원", ,"44,398,500원", 
푸에르스페스,6,,"1,570,380USD ",,"7,440USD "
퍼스트선더,7,,"114,300USD ","47,730,000원", 
신의축복,8,"1,225,505,000원", ,"45,835,000원", 
원더풀댄서,9,,"617,310USD ",, 
원더풀이블,1,,"254,672USD ",,"3,065,000JPY "
대변화,2,,"456,410USD ","108,486,000원", 
리빙스턴,3,"579,356,000원", ,, 
빅토리킹,4,,"2,580,402USD ",,"30,132CAD "
레이먼드,5,,"315,015USD ",,"7,400USD "
라온돌풍,6,,"12,891,734USD ",,"417,736USD "
클린플라워,7,,"3,084,278USD ",,0
제주의흑선,8,,"568,086USD ","90,960,000원",0
피케이전사,1,,"1,607,774USD ","39,446,000원", 
캠프터치,3,,"339,984USD ",,"119,723USD "
갑오풀퀸,4,,"3,084,278USD ","256,115,000원", 
다다비,5,,"1,146,340USD ",,"137,513USD "
동해클럽,6,,"172,705,000JPY ",,"16,528,000JPY "
금아클리프,7,,"971,269USD ",,"8,200AUD "
바람을그리다,1,"471,819,000원", ,,"103,630USD "
사이먼리치,3,,"274,382USD ",,0
델타케이,4,,"278,406USD ","80,230,000원", 
아이비에스퀸,5,,"479,803USD ",,"120,585USD "
카일룸여제,6,,"568,629,000JPY ","97,562,000원", 
헤네시댄서,7,,"1,610,604USD ",,220USD 
고스트타운,8,,"804,090USD ",,0
제주의바람,9,,"1,570,380USD ","47,730,000원", 
금아어누이티,2,,"1,080,700USD ",,"260,052USD "
플로리다파워,3,,"3,307,278USD ",,"154,756USD "
문학파이어,4,,"385,807USD ",,0
화이팅랭퍼,5,,"698,574USD ",,0
달려라레오,6,,0AUD ,,0AUD 
파이널칸지노,7,,"1,227,875AUD ",, 
화기,1,,"3,614,500USD ",,"55,960USD "
해후,2,,"3,084,278USD ","45,600,000원", 
오케이퀸,3,,"114,300USD ","2,600,000원", 
크레이지위키,4,,"572,927USD ",,0AUD 
야호선샤인,5,,"1,610,604USD ",,"61,859USD "
불멸의제왕,6,,"251,090USD ",,"77,670USD "
스마트파크,7,,"903,685USD ",,"108,780USD "
아이비에스마린,8,,"583,280USD ",,"10,210USD "
정조의꿈,1,,"114,300USD ",,880USD 
해랑,2,,"51,475USD ",,880USD 
화이트코멧,3,,"254,672USD ",,"16,200AUD "
제주의요정,4,,"493,755USD ","146,135,000원", 
스펙터퀸,5,,"172,705,000JPY ","140,923,000원", 
로열리멤버,6,,"516,977USD ",,"88,045USD "
베스트골드,7,,"480,001USD ","139,748,000원", 
스페셜어게인,8,,"695,299USD ","75,782,000원", 
리빙인더모던,9,,"254,672USD ",,"9,490USD "
스페셜챔프,10,,"3,084,278USD ",,"21,569USD "
우봉륭,11,,"1,182,992USD ",,"117,800USD "
솔개바람,1,,"494,895,000JPY ","163,560,000원", 
블루대자연,2,,"396,254USD ",,"74,715USD "
디아볼라,3,,"804,090USD ",,0
캡틴베스트,4,,"416,475,000JPY ","122,395,000원", 
새내플래시,5,,"274,382USD ","4,592,000원", 
제이엔리,6,"579,356,000원", ,,0
타미나,7,,"1,810,805USD ","219,712,000원", 
로열블레이드,8,,"493,755USD ","10,520,000원", 
버닝맨,9,"409,030,000원", ,"78,368,000원", 
비바킹,10,,"396,254USD ",,"12,380EUR "
내길의빛,1,,"163,133USD ",,761USD 
올마이퀸,2,,"491,312USD ",,"12,003USD "
스틸런,3,,"3,187,232USD ","239,805,200원", 
풍문으로,4,,"1,889,766USD ",,"32,476USD "
사우스반,5,,"274,382USD ","305,585,000원", 
블루밴드,6,,"1,503,825USD ",,0
젝스칸,7,,"416,475,000JPY ",,400USD 
비엔토퍼스트,8,"728,298,000원", ,"135,040,000원",0
리쉬부르,9,,"725,296USD ",,"94,222USD "
허쉬대보,1,,"416,475,000JPY ","278,587,000원", 
대한일품,2,,"1,810,805USD ",,"40,470USD "
마패봉,3,,"1,503,825USD ",, 
드림머니,4,,"568,086USD ","231,487,000원", 
럭키마이더스,5,,"205,617USD ","115,419,000원", 
천괴성,6,,"205,617USD ","106,041,000원", 
바람의미소,7,,"51,475USD ",,"25,200USD "
헤이드리머,8,,"978,960USD ",,"46,952USD "
송암준,9,,"107,515USD ","75,612,000원","7,700AUD "
탁트인,1,,"1,810,805USD ",,"21,790CAD "
천지울림,2,,"210,553USD ",,"93,116USD "
메니히어로,3,,"1,732,000USD ","548,953,000원", 
멋진금성,4,,"1,810,805USD ","266,742,000원", 
메니챔프,5,,"1,732,000USD ",,"6,570USD "
다시두손,6,,"583,280USD ","81,895,000원", 
퓨처파이어,7,,"1,293,437USD ",,"58,431USD "
새내스퍼트,8,,"1,732,000USD ",,0
삼성비바,9,,"254,672USD ",,"65,390USD "
이비사걸,10,,"1,083,533USD ","122,395,000원", 
원더풀플레저,11,,"617,310USD ",0원, 
골드브릿지,12,,"51,475USD ","47,338,000원", 
골드페릴라,1,,"804,090USD ","68,944,000원", 
파티파워,2,,"51,814,000JPY ",,"8,278USD "
운주영웅,3,,"2,580,402USD ",,"46,600USD "
럭키소천,4,,"51,475USD ",,"29,760USD "
윈드리버,5,,"1,503,825USD ",,"1,100USD "
송암바비,6,,"456,410USD ",,"66,215USD "
음악대장,7,,"133,833USD ","121,222,000원", 
창성진주,8,,"3,545,062USD ",,0JPY 
카론블레이드,1,,"172,705,000JPY ","63,576,000원", 
엘초이스,2,,"339,984USD ",,"22,780USD "
대천보우,3,,"491,312USD ","52,048,000원", 
갈잎,4,,"1,083,533USD ",,0USD 
큐피드닥터,5,,"456,410USD ",,0
라온윌리엄스,6,,"416,475,000JPY ",,"7,000,000JPY "
럭키봉성,7,,"1,810,805USD ",,"14,507USD "
사사,8,,"339,984USD ","21,156,000원","16,030USD "
베스트채플,9,,"493,755USD ","64,602,000원", 
빅선더,10,,"114,300USD ","96,601,000원", 
브라운로즈,11,,"1,810,805USD ","413,351,000원", 
클레오,12,,"1,732,000USD ",,0
인디펜던스,1,,"114,300USD ","121,650,000원", 
불후의명곡,2,,"3,084,278USD ",,"39,185USD "
로열스마티,3,,"1,083,533USD ",,"19,205USD "
백두의태양,4,,"1,570,380USD ","104,090,000원", 
불의퀸,5,,"565,716USD ",,0
라온미라클,7,,"410,376,000JPY ",,"7,000,000JPY "
광야불기둥,8,,"3,084,278USD ",,"8,764USD "
달순이,9,,"51,475USD ","109,680,000원", 
상비군,10,,"315,015USD ",,"92,814USD "
온누리알바,11,,"835,142USD ",,0NZD 
스마티블루,1,,"1,570,380USD ",,0
투게더허그,2,,"1,779,012USD ",,"4,217USD "
마이티존,3,,"1,779,012USD ",,"35,670USD "
스타플래티넘,4,,"978,960USD ",,0
라이즈앤샤인,5,,"3,545,062USD ","202,050,000원", 
아델엔젤,6,,"492,910USD ",,"22,944USD "
요리조리,7,,"1,037,810USD ",,0
플래시제트,8,,"405,730USD ",,464USD 
스트로리아,9,,"1,606,000USD ",,"32,678USD "
팔라스테이,10,,"516,977USD ",,"117,221USD "
선더마크,1,,"2,765,800USD ",,"4,860USD "
성파,2,,"799,350USD ",,"32,214USD "
프로마테우스,3,,"310,542USD ",,0
스페셜스톤,4,,"568,629,000JPY ","109,660,000원", 
신돌격,5,,"456,410USD ",,"61,726USD "
리치여장군,6,,"310,430USD ",,"36,058USD "
정안킹덤,7,,"1,165,760USD ",,"29,155USD "
문학쓰나미,1,,"1,146,340USD ",, 
대군제패,2,,"224,684USD ",,"179,408USD "
와일드파이트,3,,"1,154,000USD ",,"1,401USD "
개나리송,4,,"274,382USD ",,"38,831USD "
행운머니,5,,"621,498USD ",,0
블루마스타,6,,"1,046,381USD ",,"6,321USD "
백산군주,7,,"804,090USD ","170,290,000원", 
청운시대,9,,"396,254USD ",,"29,760USD "
골든다이얼,10,,"941,936USD ",,"70,613USD "
파크블레이드,1,,"1,503,825USD ",,"60,950USD "
장수나봄,2,,"583,280USD ","76,860,000원", 
레이디다이아,3,"817,614,000원", ,"101,880,000원", 
골드필드,4,,"339,984USD ",,"3,498USD "
새로운보배,5,,"315,015USD ",,"104,085USD "
아라시,7,,"416,475,000JPY ",,"184,605USD "
애니포스원,8,,"1,083,533USD ",,"105,150USD "
망치블레이드,9,,"205,617USD ","49,729,000원", 
이길래오,10,,"493,755USD ","149,983,000원", 
초동로즈,1,,"1,810,805USD ","74,582,000원", 
청수빅이어,2,,"3,084,278USD ","165,950,000원", 
메니스탠드,3,,"1,732,000USD ",,"94,795USD "
칸에이스,4,"451,805,000원", ,"44,749,000원", 
쿠카캣,5,,"1,503,825USD ",,"92,300AUD "
장산엑스,6,,"396,254USD ",,"2,575USD "
골든제이,7,,"274,382USD ",,0
페넘브라,8,,"1,810,805USD ","247,760,000원", 
서울매직,9,,"163,133USD ","107,712,000원", 
에이원킹,10,,"396,254USD ","18,126,000원", 
슈퍼위크앤드,11,,"1,732,000USD ","394,511,000원", 
티케이데이,1,,"1,236,820USD ","31,995,000원", 
럭키법전,2,,"1,810,805USD ",,"138,998USD "
제이엠파이터,3,,"1,236,820USD ","224,624,000원", 
슈퍼엑톤,4,,"1,503,825USD ","158,570,000원", 
비상등,5,,"1,810,805USD ",,"22,060USD "
원더풀캣,6,,"4,941,513USD ","61,464,000원", 
코리아기적,7,,"1,810,805USD ","88,798,000원", 
원더풀니키야,8,,"617,310USD ",,"27,200,000JPY "
졸리로저,9,,"493,755USD ",,"9,600AUD "
탱고타임,1,,"1,810,805USD ",,"2,800USD "
엘리트레이디,2,,"4,941,513USD ","213,750,000원", 
페더럴킹,3,,"172,705,000JPY ",,0JPY 
봄날의기억,4,,"51,475USD ",,"39,370USD "
피케이돌풍,5,"76,502,000원", ,"133,921,000원", 
달리는빛깔,6,,"1,732,000USD ",,"46,952USD "
새내초이스,7,,"274,382USD ",,"74,664USD "
강호제일,8,,"493,755USD ",,0
강한여전사,9,,"1,083,533USD ","154,395,000원", 
이터널메모리,10,,"210,553USD ",,0USD 
프라이빗맨,1,,"491,312USD ",,"1,200AUD "
블랙스피릿,3,,"1,570,380USD ","201,890,000원", 
라온프로센스,4,,"1,732,000USD ","241,966,000원", 
메니스피드,5,,"1,732,000USD ",,"1,605USD "
남쪽나라,6,,"494,895,000JPY ","188,186,000원", 
탑뮤직,7,"1,225,505,000원", ,"2,106,000원", 
승리플러스,8,,"804,090USD ","180,313,000원", 
아델의꿈,9,,"1,810,805USD ","25,763,000원", 
바람킹,10,,"315,015USD ","246,497,000원", 
클린업트리오,11,,"114,300USD ",,"84,205USD "
라온브라이언,1,,"12,891,734USD ",,"22,590,000JPY "
피스오브룰즈,2,,"3,084,278USD ","136,676,000원", 
레드선,3,,"1,503,825USD ","162,310,000원", 
캐럿시커,4,,"811,400USD ",,"9,135USD "
터프그레이트,5,,"480,001USD ","115,613,000원", 
호크의영광,6,,"1,610,604USD ",,0
천지기상,7,,"2,879,612USD ",,"52,746USD "
인천라이언,8,,"2,494,490USD ",,"2,174USD "
갤럽컬린,2,,"10,501,800USD ",,0
황표마,3,,"439,250USD ",,"82,440USD "
문학에카티,4,,"1,182,992USD ",,"66,924USD "
본능대로,5,,"500,435USD ",,"131,553USD "
아토,6,,"703,884USD ",,"89,028USD "
이글이글,7,,"33,840USD ",,"196,236USD "
인천스피드,8,,"742,640USD ",,"71,046USD "
파이널스타,9,,"4,383,200USD ",,0
샤크짱,10,,"1,154,000USD ",,0
미스터햇빛,11,,"742,640USD ",,0
티아고터치,2,,"2,358,270USD ",,0
혜성여왕,3,,"315,015USD ",,"80,303USD "
스피드벨,4,,"205,617USD ",,"16,285USD "
피렌체힐,5,,"493,755USD ","95,420,000원", 
골든스텝,6,,"70,961,000JPY ",,"327,311USD "
정상돌풍,7,,"274,382USD ",,"1,470USD "
루카스,8,,"1,103,496USD ",,"65,089CAD "
이겨주마,2,,"1,889,766USD ",,"24,815USD "
붕마드림,3,,"444,066USD ",,0
반야동행,4,,"1,083,533USD ",,"86,150USD "
황금비상,5,,"10,501,800USD ",,"89,509USD "
흥복드림,6,,"1,878,013USD ",,"34,898USD "
구름왕자,7,,"583,280USD ",,"46,426USD "
최강고수,8,,"719,130USD ",,"23,330USD "
컨저버티브,11,,"804,090USD ",,0
예상백승,12,,"396,254USD ","77,332,000원", 
상감마마,1,,"3,084,278USD ",,"61,640USD "
오피세븐,2,,"1,182,992USD ",,0
런닝스톰,3,,"1,810,805USD ",,"62,880USD "
청담제왕,4,,"3,090,101USD ",,0
장산파워,5,,"1,732,000USD ",,"160,835USD "
스피드조이,6,,"439,250USD ",,290USD 
다이샨,7,,"1,570,380USD ",,0
위너스글로리,8,,"210,553USD ",,"62,397USD "
피케이파티,9,,"583,280USD ",,"180,499USD "
미소왕자,10,,"1,037,810USD ",,"73,328USD "
문학조이,11,,"2,075,791USD ",,"61,766USD "
영광의비트,1,,"205,617USD ",,"135,577USD "
대싱카누,2,,"568,629,000JPY ","201,285,000원", 
클리어스토리,3,,"205,617USD ",,"121,476USD "
골드레벨,4,,"1,607,774USD ","174,538,000원", 
최강신기,5,,"493,755USD ","228,472,000원", 
크레이지퀸,6,,"274,382USD ",,0
백두거포,7,,"114,300USD ","175,248,000원", 
정성와일드,8,,"1,083,533USD ",,"62,422USD "
대군사랑,9,,"578,302,000JPY ","2,000,000원", 
화이트퀸,1,,"1,810,805USD ","51,200,000원", 
마이티럭,2,,"163,133USD ","64,454,000원", 
방탄마,3,"689,387,200원", ,"155,903,000원", 
프리마니케,4,,"928,000USD ",,"72,611USD "
세라여제,5,,"695,299USD ",,"22,108AUD "
원더풀마리아,6,,"416,475,000JPY ",,0
싱그러운타임,7,,"1,732,000USD ","306,736,000원", 
코일로,8,,"493,755USD ",,"39,200USD "
금스타,9,,"205,617USD ",,0
스마트파티,10,,"500,435USD ",,"216,734USD "
운명에폴링,11,,"695,299USD ",,"11,880USD "
세명스톰,1,"470,582,000원", ,"42,600,000원", 
미라클호프,2,,"3,084,278USD ",,"49,938USD "
라오진,3,,"804,090USD ",, 
어스피스,4,,"249,760USD ","25,364,000원", 
대천히어로,5,,"114,300USD ",,"137,366USD "
원더풀마린,6,,"1,810,805USD ",,0
퀸포스원,7,,"3,084,278USD ","3,100,000원", 
기븐러너,8,,"1,083,533USD ",,"131,070USD "
적토비마,9,,"491,312USD ","44,551,500원", 
천년의바람,10,,"274,382USD ","64,602,000원", 
큐피드여왕,11,,"114,300USD ",,"78,976USD "
대군파워,1,,"922,180USD ",,0AUD 
피케이군주,3,,"1,732,000USD ","113,667,000원", 
태풍아이즈,4,,"1,732,000USD ","113,299,000원", 
포르티오르,6,,"1,146,340USD ",,"155,977USD "
플라잉헤라,7,,"456,410USD ",,0
포제이케이,8,,"51,475USD ","19,254,000원", 
캐논슈터,9,,"922,180USD ",,"48,594USD "
슈마,10,,"51,475USD ","37,873,000원", 
만석지기,1,,"1,101,924USD ",,0
청담호랑이,2,,"1,570,380USD ",,600AUD 
그린파크,3,,"1,503,825USD ",,"14,496,000JPY "
선샤인특급,5,,"1,083,533USD ",,330USD 
킹포스원,6,,"1,083,533USD ",,"21,527USD "
한얼스타,7,,"155,757USD ",,"1,429USD "
동서제패,8,"76,502,000원", ,"81,727,000원", 
명진맨,2,,"3,728,170USD ",,"402,551USD "
몬스터퀸,3,,"278,406USD ",,0
정상만세,4,,"493,755USD ","92,266,000원", 
행복스타,5,,"456,410USD ","75,012,000원", 
남손,6,,"4,156,389USD ","85,842,000원", 
럭키봉화,7,,"315,015USD ","169,115,000원", 
더블골드,8,,"480,001USD ","192,055,000원", 
데블맨,9,,"7,712,841USD ",,"11,300,000JPY "
선오브선더,1,,"3,084,278USD ","38,433,000원", 
루미네스,2,"470,582,000원", ,"96,601,000원", 
모네플라잉,3,,"51,475USD ",,"1,200AUD "
영스톰,5,,"315,015USD ","151,850,000원", 
광마힐,6,,"396,254USD ",0원, 
리치마인,7,,"274,382USD ",,"52,689USD "
푸른질주,8,,"70,961,000JPY ",,"4,040,000JPY "
금아제니스,1,,"1,810,805USD ",,"43,100USD "
청담타이거,2,,"831,335USD ",,"108,960USD "
콜윈,3,,"633,076USD ",,"6,000USD "
관악함성,4,,"2,221,630USD ",,"36,328USD "
애비보컬스,5,,"188,432USD ",,222EUR 
위즈레이니어,6,,"2,533,910USD ",,"24,110USD "
햇빛나,7,,"185,417USD ","157,894,000원", 
웰빙스토리,9,,"480,001USD ","218,232,000원", 
불의고리,2,,"695,299USD ",,"16,285USD "
명품축제,4,,"172,705,000JPY ","420,130,000원", 
센타포바,5,,"339,984USD ","266,851,000원", 
골든게이트,6,,"456,410USD ","10,520,000원", 
초인마,7,,"1,732,000USD ","203,132,000원", 
피닉스선,8,,"804,090USD ",,"29,660USD "
탐라킹,9,,"3,545,062USD ","148,460,000원", 
심플라이프,10,,"274,382USD ",,"84,414USD "
샤크대장군,11,,"1,503,825USD ","420,130,000원", 
체인지메이커,2,,"289,325AUD ",,0AUD 
대군천하,3,,"1,878,013USD ",,"29,446USD "
조우니가,4,,"3,044,000USD ",,"20,996USD "
서울탱크,5,,"1,484,829USD ",,"48,420USD "
스타파워,6,,"493,755USD ","167,200,000원", 
패스트패션,7,,"51,475USD ",,"35,950USD "
스트롱샤인,9,,"360,010USD ",,0
미스터포춘,10,,"1,570,380USD ","119,331,000원", 
선제일격,11,,"872,610USD ",,0USD 
번개라이언,12,,"417,800USD ",,"46,240USD "
흑전사,1,,"3,645,383USD ",,"198,994USD "
토함산파워,2,,"163,133USD ","132,010,000원", 
베스트라인,3,,"205,617USD ","116,400,000원", 
볼드샤이닝,4,,"480,001USD ","305,585,000원", 
예스유캔,5,,"70,961,000JPY ","37,665,000원", 
특별스타,6,,"578,302,000JPY ","181,834,000원", 
킹메신저,7,,"480,001USD ",0원, 
아멘다,8,,"1,732,000USD ","58,562,500원", 
거센마풍,9,,"1,810,805USD ",,"2,750USD "
흥오름,10,,"1,732,000USD ",,"131,871USD "
빅이어,11,,"493,755USD ",, 
엘리트퀸,12,"1,225,505,000원", ,"210,222,000원", 
하늘공원,1,,"339,984USD ",,"2,720USD "
유롱플라잉,2,,"51,475USD ",,"94,885USD "
달리는에이스,3,,"568,086USD ","145,591,000원", 
골든앵글,4,,"3,084,278USD ","6,776,000원", 
에이스윈,5,,"3,000USD ","1,500,000원", 
백스핀,6,,"568,086USD ",,"79,418USD "
재능충만,7,,"51,475USD ","109,680,000원", 
정동사랑,8,,"1,083,533USD ","127,238,000원", 
로열축제,9,,"51,475USD ",,0
플라잉주노,10,,"568,629,000JPY ",,"18,500AUD "
섬싱웰메이드,11,,"1,083,533USD ",,0
우승마차,1,,"371,623,500JPY ","80,767,000원", 
삼애질주,2,,"493,755USD ",,"24,008USD "
골드히어로,3,,"254,672USD ","262,249,000원", 
성파장,4,,"695,299USD ","177,011,000원", 
배다리서미트,5,,"494,895,000JPY ","145,767,000원", 
골든스파크,6,,"274,382USD ",,"34,280USD "
샌드루이스,7,,"2,879,612USD ",,0
지오바나,8,,"51,475USD ","9,426,000원", 
머니캣,9,,"568,086USD ","87,410,000원", 
지금이최강,10,"1,861,967,000원", ,,"7,200USD "
골드캡틴,11,,"456,410USD ","77,602,000원", 
케이엔로드,1,,"583,280USD ",,"39,200USD "
레인케이,2,"76,502,000원", ,"24,600,000원", 
정성스타,3,,"51,475USD ",,"12,567USD "
러피언파크,4,,"1,503,825USD ",0원, 
일보등천,5,,"633,076USD ",,"4,542USD "
자이언트걸,6,,"1,083,533USD ",,330USD 
머니라인,7,,"1,570,380USD ","72,204,000원", 
애니선,8,,"1,083,533USD ","202,802,000원", 
차세대강자,9,,"1,083,533USD ",,"216,315USD "
단비와호수,10,,"1,236,820USD ","65,461,000원", 
과천의별,1,,"568,629,000JPY ","55,652,000원", 
위너템플러,2,,"393,200USD ",,"27,200,000JPY "
황금스타,3,,"254,672USD ","112,068,000원", 
페더럴퀸,4,,"172,705,000JPY ","25,905,600원", 
리슨트드림,5,,"51,475USD ","95,797,000원", 
트루루비,6,,"205,617USD ","250,660,000원", 
기로,7,,"396,254USD ","81,118,000원", 
호남대로,8,"728,298,000원", ,"137,420,000원", 
추석달,9,,"3,084,278USD ","126,080,000원", 
골드파크,10,,"2,054,434USD ",,"46,460USD "
스페셜버드,11,,"695,299USD ","126,302,000원", 
명진플라이,1,,"1,031,596USD ",,"41,986USD "
무비쿠스,2,,"33,840USD ",,"4,680USD "
브리가디어제너럴,3,,"557,300USD ",,"133,879USD "
더검푸,4,,"529,566USD ",,"183,600USD "
문학보스,5,,"748,000USD ",,"29,982USD "
홍시,6,,"1,606,000USD ",, 
마이티수,7,,"1,889,766USD ",,"37,700USD "
가야영봉,8,,"2,274,073USD ",,"5,850AUD "
엘리트레오,9,,"1,878,013USD ",, 
패트리어츠테일,10,,"1,182,992USD ",,"16,489USD "
디케이마루,11,,"3,090,101USD ",,125USD 
야호원더풀캣,12,,"1,498,525SAR ",, 
챔프케이,1,,"114,300USD ","67,895,000원", 
블레싱로드,2,,"339,984USD ","167,070,000원", 
인디레이디,4,,"2,612,516USD ",,"129,424USD "
로드우먼,5,,"339,984USD ",,"30,071USD "
달리는웅지,6,,"133,833USD ",,"66,678USD "
공주사랑,7,,"114,300USD ",, 
내길의빛,8,,"163,133USD ",,761USD 
맹산히어로,9,,"601,560USD ",,"12,880USD "
온누리알바,10,,"835,142USD ",,0NZD 
최고비상,11,,"617,310USD ",,"31,420,000JPY "
라온패트릭,1,,"85,630,000JPY ",0원, 
한센바로우즈,2,,"1,810,805USD ",,0
러브레이스,3,,"1,732,000USD ",,0
초원마루,4,,"493,755USD ","104,724,000원", 
마샤,5,,"1,503,825USD ",,"118,880USD "
브레인스피더,6,,"804,090USD ",0원, 
인디언에코,7,"261,878,000원", ,"84,670,000원", 
정상드림,8,,"804,090USD ",,0
엠제이파티,9,,"2,075,791USD ",,"32,063USD "
속보옹주,10,,"568,086USD ",,"101,898USD "
브랜던,1,,"1,503,825USD ",, 
케미블루,2,,"1,779,012USD ",,"23,200USD "
돌격앞으로,3,,"32,400USD ",,750USD 
에모리삭스,4,,"405,730USD ",,612USD 
베스트에버,5,,"568,086USD ",,"31,270USD "
카일라스댄서,6,,"725,296USD ",,"3,446USD "
대승비법,7,,"3,545,062USD ","80,767,000원", 
골드블루매직,8,,"710,480USD ",,"8,740AUD "
에버더챔프,9,,"221,265USD ",,"218,237USD "
나스카의별,10,,0AUD ,,"89,750USD "
그레이트리,11,,"687,967USD ",,0
큰바다,12,,"1,732,000USD ","98,230,000원", 
클리어검,1,,"205,617USD ","143,647,000원", 
보드람,2,,"339,984USD ",,"24,520USD "
기동대장,3,,"416,475,000JPY ",,"1,870USD "
점보캡틴,4,,"3,084,278USD ","100,842,000원", 
엘란,5,,"1,503,825USD ",,"3,310USD "
러블리누트,6,,"1,732,000USD ","716,613,000원","1,780USD "
승리사랑,7,,"3,187,232USD ",,"232,267USD "
사려니윈,8,,"239,229USD ",,"3,650USD "
킹플러키,9,,"1,610,604USD ",,"125,574USD "
삼삼빅토리,1,,"385,807USD ",,"36,622USD "
환상스타,2,,"623,000USD ",,"11,050EUR "
킬리의제왕,3,,"941,936USD ",,"48,513USD "
인천치프,4,,"1,634,200USD ",,"244,510USD "
황금들판,5,,"225,941USD ",, 
이천쌀,6,,"107,515USD ",,"148,315USD "
주먹도끼,7,,"1,007,708USD ",,"1,605USD "
인천챔프,8,,"1,052,520USD ",,0
사이먼퀸,1,,"274,382USD ","226,930,000원", 
킹오브룰즈,2,,"3,084,278USD ","306,052,000원", 
다다비,3,,"1,146,340USD ",,"137,513USD "
바람의소리,4,,"1,182,992USD ",,0
파레시아,5,,"416,475,000JPY ","44,762,000원", 
하늘에이스,6,,"3,545,062USD ",,0AUD 
스마트드림,7,,"339,984USD ","135,025,000원", 
논스톱행진,8,,"51,475USD ",,"24,620USD "
새내빅토리,9,,"51,475USD ",,0
남원퀸,10,,"907,470USD ","116,218,000원",0
오피엠제이,11,,"51,475USD ",,"137,917USD "
원더풀트루스,1,,"416,475,000JPY ","296,100,000원", 
컬러풀조이,2,,"51,475USD ",,"10,265USD "
비욘드오버,3,,"1,732,000USD ",,0
위너스피릿,4,,"456,410USD ",,"112,985USD "
이스크라,5,,"568,629,000JPY ","16,946,000원", 
스마티아델,6,,"1,810,805USD ","72,204,000원", 
글로벌천하,7,,"339,984USD ","174,214,000원", 
공산,8,,"416,475,000JPY ","69,300,000원", 
라이징삭스,9,,"274,382USD ",,"38,200USD "
동작,10,,"1,810,805USD ",,"176,400USD "
와와여장부,11,,"315,015USD ",,0
탑매직마스터,1,,"3,614,500USD ",,0AUD 
블루파이어,2,,"493,755USD ","125,820,000원", 
초인볼트,3,,"1,732,000USD ",,0
패션피플,5,,"583,280USD ",,"127,465USD "
퀀텀점프,6,,"978,960USD ",,"142,429USD "
프리티오드보이,7,,"148,126USD ",, 
사이먼리치,8,,"274,382USD ",,0
로열훼이버,10,,"118,380USD ",,"4,929USD "
돌아온날리,2,,"301,500USD ",,244USD 
소중한만남,3,,"626,671USD ",,"4,134USD "
말리부진저,5,,"33,840USD ",,"99,679USD "
대박행진,6,,"439,250USD ",,"143,791USD "
킹즈워리어,7,,"239,229USD ",,"57,295USD "
삼육으뜸,9,,"2,746,060USD ",,0
막지마,11,,"268,125USD ",,"28,989USD "
울트라펀치,1,,"742,640USD ",,420USD 
삼성동행,2,,"623,000USD ",,"45,723USD "
탭패션드,3,,"583,280USD ",,"51,158USD "
금아래피드,4,,"203,050AUD ",,"107,720AUD "
그레이삭스,5,,"638,822USD ",,"52,009USD "
흥바람,6,,"456,410USD ","126,080,000원", 
야호스트롱캣,7,,"339,984USD ","46,880,000원", 
브이칸,8,,"185,213USD ",,0
지오스타,9,,"6,169,800USD ",,468USD 
프리마퀸,10,,"456,410USD ",,"37,768USD "
바람속으로,11,,"1,007,708USD ",,"54,660USD "
우리의행복,12,,"568,086USD ","37,184,000원", 
제이콥,1,,"416,475,000JPY ",,"500,000JPY "
초인강자,2,,"1,732,000USD ",,"117,578USD "
플라잉조이,3,,"315,015USD ",,"281,986USD "
메인레이서,4,,"1,570,380USD ",,"126,242USD "
페더라이트,5,,"205,617USD ","186,043,000원", 
명마질주,6,,"172,705,000JPY ",0원, 
천록,7,,"339,984USD ","2,106,000원", 
사려니킹,9,,"568,086USD ","80,558,000원", 
풀문오션,10,,"1,083,533USD ","13,617,000원", 
