,자식마명,부마원,부마달러,모마원,모마달러
580,['머니신'],,"1,083,533USD ","90,750,000원", 
581,['나나랜드'],,"1,103,496USD ","63,384,000원", 
582,['라스트펀치'],,"1,779,012USD ","91,000,000원", 
583,['케이엔올드퀸'],,"583,280USD ",,"366,671USD "
584,['퀸의질주'],,"1,732,000USD ",,"198,994USD "
585,['매직모카신'],,"114,300USD ","1,728,000원", 
586,['돌배'],,"583,280USD ","91,740,000원", 
587,['밀리언퀸'],,"832,744USD ",,400USD 
588,['시리우스알파'],,"2,520,220USD ",,"70,155USD "
589,['작두콩'],,"583,280USD ","168,760,000원", 
590,['블러드문'],"2,426,805,000원", ,"485,085,000원", 
591,['행복여왕'],,"416,475,000JPY ",,0 
592,['콩코드퀸'],,"669,260USD ","66,230,000원", 
593,['은혜가문'],"76,502,000원", ,"128,650,000원", 
594,['마이티굿'],,"2,983,350USD ",,"161,471USD "
595,['아스펜로스'],,"185,213USD ",,0 
596,['스타로드'],,"710,480USD ",,"74,175USD "
597,['크레이지콘티'],,"1,031,596USD ",,"65,031USD "
598,['베스트토치'],,"669,260USD ","116,400,000원", 
599,['대물'],,"1,732,000USD ",,0 
600,['비플라워'],"2,426,805,000원", ,,0 
601,['피엔에스얀'],,"1,732,000USD ",,"189,416USD "
602,['디스코보이'],,"1,103,496USD ",,"21,858USD "
603,['굿승리'],,"254,672USD ","333,709,000원", 
604,['해피뉴마'],,"3,084,278USD ","67,470,000원", 
605,['빈체로킹'],,"443,800USD ",,"55,600USD "
606,['콩코드스파크'],,"669,260USD ","119,350,000원", 
607,['돈마'],,"205,617USD ",,"416,041USD "
608,['마루마'],,"1,732,000USD ",,"40,860USD "
609,['체인저'],,"568,086USD ","110,376,000원", 
610,['컴플리트조이'],,"339,984USD ","140,576,000원", 
611,['고져스서브'],,"1,146,340USD ",,"38,200USD "
612,['해제반도'],,"416,475,000JPY ",,"20,650USD "
613,['문학카이로'],,"562,000USD ",,"131,160USD "
614,['제다이포스'],,"2,691,135USD ",,"18,300USD "
615,['퀴클리런'],,"1,103,496USD ",,0 
616,['우승바람'],,"1,732,000USD ",,"25,000JPY "
617,['하이러너'],,"1,046,381USD ",,"52,972USD "
618,['케이엔포스트'],,"1,732,000USD ",,"70,494USD "
619,['티즈러너'],,"254,672USD ","231,666,000원", 
620,['드림여왕'],,"7,712,841USD ","158,865,000원", 
621,['문학다이얼'],,"941,936USD ",,"54,176USD "
622,['시티참'],,"1,103,496USD ","115,705,000원", 
623,['큐피드벨'],,"1,103,496USD ",,"20,583USD "
624,['스피어골드'],,"587,586USD ","486,530,000원", 
625,['댓츠마이걸'],,"1,103,496USD ",,"3,535USD "
626,['위대한한마'],,"1,810,805USD ","132,220,000원", 
627,['쇼미더골드'],,"1,810,805USD ",,0 
628,['펀크레이지'],,"1,037,810USD ",,"38,840USD "
629,['큐피드웨이'],,"1,103,496USD ",,"42,036USD "
630,['슈퍼다이아'],,"583,280USD ",,"33,455USD "
631,['파워플랜'],,"190,838USD ",,"47,220USD "
632,['젠틀룰즈'],,"3,084,278USD ",,"13,640AUD "
633,['원평버드'],,"905,434USD ",,"84,117USD "
634,['런던명가'],,"1,103,496USD ","125,768,000원", 
635,['티즈드림'],,"1,359,274USD ",,"124,453USD "
636,['케이엔스케치'],,"51,475USD ","73,550,000원", 
637,['스피어퀸'],,"443,800USD ","62,500,000원", 
638,['경부대검'],"2,426,805,000원", ,"107,912,000원", 
639,['동방사기'],,"669,260USD ",,0 
640,['매직글로리'],"824,725,000원", ,"123,690,000원", 
641,['쌍옥루'],,"114,300USD ","88,798,000원", 
642,['나올세상'],,"1,810,805USD ",,"32,380USD "
643,['베스트팔콘'],,"1,146,340USD ","43,470,000원", 
644,['원평코드'],,"1,732,000USD ",,"108,610USD "
645,['퍼플월드'],,"254,672USD ",,0 
646,['챈슬러'],,"254,672USD ",,"31,605USD "
647,['에코존'],,"3,084,278USD ","252,510,000원", 
648,['플라이스타'],,"1,503,825USD ","535,409,000원", 
649,['함평나비'],,"1,810,805USD ",,"2,341USD "
650,['송암베스트'],,"1,359,274USD ",,"53,990USD "
651,['메니에이스'],,"1,732,000USD ","198,100,000원", 
652,['머스탱참'],,"1,037,810USD ","325,130,000원", 
653,['비밀상자'],,"1,037,810USD ",,"1,560USD "
654,['피엔에스싱'],,"1,732,000USD ",,"328,144USD "
655,['에클레어더원'],,"51,475USD ","36,040,000원", 
656,['엠제이타임'],,"587,586USD ","396,150,000원", 
657,['터프여제'],,"1,103,496USD ",,"21,790CAD "
658,['송암누리'],,"832,744USD ","115,889,000원", 
659,['월드데이'],,"1,503,825USD ","174,395,000원", 
660,['천블릿'],,"443,800USD ","74,600,000원", 
661,['천적캣'],,"1,037,810USD ",,"222,769USD "
662,['논스톱데릭'],,"1,779,012USD ",,0 
663,['퍼플스톰'],,"1,146,340USD ","81,895,000원", 
664,['블랙버미'],,"1,037,810USD ","269,786,000원", 
665,['타이거존'],,"1,037,810USD ","99,358,000원", 
666,['푸른나래'],,"1,810,805USD ","231,048,000원", 
667,['리저브드존'],,"996,330USD ",,"76,005USD "
668,['크레이지산타'],,"1,236,820USD ","105,000,000원", 
669,['하늘아'],,"3,084,278USD ",,"45,560USD "
670,['피엔에스안'],,"114,300USD ","177,011,000원", 
671,['아치게이트'],,"832,744USD ","227,736,000원", 
672,['컴플리트웨펀'],,"1,810,805USD ","97,000,000원", 
673,['정문질주'],,"1,779,012USD ","22,150,000원", 
674,['상상질주'],,"1,810,805USD ","107,936,000원", 
675,['탱자'],,"1,810,805USD ","271,330,000원", 
676,['위즈업'],,"1,732,000USD ",,0 
677,['그레이트매직'],,"274,382USD ","12,600,000원", 
678,['팀임팩트'],,"1,810,805USD ","368,522,000원", 
679,['송암아치걸'],,"832,744USD ",,"79,305USD "
680,['엔비전사'],,"1,103,496USD ",,"51,417USD "
681,['나올킹'],,"1,037,810USD ",,"52,009USD "
682,['매직신화'],,"3,000USD ","166,160,000원", 
683,['거센강자'],,"1,103,496USD ",,"315,565USD "
684,['신한특송'],,"1,810,805USD ","68,944,000원", 
685,['태산아치'],,"832,744USD ","173,820,000원", 
686,['미스클레버'],"2,426,805,000원", ,,"13,000USD "
687,['그린드래건'],,"832,744USD ","558,060,000원", 
688,['마이티앤'],,"1,083,533USD ","138,895,000원", 
689,['어나더레벨'],,"587,586USD ","398,130,000원", 
690,['글로벌캐슬'],,"1,037,810USD ",,"26,460USD "
691,['새벽밴드'],"1,087,822,000원", ,0원, 
692,['내길의별'],,"172,705,000JPY ","16,800,000원", 
693,['베를린스타'],,"443,800USD ",,"2,474USD "
694,['스타레이서'],,"835,140USD ","126,065,000원", 
695,['함평에이스'],,"254,672USD ","74,582,000원", 
696,['티즈석세스'],,"1,359,274USD ",,"129,424USD "
697,['멋진아치'],,"832,744USD ","140,481,000원", 
698,['동트자웨이'],,"1,359,274USD ","355,625,000원", 
