,자식마명,부마원,부마달러,모마원,모마달러
0,['강서으뜸'],,"1,810,805USD ",,"170,121USD "
1,['대명솔라'],,"1,503,825USD ","61,468,000원", 
2,['패스트패션'],,"51,475USD ",,"35,950USD "
3,['스트롱캡틴'],,"493,755USD ",,975AUD 
4,['본위너'],,"1,283,145USD ",,"31,270USD "
5,['흰별'],,"568,086USD ",,"2,340USD "
6,['글로벌축제'],,"1,570,380USD ","95,190,000원", 
7,['햇살왕자'],,"3,187,232USD ","74,648,000원", 
8,['위드프렌드십'],,"832,140USD ",,"109,202USD "
9,['스페셜위너'],,"568,629,000JPY ","17,025,000원", 
10,['탐라킹'],,"3,545,062USD ","148,460,000원", 
11,['아멘다'],,"1,732,000USD ","58,562,500원", 
12,['센타포바'],,"339,984USD ","266,851,000원", 
13,['예스유캔'],,"70,961,000JPY ","37,665,000원", 
14,['메니블레이드'],,"1,732,000USD ",,"62,397USD "
15,['특별스타'],,"578,302,000JPY ","181,834,000원", 
16,['볼드샤이닝'],,"480,001USD ","305,585,000원", 
17,['로드킹'],,"1,732,000USD ",,"33,710USD "
18,['금비랑'],,"1,732,000USD ","441,102,000원", 
19,['문학조이'],,"2,075,791USD ",,"61,766USD "
20,['글로벌라인'],,"1,570,380USD ",,0 
21,['히비키'],,"1,732,000USD ",,0 
22,['초인마'],,"1,732,000USD ","203,132,000원", 
23,['용총'],,"396,254USD ",,"61,125USD "
24,['난초의고향'],,"454,630USD ",,"7,800USD "
25,['야호선샤인'],,"1,610,604USD ",,"61,859USD "
26,['황금소리'],,"583,280USD ",,"49,036USD "
27,['불멸의제왕'],,"251,090USD ",,"77,670USD "
28,['대쥬신'],,"1,716,950USD ",,"111,226USD "
29,['위대한전사'],,"879,768USD ",,"4,595USD "
30,['엉클오'],,"811,760USD ",,623USD 
31,['초코캔디'],,"1,146,340USD ",,780USD 
32,['문학쓰나미'],,"1,146,340USD ",, 
33,['오섬스마트'],,"337,376USD ",,"106,340USD "
34,['돌아온날리'],,"301,500USD ",,244USD 
35,['가온퀸'],,"1,606,000USD ",,"189,055USD "
36,['남촌아티스트'],,"1,319,481USD ",,"79,860USD "
37,['탭패션드'],,"583,280USD ",,"51,158USD "
38,['사려니윈'],,"239,229USD ",,"3,650USD "
39,['미스터포춘'],,"1,570,380USD ","119,331,000원", 
40,['우승하우스'],,"500,435USD ",,"192,287USD "
41,['해피보이'],,"1,694,180USD ",,"41,330USD "
42,['골드파티'],,"794,855USD ",,"53,849USD "
43,['금아매저스티'],,"1,810,805USD ",,0 
44,['큐피드초이스'],,"1,694,180USD ",,760USD 
45,['안양레오파드'],,"4,374,590USD ",,"1,715USD "
46,['과천공주'],,"687,967USD ",,"72,057USD "
47,['완승무패'],,"804,090USD ","8,200,000원", 
48,['골드필드'],,"339,984USD ",,"3,498USD "
49,['백스핀'],,"568,086USD ",,"79,418USD "
50,['드림캠프'],,"339,984USD ","122,223,000원", 
51,['더캐스팅'],,"494,895,000JPY ",,"62,774USD "
52,['애니포스원'],,"1,083,533USD ",,"105,150USD "
53,['베스트버디'],,"371,623,500JPY ","102,100,000원", 
54,['장산플라이'],,"51,475USD ",,"12,567USD "
55,['레드블레이드'],,"1,732,000USD ",,"49,173USD "
56,['페더럴캣'],,"172,705,000JPY ",,"10,948,000JPY "
57,['클린업트리오'],,"114,300USD ",,"84,205USD "
58,['플라워로드'],,"491,312USD ",,"22,580USD "
59,['비앙카'],,"1,810,805USD ",,"1,680USD "
60,['호스캡틴'],,"1,810,805USD ",,0 
61,['투어브라더'],,"163,133USD ","112,060,000원", 
62,['챔피언라이트'],,"1,570,380USD ",0원, 
63,['최강러너'],,"254,672USD ",,0 
64,['프라이빗맨'],,"491,312USD ",,"1,200AUD "
65,['금빛장인'],,"1,732,000USD ","148,346,000원", 
66,['끌어주는손'],,"249,760USD ","78,614,000원", 
67,['사사'],,"339,984USD ","21,156,000원","16,030USD "
68,['정상만세'],,"493,755USD ","92,266,000원", 
69,['로열브론즈'],,"396,254USD ",,0 
70,['바이칼전사'],,"456,410USD ","21,156,000원","16,030USD "
71,['피케이타임'],,"617,310USD ","29,446,000원", 
72,['블루파이어'],,"493,755USD ","125,820,000원", 
73,['그린와이'],,"491,312USD ","137,120,000원", 
74,['속보태자'],,"568,086USD ","113,835,000원", 
75,['카이젠포스'],,"1,037,810USD ",,"6,110USD "
76,['사바킹덤'],,"114,300USD ",,"3,550NZD "
77,['화기'],,"3,614,500USD ",,"55,960USD "
78,['크레이지위키'],,"572,927USD ",,0AUD 
79,['고고비'],,"1,146,340USD ",,"40,820USD "
80,['흥복드림'],,"1,878,013USD ",,"34,898USD "
81,['블루스파이더'],,0AUD ,, 
82,['굿센스'],,"4,383,200USD ",,"34,970USD "
83,['질풍강자'],"728,298,000원", ,"96,320,000원", 
84,['피닉스울프'],,"1,103,050CAD ",,"1,458,198USD "
85,['머스탱런'],,"3,645,383USD ",,500USD 
86,['굿카이로'],,"562,000USD ",,"32,192USD "
87,['위대한파이터'],,"1,005,413USD ",,"14,600USD "
88,['파티큘러퀸'],,"3,924,648USD ",,"74,620USD "
89,['럭키봉성'],,"1,810,805USD ",,"14,507USD "
90,['안목항'],,"396,254USD ","82,258,000원", 
91,['타이밍굿'],,"3,084,278USD ","45,956,000원", 
92,['셋더페이스'],,"172,705,000JPY ",,0 
93,['위너크라운'],,"493,755USD ",,"8,014USD "
94,['조이오브킹'],,"172,705,000JPY ",,"9,480USD "
95,['배다리서미트'],,"494,895,000JPY ","145,767,000원", 
96,['메니타운십'],,"1,732,000USD ",,0 
97,['큐피드여왕'],,"114,300USD ",,"78,976USD "
98,['원더풀댄서'],,"617,310USD ",, 
99,['정조의꿈'],,"114,300USD ",,880USD 
