자식마명,부마원,부마달러,모마원,모마달러
코일로,,"493,755USD ",,"39,200USD "
팝스트리트,,"158,713AUD ","58,313,000원", 
마패봉,,"1,503,825USD ",, 
하늘에이스,,"3,545,062USD ",,0AUD 
한센바로우즈,,"1,810,805USD ",,0
마초히메,,"493,755USD ",,"8,757USD "
루킹굿,,"172,705,000JPY ",,"55,565USD "
안젤라,,"210,553USD ","258,436,000원", 
플라잉헤라,,"456,410USD ",,0
흑전사,,"3,645,383USD ",,"198,994USD "
실버라이언,,"4,374,590USD ",,"181,694USD "
촘니아,,"3,084,278USD ",,"54,972USD "
상하이팡팡,,"404,492USD ",,0
포제이케이,,"51,475USD ","19,254,000원", 
큐피드강자,,"493,755USD ","93,704,000원", 
마이챔프,,"565,716USD ",,240USD 
매직로드,,"804,090USD ","312,175,000원", 
미르스톰,,"456,410USD ",,0
톱브레인,,"1,606,000USD ",,"77,252USD "
청수여제,,"385,807USD ",,0
알리바바마린,,"1,026,229USD ",,"17,225USD "
패션플레이어,,"583,280USD ",,"76,369USD "
엠제이파티,,"2,075,791USD ",,"32,063USD "
베스트이펙트,,"1,083,533USD ",,"26,546USD "
나스카의별,,0AUD ,,"89,750USD "
탑매직마스터,,"3,614,500USD ",,0AUD 
천운동행,,"1,103,496USD ",,"21,243USD "
클리어검,,"205,617USD ","143,647,000원", 
퀸오브캠프,,"339,984USD ",,"104,746USD "
인디언에코,"261,878,000원", ,"84,670,000원", 
가즈아,,"1,083,533USD ","83,456,000원", 
로열조이,,"1,810,805USD ","230,053,000원", 
거북이만세,,"315,015USD ","94,103,000원", 
대성루비,,"315,015USD ","26,945,000원", 
스마티블루,,"1,570,380USD ",,0
룰브레이커,,"416,475,000JPY ",,"250,000JPY "
원더풀챔피언,,"767,288USD ",,"20,790USD "
블루울프,,"1,154,000USD ",,"23,860USD "
나스카의태양,,"1,606,000USD ",,0AUD 
킹즈워리어,,"239,229USD ",,"57,295USD "
파크삭스,,"1,694,180USD ",,"47,717USD "
제주의하늘,,"163,133USD ","208,609,000원", 
뉴와이파이,,"315,015USD ",,0
럭키루키,,"480,001USD ",,880USD 
티즈플랜,,"6,427,830USD ",,"34,690USD "
강토마,,"416,475,000JPY ","206,263,000원", 
나스카프린스,,"835,142USD ",,"103,642USD "
울트라로켓,"261,878,000원", ,"54,978,000원", 
위너골드,,"424,460USD ",,"4,900USD "
삼성불패,,"2,533,910USD ",,"64,840USD "
이스트팔로스,,"1,146,340USD ",,"250,645USD "
선더라이트,,"1,255,660USD ",,"14,834USD "
청수여걸,,"224,684USD ",,"69,400USD "
오피세븐,,"1,182,992USD ",,0
야호스카이캣,,"3,084,278USD ",,"36,280USD "
와일드선더,,"835,142USD ","30,564,000원","35,080USD "
능력시대,,"114,300USD ","86,310,000원", 
프리모,,"3,545,062USD ","697,416,000원", 
와일드드래곤,,"804,090USD ",,"16,290USD "
아르고멜로디,,"193,766USD ",,0
구름왕자,,"583,280USD ",,"46,426USD "
웰빙조이,,"888,500AUD ","19,584,000원", 
해후,,"3,084,278USD ","45,600,000원", 
큰바다,,"1,732,000USD ","98,230,000원", 
사이버,,"114,300USD ","235,154,000원", 
주링허우,,"804,090USD ","82,078,000원", 
솔파랑,,"456,410USD ",,"1,100USD "
일여하여,,"3,187,232USD ","118,005,000원", 
미스터히어로,,"568,629,000JPY ","272,330,000원", 
대군파워,,"922,180USD ",,0AUD 
뇌성벽력,,"493,755USD ",, 
한센블레이드,,"1,810,805USD ",,0
이길래오,,"493,755USD ","149,983,000원", 
더쎈왕자,,"493,755USD ","163,520,000원", 
위너세이,,"1,124,820USD ",,"40,484,000JPY "
검향,,"205,617USD ","208,609,000원", 
선샤인레이디,,"3,122,708USD ",,"16,000USD "
퀸오브골드,,"172,705,000JPY ",0원, 
라온한니발,,"274,382USD ","29,100,000원", 
마하선더,,"114,300USD ","223,745,000원", 
실버드래곤,,"1,810,805USD ","235,154,000원", 
대군옥,,"494,895,000JPY ",,0
야호화이트캣,,"1,810,805USD ","159,225,000원", 
로드우먼,,"339,984USD ",,"30,071USD "
원더풀힐스,,"416,475,000JPY ",,"1,878,000JPY "
리커버리탑,,"568,629,000JPY ",,400AUD 
아이캔플라이,,"114,300USD ","19,476,000원", 
샤이닝메모리,,"133,833USD ","262,056,000원", 
스트롱벌처,,"416,475,000JPY ",,"251,959USD "
호남대로,"728,298,000원", ,"137,420,000원", 
인천라이언,,"2,494,490USD ",,"2,174USD "
블레싱로드,,"339,984USD ","167,070,000원", 
대한일품,,"1,810,805USD ",,"40,470USD "
우라칸,,"371,623,500JPY ",,0
맘껏달려,,"163,133USD ","64,454,000원", 
지젤괴물,,"1,706,350USD ",,"200,830USD "
우리,,"1,064,727USD ",,"47,602USD "
과천장사,,"396,254USD ",,250USD 
아델의꿈,,"1,810,805USD ","25,763,000원", 
검빛강자,,"3,545,062USD ",,"8,780USD "
정안킹덤,,"1,165,760USD ",,"29,155USD "
성파,,"799,350USD ",,"32,214USD "
화강,,"301,500USD ",,"144,945USD "
퍼스트선더,,"114,300USD ","47,730,000원", 
달려라속보,,"568,086USD ",, 
웅담포,,"1,570,380USD ","135,737,000원", 
라이징피스,,"3,084,278USD ","34,620,000원", 
코인블레이드,,"1,503,825USD ","3,000,000원", 
최강신기,,"493,755USD ","228,472,000원", 
마이티럭,,"163,133USD ","64,454,000원", 
세명공주,,"831,800USD ",,0
정성와일드,,"1,083,533USD ",,"62,422USD "
금로열,,"493,755USD ","41,484,000원", 
독도야,,"51,475USD ",,"20,650USD "
싱그러운타임,,"1,732,000USD ","306,736,000원", 
원더풀헤네시,,"617,310USD ",,220USD 
함양산삼,,"1,732,000USD ",,"41,280USD "
다이아파크,"1,861,967,000원", ,"28,750,000원", 
아마로네,,"3,545,062USD ","190,561,000원", 
최강스타,,"1,380,200USD ",,600USD 
대천에이스,,"396,254USD ",,"77,581USD "
소비뇽,,"51,475USD ",0원,0
대박행진,,"439,250USD ",,"143,791USD "
그레이트리,,"687,967USD ",,0
새로운미션,,"1,284,949USD ",,0
서울탱크,,"1,484,829USD ",,"48,420USD "
롱히터,,"2,283,402USD ",,"14,400USD "
선제일격,,"872,610USD ",,0USD 
상감마마,,"3,084,278USD ",,"61,640USD "
브라이트캣,,"424,460USD ",,"12,873USD "
다이샨,,"1,570,380USD ",,0
미래영웅,,"1,529,325USD ",,0
한양누리,,"51,475USD ",,"109,522USD "
빅토리메이,,"617,310USD ",,"145,138USD "
티즈로즈,,"254,672USD ","668,010,000원", 
호크행진곡,,"1,610,604USD ",, 
골든앵글,,"3,084,278USD ","6,776,000원", 
도로라,,"1,083,533USD ","93,704,000원", 
추석달,,"3,084,278USD ","126,080,000원", 
페넘브라,,"1,810,805USD ","247,760,000원", 
유니언승리,,"1,798,800USD ",,"59,611USD "
라이징삭스,,"274,382USD ",,"38,200USD "
승자의미소,,"315,015USD ","46,464,000원", 
모네플라잉,,"51,475USD ",,"1,200AUD "
새로운캡틴,,"480,001USD ",,"17,087NZD "
대성하늘,,"3,084,278USD ","118,005,000원", 
문학위너,,"251,090USD ",,"21,489USD "
대군의꿈,,"1,878,013USD ",,"212,311USD "
청담지니,,"1,319,481USD ",,0
도끼블레이드,,"804,090USD ","119,480,000원", 
베스트라인,,"205,617USD ","116,400,000원", 
오케이연답,,"260,300USD ",,"38,520USD "
허니버터니노,,"4,156,389USD ",,"1,000,000JPY "
현무,,"804,090USD ","116,542,000원", 
이글아이,,"114,300USD ",,"16,415USD "
최강공주,,"695,299USD ","115,231,000원", 
플로리다파워,,"3,307,278USD ",,"154,756USD "
해내마,,"254,750USD ",,0
백상,,"456,410USD ","130,190,000원", 
장산엑스,,"396,254USD ",,"2,575USD "
캡틴베스트,,"416,475,000JPY ","122,395,000원", 
부바리안,,"494,895,000JPY ","274,440,000원", 
섬싱노바디노,,"274,382USD ",0원,0
바람을그리다,"471,819,000원", ,,"103,630USD "
퍼펙트삭스,,"274,382USD ",,"24,008USD "
위닝블레이드,,"1,083,533USD ","64,155,000원", 
대디글로리,,"1,334,300USD ",,"5,939USD "
그린다르크,,"1,083,533USD ",,"36,223USD "
메디치글로리,,"794,855USD ",,"70,155USD "
스프링백,,"794,855USD ",, 
미소왕자,,"1,037,810USD ",,"73,328USD "
찬마,,"1,732,000USD ",,"39,894CAD "
장산제국,,"1,503,825USD ",,"3,065,000JPY "
아이비에스퀸,,"479,803USD ",,"120,585USD "
탑뮤직,"1,225,505,000원", ,"2,106,000원", 
베프케이,,"804,090USD ","1,200,000원", 
청담제패,,"339,984USD ",,"1,680USD "
천기,,"254,672USD ",,0
실버원더풀,,"695,299USD ",,"41,475USD "
바램,,"3,645,383USD ",,"49,230USD "
라온윌리엄스,,"416,475,000JPY ",,"7,000,000JPY "
돌격앞으로,,"32,400USD ",,750USD 
헤일로버드,,"568,629,000JPY ","25,157,000원", 
보드람,,"339,984USD ",,"24,520USD "
아르고로켓,,"1,007,708USD ",,"39,370USD "
스타파워,,"493,755USD ","167,200,000원", 
댄싱블레이드,,"568,629,000JPY ","201,285,000원", 
대장박,,"3,084,278USD ",,"170,121USD "
강성대국,,"3,545,062USD ","120,769,000원", 
피케이파티,,"583,280USD ",,"180,499USD "
스마트군황,,"254,672USD ",,700USD 
운해베스트,,"3,545,062USD ",,"38,018,000JPY "
위너마운틴,,"1,607,774USD ","133,790,000원", 
본엔젤,,"568,086USD ",,0NZD 
스펙터퀸,,"172,705,000JPY ","140,923,000원", 
로열블레이드,,"493,755USD ","10,520,000원", 
어치브,,"11,470,635USD ",,"10,700,000JPY "
세렌체,,"3,545,062USD ",,0
시스푸마위너,,"3,084,278USD ","44,225,000원", 
탑럭,"470,582,000원", ,,0GBP 
미스겔라,,"1,083,533USD ",,"21,650USD "
엘초이스,,"339,984USD ",,"22,780USD "
금스타,,"205,617USD ",,0
헌터호크,,"1,610,604USD ","30,954,000원", 
오더파지빌리티스,,"1,284,949USD ",,"68,250USD "
투어로즈,,"3,084,278USD ",,0
새벽이,,"339,984USD ","64,155,000원", 
프리마퀸,,"456,410USD ",,"37,768USD "
블랙스피릿,,"1,570,380USD ","201,890,000원", 
매직돌풍,,"493,755USD ","107,531,000원", 
초동보배,,"158,713AUD ","107,054,000원", 
라온댄서,,"114,300USD ",,"4,200USD "
쿠카캣,,"1,503,825USD ",,"92,300AUD "
백두여신,,"7,712,841USD ","99,329,000원", 
재능충만,,"51,475USD ","109,680,000원", 
논스톱행진,,"51,475USD ",,"24,620USD "
패밀리파크,,"172,705,000JPY ",,"57,200USD "
밸리퀸,,"491,312USD ","244,933,000원", 
컬러즈윙,,"51,475USD ","38,151,000원", 
대대손손,,"3,084,278USD ","46,740,000원",0
금아어누이티,,"1,080,700USD ",,"260,052USD "
아메리칸벨,,"417,800USD ",,"2,100USD "
케이엔에이스,,"811,400USD ",,0
페이버드옵더로드,,"657,765USD ",,"35,280USD "
레벨탑,,0AUD ,, 
바다치프,,"1,851,803USD ",,"2,575USD "
짱콩,,"1,359,274USD ",,"270,750USD "
만석지기,,"1,101,924USD ",,0
천년의고도,,"205,617USD ",,761USD 
청담호랑이,,"1,570,380USD ",,600AUD 
에이스돈키,,"493,755USD ",,"19,456USD "
금아팔콘,,"11,470,635USD ",,0JPY 
영화즈플라잉,,"51,475USD ","23,400,000원", 
소백영주,"470,582,000원", ,"148,460,000원", 
다이아스톰,,"47,460AUD ","30,420,000원", 
흥오름,,"1,732,000USD ",,"131,871USD "
브랜던,,"1,503,825USD ",, 
키마,,"3,545,062USD ","74,073,000원", 
베스트에버,,"568,086USD ",,"31,270USD "
퍼펙트클론,,"396,254USD ","38,641,000원", 
가을의전설,,"1,006,415USD ",,"7,050AUD "
뉴시타델,,"385,807USD ",,"46,180USD "
장산와일드,,"638,822USD ",,"62,422USD "
뮤지니,,"804,090USD ","24,249,000원", 
감격의순간,,"107,515USD ",,"58,090USD "
드림머니,,"568,086USD ","231,487,000원", 
동서제패,"76,502,000원", ,"81,727,000원", 
명왕,,"51,475USD ",,"63,382USD "
블루대자연,,"396,254USD ",,"74,715USD "
골드파크,,"2,054,434USD ",,"46,460USD "
마성질주,,"1,083,533USD ",,"99,616USD "
아라비아공주,,"3,187,232USD ","152,718,000원", 
바람의소리,,"1,182,992USD ",,0
사토로열,,"493,755USD ",,975AUD 
문학아치,,"832,744USD ",,"39,480USD "
선샤인특급,,"1,083,533USD ",,330USD 
챔프퀸,"728,298,000원", ,"77,664,000원", 
스톰포스,,"1,732,000USD ","112,168,000원", 
선퀸,,"493,755USD ",,"79,331USD "
운명에폴링,,"695,299USD ",,"11,880USD "
빅프로,,"172,705,000JPY ",,"2,340USD "
공주사랑,,"114,300USD ",, 
영광의비트,,"205,617USD ",,"135,577USD "
금아애크미,"728,298,000원", ,"103,000,000원", 
새내플래시,,"274,382USD ","4,592,000원", 
지서니,,"339,984USD ","109,036,000원", 
프리티오드보이,,"148,126USD ",, 
구통사,,"1,139,150USD ",,"70,245USD "
청수빅이어,,"3,084,278USD ","165,950,000원", 
스피드플라잉,,"51,475USD ","109,230,000원", 
슈퍼위크앤드,,"1,732,000USD ","394,511,000원", 
라온칸,,"804,090USD ","55,656,000원", 
터프그레이트,,"480,001USD ","115,613,000원", 
베스트우먼,,"695,299USD ",, 
더블에스,,"3,187,232USD ","15,449,000원",0
날아라힐,,"51,475USD ",,616USD 
디아볼라,,"804,090USD ",,0
더블던다스,,"1,607,774USD ","62,256,000원","34,700USD "
오케이탑,"470,582,000원", ,"51,680,000원", 
빅토리스타,,"835,142USD ",,"70,494USD "
세라킹,,"90,078,000JPY ",,0
고스트타운,,"804,090USD ",,0
블랙재퍼,,"254,672USD ","150,992,000원", 
오제이확답,,"1,810,805USD ",,"64,100USD "
시티스타,,"1,732,000USD ",,"87,758USD "
장산파워,,"1,732,000USD ",,"160,835USD "
피스오브룰즈,,"3,084,278USD ","136,676,000원", 
레몬키드,,"3,728,170USD ",,"52,496USD "
룰러,,"114,300USD ","63,236,000원", 
아리산,,"1,570,380USD ","118,483,000원", 
비카스쿠프,,"835,142USD ",,"39,920USD "
퀀텀점프,,"978,960USD ",,"142,429USD "
파워윈디,,"1,503,825USD ","105,050,000원", 
트루킹,,"1,810,805USD ",,"67,540USD "
대지챔프,,"493,755USD ",,"18,264USD "
글리터,,"804,090USD ",,"74,664USD "
장산조이,,"51,475USD ",,"5,190USD "
갑오데이,,"1,503,825USD ",,"170,757USD "
큐피드닥터,,"456,410USD ",,0
화룡,,"456,410USD ",,"21,370USD "
으뜸이루리,,"1,810,805USD ",,120USD 
킹손,,"205,617USD ",,"42,310USD "
헤이드리머,,"978,960USD ",,"46,952USD "
파크블레이드,,"1,503,825USD ",,"60,950USD "
대한챔프,,"1,503,825USD ",,0
시크릿강자,,"494,895,000JPY ",,"53,919USD "
페더럴퀸,,"172,705,000JPY ","25,905,600원", 
자이언트마초,,"1,851,803USD ",,0
이글이글,,"33,840USD ",,"196,236USD "
골든게이트,,"456,410USD ","10,520,000원", 
에코브라더,,"416,475,000JPY ",,"125,574USD "
메이세이드림,,"494,895,000JPY ",,"124,453USD "
농본자랑,,"804,090USD ","57,315,000원", 
송암라푼젤,,"506,534USD ",,"79,305USD "
스페셜골드,,"1,607,774USD ",,0AUD 
문학타이거,,"1,146,340USD ",,"32,280USD "
킹즈스텝,,"1,606,000USD ",,"68,990AUD "
파이널칸지노,,"1,227,875AUD ",, 
다다비,,"1,146,340USD ",,"137,513USD "
몬테비데오,,"239,229USD ",,0
미스터햇빛,,"742,640USD ",,0
하늘을달리다,,"51,475USD ",,"17,358USD "
클린업보드,,"1,575,600USD ",,800USD 
횡운골,,"339,984USD ","103,000,000원", 
금노래,,"416,475,000JPY ","242,168,800원", 
싱싱장수,,"172,705,000JPY ","81,720,000원", 
제주의요정,,"493,755USD ","146,135,000원", 
금아임패커블,,"1,732,000USD ",, 
가가나,"76,502,000원", ,"210,490,000원", 
기로,,"396,254USD ","81,118,000원", 
킹포스원,,"1,083,533USD ",,"21,527USD "
미라클호프,,"3,084,278USD ",,"49,938USD "
비사연,,"274,382USD ",,0
스마트한센,,"1,810,805USD ",,"66,678USD "
초동무적,,0AUD ,,"34,426USD "
머니캣,,"568,086USD ","87,410,000원", 
화이트퀸,,"1,810,805USD ","51,200,000원", 
팍스레코드,,"51,475USD ","646,673,000원", 
파이널스타,,"4,383,200USD ",,0
탑플라잉,,"1,847,489USD ",, 
천운킹덤,,"1,857,000USD ",,"3,070USD "
디케이나린,,"1,154,000USD ",,"30,210USD "
야호원더풀캣,,"1,498,525SAR ",, 
영원한순간,"435,833,000원", ,"38,806,000원",0
허쉬대보,,"416,475,000JPY ","278,587,000원", 
대길상존,"409,030,000원", ,,"6,306USD "
하늘의스타,,"3,084,278USD ",,"12,350USD "
스트로리아,,"1,606,000USD ",,"32,678USD "
점보블레이드,,"2,283,402USD ",,"168,366USD "
뉴레전드,,"1,732,000USD ",,"19,205USD "
동방대로,,"10,501,800USD ",,0
부활의반석,,"1,359,274USD ",,"26,325USD "
백문백답,,"972,632USD ",,"4,310USD "
그레이트킹,,"239,229USD ",,"56,700USD "
라온스텔라,,"3,090,101USD ",,"60,617USD "
시드니머니,"579,356,000원", ,"262,056,000원", 
문학에카티,,"1,182,992USD ",,"66,924USD "
아메리칸포스원,,"794,855USD ",,"1,512USD "
우정의향기,,"865,612USD ",,0
피엔에스하늘,,"971,269USD ",,"7,945EUR "
발뢰자,,"210,553USD ","125,941,000원", 
스페셜스톤,,"568,629,000JPY ","109,660,000원", 
망치블레이드,,"205,617USD ","49,729,000원", 
형마푸부,,"3,084,278USD ",,"101,060USD "
대명로즈캣,,"416,475,000JPY ","113,439,000원", 
황금신화,,"568,086USD ",,"25,200USD "
다몬엔젤,,"3,294,901USD ","52,508,000원", 
버닝맨,"409,030,000원", ,"78,368,000원", 
광마힐,,"396,254USD ",0원, 
돌아온포경선,,"185,213USD ",,"4,690USD "
에이스코리아,,"875,864USD ",,"156,333USD "
모닝대로,,"385,807USD ",,"31,726USD "
굿캐스팅,,"239,229USD ",,0
드롭더비트,,"354,843USD ",,"22,477USD "
파이니스트워리어,,"239,229USD ",,"51,770USD "
카스바프린스,,"727,920USD ",,"31,201USD "
파이널보스,,"1,732,000USD ","44,398,500원", 
최강자,,"756,145USD ",,"53,524USD "
담양환호,,"1,037,810USD ",,0
끝판에어로,,"832,744USD ",,0
소중한소망,,"4,368,214USD ",,0
체리뱅키시,,"480,969USD ",,"610,939USD "
하이섹시,,"32,400USD ",,"14,952USD "
코어블레이드,,"1,732,000USD ","224,317,000원", 
아이스마린,,"804,090USD ",,0
