,자식마명,부마원,부마달러,모마원,모마달러
0,['프로마테우스'],,"310,542USD ",,0 
1,['큐피드플라워'],,"3,545,062USD ","112,984,000원", 
2,['컨저버티브'],,"804,090USD ",,0 
3,['노벰버모닝'],,"742,640USD ",,"31,444USD "
4,['갈잎'],,"1,083,533USD ",,0USD 
5,['풀문오션'],,"1,083,533USD ","13,617,000원", 
6,['아임해피'],,"371,623,500JPY ",,800USD 
7,['상감청자'],,"3,084,278USD ",,"119,723USD "
8,['천하여제'],,"172,705,000JPY ",,0 
9,['스터닝어게인'],,"4,374,590USD ",,"222,769USD "
10,['유롱플라잉'],,"51,475USD ",,"94,885USD "
11,['크레이지퀸'],,"274,382USD ",,0 
12,['비엔토퍼스트'],"728,298,000원", ,"135,040,000원",0 
13,['원더풀브라보'],,"249,760USD ","23,766,000원", 
14,['럭키마이더스'],,"205,617USD ","115,419,000원", 
15,['미스터터너'],,"742,640USD ",,"87,822USD "
16,['에버더챔프'],,"221,265USD ",,"218,237USD "
17,['이글스그리프터'],,"1,319,481USD ",,"136,041USD "
18,['스칸다'],,"941,936USD ",,"4,200USD "
19,['런위드골드'],,"224,684USD ",,"57,070USD "
20,['관악함성'],,"2,221,630USD ",,"36,328USD "
21,['리틀보이플래시'],,"405,730USD ",,"18,265USD "
22,['투게더허그'],,"1,779,012USD ",,"4,217USD "
23,['올포비투비'],,"1,936,000USD ",,"75,516USD "
24,['바람킹'],,"315,015USD ","246,497,000원", 
25,['페더라이트'],,"205,617USD ","186,043,000원", 
26,['더블골드'],,"480,001USD ","192,055,000원", 
27,['블랙징가'],,"85,630,000JPY ","27,055,000원", 
28,['상비군'],,"315,015USD ",,"92,814USD "
29,['로열탱크'],,"3,187,232USD ",,"79,652USD "
30,['창성강자'],,"3,545,062USD ",,"45,835USD "
31,['영웅불패'],,"1,267,273USD ",,"47,249USD "
32,['선키스드'],,"493,755USD ",,"18,426USD "
33,['골드스타힐스'],,"107,515USD ","15,449,000원",0 
34,['급행마'],,"1,810,805USD ",,"39,894CAD "
35,['슬링스톤'],,"163,133USD ","183,655,000원", 
36,['최고비상'],,"617,310USD ",,"31,420,000JPY "
37,['라온돌풍'],,"12,891,734USD ",,"417,736USD "
38,['골드스탁'],,"3,084,278USD ","166,656,000원", 
39,['더블에이'],,"695,299USD ",,"340,836USD "
40,['자진모리'],,"1,732,000USD ",,0 
41,['모두드림'],,"51,475USD ","85,690,000원", 
42,['금아제니스'],,"1,810,805USD ",,"43,100USD "
43,['해들뫼'],,"416,475,000JPY ",,"42,652USD "
44,['레이먼드'],,"315,015USD ",,"7,400USD "
45,['태풍아이즈'],,"1,732,000USD ","113,299,000원", 
46,['환상의빛'],,"396,254USD ","100,111,000원", 
47,['풀문스카이'],,"140,172USD ",,"4,680USD "
48,['메가시티'],,"107,515USD ","132,716,000원", 
49,['금빛환향'],"1,861,967,000원", ,"84,526,000원", 
50,['레베카'],,"493,755USD ",,"40,860USD "
51,['기동대장'],,"416,475,000JPY ",,"1,870USD "
52,['비평'],,"51,475USD ",,"73,752USD "
53,['베스트빅토리'],,"85,630,000JPY ","138,880,000원", 
54,['두손왕자'],,"3,084,278USD ","17,803,000원", 
55,['행복스타'],,"456,410USD ","75,012,000원", 
56,['초오롱마'],,"662,000USD ",,"21,569USD "
57,['불사불패'],,"3,545,062USD ","75,612,000원","7,700AUD "
58,['더지존'],,"439,250USD ",,"112,786USD "
59,['주먹도끼'],,"1,007,708USD ",,"1,605USD "
60,['스마티지프'],,"3,084,278USD ","234,663,000원", 
61,['개나리송'],,"274,382USD ",,"38,831USD "
62,['클린플라워'],,"3,084,278USD ",,0 
63,['카일라스댄서'],,"725,296USD ",,"3,446USD "
64,['슈퍼트릭'],,"3,122,708USD ",,"31,605USD "
65,['데블맨'],,"7,712,841USD ",,"11,300,000JPY "
66,['어울더울'],,"1,037,810USD ",,"1,780USD "
67,['마이티존'],,"1,779,012USD ",,"35,670USD "
68,['원게이트'],,"1,779,012USD ",,"23,252USD "
69,['웰빙스토리'],,"480,001USD ","218,232,000원", 
70,['스카이시티'],,"621,498USD ","143,741,000원", 
71,['슈퍼도끼'],,"8,387,500USD ",,"52,156USD "
