,자식마명,부마원,부마달러,모마원,모마달러
0,['큐피드가이'],,"439,250USD ",,"78,614USD "
1,['피닉스선'],,"804,090USD ",,"29,660USD "
2,['글로벌뉴스'],,"1,810,805USD ",,0 
3,['야호스마트캣'],,"568,086USD ","92,494,000원", 
4,['매직텐'],,"1,570,380USD ","254,730,000원", 
5,['마차부차'],,"804,090USD ",,0 
6,['가라가라가'],,"1,503,825USD ",,0AUD 
7,['초동레이스'],,"456,410USD ","158,023,000원", 
8,['박차오름'],,"568,629,000JPY ",,"1,175GBP "
9,['웃어라이천'],,"3,294,901USD ","163,560,000원", 
10,['베스트캠프'],,"339,984USD ",,"41,280USD "
11,['머니캠프'],,"339,984USD ","82,258,000원", 
12,['라온로키'],,"456,410USD ",,"16,960USD "
13,['선라이팅'],,"1,039,000USD ",,"72,499USD "
14,['로드위너'],,"1,694,180USD ",,0 
15,['모르피스'],,"1,019,200USD ",,"134,571USD "
16,['장산카우보이'],,"1,037,810USD ",,"46,200USD "
17,['싱그러운검'],,"396,254USD ","306,736,000원", 
18,['스카이베이'],,"251,090USD ",,"1,410USD "
19,['반야동행'],,"1,083,533USD ",,"86,150USD "
20,['소통시대'],"200,839,000원", ,0원, 
21,['영롱'],,"51,475USD ",,0 
22,['삼정타핏'],,"703,884USD ",,"1,200CAD "
23,['위너스글로리'],,"210,553USD ",,"62,397USD "
24,['아르고브레인'],,"996,330USD ",,0USD 
25,['라온포티어스'],,"831,800USD ",,0 
26,['어메이징삭스'],,"44,016USD ",,"48,577USD "
27,['올댓스피드'],,"1,182,992USD ",,"1,680USD "
28,['스톰라이커'],,0 ,0원,0 
29,['엠제이파워'],,"598,786USD ",,0 
30,['황홀한질주'],,"1,030,266USD ",,0 
31,['미스터큐피드'],,"85,800USD ",,"52,591USD "
32,['캣츠미라클'],,"1,694,180USD ",,"4,970USD "
33,['아치아치'],,"832,744USD ",,"22,228USD "
34,['우승특기'],,"725,700USD ",,"182,002USD "
35,['프로함성'],,"1,706,350USD ",,"47,741USD "
36,['장비행운'],,"438,949USD ",,390USD 
37,['라온패트릭'],,"85,630,000JPY ",0원, 
38,['인디펜던스'],,"114,300USD ","121,650,000원", 
39,['블랙윙윙'],,"3,187,232USD ","112,610,000원", 
40,['야호엠제이캣'],,"493,755USD ","92,494,000원", 
41,['천은짱'],,"3,084,278USD ",,0 
42,['문학치타'],,"578,302,000JPY ",,"47,220USD "
43,['어스피스'],,"249,760USD ","25,364,000원", 
44,['윈블레이드'],,"3,084,278USD ","46,605,000원", 
45,['아즈위스톤'],,"3,084,278USD ","23,940,000원", 
46,['정문와이'],,"163,133USD ",,"7,870,000JPY "
47,['사이먼킹덤'],,"274,382USD ","202,139,000원", 
48,['골든스카이'],,"396,254USD ",,"22,745USD "
49,['딕시어게인'],,"1,503,825USD ",,0 
50,['백색광채'],"817,614,000원", ,"116,693,000원", 
51,['메니스피드'],,"1,732,000USD ",,"1,605USD "
52,['레지나'],,"695,299USD ","108,067,000원", 
53,['원더풀마린'],,"1,810,805USD ",,0 
