,자식마명,부마원,부마달러,모마원,모마달러
111,['회복'],,"339,984USD ",,"13,280USD "
112,['미르스카이'],,"172,705,000JPY ",,"216,734USD "
113,['스타러시'],,"2,494,490USD ",,"24,581USD "
114,['가로수길'],,"493,755USD ","32,418,000원", 
115,['마음의준비'],,"695,299USD ","34,620,000원", 
116,['팰리스퀸'],,"1,586,550USD ",,0 
117,['극기상진'],,"865,612USD ",,0 
118,['땡큐대천'],,"491,312USD ",,"22,580USD "
119,['스피드버드'],,"565,716USD ",,"539,329USD "
120,['나의전설'],,"583,280USD ","363,840,000원", 
121,['조이브라더'],,"3,084,278USD ","368,522,000원", 
122,['마이멤버'],,"491,312USD ","116,080,000원", 
123,['왕인행차'],,"339,984USD ",,"182,974USD "
124,['서울데이'],,"493,755USD ",,0 
125,['구름바다'],,"761,442USD ",,"69,294USD "
126,['새내폭주'],,"1,083,533USD ",,0 
127,['금아애자일'],,"3,090,101USD ",,"3,750USD "
128,['오렌지삭스'],"451,805,000원", ,,880USD 
129,['매지컬초이스'],,"3,645,383USD ",,"83,550USD "
130,['클린업특급'],,"1,732,000USD ","219,695,000원", 
131,['대일신화'],,"1,037,810USD ",,"23,466USD "
132,['왕벚꽃'],,"1,694,180USD ",,"376,924USD "
133,['글로리파이터'],,"326,400USD ",,"35,296USD "
134,['드림걸스'],,"1,810,805USD ","100,200,000원", 
135,['그레이트칸'],,"1,732,000USD ",,"4,070USD "
136,['하이퍼카'],"817,614,000원", ,"34,580,000원", 
137,['어메이징위즈'],,"1,570,380USD ","1,200,000원", 
138,['어바웃섬싱'],,"51,475USD ",,0 
139,['아이스펀치'],,"1,810,805USD ",,0 
140,['라온하이'],,"1,236,820USD ","208,076,000원", 
141,['청담여걸'],,"1,732,000USD ","10,520,000원", 
142,['드림패션'],,"583,280USD ","140,923,000원", 
143,['미스엘리트'],,"3,084,278USD ",,"131,070USD "
144,['녹리총'],,"114,300USD ","97,562,000원", 
145,['안양호랑이'],,"2,232,830USD ",,"83,968USD "
146,['런던보스'],"392,700,000원", ,"22,904,000원", 
147,['퍼텐셜에너지'],,"120,176USD ",,"9,860USD "
148,['하이천둥'],,"3,187,232USD ","274,440,000원", 
149,['심플리파이'],,"51,475USD ",,0 
150,['레이디켈리'],,"612,935USD ","90,960,000원",0 
151,['윈드힐'],,"51,475USD ",,616USD 
152,['나의신화'],,"583,280USD ","113,350,000원", 
153,['농본락'],,"1,083,533USD ","137,240,000원", 
154,['가자플랜'],,"190,838USD ",,0 
155,['그랜드플라이'],,"254,672USD ","38,151,000원", 
156,['장산몬스터'],,"1,101,924USD ",,"2,020USD "
157,['트리플킹덤'],,"532,122USD ",,"49,450USD "
158,['멋진데'],,"1,039,000USD ",,"48,670USD "
159,['스마트스트롱'],,"1,994,460USD ",,"34,350USD "
160,['베스트군주'],,"442,500USD ",,"159,877USD "
161,['뉴욕망치'],,"1,146,340USD ",,"40,958USD "
162,['언브레이커블'],,"51,475USD ",,"34,878USD "
163,['스페셜모닝'],,"1,607,774USD ",,0 
164,['스카이여신'],,"172,705,000JPY ","7,000,000원", 
165,['우아륭'],,"416,475,000JPY ","288,270,000원", 
166,['카빙크로스'],,"3,084,278USD ","41,484,000원", 
167,['하루온'],,"210,553USD ","106,041,000원", 
168,['섀도우퀸'],,"1,570,380USD ","95,420,000원", 
169,['하나미치'],,"491,312USD ","206,263,000원", 
170,['어마어마'],,"301,500USD ",,"148,250USD "
171,['루킹퍼스트'],,"386,465USD ",,"81,585USD "
172,['돌아온불패'],,"1,026,229USD ",, 
173,['배다리프린스'],,"1,243,500USD ",,"98,560USD "
174,['문학스카이'],,"633,076USD ",,"59,722USD "
175,['스프링킹'],,"1,146,340USD ",, 
176,['선붐'],,"1,857,000USD ",,"12,270EUR "
177,['대디코잔'],,"49,200USD ",, 
178,['섬싱익스펙트'],,"4,368,214USD ",,0 
179,['빅플랜'],,"190,838USD ","76,500,000원", 
180,['소중한골든'],,"480,001USD ","49,601,000원", 
181,['알짜'],,"4,941,513USD ","206,403,000원", 
182,['비봉마루'],,"493,755USD ",,"41,639USD "
183,['파라다이스퀸'],,"1,570,380USD ",,0GBP 
184,['금성스타'],,"205,617USD ","21,920,000원", 
185,['왕탱이'],,"1,607,774USD ","101,758,000원", 
186,['톱시드'],,"2,054,434USD ",,0 
187,['정문프린스'],,"491,312USD ",,0 
188,['실버윈'],,"3,545,062USD ",,"38,018,000JPY "
189,['다비키'],,"3,446,120USD ",,"221,192USD "
190,['클린업샤인'],,"152,440USD ",,"121,880USD "
191,['사려니위너'],,"687,967USD ",,"114,800USD "
192,['빅투더빅'],,"1,065,147USD ",,"34,760USD "
193,['판타스틱'],,"972,632USD ",,0 
194,['크레이지델타'],,"1,985,800USD ",,"17,917USD "
195,['올백'],,"1,810,805USD ",,400CAD 
196,['더킹클래스'],,"493,755USD ",,"128,210USD "
197,['선더케이'],,"339,984USD ","41,281,000원", 
198,['금성에이스'],,"51,475USD ","259,050,000원", 
199,['마칼루퀸'],,"1,732,000USD ",,"20,650USD "
200,['갑오사랑해'],,"1,503,825USD ",,"76,005USD "
201,['글로벌선'],,"1,810,805USD ",0원, 
202,['금성차밍'],,"1,570,380USD ","169,115,000원", 
203,['런던히트'],,"1,503,825USD ",,"109,780USD "
204,['월영이'],,"493,755USD ",,"6,459USD "
205,['태산특급'],,"3,084,278USD ","173,820,000원", 
206,['글로벌왕자'],,"51,475USD ",,"32,215USD "
207,['마스터퓨처'],,"1,083,533USD ","77,120,000원", 
