,자식마명,부마원,부마달러,모마원,모마달러
0,['태후의날개'],,"278,406USD ",, 
1,['브이칸'],,"185,213USD ",,0 
2,['컴플리트스윕'],,"274,382USD ","29,100,000원", 
3,['역전의우승'],,"583,280USD ",,"28,405USD "
4,['서클댄서'],,"835,142USD ","114,172,000원", 
5,['짜릿'],,"794,855USD ",,"61,839USD "
6,['울트라펀치'],,"742,640USD ",,420USD 
7,['스피릿오브한센'],,"1,810,805USD ",,"3,840USD "
8,['스타캣'],,"568,086USD ","330,540,000원", 
9,['샤크런'],,"3,728,170USD ",,0 
10,['켄터키연인'],,"662,000USD ",,0 
11,['킬리의여왕'],,"251,090USD ",,0 
12,['제마특급'],,"172,705,000JPY ","183,810,000원", 
13,['솔리드'],,"1,503,825USD ","697,416,000원", 
14,['지오바나'],,"51,475USD ","9,426,000원", 
15,['신부'],,"339,984USD ",,0 
16,['블루밴드'],,"1,503,825USD ",,0 
17,['컬러즈드라고'],,"51,475USD ",,0 
18,['사이먼퀸'],,"274,382USD ","226,930,000원", 
19,['솔개바람'],,"494,895,000JPY ","163,560,000원", 
20,['함양상림'],,"51,475USD ","147,579,000원", 
21,['과천의별'],,"568,629,000JPY ","55,652,000원", 
22,['퀸스트리트'],,"568,629,000JPY ","5,608,000원", 
23,['파크데이'],,"1,503,825USD ",,"54,248USD "
24,['라온케빈'],,"1,810,805USD ","109,032,000원", 
25,['브라운로즈'],,"1,810,805USD ","413,351,000원", 
26,['드래곤보트'],,"491,312USD ","58,220,000원", 
27,['옥드림'],,"804,090USD ","73,023,000원", 
28,['글로리번'],,"1,570,380USD ","137,120,000원", 
29,['남쪽나라'],,"494,895,000JPY ","188,186,000원", 
30,['초원여전사'],,"835,142USD ","180,313,000원", 
31,['남원퀸'],,"907,470USD ","116,218,000원",0 
32,['퀸포스원'],,"3,084,278USD ","3,100,000원", 
33,['세명기상'],,"205,617USD ","127,460,000원", 
34,['라오진'],,"804,090USD ",, 
35,['에이스트리플'],,"339,984USD ","202,050,000원", 
36,['투엠오케이'],,"456,410USD ","118,483,000원", 
37,['다이아펀치'],,"568,086USD ",,"10,670USD "
38,['윈트세븐'],,"1,570,380USD ","87,390,000원", 
39,['늘새아침'],"190,033,000원", ,,"2,060USD "
40,['갤럭시피스'],,"3,084,278USD ",,"17,980USD "
41,['빅토리킹'],,"2,580,402USD ",,"30,132CAD "
42,['메이슨'],,"7,712,841USD ","15,808,000원", 
43,['천지폭풍'],,"396,254USD ",,0AUD 
44,['골드레벨'],,"1,607,774USD ","174,538,000원", 
45,['대용왕'],,"1,083,533USD ","44,225,000원", 
46,['제이엔리'],"579,356,000원", ,,0 
47,['코리아대장부'],,"172,705,000JPY ","183,340,000원", 
48,['감동파티'],,"695,299USD ",,0 
49,['지금이최강'],"1,861,967,000원", ,,"7,200USD "
50,['대군의창'],,"239,229USD ",,"274,529USD "
51,['대군의검'],,"239,229USD ",,303USD 
52,['말리지마'],,"33,840USD ",,"152,325USD "
53,['왕펀치'],,"419,360USD ",,"105,607USD "
54,['프리엠비전'],,"439,250USD ",,200USD 
55,['월드스타크'],,"1,694,180USD ",,"19,119USD "
56,['키팩터'],,"1,046,381USD ",,0 
57,['애비보컬스'],,"188,432USD ",,222EUR 
58,['스타플래티넘'],,"978,960USD ",,0 
59,['위즈레이니어'],,"2,533,910USD ",,"24,110USD "
60,['황금의발'],,"44,016USD ",,"118,706USD "
61,['웰니스케이'],,"996,330USD ",,"23,950USD "
62,['베스트군함'],,"37,500USD ",,"230,820USD "
63,['베스트채플'],,"493,755USD ","64,602,000원", 
64,['더스파이커'],,"1,065,147USD ",,"5,625USD "
65,['와일드파이트'],,"1,154,000USD ",,"1,401USD "
66,['애마비상'],,0 ,, 
67,['그린케이'],,"493,755USD ",,0 
68,['마이시스터니나'],,"301,500USD ",,"360,122USD "
69,['황표마'],,"439,250USD ",,"82,440USD "
70,['리틀빅타이거'],,"6,169,800USD ",,"13,510CAD "
71,['제너럴로즈'],,"493,755USD ","66,036,000원", 
72,['성파장'],,"695,299USD ","177,011,000원", 
73,['컴플리트모션'],,"51,475USD ","112,705,000원", 
74,['선샤인마린'],,"804,090USD ","170,290,000원", 
75,['리쉬부르'],,"725,296USD ",,"94,222USD "
76,['파워프라이드'],,"339,984USD ","30,795,000원", 
77,['캠핑매니아'],,"568,629,000JPY ","169,331,000원", 
78,['파워캣'],,"1,083,533USD ",,"91,126USD "
79,['알데바란'],,"493,755USD ","48,547,000원", 
80,['사우스반'],,"274,382USD ","305,585,000원", 
81,['모두에게'],,"493,755USD ","196,280,000원", 
82,['스피드마운틴'],,"1,810,805USD ",,"39,760USD "
83,['글로벌천하'],,"339,984USD ","174,214,000원", 
84,['캐논슈터'],,"922,180USD ",,"48,594USD "
85,['머니지프'],,"396,254USD ","234,663,000원", 
86,['늘새찬'],"817,614,000원", ,"67,044,000원", 
87,['곤설'],,"804,090USD ","112,610,000원", 
88,['창성진주'],,"3,545,062USD ",,0JPY 
89,['송암준'],,"107,515USD ","75,612,000원","7,700AUD "
90,['가자가자'],"579,356,000원", ,"101,758,000원", 
91,['케이킹'],,"804,090USD ","236,827,000원", 
92,['채플에이스'],,"493,755USD ",,"3,550NZD "
93,['빅선더'],,"114,300USD ","96,601,000원", 
94,['문학의전사'],,"1,606,000USD ",,"190,402USD "
95,['리처드오브뉴스테'],,"1,319,481USD ",,"43,404USD "
96,['금아레이스'],,"1,873,588USD ",,"500,000JPY "
97,['로열훼이버'],,"118,380USD ",,"4,929USD "
98,['럭키미스'],,"568,086USD ",,"44,207USD "
99,['제주의바람'],,"1,570,380USD ","47,730,000원", 
