,자식마명,부마원,부마달러,모마원,모마달러
0,['라온호크'],,"1,083,533USD ",,640USD 
1,['스마티아델'],,"1,810,805USD ","72,204,000원", 
2,['원더풀루비'],,"416,475,000JPY ",,"25,309USD "
3,['럭키소천'],,"51,475USD ",,"29,760USD "
4,['스타리스트'],,"3,545,062USD ","38,806,000원",0 
5,['베티나'],,"210,553USD ",,"1,320USD "
6,['엠제이타운'],,"819,668USD ",,"20,390USD "
7,['쏘아라우츠'],,"120,176USD ",,"207,440USD "
8,['더조은내일'],,"1,732,000USD ","485,085,000원", 
9,['동해실버'],,"568,629,000JPY ",,0 
10,['스트롱라이트'],,"456,410USD ","45,956,000원", 
11,['총알같이'],,"396,254USD ","81,118,000원", 
12,['골든웨딩'],"451,805,000원", ,,"73,626USD "
13,['라스트잭팟'],,"568,086USD ",,0AUD 
14,['바리메캠프'],,"339,984USD ","61,748,000원", 
15,['트루팀버'],,"7,712,841USD ","296,100,000원", 
16,['스피드흑룡'],,"210,553USD ",,"4,005USD "
17,['달려라라온'],,"3,084,278USD ",,"1,920USD "
18,['큐피드플라잉'],,"51,475USD ","227,208,000원", 
19,['백산아일랜드'],,"435,597USD ",,"20,646USD "
20,['스타퍼펙트'],,"578,302,000JPY ","142,751,000원", 
21,['승리플러스'],,"804,090USD ","180,313,000원", 
22,['파이널캡틴'],"451,805,000원", ,,0 
23,['문학아리아리'],,"1,146,340USD ",,"10,377USD "
24,['대군천하'],,"1,878,013USD ",,"29,446USD "
25,['글라디아토레에이'],,"1,046,381USD ",,"81,473USD "
26,['원더풀인디언'],,"1,182,992USD ",,720USD 
27,['리암스무니'],,"135,191USD ",,"84,319USD "
28,['센스쟁이'],,"742,640USD ",,"10,490USD "
29,['남촌데이'],,"1,706,350USD ",,"32,406USD "
30,['맹주'],,"4,383,200USD ",,0USD 
31,['패션피플'],,"583,280USD ",,"127,465USD "
32,['아델엔젤'],,"492,910USD ",,"22,944USD "
33,['더더비'],,"492,430USD ",,"44,820USD "
34,['문학파이어'],,"385,807USD ",,0 
35,['스피드영웅'],,"3,084,278USD ","34,768,000원",0RUB 
36,['천년바이킹'],"1,225,505,000원", ,"34,927,000원", 
37,['사이먼프루트'],,"274,382USD ",,"16,060USD "
38,['제왕의별'],,"1,503,825USD ",,"148,914USD "
39,['해피스트'],,"51,475USD ","40,536,000원", 
40,['해피마운틴'],,"1,607,774USD ",,"300,820USD "
41,['재롱이'],,"4,156,389USD ","29,446,000원", 
42,['스피드청룡'],,"1,732,000USD ","28,637,000원",0AUD 
43,['천하형국'],,"70,961,000JPY ","44,551,500원", 
44,['여울이'],,"3,294,901USD ","15,449,000원",0 
45,['희망포인트'],,"315,015USD ",,"8,445USD "
46,['어린왕자'],,"339,984USD ",,438USD 
47,['메갈리오스'],,"1,380,200USD ",,"34,540USD "
48,['삼삼빅토리'],,"385,807USD ",,"36,622USD "
49,['하와이보스'],,"633,076USD ",,"8,345USD "
50,['킹포세'],,"1,423,379USD ",,"65,390USD "
51,['마이비전'],,"835,142USD ",,"53,320USD "
52,['왕의대로'],,"1,779,012USD ",,"43,148USD "
53,['장산베어스'],,"1,146,340USD ",,244USD 
54,['비드타운'],,"819,668USD ",,0 
55,['핵항공모함'],,"1,104,810USD ",,"46,346USD "
56,['본워리어'],,"254,672USD ",,"41,885USD "
57,['아르고오섬'],,"835,142USD ","113,588,000원", 
58,['우먼볼트'],,"727,290USD ",,0AUD 
59,['말리부불패'],,"33,840USD ",,"133,683USD "
60,['청담제왕'],,"3,090,101USD ",,0 
61,['플레이시스투고'],,"1,026,229USD ",,"150,550USD "
62,['흥룡'],,"811,760USD ",,0 
63,['장산제왕'],,"399,089USD ",,"8,014USD "
64,['신규강자'],,"35,665USD ","145,591,000원", 
65,['다이나믹질주'],,"591,225USD ",,"184,175USD "
66,['글로벌뱅크'],,"114,300USD ",,"31,200USD "
67,['이광사석'],,"185,417USD ","139,414,000원", 
