,자식마명,부마원,부마달러,모마원,모마달러
0,['모란동백'],,"480,001USD ","7,480,000원", 
1,['캠프터치'],,"339,984USD ",,"119,723USD "
2,['스카이점프'],,"114,300USD ",,"130,150USD "
3,['록초이스'],,"1,570,380USD ",,0AUD 
4,['트루밸러'],,"1,503,825USD ",,"118,880USD "
5,['명진플라이'],,"1,031,596USD ",,"41,986USD "
6,['브리가디어제너럴'],,"557,300USD ",,"133,879USD "
7,['문학서브'],,"1,146,340USD ",,"7,150USD "
8,['그레이킹덤'],,"601,560USD ",,"85,886USD "
9,['켄터키망치'],,"1,878,013USD ",,"65,568CAD "
10,['더검푸'],,"529,566USD ",,"183,600USD "
11,['아리안왕자'],,"877,536USD ",,"133,950AUD "
12,['하늘공원'],,"339,984USD ",,"2,720USD "
13,['리빙인더모던'],,"254,672USD ",,"9,490USD "
14,['초동스트리트'],,"1,503,825USD ",,0 
15,['에이원킹'],,"396,254USD ","18,126,000원", 
16,['대군피닉스'],,"1,359,274USD ",,"1,640USD "
17,['새로운보배'],,"315,015USD ",,"104,085USD "
18,['블랙엘리트'],, ,, 
19,['클린업드림'],,"1,503,825USD ","25,763,000원", 
20,['미스펙터'],,"804,090USD ",,0 
21,['딥마인드'],,"1,732,000USD ","197,615,000원", 
22,['신비한여인'],"105,760,000원", ,"116,542,000원", 
23,['아마존여걸'],,"51,475USD ",,"107,355USD "
24,['토스코노바캣'],,"658,960USD ",,"63,354USD "
25,['신조대협'],,"2,323,040USD ",,"215,694USD "
26,['당당한여걸'],,"3,545,062USD ","73,127,000원", 
27,['초인강자'],,"1,732,000USD ",,"117,578USD "
28,['피케이힐'],,"493,755USD ",,0 
29,['정문서미트'],,"583,280USD ",,0 
30,['마성투혼'],,"339,984USD ","75,012,000원", 
31,['바디스타'],,"612,935USD ",,"72,611USD "
32,['달리는빛깔'],,"1,732,000USD ",,"46,952USD "
33,['화려'],,"1,810,805USD ","181,012,000원", 
34,['원더풀하트'],,"617,310USD ",,"898,000JPY "
35,['삼애락'],,"1,570,380USD ",,"189,416USD "
36,['청운지벽'],,"1,810,805USD ",,"82,046USD "
37,['메이블루'],,"1,083,533USD ","71,512,000원", 
38,['럭키상운'],,"583,280USD ",,0 
39,['비제니스'],,"1,146,340USD ",,"14,229USD "
40,['스트레토'],,"274,382USD ","140,870,000원", 
41,['트루루비'],,"205,617USD ","250,660,000원", 
42,['애니선'],,"1,083,533USD ","202,802,000원", 
43,['클리어스토리'],,"205,617USD ",,"121,476USD "
44,['두둥이'],,"1,251,300USD ",,"6,459USD "
45,['소망의탑'],,"172,705,000JPY ","174,206,000원", 
46,['다시두손'],,"583,280USD ","81,895,000원", 
47,['골드히어로'],,"254,672USD ","262,249,000원", 
48,['농부의수채화'],,"396,254USD ","141,780,000원", 
49,['골든스파크'],,"274,382USD ",,"34,280USD "
50,['왕표의꿈'],,"1,570,380USD ","102,355,000원", 
51,['러블리위너'],,"133,833USD ",,0AUD 
52,['위너템플러'],,"393,200USD ",,"27,200,000JPY "
53,['대군일갈'],,"6,169,800USD ",,"33,490USD "
54,['모노투'],,"695,299USD ","125,768,000원", 
55,['퍼펙트라이트'],,"114,300USD ",,780USD 
56,['룰즈파크'],,"3,084,278USD ",,"22,685USD "
57,['에클레어샤인'],,"51,475USD ",,400USD 
58,['아토'],,"703,884USD ",,"89,028USD "
59,['시스푸마캡틴'],,"585,719USD ",,"106,401USD "
60,['인천캡틴'],,"601,560USD ",,0 
61,['에코퍼스트온'],,"915,075USD ",,"106,693USD "
62,['피엔에스아리'],,"937,240USD ",, 
63,['샌드루이스'],,"2,879,612USD ",,0 
64,['최강팀'],,"583,280USD ",,"7,400USD "
65,['컴플리트킹덤'],,"51,475USD ",,"46,346USD "
66,['라온베스트맨'],,"1,236,820USD ",,"417,736USD "
67,['머니챔프'],"2,426,805,000원", ,, 
68,['스트롱퀸'],,"51,475USD ",,"31,669USD "
69,['제이에스파워'],,"617,310USD ","44,154,000원", 
70,['에이스윈'],,"3,000USD ","1,500,000원", 
71,['단비와호수'],,"1,236,820USD ","65,461,000원", 
72,['원더플레이스'],,"978,960USD ",,"4,069USD "
73,['레전드윈'],,"583,280USD ","231,666,000원", 
74,['킹오브더필드'],,"51,475USD ","170,290,000원", 
75,['하이비트'],,"585,719USD ",,"41,475USD "
76,['에이스컨트리'],,"493,755USD ",,0 
77,['시티챔프'],,"3,545,062USD ","109,402,000원", 
78,['시티엔젤'],,"339,984USD ",,"128,935USD "
79,['송암캔디'],,"944,900USD ",,"209,945USD "
80,['정상스마트'],,"1,103,496USD ",,560USD 
81,['캡틴포스원'],,"142,605USD ",,342USD 
82,['금자유'],,"1,251,300USD ",,0 
83,['장산스타트'],,"2,612,516USD ",,"3,880USD "
84,['화이팅랭퍼'],,"698,574USD ",,0 
85,['화이트코멧'],,"254,672USD ",,"16,200AUD "
86,['베스트골드'],,"480,001USD ","139,748,000원", 
87,['스페셜챔프'],,"3,084,278USD ",,"21,569USD "
88,['우봉륭'],,"1,182,992USD ",,"117,800USD "
89,['타미나'],,"1,810,805USD ","219,712,000원", 
90,['천지울림'],,"210,553USD ",,"93,116USD "
91,['메니히어로'],,"1,732,000USD ","548,953,000원", 
