,자식마명,부마원,부마달러,모마원,모마달러
0,['리슨트드림'],,"51,475USD ","95,797,000원", 
1,['브레인스피더'],,"804,090USD ",0원, 
2,['불의퀸'],,"565,716USD ",,0 
3,['천년의비'],,"1,503,825USD ","76,460,000원", 
4,['센토사'],,"1,570,380USD ","24,249,000원", 
5,['그린신디'],,"493,755USD ",,782USD 
6,['삼애질주'],,"493,755USD ",,"24,008USD "
7,['최고여왕'],,"1,607,774USD ","241,982,000원", 
8,['최강캠프'],,"51,475USD ",,"80,592USD "
9,['기븐러너'],,"1,083,533USD ",,"131,070USD "
10,['정상드림'],,"804,090USD ",,0 
11,['정문사랑'],,"205,617USD ",, 
12,['라온불패'],,"804,090USD ","111,220,000원", 
13,['정동사랑'],,"1,083,533USD ","127,238,000원", 
14,['만에하나'],,"51,475USD ",,"16,630GBP "
15,['퍼펙트플라잉'],,"51,475USD ","262,254,000원", 
16,['다크스파이더'],,"3,545,062USD ","56,396,000원", 
17,['컴플리트쇼크'],,"274,382USD ",,"27,362USD "
18,['빅클래식'],,"804,090USD ",,0 
19,['호크의영광'],,"1,610,604USD ",,0 
20,['금상천하'],,"70,961,000JPY ","41,162,000원", 
21,['라온조이'],,"1,810,805USD ",,"4,940AUD "
22,['재즈불릿'],,"2,283,402USD ",,"110,340USD "
23,['내길의빛'],,"163,133USD ",,761USD 
24,['탄탄위너'],,"804,090USD ",,"31,605USD "
25,['푸에르스페스'],,"1,570,380USD ",,"7,440USD "
26,['컬러즈킹'],,"51,475USD ","40,536,000원", 
27,['아라시'],,"416,475,000JPY ",,"184,605USD "
28,['천웅'],,"396,254USD ","50,583,000원", 
29,['대변화'],,"456,410USD ","108,486,000원", 
30,['마샤'],,"1,503,825USD ",,"118,880USD "
31,['큐피드스톰'],,"568,086USD ",,750USD 
32,['라온스톰'],,"1,810,805USD ","113,835,000원", 
33,['땡큐마더'],,"1,732,000USD ","648,176,000원", 
34,['원더풀딕시'],,"617,310USD ","37,665,000원", 
35,['스칼렛퍼펙트'],,"339,984USD ","49,730,000원", 
36,['로만블레이드'],,"1,220,800USD ",,"60,950USD "
37,['제이에스스톰'],"579,356,000원", ,"174,340,000원", 
38,['아름다운천사'],"1,861,967,000원", ,"157,452,000원", 
39,['베스트스타'],,"1,810,805USD ","74,330,000원", 
40,['에이스솔롱고'],,"339,984USD ",,"12,710USD "
41,['세븐즈럭키'],,"210,553USD ",,"45,930USD "
42,['아쿠아스톰'],,"274,382USD ",,"54,501USD "
43,['인천챔프'],,"1,052,520USD ",,0 
44,['스마일걸'],,"172,705,000JPY ",,"22,220,000JPY "
45,['조우니가'],,"3,044,000USD ",,"20,996USD "
46,['온리바람'],,"1,607,774USD ",,"1,443USD "
47,['초인볼트'],,"1,732,000USD ",,0 
48,['퍼스트퀸'],,"315,015USD ",,0 
49,['동방지주'],,"3,187,232USD ","2,770,000원", 
50,['샤크대장군'],,"1,503,825USD ","420,130,000원", 
51,['선더블레이드'],,"1,182,992USD ",,"19,920USD "
52,['메니바다'],,"1,732,000USD ","114,172,000원", 
53,['황금주머니'],,"1,503,825USD ","237,946,000원", 
54,['점보캡틴'],,"3,084,278USD ","100,842,000원", 
55,['맘보칸'],,"278,406USD ","66,894,000원", 
56,['스카이돌풍'],,"568,086USD ",,"103,642USD "
57,['머치머니'],,"339,984USD ",,"3,340USD "
58,['야호스트롱캣'],,"339,984USD ","46,880,000원", 
59,['프린스메모리'],,"3,990,138USD ",,0 
60,['지오스타'],,"6,169,800USD ",,468USD 
61,['오케이퀸'],,"114,300USD ","2,600,000원", 
62,['땡큐찰리'],,"251,090USD ",,"115,595USD "
63,['프라임골드'],,"456,410USD ",,"103,052USD "
64,['한센글로리'],,"1,810,805USD ",,"82,046USD "
65,['아이비에스마린'],,"583,280USD ",,"10,210USD "
66,['바람속으로'],,"1,007,708USD ",,"54,660USD "
67,['넌감동이야'],,"193,766USD ",,0 
68,['슈퍼캡틴'],,"3,545,062USD ",,"157,400USD "
69,['엑스블레이드'],,"396,254USD ","5,280,000원", 
70,['천괴성'],,"205,617USD ","106,041,000원", 
71,['눈빛언약'],,"254,672USD ","117,440,000원", 
72,['최강파티'],,"1,732,000USD ","716,613,000원","1,780USD "
73,['시티송암'],,"51,475USD ",,"87,758USD "
74,['미스선샤인'],"233,137,000원", ,"284,820,000원", 
75,['홀리데이모닝'],,"1,251,300USD ",,"3,535USD "
76,['클래식댄서'],,"1,083,533USD ",,350USD 
77,['로열고스트'],,"568,086USD ","1,800,000원", 
78,['스페셜버드'],,"695,299USD ","126,302,000원", 
79,['베스트신화'],,"163,133USD ","76,860,000원", 
80,['장군의시대'],"933,060,000원", ,"254,715,000원", 
81,['그린레이저'],,"493,755USD ",,"54,385USD "
82,['카히나'],,"3,187,232USD ",,"116,910USD "
83,['코일로'],,"493,755USD ",,"39,200USD "
84,['팝스트리트'],,"158,713AUD ","58,313,000원", 
85,['마패봉'],,"1,503,825USD ",, 
86,['하늘에이스'],,"3,545,062USD ",,0AUD 
87,['한센바로우즈'],,"1,810,805USD ",,0 
88,['마초히메'],,"493,755USD ",,"8,757USD "
89,['루킹굿'],,"172,705,000JPY ",,"55,565USD "
90,['안젤라'],,"210,553USD ","258,436,000원", 
91,['플라잉헤라'],,"456,410USD ",,0 
92,['흑전사'],,"3,645,383USD ",,"198,994USD "
93,['실버라이언'],,"4,374,590USD ",,"181,694USD "
94,['촘니아'],,"3,084,278USD ",,"54,972USD "
95,['상하이팡팡'],,"404,492USD ",,0 
96,['포제이케이'],,"51,475USD ","19,254,000원", 
97,['큐피드강자'],,"493,755USD ","93,704,000원", 
98,['마이챔프'],,"565,716USD ",,240USD 
99,['매직로드'],,"804,090USD ","312,175,000원", 
100,['미르스톰'],,"456,410USD ",,0 
101,['톱브레인'],,"1,606,000USD ",,"77,252USD "
102,['청수여제'],,"385,807USD ",,0 
103,['알리바바마린'],,"1,026,229USD ",,"17,225USD "
104,['패션플레이어'],,"583,280USD ",,"76,369USD "
105,['엠제이파티'],,"2,075,791USD ",,"32,063USD "
106,['베스트이펙트'],,"1,083,533USD ",,"26,546USD "
107,['나스카의별'],,0AUD ,,"89,750USD "
108,['탑매직마스터'],,"3,614,500USD ",,0AUD 
109,['천운동행'],,"1,103,496USD ",,"21,243USD "
110,['클리어검'],,"205,617USD ","143,647,000원", 
111,['퀸오브캠프'],,"339,984USD ",,"104,746USD "
112,['인디언에코'],"261,878,000원", ,"84,670,000원", 
113,['가즈아'],,"1,083,533USD ","83,456,000원", 
114,['로열조이'],,"1,810,805USD ","230,053,000원", 
115,['거북이만세'],,"315,015USD ","94,103,000원", 
116,['대성루비'],,"315,015USD ","26,945,000원", 
117,['스마티블루'],,"1,570,380USD ",,0 
118,['룰브레이커'],,"416,475,000JPY ",,"250,000JPY "
119,['원더풀챔피언'],,"767,288USD ",,"20,790USD "
120,['블루울프'],,"1,154,000USD ",,"23,860USD "
121,['나스카의태양'],,"1,606,000USD ",,0AUD 
122,['킹즈워리어'],,"239,229USD ",,"57,295USD "
123,['파크삭스'],,"1,694,180USD ",,"47,717USD "
124,['제주의하늘'],,"163,133USD ","208,609,000원", 
125,['뉴와이파이'],,"315,015USD ",,0 
126,['럭키루키'],,"480,001USD ",,880USD 
127,['티즈플랜'],,"6,427,830USD ",,"34,690USD "
128,['강토마'],,"416,475,000JPY ","206,263,000원", 
129,['나스카프린스'],,"835,142USD ",,"103,642USD "
130,['울트라로켓'],"261,878,000원", ,"54,978,000원", 
131,['위너골드'],,"424,460USD ",,"4,900USD "
132,['삼성불패'],,"2,533,910USD ",,"64,840USD "
133,['이스트팔로스'],,"1,146,340USD ",,"250,645USD "
134,['선더라이트'],,"1,255,660USD ",,"14,834USD "
135,['청수여걸'],,"224,684USD ",,"69,400USD "
136,['오피세븐'],,"1,182,992USD ",,0 
137,['야호스카이캣'],,"3,084,278USD ",,"36,280USD "
138,['와일드선더'],,"835,142USD ","30,564,000원","35,080USD "
139,['능력시대'],,"114,300USD ","86,310,000원", 
140,['프리모'],,"3,545,062USD ","697,416,000원", 
141,['와일드드래곤'],,"804,090USD ",,"16,290USD "
142,['아르고멜로디'],,"193,766USD ",,0 
143,['구름왕자'],,"583,280USD ",,"46,426USD "
144,['웰빙조이'],,"888,500AUD ","19,584,000원", 
145,['해후'],,"3,084,278USD ","45,600,000원", 
146,['큰바다'],,"1,732,000USD ","98,230,000원", 
147,['사이버'],,"114,300USD ","235,154,000원", 
148,['주링허우'],,"804,090USD ","82,078,000원", 
149,['솔파랑'],,"456,410USD ",,"1,100USD "
150,['일여하여'],,"3,187,232USD ","118,005,000원", 
151,['미스터히어로'],,"568,629,000JPY ","272,330,000원", 
152,['대군파워'],,"922,180USD ",,0AUD 
153,['뇌성벽력'],,"493,755USD ",, 
154,['한센블레이드'],,"1,810,805USD ",,0 
155,['이길래오'],,"493,755USD ","149,983,000원", 
156,['더쎈왕자'],,"493,755USD ","163,520,000원", 
157,['위너세이'],,"1,124,820USD ",,"40,484,000JPY "
158,['검향'],,"205,617USD ","208,609,000원", 
159,['선샤인레이디'],,"3,122,708USD ",,"16,000USD "
160,['퀸오브골드'],,"172,705,000JPY ",0원, 
161,['라온한니발'],,"274,382USD ","29,100,000원", 
162,['마하선더'],,"114,300USD ","223,745,000원", 
163,['실버드래곤'],,"1,810,805USD ","235,154,000원", 
164,['대군옥'],,"494,895,000JPY ",,0 
165,['야호화이트캣'],,"1,810,805USD ","159,225,000원", 
166,['로드우먼'],,"339,984USD ",,"30,071USD "
167,['원더풀힐스'],,"416,475,000JPY ",,"1,878,000JPY "
168,['리커버리탑'],,"568,629,000JPY ",,400AUD 
169,['아이캔플라이'],,"114,300USD ","19,476,000원", 
170,['샤이닝메모리'],,"133,833USD ","262,056,000원", 
171,['스트롱벌처'],,"416,475,000JPY ",,"251,959USD "
